,700.HK,2330.TW,9988.HK,005930.KS,3690.HK,1299.HK,939.HK,388.HK,9618.HK,000660.KS,005935.KQ,2318.HK,2269.HK,2454.TW,035420.KS,2317.TW,9999.HK,1398.HK,1810.HK,035720.KS,D05.SI,051910.KS,O39.SI,006400.KS,M4B.,U11.SI,005380.KS,669.HK,3988.HK,2020.HK,005490.KS,068270.KS,16.HK,2303.TW,000270.KS,2308.TW,1.HK,823.HK,105560.KS,055550.KS,175.HK,3.HK,1303.TW,27.HK,1301.TW,012330.KS,2.HK,2891.TW,2412.TW,CHL.,11.HK,HKD,005387.KQ,TWD,XTSLA,051915.KQ,005385.KQ,KRW,SGD,HBCFT,MESU1,ZUYU1,TWTN1,TWTQ1,TWTU1,SUM
07/09/2021,12.72,11.75,11.63,10.79,4.56,4.4,2.28,2.1,1.98,1.74,1.57,1.55,1.55,1.54,1.53,1.52,1.31,1.3,1.28,1.23,1.2,1.07,1.07,1.06,0.91,0.88,0.87,0.86,0.81,0.76,0.71,0.68,0.66,0.65,0.61,0.61,0.61,0.6,0.54,0.53,0.52,0.51,0.51,0.49,0.49,0.49,0.47,0.46,0.45,0.43,0.43,0.22,0.11,0.09,0.09,0.08,0.07,0.06,0.04,0.03,0.0,0.0,0.0,0.0,0.0,100.06000000000002
07/12/2021,12.41,12.0,11.31,10.82,4.35,4.43,2.15,2.28,1.93,1.73,1.58,1.54,1.62,1.58,1.61,1.55,1.29,1.31,1.29,1.3,1.18,1.07,1.06,1.06,0.9,0.88,0.87,0.86,0.82,0.77,0.72,0.7,0.68,0.66,0.61,0.62,0.61,0.6,0.54,0.53,0.53,0.53,0.52,0.49,0.49,0.49,0.49,0.48,0.47,0.4,0.43,0.38,0.11,0.1,0.08,0.08,0.07,0.06,0.04,0.03,0.0,0.0,0.0,0.0,0.0,100.09
07/13/2021,12.41,12.0,11.31,10.82,4.35,4.43,2.15,2.28,1.93,1.73,1.58,1.54,1.62,1.58,1.61,1.55,1.29,1.31,1.29,1.3,1.18,1.07,1.06,1.06,0.9,0.88,0.87,0.86,0.82,0.77,0.72,0.7,0.68,0.66,0.61,0.62,0.61,0.6,0.54,0.53,0.53,0.53,0.52,0.49,0.49,0.49,0.49,0.48,0.47,0.4,0.43,0.38,0.11,0.1,0.08,0.08,0.07,0.06,0.04,0.03,0.0,0.0,0.0,0.0,0.0,100.09
07/14/2021,12.64,11.88,11.2,10.71,4.53,4.44,2.13,2.28,1.95,1.69,1.56,1.53,1.7,1.57,1.58,1.53,1.3,1.3,1.36,1.27,1.18,1.03,1.07,1.06,0.9,0.89,0.85,0.88,0.82,0.82,0.71,0.68,0.68,0.65,0.6,0.61,0.61,0.6,0.52,0.52,0.52,0.53,0.52,0.49,0.49,0.48,0.48,0.48,0.47,0.4,0.43,0.38,0.11,0.1,0.06,0.08,0.06,0.06,0.04,0.04,0.0,0.0,0.0,0.0,0.0,100.05
07/15/2021,12.64,11.88,11.2,10.71,4.53,4.44,2.13,2.28,1.95,1.69,1.56,1.53,1.7,1.57,1.58,1.53,1.3,1.3,1.36,1.27,1.18,1.03,1.07,1.06,0.9,0.89,0.85,0.88,0.82,0.82,0.71,0.68,0.68,0.65,0.6,0.61,0.61,0.6,0.52,0.52,0.52,0.53,0.52,0.49,0.49,0.48,0.48,0.48,0.47,0.4,0.43,0.38,0.11,0.1,0.06,0.08,0.06,0.06,0.04,0.04,0.0,0.0,0.0,0.0,0.0,100.05
07/16/2021,12.7,12.06,11.44,10.5,4.66,4.44,2.07,2.29,1.97,1.7,1.53,1.5,1.61,1.55,1.63,1.53,1.3,1.26,1.34,1.25,1.18,1.02,1.06,1.06,0.89,0.88,0.84,0.88,0.81,0.79,0.71,0.67,0.68,0.65,0.6,0.62,0.6,0.59,0.52,0.52,0.55,0.52,0.51,0.48,0.47,0.48,0.47,0.46,0.46,0.39,0.43,0.37,0.1,0.09,0.03,0.08,0.06,0.06,0.04,0.04,0.0,0.0,0.0,0.0,0.0,99.99
07/19/2021,12.77,12.11,11.61,10.53,4.54,4.34,2.06,2.26,1.99,1.69,1.53,1.51,1.67,1.58,1.65,1.55,1.32,1.25,1.32,1.22,1.15,0.98,1.04,1.05,0.91,0.86,0.84,0.87,0.8,0.8,0.71,0.67,0.67,0.66,0.6,0.64,0.59,0.58,0.51,0.51,0.52,0.52,0.52,0.47,0.48,0.48,0.47,0.46,0.45,0.39,0.42,0.37,0.11,0.09,0.03,0.07,0.06,0.06,0.04,0.04,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,12.77,12.11,11.61,10.53,4.54,4.34,2.06,2.26,1.99,1.69,1.53,1.51,1.67,1.58,1.65,1.55,1.32,1.25,1.32,1.22,1.15,0.98,1.04,1.05,0.91,0.86,0.84,0.87,0.8,0.8,0.71,0.67,0.67,0.66,0.6,0.64,0.59,0.58,0.51,0.51,0.52,0.52,0.52,0.47,0.48,0.48,0.47,0.46,0.45,0.39,0.42,0.37,0.11,0.09,0.03,0.07,0.06,0.06,0.04,0.04,0.0,0.0,0.0,0.0,0.0,99.99
07/22/2021,12.77,11.73,11.49,10.56,4.44,4.32,2.1,2.4,2.0,1.67,1.55,1.53,1.74,1.56,1.67,1.55,1.34,1.28,1.42,1.21,1.16,1.01,1.05,1.06,0.92,0.87,0.85,0.88,0.81,0.81,0.7,0.68,0.68,0.65,0.6,0.63,0.6,0.6,0.52,0.51,0.52,0.53,0.53,0.47,0.48,0.48,0.48,0.48,0.47,0.39,0.42,0.38,0.11,0.06,0.07,0.08,0.07,0.06,0.04,0.04,0.0,0.0,0.0,0.0,0.0,100.08000000000004
07/23/2021,12.68,11.78,11.56,10.59,4.45,4.36,2.08,2.41,2.0,1.67,1.55,1.53,1.73,1.57,1.66,1.53,1.35,1.27,1.4,1.2,1.16,1.01,1.05,1.05,0.92,0.87,0.85,0.88,0.81,0.81,0.69,0.71,0.68,0.65,0.61,0.62,0.6,0.6,0.52,0.51,0.5,0.53,0.52,0.46,0.48,0.48,0.49,0.47,0.47,0.39,0.42,0.38,0.11,0.06,0.06,0.08,0.07,0.06,0.04,0.04,0.0,0.0,0.0,0.0,0.0,100.08
07/27/2021,12.55,11.86,11.68,10.56,4.46,4.43,2.06,2.46,2.02,1.66,1.56,1.52,1.66,1.55,1.64,1.46,1.34,1.26,1.36,1.15,1.18,1.01,1.07,1.05,0.92,0.87,0.84,0.9,0.8,0.77,0.72,0.69,0.68,0.64,0.6,0.62,0.6,0.6,0.52,0.51,0.52,0.54,0.52,0.48,0.47,0.48,0.49,0.47,0.47,0.39,0.42,0.37,0.1,0.12,0.06,0.08,0.06,0.06,0.04,0.04,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/29/2021,11.87,12.19,11.35,10.91,3.94,4.5,2.14,2.39,1.92,1.7,1.62,1.49,1.52,1.63,1.76,1.52,1.2,1.32,1.36,1.2,1.23,1.04,1.11,1.09,0.91,0.92,0.87,0.91,0.84,0.76,0.77,0.71,0.71,0.69,0.62,0.64,0.62,0.63,0.55,0.53,0.53,0.56,0.54,0.46,0.48,0.49,0.52,0.5,0.49,0.39,0.44,0.39,0.11,0.13,0.06,0.08,0.07,0.07,0.04,0.04,0.0,0.0,0.0,0.0,0.0,100.07000000000002
07/30/2021,11.17,12.62,10.99,11.3,3.36,4.47,2.25,2.31,1.8,1.75,1.67,1.48,1.45,1.72,1.83,1.6,1.08,1.38,1.32,1.25,1.27,1.11,1.15,1.17,0.91,0.95,0.9,0.93,0.87,0.74,0.82,0.73,0.72,0.71,0.65,0.65,0.65,0.65,0.57,0.56,0.54,0.59,0.56,0.47,0.5,0.51,0.54,0.51,0.51,0.39,0.45,0.41,0.11,0.13,0.04,0.08,0.07,0.08,0.04,0.04,0.0,0.0,0.0,0.0,0.0,100.08
08/03/2021,11.68,12.3,11.24,10.98,3.62,4.54,2.15,2.39,2.0,1.65,1.62,1.51,1.55,1.62,1.71,1.54,1.26,1.3,1.34,1.21,1.26,1.08,1.15,1.11,0.9,0.94,0.85,0.96,0.84,0.78,0.8,0.68,0.69,0.75,0.61,0.62,0.62,0.62,0.55,0.55,0.6,0.57,0.55,0.45,0.49,0.48,0.52,0.5,0.49,0.39,0.44,0.19,0.1,0.09,0.34,0.08,0.06,0.07,0.0,0.05,0.0,0.0,0.0,0.0,0.0,100.03
08/04/2021,11.68,12.3,11.24,10.98,3.62,4.54,2.15,2.39,2.0,1.65,1.62,1.51,1.55,1.62,1.71,1.54,1.26,1.3,1.34,1.21,1.26,1.08,1.15,1.11,0.9,0.94,0.85,0.96,0.84,0.78,0.8,0.68,0.69,0.75,0.61,0.62,0.62,0.62,0.55,0.55,0.6,0.57,0.55,0.45,0.49,0.48,0.52,0.5,0.49,0.39,0.44,0.19,0.1,0.09,0.34,0.08,0.06,0.07,0.0,0.05,0.0,0.0,0.0,0.0,0.0,100.03
08/05/2021,11.68,12.3,11.24,10.98,3.62,4.54,2.15,2.39,2.0,1.65,1.62,1.51,1.55,1.62,1.71,1.54,1.26,1.3,1.34,1.21,1.26,1.08,1.15,1.11,0.9,0.94,0.85,0.96,0.84,0.78,0.8,0.68,0.69,0.75,0.61,0.62,0.62,0.62,0.55,0.55,0.6,0.57,0.55,0.45,0.49,0.48,0.52,0.5,0.49,0.39,0.44,0.19,0.1,0.09,0.34,0.08,0.06,0.07,0.0,0.05,0.0,0.0,0.0,0.0,0.0,100.03
08/10/2021,10.94,12.49,11.39,11.37,3.57,4.45,2.14,2.52,1.98,1.73,1.68,1.5,1.6,1.66,1.75,1.57,1.08,1.28,1.38,1.19,1.27,1.08,1.15,1.16,0.9,0.94,0.87,1.01,0.83,0.77,0.74,0.73,0.68,0.8,0.62,0.61,0.62,0.61,0.55,0.54,0.62,0.57,0.56,0.41,0.5,0.5,0.5,0.5,0.5,0.38,0.43,0.2,0.1,0.09,0.2,0.08,0.06,0.07,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.06
08/11/2021,10.94,12.49,11.39,11.37,3.57,4.45,2.14,2.52,1.98,1.73,1.68,1.5,1.6,1.66,1.75,1.57,1.08,1.28,1.38,1.19,1.27,1.08,1.15,1.16,0.9,0.94,0.87,1.01,0.83,0.77,0.74,0.73,0.68,0.8,0.62,0.61,0.62,0.61,0.55,0.54,0.62,0.57,0.56,0.41,0.5,0.5,0.5,0.5,0.5,0.38,0.43,0.2,0.1,0.09,0.2,0.08,0.06,0.07,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.06
08/16/2021,11.71,12.48,11.19,10.65,3.98,4.45,2.22,2.39,1.99,1.46,1.59,1.51,1.57,1.62,1.72,1.53,1.16,1.32,1.39,1.2,1.29,1.12,1.14,1.21,0.98,0.95,0.84,1.12,0.84,0.77,0.73,0.75,0.69,0.78,0.62,0.6,0.63,0.61,0.56,0.55,0.66,0.57,0.56,0.42,0.5,0.48,0.5,0.5,0.5,0.39,0.43,0.03,0.1,0.09,0.14,0.08,0.06,0.07,0.0,0.03,0.0,0.0,0.0,0.0,0.0,100.02
08/17/2021,11.58,12.52,11.06,10.37,3.98,4.58,2.25,2.43,2.0,1.48,1.55,1.51,1.62,1.65,1.71,1.55,1.16,1.33,1.36,1.2,1.3,1.15,1.13,1.22,1.0,0.97,0.84,1.16,0.85,0.77,0.74,0.74,0.69,0.76,0.62,0.6,0.63,0.62,0.56,0.55,0.66,0.58,0.55,0.43,0.5,0.48,0.51,0.51,0.51,0.39,0.44,0.04,0.1,0.08,0.15,0.08,0.06,0.08,0.04,0.02,0.0,0.0,0.0,0.0,0.0,100.0
08/18/2021,11.58,12.52,11.06,10.37,3.98,4.58,2.25,2.43,2.0,1.48,1.55,1.51,1.62,1.65,1.71,1.55,1.16,1.33,1.36,1.2,1.3,1.15,1.13,1.22,1.0,0.97,0.84,1.16,0.85,0.77,0.74,0.74,0.69,0.76,0.62,0.6,0.63,0.62,0.56,0.55,0.66,0.58,0.55,0.43,0.5,0.48,0.51,0.51,0.51,0.39,0.44,0.04,0.1,0.08,0.15,0.08,0.06,0.08,0.04,0.02,0.0,0.0,0.0,0.0,0.0,100.0
08/19/2021,11.28,12.71,10.94,10.46,3.81,4.68,2.29,2.4,1.95,1.5,1.57,1.55,1.62,1.65,1.73,1.54,1.12,1.35,1.34,1.21,1.3,1.16,1.13,1.23,1.01,0.96,0.85,1.22,0.86,0.79,0.75,0.75,0.7,0.76,0.62,0.62,0.64,0.63,0.57,0.55,0.62,0.59,0.56,0.43,0.5,0.49,0.52,0.48,0.51,0.4,0.44,0.04,0.1,0.09,0.15,0.08,0.06,0.08,0.06,0.02,0.0,0.0,0.0,0.0,0.0,100.02
08/20/2021,11.04,12.89,10.64,10.59,3.75,4.92,2.33,2.37,1.88,1.52,1.58,1.56,1.55,1.64,1.72,1.56,1.09,1.37,1.35,1.19,1.31,1.17,1.14,1.21,1.01,0.96,0.85,1.25,0.88,0.77,0.73,0.76,0.71,0.76,0.62,0.59,0.66,0.64,0.58,0.56,0.61,0.6,0.57,0.43,0.51,0.49,0.53,0.49,0.52,0.41,0.45,0.04,0.1,0.09,0.17,0.09,0.06,0.08,0.06,0.02,0.0,0.0,0.0,0.0,0.0,100.01999999999998
08/23/2021,10.93,12.65,10.26,10.67,3.63,5.07,2.4,2.42,1.9,1.57,1.6,1.54,1.59,1.69,1.74,1.54,1.08,1.4,1.35,1.26,1.31,1.2,1.15,1.22,1.07,0.97,0.84,1.23,0.89,0.82,0.71,0.76,0.73,0.77,0.61,0.62,0.67,0.65,0.57,0.55,0.66,0.62,0.57,0.43,0.51,0.49,0.54,0.5,0.53,0.41,0.45,0.04,0.1,0.09,0.16,0.09,0.06,0.08,0.06,0.03,0.0,0.0,0.0,0.0,0.0,100.05
08/24/2021,11.19,12.64,10.13,10.72,3.52,5.03,2.41,2.4,1.88,1.59,1.62,1.54,1.49,1.68,1.75,1.58,1.05,1.41,1.34,1.25,1.34,1.22,1.17,1.22,1.06,0.99,0.83,1.21,0.9,0.8,0.71,0.76,0.75,0.78,0.61,0.61,0.67,0.67,0.57,0.55,0.64,0.63,0.56,0.41,0.51,0.48,0.55,0.5,0.53,0.42,0.45,0.04,0.1,0.09,0.15,0.09,0.06,0.08,0.06,0.03,0.0,0.0,0.0,0.0,0.0,100.02
08/25/2021,11.19,12.64,10.13,10.72,3.52,5.03,2.41,2.4,1.88,1.59,1.62,1.54,1.49,1.68,1.75,1.58,1.05,1.41,1.34,1.25,1.34,1.22,1.17,1.22,1.06,0.99,0.83,1.21,0.9,0.8,0.71,0.76,0.75,0.78,0.61,0.61,0.67,0.67,0.57,0.55,0.64,0.63,0.56,0.41,0.51,0.48,0.55,0.5,0.53,0.42,0.45,0.04,0.1,0.09,0.15,0.09,0.06,0.08,0.06,0.03,0.0,0.0,0.0,0.0,0.0,100.02
08/26/2021,11.26,12.82,9.64,10.73,3.51,4.98,2.4,2.5,1.88,1.58,1.61,1.5,1.58,1.73,1.77,1.6,1.09,1.4,1.37,1.28,1.33,1.08,1.15,1.25,1.09,0.99,0.83,1.23,0.9,0.83,0.71,0.8,0.75,0.81,0.61,0.62,0.66,0.66,0.57,0.55,0.63,0.63,0.56,0.4,0.52,0.49,0.55,0.5,0.53,0.41,0.45,0.04,0.1,0.04,0.19,0.08,0.06,0.08,0.06,0.03,0.0,0.0,0.0,0.0,0.0,100.0
08/27/2021,11.81,12.5,10.16,10.73,3.84,4.79,2.31,2.42,2.08,1.56,1.62,1.46,1.64,1.67,1.75,1.57,1.13,1.34,1.37,1.24,1.28,1.03,1.12,1.17,1.05,0.96,0.83,1.19,0.86,0.8,0.71,0.77,0.71,0.78,0.6,0.59,0.64,0.63,0.57,0.55,0.6,0.58,0.55,0.42,0.5,0.48,0.52,0.5,0.51,0.4,0.43,0.06,0.1,0.04,0.19,0.08,0.06,0.08,0.06,0.03,0.0,0.0,0.0,0.0,0.0,100.02000000000002
08/31/2021,11.72,13.16,9.56,10.56,3.91,4.79,2.31,2.42,2.27,1.54,1.59,1.48,1.57,1.65,1.68,1.56,1.19,1.35,1.35,1.25,1.3,1.03,1.12,1.17,1.04,0.95,0.83,1.21,0.86,0.73,0.7,0.81,0.7,0.83,0.61,0.63,0.63,0.62,0.59,0.56,0.61,0.59,0.56,0.43,0.51,0.5,0.52,0.51,0.48,0.41,0.43,0.12,0.1,0.04,0.07,0.08,0.06,0.08,0.06,0.03,0.0,0.0,0.0,0.0,0.0,100.02000000000001
