,TSLA,ROKU,MDB,CSGP,CVNA,DXCM,APPN,SQ,AZO,RNG,NVTA,INSP,SNAP,TTD,DG,ADBE,AVID,INTU,VICR,AMZN,SMAR,MSCI,CACC,HZNP,FICO,AVLR,ZS,PRFT,SYNA,DOCU,TDOC,GOOGL,AMAT,COUP,AGCO,ILMN,SAM,NVAX,TXG,PEN,ESTC,PLUG,CELH,AAPL,WING,WST,CNMD,BAND,RH,CDLX,BL,LULU,NMIH,LOW,Y,EXPE,GSAT,OMCL,NOW,SPGI,FGXXX,HASI,NTAP,DDD,MSI,HZO,CRK,ATRC,APLS,MOH,DECK,TELL,AHT,NRG,MSFT,HD,CMG,SIGI,CABO,CPRT,BA,ARVN,LSTR,INTC,AEO,TREX,ALGN,SHW,SFIX,INSG,FRPT,HEI,JACK,NVDA,NSTG,THG,CR,DRH,IBRX,MARA,First American Government Obligs X,CLR,BBBY,MNKD,MANH,ESTE,TGLS,COR,OUT,KTOS,NCR,BAH,PAYX,V,BKI,TBIO,KRA,IRDM,MXL,WELL,MCO,BRG,Marathon Digital Holdings Inc,WMT,CIDM,CLDX,DHR,RPD,PTGX,SRRK,JNJ,PANW,COST,OSTK,PEP,SBUX,DRI,RUSHA,ECL,PRTA,PRTS,CGNX,HALO,HSKA,TTGT,MYGN,AMRS,IPI,EAT,FRTA,ROST,LAD,CUTR,RRD,EVH,MDP,ATRO,ATEC,PBI,CNDT,MOD,XENT,LOCO,XPEL,RYAM,CWK,GBX,RHP,SSTI,IRM,Diamondrock Hospitality Co,AMD,CSX,TNDM,YETI,OSUR,FLDM,Ryman Hospitality Properties Inc,LXU,SUM
07/09/2021,3.11,3.09,2.96,2.83,2.74,2.67,2.62,2.55,2.37,2.23,2.05,1.92,1.89,1.87,1.85,1.77,1.69,1.55,1.51,1.5,1.49,1.46,1.45,1.42,1.41,1.38,1.34,1.33,1.3,1.24,1.24,1.23,1.14,1.14,1.11,1.08,1.08,1.04,1.04,1.0,0.99,0.95,0.92,0.86,0.86,0.84,0.83,0.83,0.79,0.75,0.75,0.71,0.7,0.67,0.66,0.65,0.65,0.65,0.65,0.64,0.63,0.62,0.6,0.58,0.54,0.54,0.53,0.52,0.5,0.47,0.46,0.44,0.44,0.44,0.44,0.42,0.42,0.41,0.4,0.4,0.39,0.39,0.38,0.37,0.36,0.35,0.35,0.33,0.3,0.29,0.29,0.28,0.25,0.2,0.2,0.17,0.14,0.09,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,2.98,3.0,2.46,2.94,1.94,2.82,2.63,1.55,2.42,2.32,1.97,1.74,1.83,1.91,1.89,1.85,1.64,1.79,1.71,1.52,1.55,1.53,1.41,1.38,1.48,1.42,1.43,1.35,1.3,1.3,1.2,1.28,1.13,1.21,1.09,1.1,1.08,0.91,0.1,1.0,0.0,0.86,0.89,0.92,0.87,0.87,0.84,0.83,0.82,0.7,0.77,0.74,0.67,0.68,0.66,0.64,0.63,0.33,0.67,0.66,0.0,0.63,0.61,0.52,0.56,0.52,0.48,0.53,0.51,0.48,0.46,0.83,0.25,0.45,0.45,0.43,0.44,0.41,0.41,0.41,0.38,0.85,0.37,0.37,0.34,0.35,0.35,0.34,0.29,0.28,0.28,0.12,0.24,0.21,0.19,0.17,0.15,0.08,0.03,0.0,1.26,0.89,0.69,0.43,0.43,0.16,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,2.98,3.0,2.46,2.94,1.94,2.82,2.63,1.55,2.42,2.32,1.97,1.74,1.83,1.91,1.89,1.85,1.64,1.79,1.71,1.52,1.55,1.53,1.41,1.38,1.48,1.42,1.43,1.35,1.3,1.3,1.2,1.28,1.13,1.21,1.09,1.1,1.08,0.91,0.1,1.0,0.0,0.86,0.89,0.92,0.87,0.87,0.84,0.83,0.82,0.7,0.77,0.74,0.67,0.68,0.66,0.64,0.63,0.33,0.67,0.66,0.0,0.63,0.61,0.52,0.56,0.52,0.48,0.53,0.51,0.48,0.46,0.83,0.25,0.45,0.45,0.43,0.44,0.41,0.41,0.41,0.38,0.85,0.37,0.37,0.34,0.35,0.35,0.34,0.29,0.28,0.28,0.12,0.24,0.21,0.19,0.17,0.15,0.08,0.03,0.0,1.26,0.89,0.69,0.43,0.43,0.16,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,3.05,3.03,1.8,2.95,2.0,2.85,2.6,0.75,2.42,2.29,1.93,1.77,1.76,1.89,1.89,1.87,1.65,1.81,1.71,1.55,1.54,1.54,1.43,1.38,1.48,1.39,1.44,1.34,1.3,1.31,1.21,1.28,0.9,1.19,1.07,1.11,1.1,0.93,0.0,1.0,0.0,0.86,0.91,0.92,0.87,0.88,0.83,0.81,0.81,0.7,0.78,0.74,0.66,0.67,0.66,0.64,0.61,0.34,0.68,0.66,0.0,0.61,0.6,0.52,0.56,0.51,0.5,0.53,0.49,0.48,0.46,0.88,0.25,0.45,0.45,0.43,0.44,0.4,0.41,0.41,0.4,0.88,0.37,0.37,0.34,0.35,0.35,0.34,0.29,0.29,0.29,0.0,0.24,0.2,0.2,0.17,0.15,0.08,0.03,0.0,0.99,0.91,0.68,0.43,0.43,0.16,0.15,1.02,0.6,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
07/15/2021,3.14,2.28,1.15,2.93,1.97,2.79,2.52,0.0,2.44,2.21,1.92,1.8,1.81,1.9,1.86,1.82,1.71,1.77,1.72,1.52,1.51,1.53,1.44,1.41,1.46,1.35,1.42,1.35,1.33,1.28,1.17,1.28,0.45,1.14,1.1,1.11,1.1,0.91,0.0,0.98,0.0,0.82,0.9,0.91,0.86,0.87,0.82,0.8,0.82,0.72,0.76,0.72,0.68,0.67,0.66,0.65,0.68,0.0,0.67,0.64,0.0,0.64,0.22,0.47,0.55,0.53,0.49,0.54,0.49,0.48,0.46,0.89,0.23,1.02,0.45,0.42,0.44,0.4,0.4,0.41,0.39,0.94,0.37,0.37,0.36,0.35,0.36,0.52,0.29,0.27,0.28,0.0,0.24,0.21,0.19,0.17,0.15,0.09,0.03,0.0,0.89,0.91,0.71,0.4,0.41,0.16,0.15,1.02,0.62,0.32,0.82,0.59,0.46,0.46,0.43,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/16/2021,3.14,2.28,1.15,2.93,1.97,2.79,2.52,0.0,2.44,2.21,1.92,1.8,1.81,1.9,1.86,1.82,1.71,1.77,1.72,1.52,1.51,1.53,1.44,1.41,1.46,1.35,1.42,1.35,1.33,1.28,1.17,1.28,0.45,1.14,1.1,1.11,1.1,0.91,0.0,0.98,0.0,0.82,0.9,0.91,0.86,0.87,0.82,0.8,0.82,0.72,0.76,0.72,0.68,0.67,0.66,0.65,0.68,0.0,0.67,0.64,0.0,0.64,0.22,0.47,0.55,0.53,0.49,0.54,0.49,0.48,0.46,0.89,0.23,1.02,0.45,0.42,0.44,0.4,0.4,0.41,0.39,0.94,0.37,0.37,0.36,0.35,0.36,0.52,0.29,0.27,0.28,0.0,0.24,0.21,0.19,0.17,0.15,0.09,0.03,0.0,0.89,0.91,0.71,0.4,0.41,0.16,0.15,1.02,0.62,0.32,0.82,0.59,0.46,0.46,0.43,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/19/2021,3.11,2.26,0.75,3.03,1.99,2.86,2.36,0.0,2.54,2.2,1.81,1.77,1.81,1.87,1.94,1.92,1.73,1.85,1.78,1.56,1.55,1.58,1.46,1.45,1.53,1.35,1.46,1.41,1.34,1.28,1.16,1.34,0.0,1.13,1.1,1.1,1.07,0.89,0.0,0.95,0.0,0.78,0.85,0.97,0.88,0.9,0.82,0.82,0.81,0.75,0.77,0.76,0.52,0.69,0.51,0.65,0.61,0.0,0.69,0.66,0.0,0.63,0.22,0.45,0.57,0.55,0.49,0.53,0.48,0.49,0.47,0.8,0.23,1.04,0.47,0.44,0.46,0.4,0.41,0.43,0.24,0.92,0.38,0.38,0.36,0.34,0.37,0.54,0.28,0.27,0.17,0.0,0.25,0.21,0.18,0.18,0.15,0.09,0.0,0.0,0.28,0.89,0.68,0.4,0.42,0.1,0.15,1.05,0.61,0.31,0.84,0.61,0.48,0.49,0.44,0.31,0.64,0.36,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99000000000002
07/20/2021,3.13,2.24,0.75,3.12,1.99,2.9,2.34,0.0,2.6,2.17,1.8,1.77,1.77,1.84,1.97,1.93,1.73,1.86,1.78,1.56,1.53,1.61,1.53,1.45,1.54,1.32,1.44,1.41,1.33,0.91,1.15,1.34,0.0,1.03,1.11,1.12,0.66,0.91,0.0,0.95,0.0,0.8,0.83,0.98,0.89,0.91,0.81,0.82,0.81,0.75,0.77,0.77,0.53,0.71,0.52,0.65,0.58,0.0,0.69,0.67,0.29,0.62,0.0,0.43,0.58,0.56,0.48,0.52,0.49,0.51,0.47,0.82,0.21,1.05,0.47,0.45,0.45,0.41,0.41,0.43,0.24,0.89,0.39,0.38,0.35,0.35,0.37,0.55,0.28,0.26,0.17,0.0,0.25,0.2,0.18,0.18,0.15,0.09,0.0,0.0,0.0,0.89,0.69,0.4,0.42,0.1,0.15,1.06,0.61,0.31,0.84,0.62,0.49,0.5,0.44,0.31,0.63,0.35,0.32,0.39,0.38,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/21/2021,3.12,2.22,0.75,3.14,2.01,2.96,2.36,0.0,2.62,2.22,1.83,1.84,1.75,1.82,1.99,1.94,1.71,1.86,1.77,1.54,1.54,1.63,1.54,1.45,1.56,1.34,1.46,1.42,1.29,0.93,1.16,1.35,0.0,0.99,1.09,1.13,0.22,0.95,0.0,0.97,0.0,0.78,0.82,0.97,0.9,0.92,0.66,0.84,0.8,0.75,0.78,0.76,0.53,0.71,0.52,0.0,0.57,0.0,0.7,0.68,0.68,0.63,0.0,0.4,0.57,0.53,0.47,0.52,0.49,0.5,0.46,0.77,0.2,1.06,0.48,0.45,0.45,0.42,0.42,0.44,0.23,0.91,0.38,0.38,0.34,0.35,0.36,0.56,0.27,0.27,0.17,0.0,0.25,0.19,0.19,0.18,0.15,0.09,0.0,0.0,0.0,0.56,0.68,0.4,0.42,0.0,0.15,1.07,0.59,0.31,0.82,0.63,0.49,0.5,0.45,0.32,0.64,0.36,0.31,0.4,0.38,0.1,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/22/2021,3.12,2.22,0.75,3.14,2.01,2.96,2.36,0.0,2.62,2.22,1.83,1.84,1.75,1.82,1.99,1.94,1.71,1.86,1.77,1.54,1.54,1.63,1.54,1.45,1.56,1.34,1.46,1.42,1.29,0.93,1.16,1.35,0.0,0.99,1.09,1.13,0.22,0.95,0.0,0.97,0.0,0.78,0.82,0.97,0.9,0.92,0.66,0.84,0.8,0.75,0.78,0.76,0.53,0.71,0.52,0.0,0.57,0.0,0.7,0.68,0.68,0.63,0.0,0.4,0.57,0.53,0.47,0.52,0.49,0.5,0.46,0.77,0.2,1.06,0.48,0.45,0.45,0.42,0.42,0.44,0.23,0.91,0.38,0.38,0.34,0.35,0.36,0.56,0.27,0.27,0.17,0.0,0.25,0.19,0.19,0.18,0.15,0.09,0.0,0.0,0.0,0.56,0.68,0.4,0.42,0.0,0.15,1.07,0.59,0.31,0.82,0.63,0.49,0.5,0.45,0.32,0.64,0.36,0.31,0.4,0.38,0.1,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
