,SPOT,CRSP,TEAM,WIX,CYBR,HZNP,6951.T,MDT,263750.KQ,CHKP,6516.T,NVO,NXPI,MRUS,NICE.TA,FGXXX,GLOB,NCM.AX,KRNT,6844.T,7735.T,TRYG.CO,COLO B.CO,IMAX,7780.T,RBREW.CO,004020.KS,028670.KS,CARL B.CO,8309.T,NZYM B.CO,6857.T,AIR.PA,8604.T,GJF.OL,032830.KS,3926.T,MLCO,5201.T,AFMD,9101.T,6502.T,004170.KS,CGEN,8595.T,2791.T,8951.T,6707.T,071050.KS,8410.T,5101.T,3445.T,6370.T,8035.T,6432.T,SIKA.SW,RADA,078930.KS,7201.T,6866.T,009540.KS,DGE$.L,2413.T,PRGO,161390.KS,3966.T,9104.T,6368.T,047050.KS,MDWD,VBIV,010950.KS,2503.T,AY,7182.T,CSIQ,4751.T,015760.KS,8219.T,081660.KS,8601.T,NGG,ROCK B.CO,5857.T,BNP.PA,2695.T,8174.T,DBVT,SHOP,EDAP,ITRN,GRFS,8359.T,Tier One Silver Inc Ordinary Shares,000720.KS,LONN.SW,GGG,TX,RFP,First American Government Obligs X,066570.KS,GLMD,TSLV.V,Novo Nordisk A/S ADR,Diageo PLC ADR,NEWR,FMS,VBLT,n/a,OBSV,CAMT,URGN,ORAN,IMMP,ADAP,RPT,AMRN,JD.L,CMTL,OCDO.L,3861.T,6787.T,2379.T,7518.T,STO3.DE,6728.T,SRE.L,7250.T,7458.T,7278.T,DWNI.DE,PST.MI,LYC.AX,ADYEN.AS,UBSG.SW,DNO.OL,VEA.AX,IF.MI,ILU.AX,CE.MI,K2LU.SI,WJG.L,RBL.AX,SQZ.L,ISP.MI,1475.HK,SPM.MI,8358.T,ARYN.SW,H78.SI,STO.AX,9887.T,SGR.AX,TGR.AX,HSBA.L,CMCX.L,SUM
07/09/2021,4.79,4.63,4.06,3.97,2.44,2.36,2.11,1.92,1.87,1.74,1.73,1.69,1.67,1.59,1.58,1.51,1.47,1.47,1.44,1.39,1.33,1.32,1.32,1.27,1.26,1.21,1.2,1.18,1.18,1.17,1.16,1.16,1.16,1.13,1.12,1.09,1.07,1.07,1.06,0.98,0.95,0.89,0.89,0.87,0.81,0.81,0.81,0.8,0.8,0.79,0.77,0.76,0.76,0.75,0.74,0.73,0.73,0.72,0.72,0.69,0.68,0.68,0.67,0.66,0.66,0.65,0.65,0.64,0.62,0.62,0.6,0.6,0.6,0.56,0.56,0.54,0.54,0.51,0.48,0.46,0.4,0.39,0.36,0.32,0.27,0.25,0.24,0.19,0.19,0.17,0.17,0.15,0.13,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/12/2021,5.14,4.55,3.88,4.61,2.25,2.25,2.19,1.91,1.75,1.19,1.69,1.7,1.61,1.22,1.6,0.0,0.91,1.47,1.39,1.38,1.31,1.33,1.29,1.13,1.27,1.21,1.15,1.11,1.16,1.16,1.15,1.13,1.13,1.09,1.12,1.05,1.07,0.77,1.04,0.92,0.95,0.88,0.86,0.8,0.73,0.73,0.82,0.78,0.75,0.77,0.76,0.74,0.78,0.73,0.71,0.73,0.62,0.7,0.76,0.74,0.65,0.67,0.66,0.65,0.64,0.63,0.64,0.62,0.61,0.64,0.54,0.61,0.58,0.57,0.55,0.53,0.53,0.51,0.47,0.43,0.37,0.39,0.36,0.32,0.25,0.24,0.24,0.19,0.0,0.0,0.0,0.0,0.13,0.0,1.16,0.89,0.85,0.84,0.51,0.39,0.25,0.16,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,5.14,4.55,3.88,4.61,2.25,2.25,2.19,1.91,1.75,1.19,1.69,1.7,1.61,1.22,1.6,0.0,0.91,1.47,1.39,1.38,1.31,1.33,1.29,1.13,1.27,1.21,1.15,1.11,1.16,1.16,1.15,1.13,1.13,1.09,1.12,1.05,1.07,0.77,1.04,0.92,0.95,0.88,0.86,0.8,0.73,0.73,0.82,0.78,0.75,0.77,0.76,0.74,0.78,0.73,0.71,0.73,0.62,0.7,0.76,0.74,0.65,0.67,0.66,0.65,0.64,0.63,0.64,0.62,0.61,0.64,0.54,0.61,0.58,0.57,0.55,0.53,0.53,0.51,0.47,0.43,0.37,0.39,0.36,0.32,0.25,0.24,0.24,0.19,0.0,0.0,0.0,0.0,0.13,0.0,1.16,0.89,0.85,0.84,0.51,0.39,0.25,0.16,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,5.15,4.7,3.89,4.58,2.28,2.26,2.15,1.94,1.78,1.22,1.73,1.74,1.62,1.19,1.59,0.0,0.89,1.47,1.38,1.36,1.3,1.33,1.33,1.14,1.3,1.23,1.16,1.08,1.16,1.17,1.15,1.12,1.14,1.1,1.11,1.04,1.05,0.75,1.06,0.92,0.96,0.89,0.86,0.81,0.74,0.69,0.83,0.77,0.76,0.79,0.77,0.74,0.81,0.73,0.71,0.74,0.64,0.69,0.77,0.75,0.64,0.66,0.65,0.66,0.62,0.63,0.65,0.63,0.6,0.65,0.56,0.59,0.58,0.56,0.56,0.51,0.53,0.5,0.45,0.43,0.37,0.39,0.37,0.33,0.25,0.23,0.24,0.18,0.0,0.0,0.0,0.0,0.13,0.0,1.14,0.9,0.85,0.84,0.54,0.04,0.24,0.16,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/15/2021,5.19,4.52,4.03,4.61,2.29,2.31,2.23,1.93,1.78,1.25,1.76,1.71,1.67,1.11,1.58,0.0,0.77,1.46,1.37,1.38,1.29,1.33,1.33,1.11,1.29,1.22,1.16,1.04,1.16,1.17,1.15,1.14,1.17,1.1,1.17,1.03,1.1,0.6,1.06,0.71,0.92,0.89,0.85,0.64,0.75,0.63,0.83,0.81,0.75,0.78,0.75,0.73,0.81,0.73,0.77,0.75,0.41,0.67,0.77,0.83,0.64,0.66,0.65,0.65,0.62,0.6,0.63,0.63,0.6,0.64,0.54,0.6,0.58,0.56,0.56,0.53,0.53,0.5,0.46,0.42,0.38,0.39,0.37,0.33,0.25,0.23,0.24,0.48,0.0,0.0,0.0,0.0,0.13,0.0,1.13,0.89,0.84,0.88,0.78,0.29,0.24,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,5.19,4.52,4.03,4.61,2.29,2.31,2.23,1.93,1.78,1.25,1.76,1.71,1.67,1.11,1.58,0.0,0.77,1.46,1.37,1.38,1.29,1.33,1.33,1.11,1.29,1.22,1.16,1.04,1.16,1.17,1.15,1.14,1.17,1.1,1.17,1.03,1.1,0.6,1.06,0.71,0.92,0.89,0.85,0.64,0.75,0.63,0.83,0.81,0.75,0.78,0.75,0.73,0.81,0.73,0.77,0.75,0.41,0.67,0.77,0.83,0.64,0.66,0.65,0.65,0.62,0.6,0.63,0.63,0.6,0.64,0.54,0.6,0.58,0.56,0.56,0.53,0.53,0.5,0.46,0.42,0.38,0.39,0.37,0.33,0.25,0.23,0.24,0.48,0.0,0.0,0.0,0.0,0.13,0.0,1.13,0.89,0.84,0.88,0.78,0.29,0.24,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,5.26,4.16,4.07,4.4,2.25,2.32,2.39,1.92,1.79,1.28,1.78,0.0,2.03,1.01,1.61,0.72,0.77,1.54,1.36,1.42,1.27,1.33,1.35,1.02,1.3,1.24,1.17,1.01,1.17,1.2,1.18,1.14,1.17,1.12,1.17,1.05,1.04,0.59,1.08,0.69,0.93,0.91,0.88,0.59,0.76,0.53,0.85,0.79,0.82,0.83,0.73,0.73,0.84,0.74,0.56,0.76,0.42,0.69,0.76,0.84,0.66,0.0,0.63,0.66,0.65,0.6,0.63,0.53,0.64,0.7,0.52,0.6,0.6,0.55,0.58,0.48,0.53,0.52,0.46,0.42,0.38,0.4,0.38,0.34,0.26,0.23,0.25,0.0,0.0,0.0,0.0,0.0,0.13,0.1,1.15,0.88,0.85,0.93,0.74,0.0,0.25,0.0,0.0,1.76,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,5.25,4.2,4.07,4.7,2.16,2.36,2.27,1.94,1.76,1.99,1.72,1.79,2.07,0.77,1.72,0.0,0.81,1.47,1.46,1.36,0.91,1.31,1.39,1.01,1.31,1.22,1.09,0.99,1.16,1.17,1.15,1.1,1.17,1.11,1.15,0.78,1.04,0.47,1.06,0.57,0.96,0.86,0.85,0.61,0.75,0.53,0.83,0.77,0.81,0.81,0.55,0.68,0.8,0.71,0.52,0.76,0.45,0.4,0.74,0.79,0.65,0.67,0.63,0.65,0.61,0.59,0.63,0.51,0.6,0.64,0.55,0.55,0.58,0.58,0.57,0.0,0.5,0.52,0.44,0.41,0.38,0.39,0.37,0.32,0.25,0.22,0.26,0.0,0.0,0.0,0.0,0.0,0.13,0.0,1.12,0.9,0.86,0.93,0.71,1.53,0.25,0.0,0.1,0.0,0.0,0.81,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,5.25,4.2,4.07,4.7,2.16,2.36,2.27,1.94,1.76,1.99,1.72,1.79,2.07,0.77,1.72,0.0,0.81,1.47,1.46,1.36,0.91,1.31,1.39,1.01,1.31,1.22,1.09,0.99,1.16,1.17,1.15,1.1,1.17,1.11,1.15,0.78,1.04,0.47,1.06,0.57,0.96,0.86,0.85,0.61,0.75,0.53,0.83,0.77,0.81,0.81,0.55,0.68,0.8,0.71,0.52,0.76,0.45,0.4,0.74,0.79,0.65,0.67,0.63,0.65,0.61,0.59,0.63,0.51,0.6,0.64,0.55,0.55,0.58,0.58,0.57,0.0,0.5,0.52,0.44,0.41,0.38,0.39,0.37,0.32,0.25,0.22,0.26,0.0,0.0,0.0,0.0,0.0,0.13,0.0,1.12,0.9,0.86,0.93,0.71,1.53,0.25,0.0,0.1,0.0,0.0,0.81,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,5.12,3.96,4.07,4.74,2.22,2.46,2.24,1.58,1.78,2.01,1.7,1.81,2.03,0.74,1.74,1.92,1.13,1.46,1.46,1.34,0.9,1.31,1.39,0.75,1.29,1.23,1.15,1.0,1.16,1.15,1.16,0.88,1.16,1.1,1.14,0.79,1.02,0.0,1.05,0.57,0.94,0.85,0.85,0.57,0.74,0.53,0.82,0.76,0.87,0.8,0.55,0.67,0.79,0.71,0.51,0.77,1.05,0.41,0.73,0.78,0.67,0.67,0.62,0.65,0.62,0.59,0.63,0.5,0.7,0.58,0.52,0.56,0.57,0.58,0.56,0.0,0.49,0.51,0.44,0.41,0.38,0.39,0.38,0.31,0.25,0.22,0.26,0.0,0.0,0.0,0.0,0.0,0.13,0.1,1.08,0.94,0.84,0.96,0.72,0.0,0.25,0.0,0.0,0.0,0.0,0.82,0.38,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
