,DHR,GOOG,SNOW,NET,INTU,UNH,TWLO,SQ,MA,TWTR,DASH,CRM,U,FGXXX,ZTS,ISRG,TMO,PYPL,CSGP,BILL,ADBE,ZM,VEEV,CVNA,BAM,Z,W,TTD,DXCM,V,IT,DDOG,APH,TDG,DG,LYV,ALGN,VRSK,MDB,AMT,IDXX,MRK,SPOT,PINS,RPRX,EL,SHW,GH,TXG,HUBS,SYK,BX,CPRT,ORLY,EFX,WDAY,NKE,NFLX,VRTX,FISV,APO,SUM
12/22/2021,5.39,4.95,4.15,3.97,3.92,3.81,3.74,3.06,3.04,3.02,2.9,2.78,2.38,2.21,2.18,2.18,2.15,2.15,2.1,2.08,2.03,1.78,1.72,1.71,1.66,1.56,1.48,1.47,1.42,1.41,1.38,1.32,1.28,1.27,1.25,1.22,1.21,1.19,1.13,1.05,0.94,0.91,0.88,0.88,0.88,0.86,0.85,0.83,0.81,0.74,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/23/2021,5.34,4.89,4.25,3.99,3.76,3.76,3.86,2.94,2.92,3.02,2.99,2.73,2.46,2.22,2.2,2.17,2.12,2.09,2.09,2.18,1.98,1.94,1.7,1.73,1.62,1.57,1.54,1.5,1.47,1.38,1.31,1.33,1.25,1.28,1.22,1.29,1.21,1.16,1.17,1.05,0.94,0.92,0.9,0.91,0.89,0.82,0.82,0.86,0.83,0.75,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
12/24/2021,5.16,4.78,4.4,4.22,3.73,3.66,3.85,3.06,2.94,3.01,2.96,2.69,2.52,2.14,2.16,2.2,2.04,2.09,2.05,2.23,1.94,1.89,1.73,1.85,1.6,1.58,1.55,1.54,1.48,1.38,1.3,1.39,1.23,1.3,1.19,1.34,1.24,1.12,1.23,1.01,0.94,0.88,0.9,0.9,0.88,0.81,0.79,0.84,0.84,0.75,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
12/27/2021,5.0,4.85,4.42,4.49,4.22,3.3,3.55,3.26,2.56,2.51,3.26,2.82,3.05,2.13,1.99,2.25,1.95,1.91,1.9,2.25,3.28,1.52,1.76,2.73,1.63,0.0,1.57,1.93,1.35,0.8,1.35,1.45,1.26,1.3,1.09,1.19,1.37,1.11,0.95,0.82,0.85,0.86,0.0,0.83,1.23,0.8,0.77,0.72,0.74,0.85,0.0,0.81,0.72,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
12/28/2021,5.0,4.85,4.42,4.49,4.22,3.3,3.55,3.26,2.56,2.51,3.26,2.82,3.05,2.13,1.99,2.25,1.95,1.91,1.9,2.25,3.28,1.52,1.76,2.73,1.63,0.0,1.57,1.93,1.35,0.8,1.35,1.45,1.26,1.3,1.09,1.19,1.37,1.11,0.95,0.82,0.85,0.86,0.0,0.83,1.23,0.8,0.77,0.72,0.74,0.85,0.0,0.81,0.72,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
12/29/2021,5.0,4.84,4.29,4.49,4.23,3.3,3.51,3.25,2.57,2.52,3.34,2.81,3.05,2.12,1.99,2.25,1.93,1.91,1.92,2.2,3.3,1.5,1.75,2.75,1.65,0.0,1.57,1.98,1.34,0.8,1.35,1.45,1.27,1.33,1.09,1.21,1.38,1.11,0.95,0.81,0.86,0.85,0.0,0.83,1.25,0.8,0.77,0.7,0.73,0.85,0.0,0.83,0.72,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
12/30/2021,5.06,4.83,4.29,4.51,4.31,3.3,3.42,3.25,2.55,2.51,3.37,2.85,3.08,2.11,2.01,2.24,1.96,1.89,1.91,2.19,3.32,1.46,1.76,2.63,1.66,0.0,1.51,2.0,1.33,0.79,1.38,1.47,1.29,1.32,1.1,1.21,1.39,1.11,0.96,0.82,0.86,0.86,0.0,0.81,1.24,0.8,0.78,0.68,0.72,0.84,0.0,0.83,0.73,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/31/2021,5.07,4.85,4.21,4.38,4.35,3.37,3.43,3.2,2.59,2.49,3.36,2.86,3.03,2.09,2.02,2.27,1.96,1.9,1.93,2.12,3.32,1.45,1.75,2.69,1.69,0.0,1.49,1.96,1.25,0.81,1.39,1.44,1.31,1.34,1.13,1.23,1.4,1.13,0.94,0.84,0.87,0.87,0.0,0.81,1.26,0.81,0.8,0.7,0.73,0.84,0.0,0.82,0.74,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
01/03/2022,5.12,4.85,4.26,4.39,4.34,3.39,3.41,3.16,2.59,2.46,3.29,2.85,3.05,2.09,2.04,2.27,1.98,1.9,1.93,2.17,3.32,1.43,1.75,2.59,1.69,0.0,1.48,1.92,1.27,0.81,1.4,1.46,1.32,1.34,1.16,1.23,1.39,1.14,0.93,0.84,0.88,0.87,0.0,0.8,1.25,0.82,0.8,0.7,0.73,0.83,0.0,0.8,0.75,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
01/03/2022,5.2,4.96,4.05,4.15,4.29,3.36,3.47,3.07,2.5,2.52,3.31,2.8,2.98,3.47,2.02,2.23,1.91,1.88,1.94,2.13,3.28,1.49,1.7,2.56,1.66,0.0,1.46,1.89,1.27,0.77,1.35,1.38,1.29,1.24,1.14,1.16,1.3,1.1,0.84,0.88,0.95,0.89,0.0,0.84,1.23,0.77,0.78,0.73,0.75,0.87,0.0,0.79,0.73,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
