,CVA,MYRG,GNRC,CLH,WIRE,SPXC,MWA,EME,ROLL,FSS,HUBB,MTZ,APG,FIX,TRS,PWR,ACA,ECOL,AQUA,PLOW,ASTE,NVEE,WNC,PRIM,SHYF,ATKR,POWL,STRL,ROAD,HCCI,NWPX,SHLS,DY,PRLB,BLBD,BBCP,MEC,TPC,ARRY,WTBA,QCRH,SRCE,FFBC,MOFG,MBWM,FCF,FNB,ASB,HTLF,THFF,FULT,ONB,FRME,FMBI,PRK,LKFN,PEBO,MCBC,GABC,US Dollar,Us Dollars,AGX,GLDD,FTCI,IEA,WTFC,FTC Solar Inc,n/a,SUM
07/09/2021,4.02,3.78,3.55,3.24,3.19,3.18,3.17,3.13,3.1,3.06,3.04,2.99,2.97,2.94,2.92,2.86,2.75,2.73,2.69,2.64,2.42,2.31,2.3,2.15,2.15,1.97,1.76,1.61,1.58,1.54,1.34,1.19,1.05,1.04,1.02,0.94,0.81,0.73,0.65,0.56,0.5,0.49,0.49,0.48,0.48,0.48,0.48,0.47,0.47,0.46,0.46,0.46,0.45,0.45,0.45,0.44,0.44,0.43,0.4,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
07/12/2021,3.97,3.85,3.56,3.23,3.15,3.25,3.21,3.15,3.09,3.09,3.11,3.0,2.91,2.97,2.96,2.88,2.7,2.68,2.63,2.64,2.47,2.3,2.32,2.17,2.23,1.99,1.79,1.62,1.57,1.52,1.28,1.15,1.01,1.05,1.05,0.91,0.78,0.73,0.64,0.56,0.5,0.48,0.48,0.48,0.47,0.49,0.48,0.47,0.47,0.45,0.47,0.45,0.45,0.45,0.46,0.45,0.44,0.44,0.41,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/13/2021,3.97,3.85,3.56,3.23,3.15,3.25,3.21,3.15,3.09,3.09,3.11,3.0,2.91,2.97,2.96,2.88,2.7,2.68,2.63,2.64,2.47,2.3,2.32,2.17,2.23,1.99,1.79,1.62,1.57,1.52,1.28,1.15,1.01,1.05,1.05,0.91,0.78,0.73,0.64,0.56,0.5,0.48,0.48,0.48,0.47,0.49,0.48,0.47,0.47,0.45,0.47,0.45,0.45,0.45,0.46,0.45,0.44,0.44,0.41,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/14/2021,3.97,3.85,3.56,3.23,3.14,3.25,3.21,3.15,3.08,3.09,3.11,3.0,2.9,2.97,2.96,2.88,2.7,2.68,2.63,2.64,2.47,2.3,2.31,2.17,2.23,1.99,1.79,1.62,1.57,1.52,1.28,1.15,1.01,1.05,1.05,0.91,0.78,0.73,0.64,0.56,0.5,0.48,0.48,0.48,0.47,0.49,0.48,0.47,0.47,0.45,0.47,0.45,0.44,0.45,0.46,0.45,0.44,0.44,0.41,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/15/2021,4.16,3.87,3.63,3.25,3.08,3.26,3.2,3.15,3.08,3.06,3.11,3.0,2.91,2.94,2.99,2.88,2.69,2.65,2.6,2.62,2.46,2.3,2.32,2.15,2.22,1.97,1.76,1.59,1.56,1.5,1.36,1.14,1.0,1.01,1.06,0.89,0.78,0.73,0.64,0.56,0.49,0.47,0.48,0.48,0.47,0.49,0.48,0.47,0.47,0.45,0.47,0.45,0.44,0.45,0.45,0.45,0.44,0.43,0.41,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/16/2021,4.19,3.91,3.67,3.25,3.06,3.28,3.25,3.16,3.05,3.05,3.12,3.01,2.89,2.95,3.03,2.9,2.69,2.59,2.58,2.61,2.45,2.34,2.29,2.17,2.22,1.98,1.76,1.59,1.57,1.5,1.37,0.99,1.01,1.02,1.07,0.91,0.8,0.74,0.63,0.57,0.49,0.47,0.47,0.48,0.47,0.49,0.47,0.47,0.47,0.45,0.47,0.45,0.44,0.44,0.46,0.44,0.44,0.43,0.4,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
07/19/2021,4.52,3.9,3.59,3.25,3.06,3.3,3.26,3.18,3.12,3.06,3.2,2.97,2.83,2.91,2.97,2.87,2.63,2.6,2.53,2.65,2.43,2.29,2.3,2.17,2.2,2.0,1.71,1.58,1.6,1.47,1.32,0.91,0.99,0.97,1.08,0.93,0.77,0.75,0.57,0.58,0.51,0.48,0.48,0.5,0.49,0.5,0.47,0.48,0.48,0.46,0.48,0.46,0.45,0.45,0.47,0.45,0.45,0.45,0.41,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,4.59,3.86,3.6,3.29,3.03,3.31,3.23,3.15,3.12,3.07,3.21,2.93,2.81,2.87,2.94,2.89,2.61,2.67,2.57,2.62,2.41,2.34,2.29,2.18,2.16,2.0,1.75,1.55,1.61,1.48,1.38,0.91,0.97,1.0,1.09,0.94,0.78,0.74,0.56,0.58,0.51,0.48,0.48,0.49,0.49,0.49,0.46,0.47,0.47,0.46,0.47,0.45,0.45,0.45,0.46,0.45,0.44,0.45,0.41,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/21/2021,4.59,3.86,3.6,3.29,3.03,3.31,3.23,3.15,3.12,3.07,3.21,2.93,2.81,2.87,2.94,2.89,2.61,2.67,2.57,2.62,2.41,2.34,2.29,2.18,2.16,2.0,1.75,1.55,1.61,1.48,1.38,0.91,0.97,1.0,1.09,0.94,0.78,0.74,0.56,0.58,0.51,0.48,0.48,0.49,0.49,0.49,0.46,0.47,0.47,0.46,0.47,0.45,0.45,0.45,0.46,0.45,0.44,0.45,0.41,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/22/2021,4.59,3.86,3.6,3.29,3.03,3.31,3.23,3.15,3.12,3.07,3.21,2.93,2.81,2.87,2.94,2.89,2.61,2.67,2.57,2.62,2.41,2.34,2.29,2.18,2.16,2.0,1.75,1.55,1.61,1.48,1.38,0.91,0.97,1.0,1.09,0.94,0.78,0.74,0.56,0.58,0.51,0.48,0.48,0.49,0.49,0.49,0.46,0.47,0.47,0.46,0.47,0.45,0.45,0.45,0.46,0.45,0.44,0.45,0.41,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
