,3690.HK,ADBE,MSFT,FB,AAPL,NFLX,GIVN.SW,ROG.SW,GOOGL,AMZN,9988.HK,IFF,NVDA,DHR,KRZ.IR,ABT,CTVA,DE,MKC,ATVI,DHER.DE,BKNG,700.HK,JNJ,MDT,ALNY,V,ISRG,ABBV,PDD,MA,PYPL,FMC,EBAY,NVAX,SYK,TMO,SY1.DE,MRNA,PINS,EA,TSM,BMY,EW,CRM,2269.HK,CSCO,BYND,ANSS,ACN,SMG,AGCO,DXCM,TMX,SSU.,RMD,SE,SPT,ZBH,SAP.DE,PRFT,QCOM,UPWK,NOW,NEOG,ORCL,Cash,GME,BTOW3.SA,MU,BILI,SQ,CERN,INTC,TDOC,EMBRAC B.ST,SXT,AMD,ZNGA,002555.SZ,ZM,TTWO,EQIX,TFX,TECH,NTLA,NUAN,EBS,2454.TW,ABMD,SMPL,CRBN.AS,MASI,CRWD,WDAY,VEEV,EDIT,QGEN,CRSP,RIOT,TWST,PACB,PANW,NET,TTD,LSPD.TO,PHR,MSTR,FTNT,MARA,1548.HK,BB.TO,NVTA,NSTG,BLUE,CLDR,ZS,NTNX,CRNC,VC,SYNA,TNDM,QDEL,SWAV,OKTA,MXL,NVRO,MYGN,RPD,HUBS,NVEI.TO,GMED,VCYT,PCTY,AMBA,MEDP,EGHT,MRTX,DBX,CHKP,COR,MIME,INOV,QTWO,PTC,ICUI,CGNX,096530.KQ,ALTR,BL,GDDY,CYBR,ACHC,AVST.L,PINC,FOUR,2013.HK,VRSN,COUP,QLYS,TENB,CCOI,ONEM,NLOK,NUVA,KC,PFPT,IART,VMW,GDS,FEYE,ALLO,RARE,EEFT,300454.SZ,SUM
07/09/2021,2.25,2.23,2.04,2.03,2.01,1.98,1.98,1.97,1.97,1.95,1.93,1.93,1.91,1.88,1.87,1.82,1.81,1.8,1.8,1.79,1.77,1.76,1.75,1.71,1.69,1.68,1.55,1.54,1.48,1.38,1.26,1.25,1.21,1.17,1.16,1.14,1.14,1.13,1.04,1.03,1.01,0.96,0.96,0.91,0.87,0.87,0.86,0.76,0.74,0.72,0.65,0.64,0.58,0.54,0.51,0.5,0.48,0.47,0.47,0.45,0.45,0.44,0.44,0.42,0.42,0.41,0.41,0.39,0.38,0.37,0.36,0.36,0.34,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.28,0.26,0.24,0.24,0.22,0.2,0.2,0.2,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,100.04
07/12/2021,2.25,2.23,2.04,2.03,2.01,1.98,1.98,1.97,1.97,1.95,1.93,1.93,1.91,1.88,1.87,1.82,1.81,1.8,1.8,1.79,1.77,1.76,1.75,1.71,1.69,1.68,1.55,1.54,1.48,1.38,1.26,1.25,1.21,1.17,1.16,1.14,1.14,1.13,1.04,1.03,1.01,0.96,0.96,0.91,0.87,0.87,0.86,0.76,0.74,0.72,0.65,0.64,0.58,0.54,0.51,0.5,0.48,0.47,0.47,0.45,0.45,0.44,0.44,0.42,0.42,0.41,0.41,0.39,0.38,0.37,0.36,0.36,0.34,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.28,0.26,0.24,0.24,0.22,0.2,0.2,0.2,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,100.04
07/13/2021,2.25,2.23,2.04,2.03,2.01,1.98,1.98,1.97,1.97,1.95,1.93,1.93,1.91,1.88,1.87,1.82,1.81,1.8,1.8,1.79,1.77,1.76,1.75,1.71,1.69,1.68,1.55,1.54,1.48,1.38,1.26,1.25,1.21,1.17,1.16,1.14,1.14,1.13,1.04,1.03,1.01,0.96,0.96,0.91,0.87,0.87,0.86,0.76,0.74,0.72,0.65,0.64,0.58,0.54,0.51,0.5,0.48,0.47,0.47,0.45,0.45,0.44,0.44,0.42,0.42,0.41,0.41,0.39,0.38,0.37,0.36,0.36,0.34,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.28,0.26,0.24,0.24,0.22,0.2,0.2,0.2,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,100.04
07/14/2021,2.25,2.23,2.04,2.03,2.01,1.98,1.98,1.97,1.97,1.95,1.93,1.93,1.91,1.88,1.87,1.82,1.81,1.8,1.8,1.79,1.77,1.76,1.75,1.71,1.69,1.68,1.55,1.54,1.48,1.38,1.26,1.25,1.21,1.17,1.16,1.14,1.14,1.13,1.04,1.03,1.01,0.96,0.96,0.91,0.87,0.87,0.86,0.76,0.74,0.72,0.65,0.64,0.58,0.54,0.51,0.5,0.48,0.47,0.47,0.45,0.45,0.44,0.44,0.42,0.42,0.41,0.41,0.39,0.38,0.37,0.36,0.36,0.34,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.28,0.26,0.24,0.24,0.22,0.2,0.2,0.2,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,100.04
07/15/2021,2.25,2.23,2.04,2.03,2.01,1.98,1.98,1.97,1.97,1.95,1.93,1.93,1.91,1.88,1.87,1.82,1.81,1.8,1.8,1.79,1.77,1.76,1.75,1.71,1.69,1.68,1.55,1.54,1.48,1.38,1.26,1.25,1.21,1.17,1.16,1.14,1.14,1.13,1.04,1.03,1.01,0.96,0.96,0.91,0.87,0.87,0.86,0.76,0.74,0.72,0.65,0.64,0.58,0.54,0.51,0.5,0.48,0.47,0.47,0.45,0.45,0.44,0.44,0.42,0.42,0.41,0.41,0.39,0.38,0.37,0.36,0.36,0.34,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.28,0.26,0.24,0.24,0.22,0.2,0.2,0.2,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,100.04
07/16/2021,2.25,2.23,2.04,2.03,2.01,1.98,1.98,1.97,1.97,1.95,1.93,1.93,1.91,1.88,1.87,1.82,1.81,1.8,1.8,1.79,1.77,1.76,1.75,1.71,1.69,1.68,1.55,1.54,1.48,1.38,1.26,1.25,1.21,1.17,1.16,1.14,1.14,1.13,1.04,1.03,1.01,0.96,0.96,0.91,0.87,0.87,0.86,0.76,0.74,0.72,0.65,0.64,0.58,0.54,0.51,0.5,0.48,0.47,0.47,0.45,0.45,0.44,0.44,0.42,0.42,0.41,0.41,0.39,0.38,0.37,0.36,0.36,0.34,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.28,0.26,0.24,0.24,0.22,0.2,0.2,0.2,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,100.04
07/19/2021,2.25,2.23,2.04,2.03,2.01,1.98,1.98,1.97,1.97,1.95,1.93,1.93,1.91,1.88,1.87,1.82,1.81,1.8,1.8,1.79,1.77,1.76,1.75,1.71,1.69,1.68,1.55,1.54,1.48,1.38,1.26,1.25,1.21,1.17,1.16,1.14,1.14,1.13,1.04,1.03,1.01,0.96,0.96,0.91,0.87,0.87,0.86,0.76,0.74,0.72,0.65,0.64,0.58,0.54,0.51,0.5,0.48,0.47,0.47,0.45,0.45,0.44,0.44,0.42,0.42,0.41,0.41,0.39,0.38,0.37,0.36,0.36,0.34,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.28,0.26,0.24,0.24,0.22,0.2,0.2,0.2,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,100.04
07/20/2021,2.25,2.23,2.04,2.03,2.01,1.98,1.98,1.97,1.97,1.95,1.93,1.93,1.91,1.88,1.87,1.82,1.81,1.8,1.8,1.79,1.77,1.76,1.75,1.71,1.69,1.68,1.55,1.54,1.48,1.38,1.26,1.25,1.21,1.17,1.16,1.14,1.14,1.13,1.04,1.03,1.01,0.96,0.96,0.91,0.87,0.87,0.86,0.76,0.74,0.72,0.65,0.64,0.58,0.54,0.51,0.5,0.48,0.47,0.47,0.45,0.45,0.44,0.44,0.42,0.42,0.41,0.41,0.39,0.38,0.37,0.36,0.36,0.34,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.28,0.26,0.24,0.24,0.22,0.2,0.2,0.2,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,100.04
07/21/2021,2.25,2.23,2.04,2.03,2.01,1.98,1.98,1.97,1.97,1.95,1.93,1.93,1.91,1.88,1.87,1.82,1.81,1.8,1.8,1.79,1.77,1.76,1.75,1.71,1.69,1.68,1.55,1.54,1.48,1.38,1.26,1.25,1.21,1.17,1.16,1.14,1.14,1.13,1.04,1.03,1.01,0.96,0.96,0.91,0.87,0.87,0.86,0.76,0.74,0.72,0.65,0.64,0.58,0.54,0.51,0.5,0.48,0.47,0.47,0.45,0.45,0.44,0.44,0.42,0.42,0.41,0.41,0.39,0.38,0.37,0.36,0.36,0.34,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.28,0.26,0.24,0.24,0.22,0.2,0.2,0.2,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,100.04
07/22/2021,2.25,2.23,2.04,2.03,2.01,1.98,1.98,1.97,1.97,1.95,1.93,1.93,1.91,1.88,1.87,1.82,1.81,1.8,1.8,1.79,1.77,1.76,1.75,1.71,1.69,1.68,1.55,1.54,1.48,1.38,1.26,1.25,1.21,1.17,1.16,1.14,1.14,1.13,1.04,1.03,1.01,0.96,0.96,0.91,0.87,0.87,0.86,0.76,0.74,0.72,0.65,0.64,0.58,0.54,0.51,0.5,0.48,0.47,0.47,0.45,0.45,0.44,0.44,0.42,0.42,0.41,0.41,0.39,0.38,0.37,0.36,0.36,0.34,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.28,0.26,0.24,0.24,0.22,0.2,0.2,0.2,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,100.04
