,ALXN,WBT,WORK,Adimss Trs Usd R V 01mfedl0 Fedl01-40.00bps,MXIM,Amdmss Trs Usd R V 01mfedl Fedl01m-40 Bps,Omss Trs Usd R V 01mfedl0 Fedl01m-40 Bps,VER,NUAN,XLNX,Spgimss Trs Usd R V 01mfedl Fedl01m-40bps,Midmss Trs Usd R V 01mfedl0 Fedl01m-40 Bps,PFPT,INFO,PPD,GRA,UFS,CLGX,CHNG,Aznmss Trs Usd R V 01mfedl Fedl01m-40 Bps,MORGAN STANLEY PRIME BROKER US,WRI,GRUB,CMD,KNL,Hbanmss Trs Usd R V 01mfedl Fedl01m-40 Bps,TCF,FOE,PNM,Mtbmss Trs Usd R V 01mfedl Fedl01m-40bps,COHR,PBCT,TIK1V.HE,Fcncamss Trs Usd R V 01mfedl Fedl01m-40bps,CIT,PRAH,Kimmss Trs Usd R V 01mfedl Fedl01m-40bps,RSA.L,Stemss Trs Usd R V 01mfedl Fedl01m-40 Bps,CTB,DLG.DE,AJRD,NAV,BPFH,LMNX,Agkms Trs Gbp R E Agk Ln Re,TLND,ORBC,MGLN,CATM,Morgan Stanley Instl Lqudty Govt Instl,Ssc Government Mm Gvmxx,Sivbmss Trs Usd R V 01mfedl Fedl01m-40bps,Crmmss Trs Usd R V 01mfedl Fedl01m-40bps,Mlhrmss Trs Usd R V 01mfedl Fedl01m-40bps,WIFI,Indmss Trs Usd R V 01mfedl0 Fedl01m-40 Bps,SPWH,EBSB,GC.TO,Iclrmss Trs Usd R V 01mfedl Fedl01m-40bps,Fvimss Trs Cad R V 01mcabro Cabrover01m-40 Bps,ROXG.TO,SOLY,Etmss Trs Usd R V 01mfedl Fedl01/-40.00 Bps,STL,PHO.TO,ENBL,FRTA,EKT.MC,Wbsmss Trs Usd R V 01mfedl Fedl01m-40bps,Bceimss Trs Usd R V 01mfedl Fedl01m-40bps,Gysms Trs Gbp R E Gys Ln Re,XOG,Signature Aviation PLC,Baml Cash Collateral Payment On Pledged Shares,Nycmss Trs Usd R V 01mfedl0 Fedl01m-40 Bps,SJR.B.TO,FBC,Wsfsmss Trs Usd R V 01mfedl Fedl01m-40bps,BMTC,ASL.DE,MRLN,Cad,MFNC,CNBKA,Gtmss Trs Usd R V 01mfedl Fedl01m-40bps,Iivimss Trs Usd R V 01mfedl Fedl01m-40bps,LEAF,Arwms Trs Gbp R E Arw Ln Re,FLY,ADAPT.ST,Ncbsmss Trs Usd R V 01mfedl Fedl01m-40bps,AFHP.L,SPI.VI,Rsams Trs Gbp R E Re Rsa Ln,Pebomss Trs Usd R V 01mfedl Fedl01m-40bps,PFBI,TEV.TO,Sesmss Trs Cad R V 01mcabro Cabrover01m-105bps,Bancmss Trs Usd R V 01mfedl Fedl01m-40bps,PMBC,PTVCB,PROS,Swap Bank Of America Coc Swap Cash Collateral Usd,Morgan Stanley Cash Collateral Payment On Pledged Shares,Gbp,Eur,Ncbsmsss Trs Usd P V 01mfedl Fedl01m-40bps,Kimmsss Trs Usd P V 01mfedl Fedl01m-40bps,Bceimsss Trs Usd P V 01mfedl Fedl01m-40bps,Sesmsss Trs Cad P V 01mcabro Cabrover01m-105bps,Wsfsmsss Trs Usd P V 01mfedl Fedl01m-40bps,Mlhrmsss Trs Usd P V 01mfedl Fedl01m-40bps,Wbsmsss Trs Usd P V 01mfedl Fedl01m-40bps,Bancmsss Trs Usd P V 01mfedl Fedl01m-40bps,Iivimsss Trs Usd P V 01mfedl Fedl01m-40bps,Pebomsss Trs Usd P V 01mfedl Fedl01m-40bps,Etmsss Trs Usd P V 01mfedl Fedl01m-40bps,Gtmsss Trs Usd P V 01mfedl Fedl01m-40bps,Iclrmsss Trs Usd P V 01mfedl Fedl01m-40bps,Adimsss Trs Usd P V 01mfedl Fedl 01m/-40.00 Bps,MORGAN STANLEY PRIME BROKER EU,Usd,Bancmss Trs Usd P E Banc Us Pe,Sesmss Trs Cad P E Ses Cn Pe,Pebomss Trs Usd P E Pebo Us Pe,Rsams Trs Gbp P V 01msonia Sonia001m+ 54 Bps,Ncbsmss Trs Usd P E Ncbs Us Pe,Arwms Trs Gbp P V 01msonio Sonio01m+179bps,Iivimss Trs Usd P E Iivi Us Pe,Gtmss Trs Usd P E Gt Us Pe,Wsfsmss Trs Usd P E Wsfs Us Pe,Nycmss Trs Usd P E Nycb Us Pe,Gysms Trs Gbp P V 01msonia Sonia01m+94bps,Bceimss Trs Usd P E Bcei Uspe,Wbsmss Trs Usd P E Wbs Us Pe,Etmss Trs Usd P E Et Us Swap/Us29273v1008,Fvimss Trs Cad P E Fvi Cn Pe,Iclrmss Trs Usd P E Iclr Us Pe,Indmss Trs Usd P E Indb Us Re,Mlhrmss Trs Usd P E Mlhr Us Pe,Crmmss Trs Usd P E Crm Us Pe,Sivbmss Trs Usd P E Sivb Us Pe,Agkms Trs Gbp P V 01msonia Sonio/N+94bps,Stemss Trs Usd P E Ste Us Re,Kimmss Trs Usd P E Kim Us Pe,Fcncamss Trs Usd P E Fcnca Us Re,Mtbmss Trs Usd P E Mtb Us Pe,Hbanmss Trs Usd P E Hban Us Pe,TKWY.AS,Aznmss Trs Usd P E Azn Us Re,Midmss Trs Usd P E Midd Us Pe,Spgimss Trs Usd P E Spgi Us Pe,Omss Trs Usd P E O Us Pe,Amdmss Trs Usd P E Amd Us Pe,Adimss Trs Usd P E Us0326541051/Adi Us,SUM
07/09/2021,3.11,2.94,2.83,2.81,2.77,2.74,2.71,2.67,2.55,2.52,2.46,2.43,2.4,2.4,2.38,2.37,2.37,2.36,2.23,2.14,2.12,2.0,1.98,1.98,1.97,1.96,1.96,1.93,1.92,1.92,1.92,1.92,1.91,1.9,1.9,1.87,1.83,1.6,1.57,1.56,1.54,1.51,1.5,1.49,1.45,1.45,1.45,1.44,1.44,1.44,1.3,1.3,1.29,1.19,1.16,1.08,1.06,1.04,1.04,1.04,1.01,1.01,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.94,0.92,0.92,0.89,0.87,0.74,0.72,0.7,0.54,0.54,0.52,0.5,0.5,0.5,0.48,0.47,0.45,0.45,0.45,0.44,0.42,0.4,0.38,0.36,0.32,0.3,0.3,0.29,0.29,0.29,0.28,0.26,0.25,0.18,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29,-0.29,-0.3,-0.32,-0.4,-0.45,-0.45,-0.47,-0.54,-0.74,-0.92,-0.94,-0.95,-0.96,-1.01,-1.01,-1.06,-1.16,-1.19,-1.29,-1.45,-1.57,-1.83,-1.9,-1.92,-1.96,-2.0,-2.14,-2.43,-2.46,-2.71,-2.74,-2.81,100.01000000000002
07/12/2021,3.11,2.94,2.83,2.81,2.77,2.74,2.71,2.67,2.55,2.52,2.46,2.43,2.4,2.4,2.38,2.37,2.37,2.36,2.23,2.14,2.12,2.0,1.98,1.98,1.97,1.96,1.96,1.93,1.92,1.92,1.92,1.92,1.91,1.9,1.9,1.87,1.83,1.6,1.57,1.56,1.54,1.51,1.5,1.49,1.45,1.45,1.45,1.44,1.44,1.44,1.3,1.3,1.29,1.19,1.16,1.08,1.06,1.04,1.04,1.04,1.01,1.01,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.94,0.92,0.92,0.89,0.87,0.74,0.72,0.7,0.54,0.54,0.52,0.5,0.5,0.5,0.48,0.47,0.45,0.45,0.45,0.44,0.42,0.4,0.38,0.36,0.32,0.3,0.3,0.29,0.29,0.29,0.28,0.26,0.25,0.18,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29,-0.29,-0.3,-0.32,-0.4,-0.45,-0.45,-0.47,-0.54,-0.74,-0.92,-0.94,-0.95,-0.96,-1.01,-1.01,-1.06,-1.16,-1.19,-1.29,-1.45,-1.57,-1.83,-1.9,-1.92,-1.96,-2.0,-2.14,-2.43,-2.46,-2.71,-2.74,-2.81,100.01000000000002
07/13/2021,3.11,2.94,2.83,2.81,2.77,2.74,2.71,2.67,2.55,2.52,2.46,2.43,2.4,2.4,2.38,2.37,2.37,2.36,2.23,2.14,2.12,2.0,1.98,1.98,1.97,1.96,1.96,1.93,1.92,1.92,1.92,1.92,1.91,1.9,1.9,1.87,1.83,1.6,1.57,1.56,1.54,1.51,1.5,1.49,1.45,1.45,1.45,1.44,1.44,1.44,1.3,1.3,1.29,1.19,1.16,1.08,1.06,1.04,1.04,1.04,1.01,1.01,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.94,0.92,0.92,0.89,0.87,0.74,0.72,0.7,0.54,0.54,0.52,0.5,0.5,0.5,0.48,0.47,0.45,0.45,0.45,0.44,0.42,0.4,0.38,0.36,0.32,0.3,0.3,0.29,0.29,0.29,0.28,0.26,0.25,0.18,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29,-0.29,-0.3,-0.32,-0.4,-0.45,-0.45,-0.47,-0.54,-0.74,-0.92,-0.94,-0.95,-0.96,-1.01,-1.01,-1.06,-1.16,-1.19,-1.29,-1.45,-1.57,-1.83,-1.9,-1.92,-1.96,-2.0,-2.14,-2.43,-2.46,-2.71,-2.74,-2.81,100.01000000000002
07/14/2021,3.11,2.94,2.83,2.81,2.77,2.74,2.71,2.67,2.55,2.52,2.46,2.43,2.4,2.4,2.38,2.37,2.37,2.36,2.23,2.14,2.12,2.0,1.98,1.98,1.97,1.96,1.96,1.93,1.92,1.92,1.92,1.92,1.91,1.9,1.9,1.87,1.83,1.6,1.57,1.56,1.54,1.51,1.5,1.49,1.45,1.45,1.45,1.44,1.44,1.44,1.3,1.3,1.29,1.19,1.16,1.08,1.06,1.04,1.04,1.04,1.01,1.01,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.94,0.92,0.92,0.89,0.87,0.74,0.72,0.7,0.54,0.54,0.52,0.5,0.5,0.5,0.48,0.47,0.45,0.45,0.45,0.44,0.42,0.4,0.38,0.36,0.32,0.3,0.3,0.29,0.29,0.29,0.28,0.26,0.25,0.18,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29,-0.29,-0.3,-0.32,-0.4,-0.45,-0.45,-0.47,-0.54,-0.74,-0.92,-0.94,-0.95,-0.96,-1.01,-1.01,-1.06,-1.16,-1.19,-1.29,-1.45,-1.57,-1.83,-1.9,-1.92,-1.96,-2.0,-2.14,-2.43,-2.46,-2.71,-2.74,-2.81,100.01000000000002
07/15/2021,3.11,2.94,2.83,2.81,2.77,2.74,2.71,2.67,2.55,2.52,2.46,2.43,2.4,2.4,2.38,2.37,2.37,2.36,2.23,2.14,2.12,2.0,1.98,1.98,1.97,1.96,1.96,1.93,1.92,1.92,1.92,1.92,1.91,1.9,1.9,1.87,1.83,1.6,1.57,1.56,1.54,1.51,1.5,1.49,1.45,1.45,1.45,1.44,1.44,1.44,1.3,1.3,1.29,1.19,1.16,1.08,1.06,1.04,1.04,1.04,1.01,1.01,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.94,0.92,0.92,0.89,0.87,0.74,0.72,0.7,0.54,0.54,0.52,0.5,0.5,0.5,0.48,0.47,0.45,0.45,0.45,0.44,0.42,0.4,0.38,0.36,0.32,0.3,0.3,0.29,0.29,0.29,0.28,0.26,0.25,0.18,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29,-0.29,-0.3,-0.32,-0.4,-0.45,-0.45,-0.47,-0.54,-0.74,-0.92,-0.94,-0.95,-0.96,-1.01,-1.01,-1.06,-1.16,-1.19,-1.29,-1.45,-1.57,-1.83,-1.9,-1.92,-1.96,-2.0,-2.14,-2.43,-2.46,-2.71,-2.74,-2.81,100.01000000000002
07/16/2021,3.11,2.94,2.83,2.81,2.77,2.74,2.71,2.67,2.55,2.52,2.46,2.43,2.4,2.4,2.38,2.37,2.37,2.36,2.23,2.14,2.12,2.0,1.98,1.98,1.97,1.96,1.96,1.93,1.92,1.92,1.92,1.92,1.91,1.9,1.9,1.87,1.83,1.6,1.57,1.56,1.54,1.51,1.5,1.49,1.45,1.45,1.45,1.44,1.44,1.44,1.3,1.3,1.29,1.19,1.16,1.08,1.06,1.04,1.04,1.04,1.01,1.01,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.94,0.92,0.92,0.89,0.87,0.74,0.72,0.7,0.54,0.54,0.52,0.5,0.5,0.5,0.48,0.47,0.45,0.45,0.45,0.44,0.42,0.4,0.38,0.36,0.32,0.3,0.3,0.29,0.29,0.29,0.28,0.26,0.25,0.18,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29,-0.29,-0.3,-0.32,-0.4,-0.45,-0.45,-0.47,-0.54,-0.74,-0.92,-0.94,-0.95,-0.96,-1.01,-1.01,-1.06,-1.16,-1.19,-1.29,-1.45,-1.57,-1.83,-1.9,-1.92,-1.96,-2.0,-2.14,-2.43,-2.46,-2.71,-2.74,-2.81,100.01000000000002
07/19/2021,3.11,2.94,2.83,2.81,2.77,2.74,2.71,2.67,2.55,2.52,2.46,2.43,2.4,2.4,2.38,2.37,2.37,2.36,2.23,2.14,2.12,2.0,1.98,1.98,1.97,1.96,1.96,1.93,1.92,1.92,1.92,1.92,1.91,1.9,1.9,1.87,1.83,1.6,1.57,1.56,1.54,1.51,1.5,1.49,1.45,1.45,1.45,1.44,1.44,1.44,1.3,1.3,1.29,1.19,1.16,1.08,1.06,1.04,1.04,1.04,1.01,1.01,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.94,0.92,0.92,0.89,0.87,0.74,0.72,0.7,0.54,0.54,0.52,0.5,0.5,0.5,0.48,0.47,0.45,0.45,0.45,0.44,0.42,0.4,0.38,0.36,0.32,0.3,0.3,0.29,0.29,0.29,0.28,0.26,0.25,0.18,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29,-0.29,-0.3,-0.32,-0.4,-0.45,-0.45,-0.47,-0.54,-0.74,-0.92,-0.94,-0.95,-0.96,-1.01,-1.01,-1.06,-1.16,-1.19,-1.29,-1.45,-1.57,-1.83,-1.9,-1.92,-1.96,-2.0,-2.14,-2.43,-2.46,-2.71,-2.74,-2.81,100.01000000000002
07/20/2021,3.11,2.94,2.83,2.81,2.77,2.74,2.71,2.67,2.55,2.52,2.46,2.43,2.4,2.4,2.38,2.37,2.37,2.36,2.23,2.14,2.12,2.0,1.98,1.98,1.97,1.96,1.96,1.93,1.92,1.92,1.92,1.92,1.91,1.9,1.9,1.87,1.83,1.6,1.57,1.56,1.54,1.51,1.5,1.49,1.45,1.45,1.45,1.44,1.44,1.44,1.3,1.3,1.29,1.19,1.16,1.08,1.06,1.04,1.04,1.04,1.01,1.01,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.94,0.92,0.92,0.89,0.87,0.74,0.72,0.7,0.54,0.54,0.52,0.5,0.5,0.5,0.48,0.47,0.45,0.45,0.45,0.44,0.42,0.4,0.38,0.36,0.32,0.3,0.3,0.29,0.29,0.29,0.28,0.26,0.25,0.18,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29,-0.29,-0.3,-0.32,-0.4,-0.45,-0.45,-0.47,-0.54,-0.74,-0.92,-0.94,-0.95,-0.96,-1.01,-1.01,-1.06,-1.16,-1.19,-1.29,-1.45,-1.57,-1.83,-1.9,-1.92,-1.96,-2.0,-2.14,-2.43,-2.46,-2.71,-2.74,-2.81,100.01000000000002
07/21/2021,3.11,2.94,2.83,2.81,2.77,2.74,2.71,2.67,2.55,2.52,2.46,2.43,2.4,2.4,2.38,2.37,2.37,2.36,2.23,2.14,2.12,2.0,1.98,1.98,1.97,1.96,1.96,1.93,1.92,1.92,1.92,1.92,1.91,1.9,1.9,1.87,1.83,1.6,1.57,1.56,1.54,1.51,1.5,1.49,1.45,1.45,1.45,1.44,1.44,1.44,1.3,1.3,1.29,1.19,1.16,1.08,1.06,1.04,1.04,1.04,1.01,1.01,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.94,0.92,0.92,0.89,0.87,0.74,0.72,0.7,0.54,0.54,0.52,0.5,0.5,0.5,0.48,0.47,0.45,0.45,0.45,0.44,0.42,0.4,0.38,0.36,0.32,0.3,0.3,0.29,0.29,0.29,0.28,0.26,0.25,0.18,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29,-0.29,-0.3,-0.32,-0.4,-0.45,-0.45,-0.47,-0.54,-0.74,-0.92,-0.94,-0.95,-0.96,-1.01,-1.01,-1.06,-1.16,-1.19,-1.29,-1.45,-1.57,-1.83,-1.9,-1.92,-1.96,-2.0,-2.14,-2.43,-2.46,-2.71,-2.74,-2.81,100.01000000000002
07/22/2021,3.11,2.94,2.83,2.81,2.77,2.74,2.71,2.67,2.55,2.52,2.46,2.43,2.4,2.4,2.38,2.37,2.37,2.36,2.23,2.14,2.12,2.0,1.98,1.98,1.97,1.96,1.96,1.93,1.92,1.92,1.92,1.92,1.91,1.9,1.9,1.87,1.83,1.6,1.57,1.56,1.54,1.51,1.5,1.49,1.45,1.45,1.45,1.44,1.44,1.44,1.3,1.3,1.29,1.19,1.16,1.08,1.06,1.04,1.04,1.04,1.01,1.01,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.94,0.92,0.92,0.89,0.87,0.74,0.72,0.7,0.54,0.54,0.52,0.5,0.5,0.5,0.48,0.47,0.45,0.45,0.45,0.44,0.42,0.4,0.38,0.36,0.32,0.3,0.3,0.29,0.29,0.29,0.28,0.26,0.25,0.18,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29,-0.29,-0.3,-0.32,-0.4,-0.45,-0.45,-0.47,-0.54,-0.74,-0.92,-0.94,-0.95,-0.96,-1.01,-1.01,-1.06,-1.16,-1.19,-1.29,-1.45,-1.57,-1.83,-1.9,-1.92,-1.96,-2.0,-2.14,-2.43,-2.46,-2.71,-2.74,-2.81,100.01000000000002
