,D05.SI,O39.SI,U11.SI,BBCA.JK,PTT-R TB,PBBANK.KL,BBRI.JK,ST,MAYBANK.KL,SCC-R TB,SM.PM,CPALL-R TB,TLKM.JK,TENAGA.KL,AOT-R TB,CIMB.KL,BMRI.JK,F34.SI,KBANK-R TB,SCB-R TB,C31.SI,C38U.SI,ASII.JK,SMPH.PM,BDMS-R TB,ADVANC-R TB,ALI.PM,PCHEM.KL,AC.PM,PTTEP-R TB,TOPGLOV.KL,DELTA-R TB,C6L.SI,BDO.PM,GULF-R TB,IHH.KL,SIMEPLT.KL,HARTA.KL,UNVR.JK,HMSP.JK,CASH,Z74.SI,HMSP IJ,SUM
07/09/2021,10.75,8.26,6.58,5.26,4.52,3.98,3.7,3.35,3.05,2.86,2.57,2.52,2.51,2.38,2.16,2.02,1.93,1.9,1.9,1.88,1.88,1.85,1.79,1.75,1.7,1.56,1.52,1.44,1.41,1.37,1.32,1.28,1.27,1.18,1.17,1.03,0.87,0.66,0.51,0.18,0.17,0.0,0.0,99.99
07/12/2021,10.53,8.14,6.54,5.36,4.4,4.02,3.78,3.35,3.09,2.92,2.62,2.56,2.58,2.41,2.14,1.99,2.02,1.86,1.83,1.83,1.88,1.83,1.83,1.79,1.78,1.57,1.53,1.46,1.42,1.31,1.27,1.29,1.26,1.2,1.16,1.07,0.87,0.66,0.51,0.18,0.17,0.0,0.0,100.01
07/13/2021,10.53,8.14,6.54,5.36,4.4,4.02,3.78,3.35,3.09,2.92,2.62,2.56,2.58,2.41,2.14,1.99,2.02,1.86,1.83,1.83,1.88,1.83,1.83,1.79,1.78,1.57,1.53,1.46,1.42,1.31,1.27,1.29,1.26,1.2,1.16,1.07,0.87,0.66,0.51,0.18,0.17,0.0,0.0,100.01
07/14/2021,10.55,8.24,6.56,5.34,4.37,4.01,3.69,0.0,3.11,2.89,2.57,2.57,2.69,2.41,2.12,2.01,1.97,1.89,1.86,1.82,1.92,1.85,1.83,1.74,1.76,1.56,1.51,1.46,1.38,1.29,1.3,1.34,1.26,1.16,1.15,1.06,0.86,0.67,0.51,0.18,0.17,3.36,0.0,99.99
07/15/2021,10.61,8.27,6.61,5.46,4.31,4.01,3.65,0.0,3.07,2.88,2.61,2.54,2.66,2.4,2.14,2.01,1.97,1.89,1.85,1.83,1.92,1.86,1.83,1.73,1.69,1.56,1.54,1.45,1.4,1.27,1.26,1.36,1.26,1.17,1.14,1.06,0.85,0.65,0.52,0.18,0.16,3.38,0.0,100.01
07/16/2021,10.69,8.33,6.63,5.34,4.39,3.99,3.66,0.0,3.06,2.94,2.53,2.56,2.61,2.38,2.17,2.0,1.96,1.9,1.88,1.85,1.92,1.84,1.82,1.71,1.7,1.56,1.49,1.46,1.38,1.29,1.27,1.33,1.24,1.15,1.15,1.06,0.85,0.67,0.53,0.18,0.16,3.37,0.0,100.0
07/19/2021,10.58,8.3,6.6,5.43,4.35,3.98,3.71,0.0,3.06,2.9,2.54,2.53,2.67,2.41,2.11,2.02,2.0,1.9,1.87,1.84,1.92,1.84,1.8,1.67,1.68,1.56,1.48,1.45,1.35,1.25,1.37,1.48,1.22,1.14,1.15,1.07,0.8,0.72,0.54,0.17,0.16,3.36,0.0,99.98
07/20/2021,10.58,8.3,6.6,5.43,4.35,3.98,3.71,0.0,3.06,2.9,2.54,2.53,2.67,2.41,2.11,2.02,2.0,1.9,1.87,1.84,1.92,1.84,1.8,1.67,1.68,1.56,1.48,1.45,1.35,1.25,1.37,1.48,1.22,1.14,1.15,1.07,0.8,0.72,0.54,0.17,0.16,3.36,0.0,99.98
07/21/2021,10.66,8.31,6.62,5.42,4.37,3.98,3.74,0.0,3.06,2.9,2.45,2.55,2.7,2.4,2.12,2.01,2.0,1.9,1.86,1.86,1.93,1.85,1.82,1.68,1.7,1.56,1.48,1.45,1.35,1.27,1.34,1.33,1.22,1.13,1.16,1.07,0.8,0.71,0.53,0.18,0.15,3.36,0.0,99.98000000000002
07/22/2021,10.58,8.25,6.59,5.41,4.31,4.01,3.73,0.0,3.09,2.94,2.47,2.57,2.79,2.44,2.12,2.05,1.99,1.9,1.85,1.85,1.99,1.82,1.81,1.66,1.7,1.59,1.44,1.46,1.32,1.25,1.34,1.3,1.23,1.14,1.15,1.09,0.83,0.72,0.53,0.18,0.15,3.35,0.0,99.99
07/23/2021,10.58,8.25,6.58,5.43,4.24,4.03,3.74,0.0,3.1,2.94,2.48,2.56,2.8,2.45,2.06,2.06,2.0,1.9,1.8,1.84,1.99,1.82,1.82,1.66,1.71,1.63,1.45,1.47,1.33,1.24,1.35,1.3,1.23,1.15,1.18,1.1,0.84,0.72,0.54,0.18,0.15,3.35,0.0,100.05
07/26/2021,10.7,8.35,6.58,5.48,4.22,3.94,3.81,0.0,3.05,2.85,2.47,2.55,2.79,2.41,2.04,2.02,2.07,1.9,1.73,1.87,2.06,1.81,1.87,1.65,1.66,1.61,1.43,1.46,1.33,1.23,1.39,1.32,1.24,1.12,1.16,1.09,0.82,0.73,0.52,0.18,0.14,3.35,0.0,100.0
07/27/2021,10.7,8.35,6.58,5.48,4.22,3.94,3.81,0.0,3.05,2.85,2.47,2.55,2.79,2.41,2.04,2.02,2.07,1.9,1.73,1.87,2.06,1.81,1.87,1.65,1.66,1.61,1.43,1.46,1.33,1.23,1.39,1.32,1.24,1.12,1.16,1.09,0.82,0.73,0.52,0.18,0.14,3.35,0.0,100.0
07/29/2021,10.78,8.38,6.67,5.43,4.22,3.97,3.79,0.0,3.08,2.86,2.46,2.58,2.77,2.43,2.06,2.02,2.01,1.89,1.73,1.89,2.07,1.83,1.81,1.59,1.68,1.63,1.38,1.46,1.28,1.24,1.4,1.32,1.27,1.08,1.17,1.1,0.81,0.7,0.5,0.18,0.14,3.35,0.0,100.00999999999998
07/30/2021,10.73,8.41,6.68,5.42,4.18,3.98,3.76,0.0,3.08,2.82,2.48,2.57,2.84,2.43,2.08,2.04,2.02,1.87,1.69,1.87,2.07,1.84,1.81,1.66,1.65,1.63,1.43,1.45,1.31,1.22,1.37,1.27,1.3,1.12,1.18,1.11,0.81,0.69,0.48,0.18,0.14,3.35,0.0,100.02
08/02/2021,10.92,8.58,6.74,5.42,4.16,3.92,3.71,0.0,3.06,2.82,2.47,2.54,2.78,2.41,2.01,2.03,1.98,1.85,1.69,1.86,2.08,1.87,1.76,1.59,1.67,1.64,1.48,1.47,1.27,1.22,1.34,1.3,1.31,1.11,1.17,1.09,0.81,0.67,0.45,0.17,0.14,3.41,0.0,99.97
08/03/2021,10.92,8.58,6.74,5.42,4.16,3.92,3.71,0.0,3.06,2.82,2.47,2.54,2.78,2.41,2.01,2.03,1.98,1.85,1.69,1.86,2.08,1.87,1.76,1.59,1.67,1.64,1.48,1.47,1.27,1.22,1.34,1.3,1.31,1.11,1.17,1.09,0.81,0.67,0.45,0.17,0.14,3.41,0.0,99.97
08/04/2021,10.96,8.63,6.79,5.4,4.11,3.96,3.68,0.0,3.09,2.87,2.39,2.53,2.82,2.42,2.0,2.01,1.98,1.85,1.69,1.86,2.08,1.89,1.8,1.55,1.66,1.67,1.4,1.47,1.31,1.18,1.36,1.34,1.3,1.08,1.17,1.08,0.77,0.67,0.45,0.17,0.14,3.42,0.0,100.0
08/05/2021,10.92,8.61,6.74,5.39,4.11,3.93,3.71,0.0,3.07,2.88,2.47,2.45,2.88,2.41,2.01,2.01,1.97,1.82,1.66,1.85,2.09,1.88,1.83,1.59,1.66,1.66,1.45,1.47,1.33,1.2,1.34,1.35,1.27,1.13,1.17,1.09,0.74,0.67,0.47,0.17,0.13,3.43,0.0,100.01
08/06/2021,10.79,8.5,6.62,5.55,4.1,3.94,3.71,0.0,3.07,2.9,2.52,2.45,2.89,2.42,2.01,2.03,2.0,1.86,1.71,1.89,2.07,1.82,1.88,1.66,1.65,1.62,1.44,1.46,1.35,1.19,1.3,1.36,1.26,1.18,1.16,1.09,0.76,0.64,0.46,0.0,0.21,3.35,0.17,100.04
