,JNJ,AAPL,AMZN,JPM,COST,PFE,XOM,VZ,MRK,ACN,NKE,WMT,UNP,MSFT,WFC,TGT,INTC,TXN,FB,GS,UPS,MRNA,GILD,COF,CVX,AMAT,C,CSX,DE,TJX,ADP,ANTM,BX,MS,COP,LRCX,DFS,CAT,FCX,TROW,FDX,DVN,KR,ALL,KSU,TRV,KKR,PGR,GM,SYF,NUE,FAST,TMUS,OKE,EOG,SIVB,ROST,LH,HIG,AMP,ULTA,ODFL,NVR,TSCO,CERN,BMY,ALLY,BBY,DOW,MOH,GLW,MU,GWW,FITB,UPST,GPC,LEN,CMI,SWKS,NEM,OXY,LYB,HES,NSC,AAP,RHI,TER,DLTR,ON,WSM,CTRA,JBHT,RH,BURL,WHR,HOLX,FNF,CG,APO,MOS,PKG,STLD,FND,CB,EQH,CROX,TTC,n/a,AFG,OC,DXC,RF,LULU,FANG,DECK,PHM,JBL,BRKR,M,DISH,CMA,AA,DKS,TPR,FIVE,MRO,BC,ATH,AES,JHG,WSC,OLN,FLEX,SNA,AN,FAF,LPX,YETI,JEF,PVH,CPRI,RRC,DCI,CACC,ALV,HOG,VOYA,OMF,ZION,CABO,EME,BAX,LECO,AOS,GPK,CLH,CASY,HLI,X,PII,TSN,BPOP,AGCO,PRI,TXT,KSS,KEY,SAIA,TOL,HII,UHAL,OSK,SF,AVY,AZPN,CINF,QDEL,MTZ,SNX,INGR,PENN,RL,TXRH,GPS,LKQ,TNET,SNV,FMC,PAG,MHK,WAL,RS,CLR,FCNCA,VST,AMKR,UAA,UA,BYD,SEIC,LEVI,COLM,HAL,PPC,ACI,CP.TO,REGN,WLK,HALO,GT,CLF,GVMXX,UI,GNTX,LEN.B,KLAC,RJF,ORI,MUR,PACW,HFC,JKHY,PSX,FTNT,V,CE,VRTX,IP,AR,DAR,EQT,WRK,FHN,DINO,SUM
10/15/2021,2.9,2.89,2.89,2.72,1.96,1.83,1.69,1.69,1.59,1.58,1.54,1.5,1.49,1.45,1.42,1.38,1.38,1.36,1.35,1.29,1.22,1.18,1.11,1.08,1.08,1.06,1.02,0.95,0.95,0.93,0.93,0.9,0.89,0.86,0.84,0.82,0.81,0.8,0.79,0.73,0.72,0.67,0.65,0.64,0.62,0.6,0.59,0.59,0.59,0.57,0.57,0.56,0.56,0.54,0.53,0.53,0.52,0.51,0.51,0.49,0.49,0.48,0.48,0.48,0.46,0.45,0.44,0.43,0.42,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.37,0.36,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.61
10/18/2021,2.86,2.87,2.89,2.63,1.93,1.79,1.68,1.65,1.53,1.62,1.59,1.49,1.51,1.48,1.34,1.44,1.37,1.33,1.34,1.3,1.27,1.26,1.1,1.07,1.08,1.08,0.99,0.97,0.93,0.93,0.93,0.91,0.94,0.88,0.83,0.83,0.8,0.8,0.82,0.73,0.73,0.67,0.63,0.63,0.63,0.6,0.6,0.58,0.58,0.57,0.57,0.59,0.56,0.55,0.53,0.53,0.53,0.51,0.5,0.5,0.51,0.49,0.49,0.48,0.46,0.45,0.44,0.44,0.42,0.41,0.42,0.4,0.42,0.39,0.48,0.4,0.41,0.4,0.39,0.41,0.36,0.36,0.36,0.34,0.34,0.33,0.34,0.33,0.32,0.33,0.31,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.29,0.3,0.29,0.3,0.29,0.29,0.31,0.28,0.0,0.27,0.28,0.27,0.27,0.28,0.25,0.27,0.26,0.25,0.25,0.25,0.24,0.23,0.24,0.25,0.24,0.24,0.23,0.22,0.23,0.22,0.22,0.22,0.2,0.21,0.21,0.2,0.22,0.21,0.22,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.13,0.13,0.12,0.12,0.13,0.13,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.07,0.08,0.08,0.08,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.66
10/19/2021,2.85,2.87,2.97,2.66,1.92,1.77,1.68,1.65,1.52,1.62,1.59,1.48,1.52,1.47,1.42,1.45,1.37,1.34,1.32,1.34,1.27,1.22,1.08,1.07,1.08,1.07,1.01,0.98,0.93,0.93,0.95,0.91,0.94,0.88,0.82,0.82,0.81,0.81,0.85,0.73,0.73,0.67,0.62,0.63,0.63,0.59,0.59,0.58,0.58,0.57,0.57,0.58,0.55,0.55,0.52,0.53,0.53,0.5,0.5,0.5,0.51,0.5,0.48,0.48,0.46,0.45,0.45,0.44,0.42,0.41,0.41,0.39,0.41,0.39,0.49,0.39,0.4,0.4,0.39,0.4,0.36,0.36,0.36,0.35,0.33,0.33,0.34,0.33,0.32,0.33,0.3,0.35,0.32,0.31,0.32,0.3,0.31,0.31,0.31,0.29,0.28,0.29,0.3,0.28,0.28,0.31,0.28,0.0,0.27,0.27,0.27,0.27,0.27,0.25,0.28,0.26,0.24,0.25,0.26,0.24,0.23,0.28,0.25,0.24,0.24,0.23,0.22,0.23,0.22,0.22,0.22,0.2,0.21,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.16,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.12,0.13,0.12,0.12,0.13,0.13,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.07,0.08,0.08,0.08,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.64
10/20/2021,2.85,2.87,2.97,2.66,1.92,1.77,1.68,1.65,1.52,1.62,1.59,1.48,1.52,1.47,1.42,1.45,1.37,1.34,1.32,1.34,1.27,1.22,1.08,1.07,1.08,1.07,1.01,0.98,0.93,0.93,0.95,0.91,0.94,0.88,0.82,0.82,0.81,0.81,0.85,0.73,0.73,0.67,0.62,0.63,0.63,0.59,0.59,0.58,0.58,0.57,0.57,0.58,0.55,0.55,0.52,0.53,0.53,0.5,0.5,0.5,0.51,0.5,0.48,0.48,0.46,0.45,0.45,0.44,0.42,0.41,0.41,0.39,0.41,0.39,0.49,0.39,0.4,0.4,0.39,0.4,0.36,0.36,0.36,0.35,0.33,0.33,0.34,0.33,0.32,0.33,0.3,0.35,0.32,0.31,0.32,0.3,0.31,0.31,0.31,0.29,0.28,0.29,0.3,0.28,0.28,0.31,0.28,0.0,0.27,0.27,0.27,0.27,0.27,0.25,0.28,0.26,0.24,0.25,0.26,0.24,0.23,0.28,0.25,0.24,0.24,0.23,0.22,0.23,0.22,0.22,0.22,0.2,0.21,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.16,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.12,0.13,0.12,0.12,0.13,0.13,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.07,0.08,0.08,0.08,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.64
10/21/2021,2.82,2.89,2.98,2.64,1.95,1.75,1.67,1.63,1.49,1.62,1.59,1.49,1.52,1.48,1.45,1.49,1.37,1.33,1.35,1.35,1.26,1.26,1.05,1.07,1.07,1.08,0.99,0.98,0.93,0.93,0.94,0.9,0.94,0.87,0.82,0.82,0.81,0.8,0.84,0.73,0.72,0.67,0.62,0.62,0.63,0.57,0.59,0.57,0.56,0.58,0.57,0.58,0.54,0.55,0.52,0.54,0.53,0.5,0.49,0.5,0.51,0.5,0.48,0.49,0.45,0.44,0.44,0.44,0.41,0.4,0.41,0.39,0.41,0.39,0.48,0.39,0.41,0.39,0.39,0.4,0.37,0.36,0.35,0.34,0.34,0.33,0.35,0.33,0.33,0.34,0.3,0.35,0.33,0.32,0.32,0.3,0.31,0.31,0.31,0.29,0.28,0.29,0.3,0.27,0.28,0.32,0.28,0.0,0.27,0.27,0.27,0.27,0.28,0.25,0.28,0.26,0.24,0.25,0.3,0.24,0.23,0.28,0.25,0.23,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.16,0.17,0.16,0.17,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.16,0.14,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.13,0.12,0.12,0.13,0.13,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.07,0.08,0.08,0.08,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.58
10/22/2021,2.87,2.91,2.96,2.66,1.96,1.77,1.69,1.64,1.53,1.64,1.57,1.51,1.51,1.47,1.46,1.47,1.38,1.35,1.36,1.34,1.26,1.24,1.06,1.07,1.09,1.08,0.99,0.97,0.95,0.91,0.94,0.9,0.96,0.87,0.83,0.82,0.81,0.81,0.84,0.74,0.72,0.66,0.62,0.62,0.63,0.58,0.6,0.58,0.56,0.59,0.57,0.58,0.54,0.55,0.52,0.54,0.52,0.5,0.49,0.5,0.45,0.5,0.48,0.49,0.45,0.44,0.44,0.44,0.41,0.41,0.41,0.39,0.42,0.39,0.46,0.39,0.41,0.39,0.39,0.4,0.37,0.36,0.35,0.34,0.34,0.32,0.35,0.33,0.33,0.34,0.3,0.35,0.32,0.31,0.31,0.31,0.31,0.32,0.33,0.29,0.28,0.3,0.31,0.28,0.29,0.31,0.28,0.0,0.27,0.27,0.27,0.27,0.28,0.25,0.28,0.26,0.24,0.25,0.28,0.24,0.23,0.26,0.24,0.23,0.23,0.23,0.22,0.24,0.22,0.21,0.22,0.21,0.21,0.22,0.2,0.21,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.16,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.12,0.13,0.12,0.12,0.13,0.12,0.11,0.11,0.11,0.1,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.09,0.07,0.08,0.08,0.08,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.71999999999998
10/25/2021,2.84,2.9,2.92,2.67,1.96,1.79,1.68,1.66,1.55,1.61,1.56,1.51,1.51,1.46,1.45,1.46,1.37,1.34,1.36,1.32,1.26,1.23,1.05,1.08,1.09,1.07,0.98,0.97,0.95,0.9,0.93,0.97,0.96,0.85,0.83,0.8,0.82,0.81,0.84,0.74,0.72,0.67,0.62,0.62,0.63,0.59,0.62,0.59,0.56,0.58,0.58,0.57,0.56,0.54,0.53,0.54,0.52,0.5,0.49,0.51,0.44,0.5,0.48,0.48,0.45,0.44,0.44,0.43,0.41,0.42,0.41,0.39,0.41,0.4,0.44,0.39,0.42,0.39,0.39,0.4,0.37,0.36,0.35,0.34,0.34,0.32,0.34,0.33,0.33,0.34,0.31,0.35,0.32,0.31,0.32,0.31,0.31,0.32,0.33,0.29,0.28,0.3,0.3,0.28,0.3,0.3,0.28,0.07,0.27,0.27,0.27,0.28,0.28,0.25,0.27,0.26,0.23,0.25,0.28,0.24,0.24,0.25,0.24,0.23,0.23,0.23,0.21,0.25,0.22,0.21,0.22,0.21,0.21,0.22,0.2,0.21,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.17,0.18,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.12,0.13,0.12,0.12,0.13,0.12,0.11,0.11,0.11,0.1,0.11,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.07,0.08,0.07,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.65
10/26/2021,2.83,2.9,2.93,2.65,1.99,1.79,1.65,1.65,1.55,1.61,1.6,1.52,1.53,1.47,1.45,1.47,1.38,1.35,1.36,1.31,1.28,1.25,1.05,1.04,1.08,1.06,0.96,0.98,0.94,0.91,0.94,0.98,0.99,0.85,0.81,0.79,0.77,0.8,0.83,0.74,0.73,0.65,0.61,0.61,0.63,0.59,0.64,0.59,0.57,0.55,0.56,0.57,0.53,0.54,0.52,0.53,0.52,0.5,0.49,0.5,0.46,0.51,0.46,0.5,0.45,0.44,0.42,0.45,0.41,0.42,0.41,0.39,0.41,0.4,0.44,0.41,0.41,0.39,0.4,0.4,0.36,0.35,0.34,0.35,0.35,0.32,0.35,0.33,0.34,0.34,0.3,0.35,0.32,0.32,0.32,0.31,0.31,0.32,0.34,0.29,0.28,0.29,0.32,0.28,0.29,0.32,0.29,0.07,0.27,0.27,0.27,0.28,0.28,0.25,0.29,0.26,0.24,0.24,0.28,0.24,0.24,0.24,0.25,0.23,0.24,0.22,0.21,0.26,0.22,0.21,0.22,0.21,0.21,0.2,0.21,0.21,0.2,0.22,0.2,0.2,0.2,0.18,0.19,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.18,0.17,0.18,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.13,0.11,0.11,0.11,0.1,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.09,0.07,0.08,0.08,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.61
10/27/2021,2.83,2.9,2.93,2.65,1.99,1.79,1.65,1.65,1.55,1.61,1.6,1.52,1.53,1.47,1.45,1.47,1.38,1.35,1.36,1.31,1.28,1.25,1.05,1.04,1.08,1.06,0.96,0.98,0.94,0.91,0.94,0.98,0.99,0.85,0.81,0.79,0.77,0.8,0.83,0.74,0.73,0.65,0.61,0.61,0.63,0.59,0.64,0.59,0.57,0.55,0.56,0.57,0.53,0.54,0.52,0.53,0.52,0.5,0.49,0.5,0.46,0.51,0.46,0.5,0.45,0.44,0.42,0.45,0.41,0.42,0.41,0.39,0.41,0.4,0.44,0.41,0.41,0.39,0.4,0.4,0.36,0.35,0.34,0.35,0.35,0.32,0.35,0.33,0.34,0.34,0.3,0.35,0.32,0.32,0.32,0.31,0.31,0.32,0.34,0.29,0.28,0.29,0.32,0.28,0.29,0.32,0.29,0.07,0.27,0.27,0.27,0.28,0.28,0.25,0.29,0.26,0.24,0.24,0.28,0.24,0.24,0.24,0.25,0.23,0.24,0.22,0.21,0.26,0.22,0.21,0.22,0.21,0.21,0.2,0.21,0.21,0.2,0.22,0.2,0.2,0.2,0.18,0.19,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.18,0.17,0.18,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.13,0.11,0.11,0.11,0.1,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.09,0.07,0.08,0.08,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.61
10/28/2021,2.83,2.9,2.93,2.65,1.99,1.79,1.65,1.65,1.55,1.61,1.6,1.52,1.53,1.47,1.45,1.47,1.38,1.35,1.36,1.31,1.28,1.25,1.05,1.04,1.08,1.06,0.96,0.98,0.94,0.91,0.94,0.98,0.99,0.85,0.81,0.79,0.77,0.8,0.83,0.74,0.73,0.65,0.61,0.61,0.63,0.59,0.64,0.59,0.57,0.55,0.56,0.57,0.53,0.54,0.52,0.53,0.52,0.5,0.49,0.5,0.46,0.51,0.46,0.5,0.45,0.44,0.42,0.45,0.41,0.42,0.41,0.39,0.41,0.4,0.44,0.41,0.41,0.39,0.4,0.4,0.36,0.35,0.34,0.35,0.35,0.32,0.35,0.33,0.34,0.34,0.3,0.35,0.32,0.32,0.32,0.31,0.31,0.32,0.34,0.29,0.28,0.29,0.32,0.28,0.29,0.32,0.29,0.07,0.27,0.27,0.27,0.28,0.28,0.25,0.29,0.26,0.24,0.24,0.28,0.24,0.24,0.24,0.25,0.23,0.24,0.22,0.21,0.26,0.22,0.21,0.22,0.21,0.21,0.2,0.21,0.21,0.2,0.22,0.2,0.2,0.2,0.18,0.19,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.18,0.17,0.18,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.13,0.11,0.11,0.11,0.1,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.09,0.07,0.08,0.08,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.61
