,2SPY  220331C00003180,2SPY  220331P00396340,Cash&Other,2SPY  220331P00360660,2SPY  220331C00451820,SUM
07/09/2021,101.06,3.75,0.63,-2.29,-3.16,99.99
07/12/2021,101.5,3.6,0.58,-2.23,-3.46,99.99
07/13/2021,101.5,3.6,0.58,-2.23,-3.46,99.99
07/14/2021,101.5,3.6,0.58,-2.23,-3.46,99.99
07/15/2021,101.72,3.53,0.58,-2.18,-3.65,100.0
07/16/2021,101.5,3.68,0.59,-2.3,-3.46,100.01000000000002
07/19/2021,101.45,3.79,0.58,-2.38,-3.44,100.0
07/20/2021,101.03,4.08,0.59,-2.54,-3.16,100.0
07/21/2021,101.03,4.08,0.59,-2.54,-3.16,100.0
07/22/2021,100.38,4.65,0.59,-2.92,-2.7,100.0
07/23/2021,101.13,4.1,0.58,-2.57,-3.25,99.99
07/26/2021,101.57,3.7,0.57,-2.3,-3.55,99.99
07/27/2021,102.07,3.48,0.56,-2.16,-3.96,99.99
07/28/2021,102.07,3.48,0.56,-2.16,-3.96,99.99
07/29/2021,102.32,3.41,0.56,-2.12,-4.17,100.0
07/30/2021,101.95,3.65,0.56,-2.28,-3.88,100.0
08/02/2021,102.13,3.42,0.55,-2.11,-3.99,100.0
08/03/2021,101.99,3.51,0.55,-2.17,-3.89,99.99
08/04/2021,101.99,3.51,0.55,-2.17,-3.89,99.99
08/05/2021,101.87,3.61,0.55,-2.24,-3.79,100.0
08/06/2021,102.13,3.37,0.57,-2.09,-4.0,99.98
08/10/2021,102.29,3.11,0.56,-1.89,-4.07,100.0
08/11/2021,102.29,3.11,0.56,-1.89,-4.07,100.0
08/13/2021,102.3,3.18,0.52,-1.94,-4.07,99.99
08/16/2021,102.64,2.94,0.51,-1.78,-4.32,99.99
08/17/2021,102.75,2.92,0.51,-1.77,-4.41,100.0
08/18/2021,102.75,2.92,0.51,-1.77,-4.41,100.0
08/19/2021,102.96,2.86,0.51,-1.73,-4.6,100.0
08/20/2021,102.54,3.14,0.51,-1.91,-4.27,100.01000000000002
08/23/2021,102.22,3.54,0.51,-2.19,-4.07,100.01000000000002
08/24/2021,102.56,3.23,0.47,-1.99,-4.28,99.99
08/25/2021,102.56,3.23,0.47,-1.99,-4.28,99.99
08/26/2021,103.07,2.9,0.47,-1.77,-4.66,100.01
08/27/2021,103.14,2.94,0.47,-1.81,-4.74,100.0
08/30/2021,102.96,3.03,0.46,-1.86,-4.59,100.0
08/31/2021,103.4,2.74,0.45,-1.67,-4.92,100.0
09/01/2021,103.4,2.74,0.45,-1.67,-4.92,100.0
09/02/2021,103.73,2.62,0.45,-1.6,-5.21,99.99000000000002
09/03/2021,103.73,2.66,0.45,-1.62,-5.22,100.0
09/06/2021,103.8,2.56,0.44,-1.55,-5.25,100.0
09/07/2021,103.81,2.58,0.44,-1.57,-5.25,100.01
09/08/2021,103.81,2.58,0.44,-1.57,-5.25,100.01
09/09/2021,103.81,2.58,0.44,-1.57,-5.25,100.01
09/10/2021,103.62,2.74,0.43,-1.69,-5.12,99.98
09/13/2021,103.32,2.87,0.43,-1.76,-4.87,99.99
09/14/2021,102.93,3.08,0.43,-1.89,-4.54,100.01
09/15/2021,102.93,3.08,0.43,-1.89,-4.54,100.01
09/16/2021,103.0,2.91,0.42,-1.78,-4.56,99.99
09/17/2021,102.62,3.01,0.42,-1.83,-4.22,100.0
09/20/2021,102.92,2.8,0.41,-1.68,-4.46,99.99
09/21/2021,102.33,3.11,0.41,-1.87,-3.98,100.0
09/22/2021,102.33,3.11,0.41,-1.87,-3.98,100.0
09/23/2021,101.5,3.79,0.41,-2.31,-3.4,99.99
09/24/2021,101.37,3.7,0.41,-2.23,-3.25,100.0
09/27/2021,102.49,2.74,0.4,-1.6,-4.04,99.99
09/28/2021,102.49,2.66,0.39,-1.54,-4.0,100.0
09/29/2021,102.49,2.66,0.39,-1.54,-4.0,100.0
09/30/2021,102.31,2.77,0.39,-1.61,-3.87,99.99
10/01/2021,101.38,3.44,0.39,-2.03,-3.19,99.99
10/04/2021,100.74,3.6,0.39,-2.1,-2.64,99.99
10/05/2021,101.3,3.25,0.38,-1.88,-3.05,100.0
10/06/2021,101.3,3.25,0.38,-1.88,-3.05,100.0
10/07/2021,100.69,3.62,0.38,-2.08,-2.62,99.99
10/08/2021,101.12,3.25,0.38,-1.85,-2.9,100.0
10/11/2021,101.35,3.11,0.38,-1.77,-3.07,100.0
10/12/2021,101.55,2.84,0.37,-1.59,-3.17,100.0
10/13/2021,101.55,2.84,0.37,-1.59,-3.17,100.0
10/14/2021,101.09,2.98,0.38,-1.68,-2.78,99.99
10/15/2021,100.83,2.99,0.38,-1.66,-2.55,99.99
10/18/2021,101.89,2.31,0.37,-1.28,-3.3,99.99
10/19/2021,102.35,2.15,0.37,-1.21,-3.66,100.0
10/20/2021,102.35,2.15,0.37,-1.21,-3.66,100.0
10/21/2021,102.62,2.14,0.37,-1.2,-3.94,99.99
10/22/2021,103.13,1.96,0.37,-1.11,-4.35,100.0
10/25/2021,103.45,1.82,0.36,-1.02,-4.61,100.0
10/26/2021,103.42,1.88,0.36,-1.06,-4.6,100.0
10/27/2021,103.42,1.88,0.36,-1.06,-4.6,100.0
10/28/2021,103.74,1.72,0.35,-0.96,-4.86,99.99
10/29/2021,103.73,1.73,0.36,-0.97,-4.84,100.01
11/01/2021,104.2,1.73,0.35,-0.98,-5.31,99.99
11/02/2021,104.48,1.67,0.34,-0.95,-5.55,99.99
11/03/2021,104.48,1.67,0.34,-0.95,-5.55,99.99
11/04/2021,104.53,1.62,0.34,-0.91,-5.58,100.0
11/05/2021,104.77,1.54,0.34,-0.86,-5.79,100.0
11/08/2021,105.48,1.35,0.33,-0.76,-6.41,99.99
11/09/2021,105.76,1.39,0.33,-0.79,-6.69,100.0
11/10/2021,105.76,1.39,0.33,-0.79,-6.69,100.0
11/11/2021,105.98,1.38,0.3,-0.79,-6.87,100.0
11/12/2021,105.69,1.44,0.3,-0.82,-6.61,100.0
11/15/2021,105.14,1.44,0.29,-0.81,-6.07,99.99
11/16/2021,105.67,1.31,0.29,-0.75,-6.52,100.00000000000001
