,CCK,DE,NEE,DSM.AS,EDPR.LS,ECL,UPM.HE,ENEL.MI,SAMDG.,SY1.DE,IFX.DE,BG,VWS.CO,KRZ.IR,FMC,6861.T,BVI.PA,BLL,SGO.PA,RBT.PA,HFG.DE,MAREL.IC,SIGN.SW,TREX,NTR.TO,AZEK,MFI.TO,ZBRA,ADSK,TOM.OL,JBT,MNDI.L,NDA.DE,AFN.TO,GO,DAR,ROG,SU.PA,SIKA.SW,SALM.OL,KRX.IR,MXIM,CRBN.AS,OCDO.L,HYFM,FSLR,ON,PWR,PRY.MI,TEL,ATCO A.ST,DSYA.,HEXA B.ST,JCI,CSIQ,SCATC.OL,ANSS,6845.T,BLDP.TO,2208.HK,ANIC,TT,RUN,XTSLA,USD,XSDG,DSY.PA,ADI,EUR,GBP,ANIC.L,BYND,CAD,IR,DKK,JPY,SEK,SUM
08/16/2021,3.2,3.17,3.15,3.02,2.98,2.95,2.95,2.92,2.68,2.65,2.61,2.47,2.44,2.43,2.4,2.29,2.26,2.15,2.1,2.0,2.0,1.99,1.75,1.64,1.63,1.63,1.56,1.53,1.52,1.48,1.46,1.3,1.26,1.25,1.21,1.09,1.08,1.05,1.02,1.02,1.01,0.97,0.96,0.94,0.91,0.83,0.82,0.8,0.78,0.77,0.76,0.76,0.75,0.75,0.75,0.74,0.72,0.72,0.71,0.7,0.7,0.7,0.68,0.4,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/17/2021,3.19,3.14,3.15,3.05,3.01,2.97,2.96,2.93,2.64,2.69,2.6,2.46,2.53,2.43,2.38,2.31,2.24,2.12,2.1,2.05,2.03,1.99,1.76,1.63,1.63,1.64,1.56,1.53,1.52,1.49,1.44,1.3,1.27,1.26,1.18,1.11,1.08,1.07,1.03,1.02,1.0,0.97,0.98,0.93,0.91,0.82,0.82,0.79,0.78,0.77,0.75,0.75,0.75,0.75,0.69,0.74,0.71,0.73,0.68,0.69,0.7,0.69,0.64,0.39,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/18/2021,3.19,3.14,3.15,3.05,3.01,2.97,2.96,2.93,0.0,2.69,2.6,2.46,2.53,2.43,2.38,2.31,2.24,2.12,2.1,2.05,2.03,1.99,1.76,1.63,1.63,1.64,1.56,1.53,1.52,1.49,1.44,1.3,1.27,1.26,1.18,1.11,1.08,1.07,1.03,1.02,1.0,0.97,0.98,0.93,0.91,0.82,0.82,0.79,0.78,0.77,0.75,0.75,0.75,0.75,0.69,0.74,0.71,0.73,0.68,0.69,0.7,0.69,0.64,0.39,0.07,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/19/2021,3.18,3.15,3.19,3.06,3.08,2.98,2.96,2.93,2.59,2.7,2.59,2.49,2.54,2.44,2.35,2.27,2.25,2.14,2.1,2.05,2.09,2.01,1.77,1.63,1.6,1.64,1.58,1.54,1.51,1.49,1.45,1.31,1.26,1.22,1.19,1.12,1.07,1.07,1.03,1.02,1.01,0.98,0.98,0.94,0.8,0.83,0.82,0.79,0.78,0.78,0.75,0.75,0.75,0.76,0.67,0.71,0.72,0.71,0.68,0.67,0.71,0.71,0.61,0.4,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
08/20/2021,3.19,3.13,3.22,3.07,3.1,3.0,2.95,2.92,2.54,2.72,2.56,2.49,2.51,2.45,2.35,2.28,2.26,2.17,2.09,2.06,2.13,2.04,1.8,1.58,1.57,1.64,1.6,1.53,1.5,1.51,1.43,1.3,1.24,1.2,1.21,1.08,1.07,1.08,1.03,1.03,1.03,0.99,0.99,0.97,0.81,0.81,0.8,0.78,0.78,0.77,0.75,0.76,0.76,0.76,0.63,0.69,0.71,0.72,0.68,0.66,0.71,0.71,0.6,0.4,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/23/2021,3.21,3.0,3.26,3.13,3.26,3.01,2.92,2.98,2.58,2.73,2.54,2.36,2.63,2.48,2.28,2.28,2.24,2.26,2.04,2.01,2.35,1.98,1.79,1.62,1.51,1.67,1.62,1.54,1.54,1.47,1.41,1.29,1.2,1.19,1.16,1.06,1.07,1.08,1.02,0.98,1.0,1.01,0.98,0.99,0.82,0.81,0.79,0.79,0.78,0.76,0.73,0.76,0.74,0.76,0.58,0.72,0.72,0.72,0.69,0.66,0.7,0.72,0.57,0.4,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/24/2021,3.25,2.92,3.31,3.11,3.31,3.01,2.91,2.99,2.5,2.73,2.59,2.32,2.65,2.49,2.24,2.25,2.22,2.3,2.02,1.99,2.33,1.95,1.8,1.66,1.54,1.7,1.59,1.55,1.55,1.49,1.43,1.28,1.19,1.18,1.16,1.0,1.08,1.07,1.03,1.0,1.02,1.01,0.97,1.0,0.84,0.81,0.79,0.79,0.77,0.76,0.74,0.76,0.75,0.76,0.59,0.7,0.72,0.71,0.68,0.67,0.69,0.71,0.58,0.4,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/25/2021,3.25,2.92,3.31,3.11,3.31,3.01,2.91,2.99,2.5,2.73,2.59,2.32,2.65,2.49,2.24,2.25,2.22,2.3,2.02,1.99,2.33,1.95,1.8,1.66,1.54,1.7,1.59,1.55,1.55,1.49,1.43,1.28,1.19,1.18,1.16,1.0,1.08,1.07,1.03,1.0,1.02,1.01,0.97,1.0,0.84,0.81,0.79,0.79,0.77,0.76,0.74,0.0,0.75,0.76,0.59,0.7,0.72,0.71,0.68,0.67,0.69,0.71,0.58,0.4,0.08,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/30/2021,3.22,3.1,2.98,3.08,3.0,2.98,2.91,2.84,2.49,2.64,2.64,2.34,2.69,2.41,2.35,2.32,2.22,2.25,2.02,2.0,2.35,1.96,1.82,1.64,1.53,1.68,1.59,1.55,1.41,1.49,1.4,1.25,1.22,1.3,1.11,1.04,1.08,1.05,1.02,0.99,1.01,0.0,0.97,1.06,0.93,0.79,0.83,0.82,0.76,0.76,0.74,0.0,0.75,0.76,0.82,0.71,0.71,0.74,0.79,0.68,0.64,0.72,0.77,0.39,0.07,0.0,0.76,1.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/31/2021,3.19,3.08,2.95,3.08,2.95,2.99,2.9,2.83,2.48,2.59,2.68,2.38,2.65,2.42,2.33,2.3,2.22,2.24,2.02,1.99,2.29,1.96,1.84,1.66,1.55,1.69,1.58,1.56,1.43,1.52,1.44,1.26,1.22,1.3,1.1,1.08,1.12,1.05,1.02,1.02,1.02,0.0,0.97,1.04,0.94,0.8,0.85,0.83,0.77,0.76,0.74,0.0,0.76,0.76,0.83,0.7,0.71,0.73,0.8,0.68,0.61,0.71,0.77,0.39,0.06,0.0,0.76,1.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
