,SGMS,ENT.L,DKNG,KIND SDB.ST,PBH.AX,FLTR.L,KAMBI.ST,RSI,PENN,CZR,TAH.AX,EVO.ST,888.L,IGT,GENI,SCR.TO,PTEC.L,GAN,CHDN,SKLZ,CTM.ST,BETS B.ST,GNOG,BET.AX,FDJ.PA,MGM,OPAP.AT,GYS.L,BYD,BALY,9672.T,LEO.ST,ANGL,BETCO.ST,BRAG.TO,GMR.L,ASPIRE.ST,GIG.OL,ACX.DE,First American Government Obligs X,SCOUT.ST,9672.T.1,9672.T.2,BBT.AX,XLM.L,MTG B.ST,FGXXX,n/a,SUM
07/09/2021,4.9,4.88,4.05,3.99,3.95,3.9,3.8,3.77,3.47,3.32,3.08,2.93,2.91,2.84,2.84,2.81,2.77,2.76,2.74,2.72,2.54,2.51,2.5,2.44,2.35,2.18,2.08,1.91,1.91,1.85,1.51,1.44,1.34,1.3,1.27,0.54,0.53,0.48,0.43,0.33,0.15,0.04,-0.07,0.0,0.0,0.0,0.0,0.0,99.99000000000002
07/27/2021,2.6,4.1,4.31,4.23,4.2,4.2,4.28,3.8,4.34,2.77,2.91,2.74,2.78,1.69,2.59,2.46,2.69,2.88,2.86,1.69,1.74,2.76,2.81,2.45,1.91,1.85,1.75,1.89,1.9,1.73,1.93,1.83,1.78,2.36,1.55,0.55,0.59,0.64,0.43,2.18,0.17,0.0,0.0,0.75,0.35,0.0,0.0,0.0,100.02
09/09/2021,2.53,4.0,4.78,4.33,3.71,4.44,2.03,5.02,4.3,2.7,2.62,2.66,2.79,1.56,2.98,5.01,2.67,2.78,2.88,1.17,1.15,2.87,4.59,2.99,1.56,1.75,1.78,1.71,1.78,1.57,1.57,1.72,1.52,2.04,1.97,0.44,0.67,0.61,0.34,0.0,0.17,0.0,0.0,1.43,0.67,0.0,0.12,0.0,99.98000000000002
09/13/2021,2.57,3.92,4.99,4.15,3.56,4.4,1.88,5.11,4.37,2.78,2.68,2.69,2.74,1.58,3.16,5.01,2.66,2.62,2.96,1.12,1.14,2.86,4.74,3.33,1.56,1.76,1.77,1.7,1.8,1.56,1.58,1.69,1.51,1.98,1.92,0.48,0.63,0.63,0.33,0.0,0.14,0.0,0.0,1.25,0.62,0.0,0.07,0.0,100.0
09/14/2021,2.67,3.97,5.01,4.16,3.4,4.42,1.96,5.14,4.44,2.8,2.62,2.65,2.67,1.6,3.13,5.05,2.68,2.62,2.95,1.12,1.15,2.88,4.78,3.26,1.57,1.77,1.76,1.7,1.82,1.58,1.58,1.66,1.49,1.95,1.85,0.47,0.64,0.66,0.33,0.0,0.13,0.0,0.0,1.24,0.61,0.0,0.07,0.0,100.01
09/16/2021,2.63,4.02,4.96,4.21,3.46,4.48,1.98,5.29,4.26,2.76,2.65,2.68,2.66,1.59,3.2,4.99,2.72,2.57,2.94,1.1,1.17,2.87,4.73,3.22,1.57,1.77,1.77,1.72,1.77,1.56,1.57,1.65,1.5,1.96,1.86,0.48,0.65,0.68,0.32,0.0,0.13,0.0,0.0,1.22,0.61,0.0,0.07,0.0,100.0
09/17/2021,2.72,4.01,4.85,4.21,3.48,4.49,1.96,5.4,4.2,2.79,2.66,2.55,2.75,1.63,3.03,5.07,2.75,2.53,2.99,1.1,1.24,2.85,4.61,3.21,1.57,1.82,1.81,1.73,1.76,1.53,1.61,1.65,1.48,1.94,1.86,0.51,0.64,0.68,0.33,0.0,0.13,0.0,0.0,1.17,0.62,0.0,0.07,0.0,99.99
09/20/2021,2.9,3.97,4.8,4.27,3.37,4.5,1.96,5.58,4.13,2.87,2.62,2.58,2.91,1.69,2.89,5.0,2.77,2.5,2.99,1.1,1.34,2.85,4.59,3.08,1.57,1.7,1.83,1.73,1.79,1.5,1.64,1.65,1.46,1.95,1.78,0.5,0.64,0.64,0.31,0.0,0.15,0.0,0.0,1.2,0.6,0.0,0.07,0.0,99.97
09/21/2021,2.88,3.98,4.73,4.39,3.15,4.57,1.97,6.18,4.04,2.85,2.57,2.63,2.9,1.63,2.84,4.92,2.74,2.56,3.03,1.06,1.33,3.05,4.53,2.99,1.56,1.71,1.85,1.7,1.82,1.47,1.6,1.65,1.43,1.92,1.76,0.5,0.63,0.65,0.29,0.0,0.15,0.0,0.0,1.17,0.57,0.0,0.07,0.0,100.02
09/22/2021,2.88,3.98,4.73,4.39,3.15,4.57,1.97,6.18,4.04,2.85,2.57,2.63,2.9,1.63,2.84,4.92,2.74,2.56,3.03,1.06,1.33,3.05,4.53,2.99,1.56,1.71,1.85,1.7,1.82,1.47,1.6,1.65,1.43,1.92,1.76,0.5,0.63,0.65,0.29,0.0,0.15,0.0,0.0,1.17,0.57,0.0,0.07,0.0,100.02
09/23/2021,2.88,3.98,4.73,4.39,3.15,4.57,1.97,6.18,4.04,2.85,2.57,2.63,2.9,1.63,2.84,4.92,2.74,2.56,3.03,1.06,1.33,3.05,4.53,2.99,1.56,1.71,1.85,1.7,1.82,1.47,1.6,1.65,1.43,1.92,1.76,0.5,0.63,0.65,0.29,0.0,0.15,0.0,0.0,1.17,0.57,0.0,0.07,0.0,100.02
09/24/2021,2.77,4.01,4.75,4.35,3.33,4.64,1.91,6.27,3.95,2.78,2.57,2.6,2.86,1.64,2.83,4.86,2.83,2.57,3.03,1.07,1.32,3.13,4.52,2.99,1.56,1.72,1.85,1.69,1.82,1.45,1.57,1.66,1.39,1.94,1.77,0.49,0.66,0.63,0.3,0.0,0.14,0.0,0.0,1.16,0.56,0.0,0.07,0.0,100.01
09/27/2021,2.8,4.84,4.14,4.24,3.35,4.78,1.95,6.26,3.9,2.88,2.53,2.64,3.23,1.65,2.76,4.89,2.87,2.44,3.12,1.09,1.47,3.07,3.94,2.76,1.59,1.78,1.8,1.68,1.86,1.55,1.55,1.68,1.34,1.92,1.68,0.48,0.65,0.64,0.29,0.0,0.14,0.0,0.0,1.14,0.55,0.0,0.1,0.0,100.02
09/28/2021,2.85,4.59,4.02,4.32,3.47,4.67,1.9,6.35,3.95,2.89,2.56,2.71,3.07,1.72,2.77,4.89,2.86,2.41,3.14,1.09,1.47,2.94,3.85,2.79,1.6,1.83,1.8,1.68,1.87,1.61,1.52,1.69,1.33,1.98,1.73,0.48,0.66,0.65,0.3,0.0,0.14,0.0,0.0,1.17,0.56,0.0,0.1,0.0,99.97999999999999
