,2331.HK,2020.HK,NKE,LULU,DXCM,2267.T,PUM.DE,ADS.DE,JD.L,6110.HK,7309.T,BN.PA,PTON,VFC,9910.TW,GIL.TO,SKX,COLM,DKS,HLF,FL,PLNT,CELH,GL9.IR,1368.HK,2670.T,7936.T,FRAS.L,9921.TW,SAFM,9904.TW,UAA,HAIN,551.HK,MED,9914.TW,SFM,081660.KS,NUS,8111.T,BFIT.AS,PBH,TGYM.MI,WW,4540.T,HCSG,2815.T,USNA,8114.T,111770.KS,CALM,HIBB,TVTY,BRBR,ZUMZ,CVGW,BKL.AX,SCVL,241590.KS,1736.TW,7085.T,7092.T,9802.TW,NLS,1598.TW,419.HK,CASH,419 HK,n/a,1598,SUM
07/09/2021,4.35,3.58,3.23,3.2,3.15,3.05,3.04,3.03,3.01,2.86,2.82,2.7,2.7,2.67,2.63,2.47,2.36,2.33,2.23,2.17,2.17,2.14,1.84,1.68,1.66,1.66,1.57,1.5,1.45,1.45,1.39,1.38,1.37,1.32,1.15,1.12,1.04,1.03,0.99,0.94,0.91,0.9,0.89,0.88,0.83,0.81,0.72,0.72,0.71,0.59,0.53,0.51,0.45,0.44,0.44,0.38,0.35,0.34,0.32,0.31,0.29,0.28,0.26,0.26,0.22,0.21,0.04,0.0,0.0,0.0,100.02
07/12/2021,4.38,3.54,3.27,3.25,3.23,3.09,3.06,3.07,2.94,2.7,2.9,2.68,2.73,2.65,2.67,2.39,2.34,2.32,2.26,2.18,2.2,2.11,1.8,1.64,1.8,1.66,1.56,1.51,1.42,1.45,1.41,1.35,1.4,1.32,1.14,1.1,1.07,1.02,0.98,0.94,0.9,0.89,0.88,0.82,0.83,0.81,0.73,0.73,0.73,0.57,0.55,0.53,0.45,0.44,0.42,0.38,0.36,0.33,0.32,0.31,0.28,0.27,0.26,0.25,0.21,0.21,0.04,0.0,0.0,0.0,100.03
07/13/2021,4.38,3.54,3.27,3.25,3.23,3.09,3.06,3.07,2.94,2.7,2.9,2.68,2.73,2.65,2.67,2.39,2.34,2.32,2.26,2.18,2.2,2.11,1.8,1.64,1.8,1.66,1.56,1.51,1.42,1.45,1.41,1.35,1.4,1.32,1.14,1.1,1.07,1.02,0.98,0.94,0.9,0.89,0.88,0.82,0.83,0.81,0.73,0.73,0.73,0.57,0.55,0.53,0.45,0.44,0.42,0.38,0.36,0.33,0.32,0.31,0.28,0.27,0.26,0.25,0.21,0.21,0.04,0.0,0.0,0.0,100.03
07/14/2021,4.51,3.74,3.25,3.25,3.15,3.05,3.07,3.1,2.98,2.66,2.85,2.66,2.57,2.7,2.58,2.44,2.36,2.34,2.31,2.17,2.26,2.14,1.8,1.66,1.81,1.63,1.51,1.53,1.38,1.43,1.41,1.4,1.39,1.3,1.16,1.06,1.09,0.97,1.0,0.92,0.9,0.9,0.88,0.81,0.81,0.81,0.71,0.73,0.73,0.54,0.55,0.54,0.45,0.44,0.44,0.38,0.36,0.34,0.3,0.31,0.28,0.27,0.25,0.24,0.21,0.2,0.04,0.0,0.0,0.0,100.01
07/15/2021,4.3,3.73,3.26,3.18,3.19,3.11,3.08,3.13,2.95,2.71,2.9,2.67,2.62,2.69,2.58,2.44,2.37,2.36,2.28,2.15,2.27,2.13,1.81,1.68,1.7,1.67,1.55,1.51,1.39,1.42,1.41,1.39,1.38,1.29,1.15,1.08,1.08,0.98,1.0,0.94,0.89,0.9,0.88,0.81,0.84,0.82,0.73,0.72,0.72,0.55,0.55,0.54,0.45,0.43,0.43,0.37,0.37,0.34,0.32,0.3,0.29,0.28,0.25,0.24,0.21,0.2,0.02,0.0,0.0,0.0,99.98
07/16/2021,4.43,3.76,3.27,3.21,3.21,3.13,3.1,3.13,2.91,2.7,2.87,2.68,2.63,2.67,2.62,2.41,2.35,2.34,2.29,2.13,2.21,2.13,1.82,1.69,1.65,1.69,1.59,1.52,1.41,1.42,1.38,1.36,1.37,1.3,1.13,1.08,1.06,0.99,0.98,0.95,0.89,0.9,0.88,0.79,0.85,0.82,0.73,0.72,0.71,0.56,0.54,0.53,0.45,0.43,0.42,0.37,0.36,0.34,0.34,0.31,0.28,0.28,0.25,0.23,0.2,0.2,0.04,0.0,0.0,0.0,99.99
07/19/2021,4.73,3.88,3.31,3.29,3.21,3.13,3.08,3.11,2.83,2.67,2.87,2.67,2.46,2.63,2.61,2.38,2.35,2.34,2.29,2.13,2.1,2.16,1.61,1.78,1.69,1.67,1.54,1.52,1.42,1.45,1.4,1.34,1.4,1.31,1.13,1.12,1.06,1.0,0.97,0.98,0.87,0.91,0.87,0.76,0.86,0.82,0.74,0.73,0.7,0.58,0.57,0.5,0.43,0.44,0.39,0.36,0.39,0.33,0.33,0.3,0.28,0.28,0.26,0.23,0.21,0.2,0.04,0.0,0.0,0.0,100.0
07/20/2021,4.73,3.88,3.31,3.29,3.21,3.13,3.08,3.11,2.83,2.67,2.87,2.67,2.46,2.63,2.61,2.38,2.35,2.34,2.29,2.13,2.1,2.16,1.61,1.78,1.69,1.67,1.54,1.52,1.42,1.45,1.4,1.34,1.4,1.31,1.13,1.12,1.06,1.0,0.97,0.98,0.87,0.91,0.87,0.76,0.86,0.82,0.74,0.73,0.7,0.58,0.57,0.5,0.43,0.44,0.39,0.36,0.39,0.33,0.33,0.3,0.28,0.28,0.26,0.23,0.21,0.2,0.04,0.0,0.0,0.0,100.0
07/21/2021,4.69,3.88,3.31,3.28,3.3,3.15,3.1,3.1,2.83,2.67,2.91,2.71,2.47,2.58,2.65,2.34,2.3,2.32,2.22,2.16,2.06,2.18,1.59,1.8,1.7,1.64,1.54,1.52,1.45,1.45,1.41,1.3,1.41,1.29,1.1,1.12,1.08,1.0,0.97,0.99,0.89,0.92,0.88,0.75,0.86,0.8,0.73,0.74,0.72,0.57,0.57,0.5,0.42,0.45,0.39,0.36,0.4,0.33,0.33,0.3,0.28,0.29,0.25,0.22,0.22,0.2,0.02,0.0,0.0,0.0,99.96
07/22/2021,4.68,3.9,3.31,3.34,3.24,3.2,3.11,3.07,2.79,2.67,2.97,2.71,2.68,2.55,2.6,2.33,2.28,2.31,2.24,2.16,2.03,2.09,1.64,1.77,1.65,1.66,1.52,1.46,1.47,1.47,1.4,1.29,1.46,1.27,1.11,1.15,1.1,1.0,0.96,1.01,0.87,0.94,0.87,0.74,0.86,0.82,0.72,0.74,0.72,0.57,0.55,0.5,0.42,0.45,0.37,0.37,0.39,0.33,0.33,0.3,0.27,0.29,0.25,0.24,0.22,0.19,0.02,0.0,0.0,0.0,99.99
