,2SPY  220531C00003370,2SPY  220531P00420050,Cash&Other,2SPY  220531C00470820,2SPY  220531P00382240,SUM
07/09/2021,99.09,5.97,0.75,-2.07,-3.74,100.0
07/12/2021,99.41,5.73,0.74,-2.28,-3.61,99.99
07/13/2021,99.41,5.73,0.74,-2.28,-3.61,99.99
07/14/2021,99.41,5.73,0.74,-2.28,-3.61,99.99
07/15/2021,99.6,5.6,0.74,-2.4,-3.54,99.99999999999996
07/16/2021,99.5,5.84,0.74,-2.36,-3.71,100.01
07/19/2021,99.37,5.97,0.73,-2.28,-3.8,99.99
07/20/2021,99.04,6.33,0.73,-2.06,-4.04,100.0
07/21/2021,99.04,6.33,0.73,-2.06,-4.04,100.0
07/22/2021,98.49,7.06,0.73,-1.75,-4.53,100.0
07/23/2021,99.1,6.34,0.75,-2.13,-4.06,100.0
07/26/2021,99.53,5.71,0.72,-2.31,-3.66,99.99
07/27/2021,99.91,5.51,0.72,-2.63,-3.51,100.0
07/28/2021,99.91,5.51,0.72,-2.63,-3.51,100.0
07/29/2021,100.1,5.42,0.71,-2.79,-3.45,99.98999999999998
07/30/2021,99.79,5.71,0.71,-2.56,-3.65,100.0
08/02/2021,99.91,5.43,0.71,-2.63,-3.43,99.99
08/03/2021,99.81,5.56,0.71,-2.59,-3.49,100.0
08/04/2021,99.81,5.56,0.71,-2.59,-3.49,100.0
08/05/2021,99.69,5.69,0.71,-2.47,-3.62,100.0
08/06/2021,99.94,5.36,0.7,-2.62,-3.39,99.99
08/10/2021,100.07,5.05,0.69,-2.66,-3.16,99.99
08/11/2021,100.07,5.05,0.69,-2.66,-3.16,99.99
08/13/2021,100.08,5.16,0.68,-2.69,-3.25,99.98
08/16/2021,100.33,4.88,0.67,-2.86,-3.03,99.99
08/17/2021,100.43,4.84,0.67,-2.92,-3.02,100.0
08/18/2021,100.43,4.84,0.67,-2.92,-3.02,100.0
08/19/2021,100.6,4.76,0.67,-3.07,-2.97,99.99
08/20/2021,100.25,5.13,0.67,-2.83,-3.22,100.0
08/23/2021,100.0,5.6,0.67,-2.69,-3.59,99.99
08/24/2021,100.25,5.22,0.66,-2.83,-3.31,99.99
08/25/2021,100.25,5.22,0.66,-2.83,-3.31,99.99
08/26/2021,100.64,4.76,0.66,-3.08,-2.98,100.0
08/27/2021,100.75,4.79,0.66,-3.16,-3.04,100.0
08/30/2021,100.56,4.92,0.65,-3.02,-3.11,100.00000000000001
