,700.HK,9988.HK,3690.HK,VALE3.SA,RELIANCE.NS,939.HK,INFY.NS,NIO,JD,2318.HK,HDFC.NS,2269.HK,BIDU,PDD,1810.HK,GAZP.ME,ICICIBANK.NS,NTES,SBER.ME,TCS.NS,LKOH.ME,M4B.,1398.HK,YUMC,2331.HK,ITUB4.SA,HINDUNILVR.NS,3988.HK,PETR4.SA,BY6.,600519.SS,AXISBANK.NS,2020.HK,BBDC4.SA,YNDX,2313.HK,2382.HK,GMKN.ME,NVTK.L,PETR3.SA,BAJFINANCE.NS,BILI,2319.HK,B3SA3.SA,TCOM,XTSLA,BHARTIARTL.NS,LI,175.HK,6098.HK,CHL.,BEKE,ASIANPAINT.NS,ABEV3.SA,BGNE,XPEV,1109.HK,291.HK,HKD,2688.HK,HCLTECH.NS,ZLAB,KOTAKBANK.NS,LT.NS,EDU,MARUTI.NS,SNPMF,ZTO,MGLU3.SA,300750.SZ,600036.SS,2333.HK,1093.HK,000858.SZ,WEGE3.SA,TCS.L,NTCO3.SA,SBIN.NS,857.HK,1177.HK,WIPRO.NS,TATN.ME,1801.HK,960.HK,HTHT,1918.HK,968.HK,TATASTEEL.NS,TECHM.NS,TME,ULTRACEMCO.NS,ITSA4.SA,2899.HK,ROSN.ME,DRREDDY.NS,M&M.NS,241.HK,GNDI3.SA,SUZB3.SA,384.HK,268.HK,1288.HK,TAL,VIPS,2007.HK,TITAN.NS,2601.HK,SUNPHARMA.NS,DIVISLAB.NS,JSWSTEEL.NS,992.HK,POLY.L,688.HK,586.HK,881.HK,1193.HK,NESTLEIND.NS,6186.HK,DMART.NS,1066.HK,RENT3.SA,LREN3.SA,AQE.,4.HK,6969.HK,601318.SS,1088.HK,TATAMOTORS.NS,GDS,POWERGRID.NS,1919.HK,BPAC11.SA,HDFCLIFE.NS,ITC.NS,HINDALCO.NS,267.HK,BRDT3.SA,PLZL.ME,TATACONSUM.NS,916.HK,CIPLA.NS,2328.HK,GGBR4.SA,NTPC.NS,SBILIFE.NS,1658.HK,6690.HK,2018.HK,1044.HK,853.HK,CSNA3.SA,BJFIN.NS,1833.HK,NAUKRI.NS,1024.HK,168.HK,BBDC3.SA,322.HK,ADANIGREEN.NS,JBSS3.SA,GRASIM.NS,INR,UPL.NS,600809.SS,3692.HK,300760.SZ,1772.HK,BBAS3.SA,285.HK,1548.HK,5M71.,CSAN3.SA,270.HK,ADANIPORTS.NS,3888.HK,RADL3.SA,BIDI11.SA,BPCL.NS,603288.SS,3323.HK,RAIL3.SA,000568.SZ,2202.HK,GODREJCP.NS,6862.HK,601012.SS,BRITANNIA.NS,PIDILITIND.NS,2196.HK,APOLLOHOSP.NS,ICICIGI.NS,148.HK,EICHERMOT.NS,ADANIENT.NS,HEROMOTOCO.NS,6618.HK,601888.SS,DABUR.NS,ATHM,3759.HK,SNGSP,NLMK.ME,ALRS.ME,CHMF.ME,3606.HK,ONGC.NS,2359.HK,TOTS3.SA,603259.SS,PIIND.NS,AMER3.SA,9930.TW,BHARATFORG.NS,EQTL3.SA,788.HK,VEDL.NS,3328.HK,2338.HK,PEL.NS,6030.HK,BRL,MOEX.ME,JUBLFOOD.NS,BAJAJFINSV.NS,836.HK,ADANITRANS.NS,ATGL.NS,DQ,300316.SZ,354.HK,1378.HK,D7N.,489.HK,HAVELLS.NS,SHREECEM.NS,600900.SS,336.HK,135.HK,3908.HK,CNH,LTI.NS,2238.HK,300059.SZ,1099.HK,BAJAJ-AUTO.NS,144.HK,DLF.NS,MOTHERSUMI.NS,CLV.,VBBR3.SA,SUM
07/09/2021,8.93,8.75,2.9,1.86,1.75,1.61,1.54,1.4,1.35,1.27,1.23,1.21,1.08,1.07,1.03,1.02,0.98,0.95,0.94,0.86,0.82,0.7,0.7,0.61,0.59,0.59,0.59,0.58,0.55,0.54,0.54,0.53,0.53,0.5,0.46,0.45,0.45,0.45,0.45,0.44,0.44,0.39,0.39,0.38,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.00000000000001
07/12/2021,8.68,8.47,2.76,1.88,1.77,1.51,1.58,1.31,1.36,1.26,1.27,1.26,1.04,1.06,1.04,1.03,0.99,0.94,0.96,0.88,0.82,0.69,0.7,0.61,0.61,0.59,0.59,0.59,0.55,0.55,0.55,0.55,0.54,0.5,0.48,0.44,0.46,0.46,0.45,0.44,0.44,0.37,0.39,0.39,0.35,0.3,0.37,0.35,0.36,0.34,0.31,0.31,0.33,0.32,0.32,0.34,0.31,0.3,0.43,0.3,0.3,0.29,0.28,0.29,0.23,0.27,0.26,0.26,0.28,0.29,0.24,0.25,0.26,0.25,0.25,0.23,0.23,0.23,0.21,0.22,0.22,0.21,0.21,0.21,0.2,0.21,0.22,0.22,0.21,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.18,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.18,0.17,0.18,0.18,0.18,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.17,0.17,0.16,0.14,0.16,0.15,0.15,0.15,0.14,0.15,0.16,0.15,0.16,0.16,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.13,0.13,0.11,0.1,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.74000000000001
07/13/2021,8.68,8.47,2.76,1.88,1.77,1.51,1.58,1.31,1.36,1.26,1.27,1.26,1.04,1.06,1.04,1.03,0.99,0.94,0.96,0.88,0.82,0.69,0.7,0.61,0.61,0.59,0.59,0.59,0.55,0.55,0.55,0.55,0.54,0.5,0.48,0.44,0.46,0.46,0.45,0.44,0.44,0.37,0.39,0.39,0.35,0.3,0.37,0.35,0.36,0.34,0.31,0.31,0.33,0.32,0.32,0.34,0.31,0.3,0.43,0.3,0.3,0.29,0.28,0.29,0.23,0.27,0.26,0.26,0.28,0.29,0.24,0.25,0.26,0.25,0.25,0.23,0.23,0.23,0.21,0.22,0.22,0.21,0.21,0.21,0.2,0.21,0.22,0.22,0.21,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.18,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.18,0.17,0.18,0.18,0.18,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.17,0.17,0.16,0.14,0.16,0.15,0.15,0.15,0.14,0.15,0.16,0.15,0.16,0.16,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.13,0.13,0.11,0.1,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.74000000000001
07/14/2021,8.78,8.33,2.85,1.88,1.74,1.48,1.57,1.29,1.4,1.24,1.25,1.31,1.07,1.07,1.08,1.04,0.98,0.96,0.96,0.86,0.81,0.68,0.7,0.61,0.63,0.59,0.59,0.58,0.55,0.54,0.54,0.54,0.57,0.5,0.47,0.45,0.46,0.46,0.44,0.43,0.44,0.39,0.39,0.39,0.35,0.23,0.38,0.34,0.35,0.34,0.31,0.32,0.32,0.32,0.33,0.34,0.31,0.3,0.43,0.3,0.3,0.29,0.28,0.29,0.24,0.27,0.26,0.27,0.27,0.28,0.24,0.27,0.26,0.25,0.25,0.23,0.23,0.22,0.21,0.22,0.22,0.21,0.2,0.2,0.2,0.21,0.22,0.23,0.21,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.18,0.19,0.18,0.17,0.16,0.16,0.17,0.18,0.18,0.18,0.18,0.18,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.16,0.14,0.15,0.14,0.15,0.15,0.14,0.15,0.14,0.15,0.16,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.15,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.0,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.65
07/15/2021,8.78,8.33,2.85,1.88,1.74,1.48,1.57,1.29,1.4,1.24,1.25,1.31,1.07,1.07,1.08,1.04,0.98,0.96,0.96,0.86,0.81,0.68,0.7,0.61,0.63,0.59,0.59,0.58,0.55,0.54,0.54,0.54,0.57,0.5,0.47,0.45,0.46,0.46,0.44,0.43,0.44,0.39,0.39,0.39,0.35,0.23,0.38,0.34,0.35,0.34,0.31,0.32,0.32,0.32,0.33,0.34,0.31,0.3,0.43,0.3,0.3,0.29,0.28,0.29,0.24,0.27,0.26,0.27,0.27,0.28,0.24,0.27,0.26,0.25,0.25,0.23,0.23,0.22,0.21,0.22,0.22,0.21,0.2,0.2,0.2,0.21,0.22,0.23,0.21,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.18,0.19,0.18,0.17,0.16,0.16,0.17,0.18,0.18,0.18,0.18,0.18,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.16,0.14,0.15,0.14,0.15,0.15,0.14,0.15,0.14,0.15,0.16,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.15,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.0,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.65
07/16/2021,8.87,8.57,2.95,1.91,1.73,1.45,1.52,1.25,1.42,1.23,1.25,1.25,1.06,1.06,1.07,1.02,1.0,0.97,0.95,0.84,0.8,0.68,0.68,0.59,0.6,0.6,0.58,0.58,0.56,0.57,0.53,0.54,0.56,0.51,0.46,0.44,0.43,0.47,0.43,0.44,0.43,0.39,0.38,0.41,0.35,0.21,0.37,0.34,0.37,0.33,0.31,0.31,0.32,0.33,0.32,0.32,0.31,0.31,0.42,0.3,0.29,0.29,0.28,0.28,0.24,0.27,0.26,0.27,0.28,0.28,0.23,0.28,0.27,0.25,0.25,0.22,0.23,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.19,0.21,0.22,0.22,0.2,0.19,0.21,0.21,0.2,0.19,0.18,0.19,0.19,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.17,0.16,0.16,0.17,0.17,0.18,0.17,0.18,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.16,0.14,0.16,0.14,0.15,0.15,0.14,0.15,0.14,0.15,0.16,0.15,0.16,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.13,0.12,0.14,0.12,0.13,0.12,0.14,0.14,0.13,0.13,0.12,0.13,0.14,0.11,0.11,0.12,0.12,0.12,0.12,0.13,0.12,0.13,0.14,0.11,0.11,0.12,0.11,0.12,0.1,0.11,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.1,0.0,0.0,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.11,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.75000000000001
07/19/2021,8.97,8.74,2.89,1.91,1.7,1.45,1.55,1.21,1.42,1.24,1.24,1.31,1.06,1.04,1.07,0.96,1.0,0.98,0.94,0.84,0.77,0.7,0.67,0.59,0.63,0.6,0.57,0.57,0.54,0.52,0.53,0.54,0.57,0.51,0.45,0.42,0.44,0.47,0.42,0.43,0.43,0.39,0.38,0.41,0.34,0.2,0.36,0.33,0.35,0.34,0.31,0.3,0.31,0.32,0.32,0.32,0.31,0.31,0.31,0.32,0.31,0.29,0.28,0.3,0.24,0.26,0.25,0.26,0.3,0.28,0.24,0.26,0.28,0.25,0.25,0.22,0.23,0.22,0.2,0.22,0.23,0.2,0.21,0.2,0.2,0.21,0.21,0.23,0.21,0.18,0.21,0.21,0.2,0.18,0.18,0.19,0.19,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.17,0.16,0.16,0.17,0.17,0.18,0.16,0.18,0.18,0.15,0.16,0.17,0.16,0.17,0.16,0.16,0.18,0.17,0.16,0.14,0.16,0.14,0.15,0.14,0.14,0.15,0.13,0.16,0.15,0.15,0.16,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.12,0.14,0.12,0.12,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.14,0.11,0.11,0.12,0.12,0.12,0.12,0.14,0.12,0.13,0.14,0.11,0.1,0.13,0.11,0.12,0.11,0.11,0.11,0.12,0.12,0.11,0.12,0.11,0.11,0.1,0.0,0.0,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.11,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.18,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.76000000000002
07/20/2021,8.97,8.74,2.89,1.91,1.7,1.45,1.55,1.21,1.42,1.24,1.24,1.31,1.06,1.04,1.07,0.96,1.0,0.98,0.94,0.84,0.77,0.7,0.67,0.59,0.63,0.6,0.57,0.57,0.54,0.52,0.53,0.54,0.57,0.51,0.45,0.42,0.44,0.47,0.42,0.43,0.43,0.39,0.38,0.41,0.34,0.2,0.36,0.33,0.35,0.34,0.31,0.3,0.31,0.32,0.32,0.32,0.31,0.31,0.31,0.32,0.31,0.29,0.28,0.3,0.24,0.26,0.25,0.26,0.3,0.28,0.24,0.26,0.28,0.25,0.25,0.22,0.23,0.22,0.2,0.22,0.23,0.2,0.21,0.2,0.2,0.21,0.21,0.23,0.21,0.18,0.21,0.21,0.2,0.18,0.18,0.19,0.19,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.17,0.16,0.16,0.17,0.17,0.18,0.16,0.18,0.18,0.15,0.16,0.17,0.16,0.17,0.16,0.16,0.18,0.17,0.16,0.14,0.16,0.14,0.15,0.14,0.14,0.15,0.13,0.16,0.15,0.15,0.16,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.12,0.14,0.12,0.12,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.14,0.11,0.11,0.12,0.12,0.12,0.12,0.14,0.12,0.13,0.14,0.11,0.1,0.13,0.11,0.12,0.11,0.11,0.11,0.12,0.12,0.11,0.12,0.11,0.11,0.1,0.0,0.0,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.11,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.18,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.76000000000002
07/22/2021,8.94,8.62,2.82,1.87,1.75,1.48,1.54,1.23,1.41,1.26,1.24,1.36,1.04,1.01,1.14,0.96,1.0,0.99,0.92,0.85,0.76,0.71,0.69,0.59,0.62,0.59,0.58,0.58,0.53,0.51,0.54,0.54,0.57,0.49,0.46,0.41,0.44,0.47,0.41,0.42,0.43,0.39,0.38,0.4,0.32,0.18,0.38,0.33,0.35,0.35,0.31,0.3,0.32,0.31,0.32,0.33,0.31,0.32,0.34,0.33,0.31,0.27,0.28,0.31,0.21,0.26,0.25,0.26,0.29,0.27,0.24,0.27,0.28,0.26,0.25,0.22,0.23,0.22,0.2,0.22,0.24,0.2,0.22,0.21,0.19,0.21,0.22,0.23,0.22,0.17,0.21,0.2,0.2,0.18,0.18,0.19,0.19,0.2,0.18,0.2,0.19,0.18,0.17,0.17,0.17,0.16,0.16,0.18,0.19,0.18,0.16,0.18,0.18,0.15,0.16,0.17,0.16,0.17,0.16,0.16,0.17,0.17,0.16,0.14,0.16,0.14,0.15,0.15,0.14,0.15,0.14,0.16,0.15,0.16,0.16,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.12,0.14,0.12,0.12,0.13,0.13,0.14,0.13,0.13,0.11,0.13,0.14,0.12,0.11,0.12,0.12,0.13,0.12,0.14,0.13,0.13,0.15,0.11,0.0,0.14,0.1,0.12,0.11,0.1,0.11,0.12,0.12,0.11,0.12,0.11,0.11,0.1,0.0,0.1,0.0,0.11,0.1,0.1,0.12,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.11,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.19,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.71
07/23/2021,8.86,8.66,2.82,1.88,1.76,1.46,1.56,1.26,1.41,1.25,1.23,1.35,1.05,0.99,1.12,0.97,0.99,1.0,0.94,0.87,0.77,0.7,0.68,0.6,0.65,0.59,0.59,0.58,0.53,0.51,0.54,0.54,0.57,0.5,0.46,0.41,0.44,0.47,0.42,0.42,0.43,0.41,0.39,0.4,0.32,0.18,0.37,0.33,0.34,0.33,0.31,0.3,0.34,0.31,0.32,0.34,0.31,0.33,0.34,0.33,0.3,0.28,0.28,0.31,0.22,0.26,0.25,0.27,0.29,0.27,0.24,0.27,0.28,0.26,0.25,0.23,0.23,0.22,0.19,0.22,0.24,0.19,0.22,0.21,0.19,0.19,0.21,0.23,0.22,0.17,0.22,0.2,0.19,0.18,0.18,0.19,0.18,0.19,0.18,0.19,0.19,0.18,0.17,0.18,0.16,0.16,0.16,0.17,0.19,0.18,0.16,0.17,0.18,0.15,0.16,0.17,0.17,0.17,0.17,0.15,0.17,0.16,0.16,0.14,0.16,0.14,0.15,0.14,0.15,0.15,0.13,0.16,0.15,0.16,0.16,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.12,0.14,0.11,0.12,0.13,0.13,0.14,0.12,0.13,0.11,0.13,0.14,0.11,0.11,0.13,0.13,0.13,0.12,0.14,0.13,0.13,0.15,0.11,0.1,0.13,0.1,0.12,0.11,0.1,0.11,0.12,0.12,0.11,0.12,0.11,0.11,0.1,0.0,0.1,0.11,0.11,0.1,0.1,0.12,0.11,0.1,0.11,0.1,0.0,0.1,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.19,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.71000000000001
