,AMC,OVV,LSI,NTNX,REXR,CROX,SPCE,IIVI,THC,XEC,LSCC,STAA,LEG,SNV,PB,AYI,FAF,FR,VAC,SF,HQY,BRX,PNFP,NVST,FFIN,ACC,AMG,FL,FUO.,SLAB,HBI,NXST,SRCL,DKS,RDFN,EME,SLM,PACB,WH,SON,TTEK,SKX,EGP,JHG,OLN,AA,MAN,X,PRGO,NVTA,LITE,TMX,BPOP,BLD,SRPT,POST,FOXF,BJ,COHR,OMCL,PLNT,MDU,HALO,LFUS,DNLI,EXP,COIN,UNM,APPS,MSA,STAG,SSB,VVV,INGR,GMED,NCR,LSTR,TNDM,NVRO,VRNS,M,SWAV,CDK,CACI,EQT,PRI,HTA,NOV,AEO,MMS,SLG,COR,CC,LPX,BL,RL,JCOM,RXN,ACHC,DEI,KBR,NEO,JBLU,HELE,BHVN,INSP,GBCI,ADS,HXL,IBKR,APPN,CFX,BWXT,IONS,SRC,TKR,NATI,CUZ,TDC,EVR,QTWO,SAIA,VLY,NTLA,ZI,VNT,TWST,SYNA,TNL,HFC,CACC,WBS,UPWK,UBSI,SKLZ,OZK,GPK,PSTG,ESI,ROLL,EVBG,CHK,PK,WSC,BPMC,ASGN,FLS,HUN,CHNG,SAIC,QTS,RBC,AYX,ESNT,RPD,NYCB,FSLY,S9Q.,CIT,NVT,GT,GTLS,NFG,PDCE,POWI,BXMT,SAIL,ASH,LAZR,HIW,CDNA,MTG,WK,SIGI,DDD,IRDM,FEYE,NEOG,PACW,AWI,THG,QRTEA,OLLI,CHX,SNX,IDA,STL,MEDP,NRZ,RYN,CW,IART,VMI,ACIW,NOVT,QDEL,ADC,CR,WCC,ITRI,DLB,MSTR,SPR,CRUS,SSD,FLO,WING,FCN,CLH,EXPO,STMP,IIPR,None,AMN,ENSG,HLF,HE,TRNO,CRI,BCPC,RLI,PNM,AL,HRB,JBT,GRA,LOPE,POR,SEM,HLI,ALSN,AVNT,RHP,CDLX,CAR,EYE,FTDR,MRVI,REZI,WTS,AQUA,BKH,NEWR,HR,UMPQ,MGNI,RDN,CRNC,HASI,KLIC,UFPI,EDIT,SUM
07/09/2021,0.93,0.3,0.29,0.28,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.01
07/12/2021,0.93,0.3,0.29,0.28,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.01
07/13/2021,0.93,0.3,0.29,0.28,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.01
07/14/2021,0.93,0.3,0.29,0.28,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.01
07/15/2021,0.93,0.3,0.29,0.28,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.01
07/16/2021,0.93,0.3,0.29,0.28,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.01
07/19/2021,0.99,0.29,0.29,0.27,0.27,0.26,0.21,0.26,0.25,0.26,0.27,0.25,0.24,0.23,0.23,0.23,0.24,0.23,0.24,0.24,0.23,0.24,0.23,0.24,0.24,0.22,0.22,0.22,0.0,0.24,0.23,0.22,0.23,0.23,0.23,0.23,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.22,0.21,0.21,0.22,0.21,0.21,0.23,0.22,0.22,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.22,0.22,0.21,0.24,0.2,0.21,0.21,0.21,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.22,0.21,0.2,0.21,0.2,0.19,0.19,0.2,0.2,0.21,0.2,0.2,0.2,0.21,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.35,0.19,0.19,0.19,0.19,0.18,0.17,0.18,0.17,0.19,0.17,0.19,0.18,0.18,0.17,0.18,0.17,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.0,0.18,0.18,0.17,0.18,0.17,0.0,0.17,0.16,0.16,0.17,0.0,0.16,0.17,0.0,0.16,0.17,0.17,0.16,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.22,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.06
07/20/2021,0.99,0.29,0.29,0.27,0.27,0.26,0.21,0.26,0.25,0.26,0.27,0.25,0.24,0.23,0.23,0.23,0.24,0.23,0.24,0.24,0.23,0.24,0.23,0.24,0.24,0.22,0.22,0.22,0.0,0.24,0.23,0.22,0.23,0.23,0.23,0.23,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.22,0.21,0.21,0.22,0.21,0.21,0.23,0.22,0.22,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.22,0.22,0.21,0.24,0.2,0.21,0.21,0.21,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.22,0.21,0.2,0.21,0.2,0.19,0.19,0.2,0.2,0.21,0.2,0.2,0.2,0.21,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.35,0.19,0.19,0.19,0.19,0.18,0.17,0.18,0.17,0.19,0.17,0.19,0.18,0.18,0.17,0.18,0.17,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.0,0.18,0.18,0.17,0.18,0.17,0.0,0.17,0.16,0.16,0.17,0.0,0.16,0.17,0.0,0.16,0.17,0.17,0.16,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.22,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.06
07/21/2021,0.99,0.29,0.29,0.27,0.27,0.26,0.21,0.26,0.25,0.26,0.27,0.25,0.24,0.23,0.23,0.23,0.24,0.23,0.24,0.24,0.23,0.24,0.23,0.24,0.24,0.22,0.22,0.22,0.0,0.24,0.23,0.22,0.23,0.23,0.23,0.23,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.22,0.21,0.21,0.22,0.21,0.21,0.23,0.22,0.22,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.22,0.22,0.21,0.24,0.2,0.21,0.21,0.21,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.22,0.21,0.2,0.21,0.2,0.19,0.19,0.2,0.2,0.21,0.2,0.2,0.2,0.21,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.35,0.19,0.19,0.19,0.19,0.18,0.17,0.18,0.17,0.19,0.17,0.19,0.18,0.18,0.17,0.18,0.17,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.0,0.18,0.18,0.17,0.18,0.17,0.0,0.17,0.16,0.16,0.17,0.0,0.16,0.17,0.0,0.16,0.17,0.17,0.16,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.22,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.06
07/22/2021,0.65,0.24,0.32,0.26,0.3,0.28,0.0,0.27,0.26,0.24,0.26,0.23,0.23,0.22,0.23,0.22,0.25,0.26,0.23,0.24,0.23,0.24,0.24,0.24,0.25,0.25,0.25,0.21,0.24,0.24,0.23,0.22,0.24,0.23,0.22,0.24,0.24,0.2,0.23,0.25,0.25,0.23,0.26,0.25,0.22,0.22,0.23,0.22,0.23,0.2,0.23,0.24,0.21,0.23,0.2,0.23,0.24,0.25,0.24,0.24,0.22,0.22,0.21,0.22,0.2,0.21,0.22,0.2,0.18,0.22,0.23,0.2,0.2,0.22,0.23,0.21,0.22,0.23,0.2,0.23,0.19,0.2,0.22,0.23,0.2,0.21,0.23,0.19,0.19,0.2,0.19,0.22,0.19,0.19,0.21,0.19,0.22,0.22,0.2,0.2,0.2,0.19,0.17,0.2,0.26,0.18,0.18,0.17,0.17,0.18,0.18,0.19,0.2,0.19,0.21,0.19,0.2,0.21,0.19,0.19,0.2,0.19,0.19,0.33,0.2,0.2,0.18,0.19,0.17,0.0,0.2,0.16,0.17,0.17,0.0,0.18,0.18,0.17,0.18,0.18,0.19,0.18,0.0,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.17,0.18,0.21,0.19,0.0,0.0,0.17,0.18,0.0,0.19,0.17,0.0,0.18,0.0,0.17,0.17,0.0,0.18,0.0,0.17,0.19,0.17,0.0,0.17,0.18,0.18,0.0,0.18,0.18,0.0,0.19,0.0,0.17,0.2,0.0,0.18,0.0,0.19,0.17,0.17,0.18,0.0,0.17,0.2,0.18,0.0,0.16,0.0,0.0,0.0,0.0,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.22,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.43
