,2SPY  220429C00003350,2SPY  220429P00417310,Cash&Other,2SPY  220429C00474050,2SPY  220429P00379740,SUM
07/09/2021,98.85,5.31,0.66,-1.55,-3.26,100.01
07/12/2021,99.16,5.08,0.65,-1.72,-3.17,100.0
07/13/2021,99.16,5.08,0.65,-1.72,-3.17,100.0
07/14/2021,99.16,5.08,0.65,-1.72,-3.17,100.0
07/15/2021,99.32,4.96,0.64,-1.85,-3.08,99.99
07/16/2021,99.17,5.18,0.64,-1.78,-3.22,99.99
07/19/2021,99.11,5.29,0.63,-1.74,-3.31,99.98
07/20/2021,98.78,5.66,0.64,-1.55,-3.52,100.01
07/21/2021,98.78,5.66,0.64,-1.55,-3.52,100.01
07/22/2021,98.32,6.34,0.64,-1.3,-4.0,100.0
07/23/2021,98.88,5.67,0.63,-1.6,-3.58,100.0
07/26/2021,99.19,5.15,0.63,-1.77,-3.21,99.99
07/27/2021,99.58,4.85,0.62,-2.03,-3.03,99.99
07/28/2021,99.58,4.85,0.62,-2.03,-3.03,99.99
