,DOCU,RUN,NVDA,TWTR,ZM,HUBS,DECK,ADBE,NKE,LLY,TWLO,NOW,INTU,PYPL,ISRG,RNG,AAPL,SNPS,SNAP,MCO,SPGI,TMO,TSLA,EQIX,OKTA,VEEV,PAYX,EPAM,CARR,ICE,LB,GOOG,TROW,VFC,AXP,GOOGL,HPQ,AMGN,V,EL,TRU,VTR,WDAY,CRM,MMC,SYK,MA,ADSK,MRK,CCI,F,APH,SCI,KMB,BR,PFE,ADP,PLD,BMY,ORCL,CSCO,ABBV,TJX,WORK,ABT,AWK,BLK,GPS,BBY,TT,AMAT,MDT,VZ,SCHW,TMX,EA,T,BK,HCA,OMC,IPG,UNH,JNJ,CME,CTSH,MAS,LRCX,MAR,FBHS,AMP,FIS,STT,GIS,CB,AON,WDC,FISV,CI,AIG,STX,OGN,VSCO WI,BBWI WI,VSCO,ADI,GM,HD,TXN,NFLX,MCD,XOM,LOW,AVGO,BKNG,COST,AMT,ACN,INTC,WFC,MU,PG,DIS,MSFT,CVX,AMZN,NEE,TGT,DHR,ANTM,PM,PEP,RTX,JPM,CVS,UPS,FB,KO,MS,WMT,SBUX,C,IBM,BA,BRK.B,DUK,BAC,CAT,ATVI,GE,AMD,GS,SQ,LMT,HON,CMCSA,QCOM,FCX,TMUS,UNP,MMM,CHTR,MCHP,VRSK,INFO,BDX,XLNX,RSG,KEYS,RL,ECL,HRB,JCI,CL,CMI,ROL,SWK,WTRG,PHM,LBEUR,KD WI,SUM
07/09/2021,1.33,1.21,1.2,1.13,1.12,1.12,1.12,1.12,1.11,1.11,1.11,1.11,1.08,1.07,1.06,1.06,1.06,1.05,1.05,1.05,1.05,1.04,1.04,1.04,1.04,1.04,1.03,1.03,1.02,1.01,1.01,1.01,1.01,1.01,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.95,0.95,0.95,0.95,0.95,0.94,0.94,0.94,0.94,0.94,0.93,0.93,0.93,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.89,0.88,0.87,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06000000000002
07/12/2021,1.37,1.15,1.2,1.13,1.14,1.15,1.11,1.15,1.12,1.13,1.1,1.13,1.1,1.09,1.08,1.09,1.11,1.05,1.0,1.07,1.06,1.06,0.98,1.07,1.07,1.07,1.04,1.05,1.02,1.0,0.99,1.03,1.02,0.98,1.02,1.03,0.99,0.98,1.01,0.99,1.01,0.99,1.0,1.0,0.98,0.99,0.99,0.99,0.99,1.01,0.94,0.99,0.99,0.99,1.01,0.97,0.99,1.0,0.98,1.04,0.96,0.98,0.96,0.97,0.98,1.01,0.98,0.9,0.9,0.97,0.93,0.96,0.96,0.91,0.97,0.95,0.94,0.91,0.96,0.92,0.92,0.95,0.96,0.9,0.92,0.93,0.9,0.93,0.92,0.91,0.93,0.89,0.92,0.91,0.9,0.88,0.9,0.87,0.85,0.88,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,1.37,1.15,1.2,1.13,1.14,1.15,1.11,1.15,1.12,1.13,1.1,1.13,1.1,1.09,1.08,1.09,1.11,1.05,1.0,1.07,1.06,1.06,0.98,1.07,1.07,1.07,1.04,1.05,1.02,1.0,0.99,1.03,1.02,0.98,1.02,1.03,0.99,0.98,1.01,0.99,1.01,0.99,1.0,1.0,0.98,0.99,0.99,0.99,0.99,1.01,0.94,0.99,0.99,0.99,1.01,0.97,0.99,1.0,0.98,1.04,0.96,0.98,0.96,0.97,0.98,1.01,0.98,0.9,0.9,0.97,0.93,0.96,0.96,0.91,0.97,0.95,0.94,0.91,0.96,0.92,0.92,0.95,0.96,0.9,0.92,0.93,0.9,0.93,0.92,0.91,0.93,0.89,0.92,0.91,0.9,0.88,0.9,0.87,0.85,0.88,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/14/2021,1.36,1.12,1.18,1.13,1.11,1.14,1.11,1.14,1.13,1.12,1.11,1.14,1.09,1.1,1.08,1.07,1.11,1.05,1.01,1.07,1.04,1.05,1.0,1.06,1.08,1.05,1.05,1.05,1.0,1.01,1.0,1.03,1.02,0.99,1.02,1.02,0.98,0.98,1.0,0.99,1.01,1.01,1.0,0.98,0.98,0.99,0.99,0.99,0.98,1.01,0.95,1.0,0.99,0.99,1.01,0.98,0.99,1.01,0.97,1.06,0.97,0.98,0.97,0.96,0.98,1.0,0.98,0.92,0.91,0.97,0.93,0.97,0.95,0.91,0.96,0.94,0.92,0.91,0.97,0.93,0.94,0.95,0.96,0.91,0.92,0.92,0.9,0.95,0.91,0.91,0.92,0.92,0.91,0.91,0.89,0.89,0.9,0.87,0.85,0.88,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/15/2021,1.36,1.16,1.2,1.15,1.09,1.11,1.12,1.13,1.13,1.12,1.11,1.13,1.09,1.11,1.08,1.04,1.1,1.04,0.99,1.06,1.03,1.04,1.04,1.07,1.05,1.05,1.05,1.06,1.02,1.0,1.04,1.03,1.05,0.99,1.03,1.03,0.95,0.98,1.0,0.99,1.01,1.02,0.98,0.97,0.97,0.99,0.99,0.97,0.97,1.02,0.96,0.99,1.01,0.98,1.0,0.98,0.99,1.03,0.98,1.05,0.96,0.99,0.96,0.95,0.97,1.0,0.99,0.92,0.91,0.98,0.94,0.96,0.95,0.92,0.97,0.94,0.92,0.92,0.98,0.92,0.93,0.96,0.95,0.91,0.92,0.92,0.91,0.94,0.91,0.92,0.93,0.92,0.9,0.92,0.87,0.9,0.9,0.86,0.85,0.88,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/16/2021,1.35,1.14,1.19,1.15,1.09,1.09,1.11,1.15,1.13,1.13,1.11,1.13,1.1,1.11,1.09,1.03,1.12,1.05,0.98,1.07,1.03,1.05,1.02,1.07,1.07,1.05,1.06,1.07,1.02,1.01,1.01,1.04,1.03,0.98,1.03,1.03,0.92,0.98,1.02,1.0,1.0,1.02,0.97,0.98,0.97,0.98,1.02,0.99,0.98,1.01,0.95,0.99,1.0,0.98,1.01,0.98,0.99,1.02,0.98,1.06,0.96,1.0,0.96,0.95,0.97,1.0,0.99,0.9,0.9,0.98,0.94,0.96,0.95,0.93,0.95,0.96,0.92,0.92,0.98,0.91,0.92,0.97,0.96,0.92,0.92,0.93,0.92,0.92,0.89,0.92,0.94,0.92,0.9,0.92,0.87,0.89,0.91,0.87,0.85,0.88,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/19/2021,1.32,1.01,1.12,1.13,1.04,1.05,1.09,1.16,1.14,1.12,1.05,1.13,1.1,1.1,1.09,0.99,1.15,1.05,0.94,1.08,1.05,1.06,1.0,1.09,1.03,1.04,1.07,1.09,1.04,1.01,1.02,1.05,1.03,0.96,1.04,1.04,0.93,1.0,1.05,1.03,1.03,1.03,0.96,0.96,0.98,0.97,1.04,0.99,0.99,1.03,0.93,0.99,1.02,1.0,1.03,1.0,1.02,1.04,0.99,1.06,0.98,1.0,0.97,0.97,0.96,1.03,0.97,0.86,0.93,0.99,0.93,0.95,0.96,0.92,0.96,0.96,0.93,0.9,0.99,0.92,0.92,0.98,0.96,0.93,0.93,0.94,0.9,0.94,0.9,0.92,0.96,0.91,0.92,0.94,0.88,0.86,0.93,0.87,0.88,0.87,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000003
07/20/2021,1.32,1.01,1.12,1.13,1.04,1.05,1.09,1.16,1.14,1.12,1.05,1.13,1.1,1.1,1.09,0.99,1.15,1.05,0.94,1.08,1.05,1.06,1.0,1.09,1.03,1.04,1.07,1.09,1.04,1.01,1.02,1.05,1.03,0.96,1.04,1.04,0.93,1.0,1.05,1.03,1.03,1.03,0.96,0.96,0.98,0.97,1.04,0.99,0.99,1.03,0.93,0.99,1.02,1.0,1.03,1.0,1.02,1.04,0.99,1.06,0.98,1.0,0.97,0.97,0.96,1.03,0.97,0.86,0.93,0.99,0.93,0.95,0.96,0.92,0.96,0.96,0.93,0.9,0.99,0.92,0.92,0.98,0.96,0.93,0.93,0.94,0.9,0.94,0.9,0.92,0.96,0.91,0.92,0.94,0.88,0.86,0.93,0.87,0.88,0.87,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000003
07/21/2021,1.35,1.0,1.08,1.11,1.06,1.08,1.08,1.16,1.13,1.13,1.08,1.14,1.1,1.1,1.09,1.01,1.14,1.05,0.92,1.09,1.06,1.07,1.0,1.09,1.02,1.05,1.07,1.07,1.03,1.01,1.01,1.06,1.03,0.94,1.03,1.04,0.91,1.01,1.06,1.02,1.05,1.04,0.96,0.97,0.99,0.98,1.04,0.99,0.99,1.04,0.91,0.98,1.02,1.03,1.03,1.01,1.01,1.05,0.99,1.07,0.98,1.0,0.97,0.98,0.97,1.05,0.96,0.82,0.92,1.0,0.9,0.96,0.97,0.9,0.98,0.97,0.93,0.92,0.99,0.91,0.9,0.99,0.96,0.93,0.92,0.95,0.87,0.91,0.89,0.92,0.97,0.94,0.92,0.95,0.89,0.83,0.93,0.87,0.86,0.85,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,1.35,1.0,1.08,1.11,1.06,1.08,1.08,1.16,1.13,1.13,1.08,1.14,1.1,1.1,1.09,1.01,1.14,1.05,0.92,1.09,1.06,1.07,1.0,1.09,1.02,1.05,1.07,1.07,1.03,1.01,1.01,1.06,1.03,0.94,1.03,1.04,0.91,1.01,1.06,1.02,1.05,1.04,0.96,0.97,0.99,0.98,1.04,0.99,0.99,1.04,0.91,0.98,1.02,1.03,1.03,1.01,1.01,1.05,0.99,1.07,0.98,1.0,0.97,0.98,0.97,1.05,0.96,0.82,0.92,1.0,0.9,0.96,0.97,0.9,0.98,0.97,0.93,0.92,0.99,0.91,0.9,0.99,0.96,0.93,0.92,0.95,0.87,0.91,0.89,0.92,0.97,0.94,0.92,0.95,0.89,0.83,0.93,0.87,0.86,0.85,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
