,916.HK,384.HK,2688.HK,270.HK,1193.HK,836.HK,600900 C1,371.HK,1816 HK,135.HK,392.HK,2380.HK,601985 C1,600886 C1,600674 C1,902 HK,000027 C2,600642 C1,600803 C1,600027 C1,600011 C1,CASH,B 08/12/21,n/a,SUM
07/09/2021,9.43,9.04,8.95,8.36,8.18,5.14,4.55,4.54,4.49,4.31,4.27,4.12,3.79,3.7,3.39,2.99,2.76,2.29,2.29,1.74,1.38,0.3,0.0,0.0,100.01
07/12/2021,9.62,9.14,8.92,8.34,8.19,5.0,4.59,4.55,4.56,4.21,4.15,4.14,3.69,3.68,3.38,2.91,2.73,2.3,2.4,1.75,1.37,0.41,0.0,0.0,100.03
07/13/2021,9.62,9.14,8.92,8.34,8.19,5.0,4.59,4.55,4.56,4.21,4.15,4.14,3.69,3.68,3.38,2.91,2.73,2.3,2.4,1.75,1.37,0.41,0.0,0.0,100.03
07/14/2021,9.49,9.05,8.98,8.27,8.27,5.08,4.59,4.55,4.55,4.24,4.13,4.08,3.66,3.68,3.42,2.86,2.76,2.31,2.5,1.76,1.36,0.41,0.0,0.0,100.0
07/15/2021,9.51,9.07,9.12,8.27,8.28,5.11,4.54,4.54,4.64,4.35,4.16,4.08,3.69,3.64,3.38,2.88,2.76,2.29,2.5,1.75,1.37,0.1,0.0,0.0,100.03
07/16/2021,9.43,9.17,9.14,8.27,8.14,5.05,4.52,4.46,4.57,4.34,4.11,4.11,3.64,3.69,3.47,2.92,2.97,2.17,2.55,1.74,1.35,0.2,0.0,0.0,100.01
07/19/2021,9.16,9.36,9.79,8.45,8.54,4.95,4.43,4.45,4.45,4.38,4.05,4.02,3.43,3.57,3.28,2.82,2.82,2.12,2.51,1.7,1.3,0.39,0.0,0.0,99.97
07/20/2021,9.16,9.36,9.79,8.45,8.54,4.95,4.43,4.45,4.45,4.38,4.05,4.02,3.43,3.57,3.28,2.82,2.82,2.12,2.51,1.7,1.3,0.39,0.0,0.0,99.97
07/21/2021,9.41,9.29,9.64,8.37,8.44,5.0,4.24,4.5,4.47,4.21,4.03,4.3,3.42,3.57,3.28,2.86,2.79,2.17,2.5,1.72,1.3,0.49,0.0,0.0,100.0
07/22/2021,9.18,9.32,9.73,8.47,8.5,5.05,4.28,4.5,4.48,4.23,4.0,4.38,3.46,3.57,3.23,2.82,2.67,2.11,2.51,1.73,1.29,0.49,0.0,0.0,100.0
07/23/2021,8.93,9.24,9.85,8.61,8.69,5.11,4.3,4.47,4.45,4.16,4.04,4.31,3.52,3.35,3.19,2.84,2.71,2.13,2.55,1.75,1.3,0.49,0.0,0.0,99.98999999999998
07/26/2021,9.24,9.19,9.93,8.53,8.45,5.45,4.15,4.45,4.47,4.14,4.0,4.37,3.5,3.28,3.16,2.84,2.67,2.08,2.6,1.61,1.29,0.6,0.0,0.0,100.0
07/27/2021,9.24,9.19,9.93,8.53,8.45,5.45,4.15,4.45,4.47,4.14,4.0,4.37,3.5,3.28,3.16,2.84,2.67,2.08,2.6,1.61,1.29,0.6,0.0,0.0,100.0
07/29/2021,8.83,9.19,10.1,8.42,8.68,5.55,4.29,4.55,4.5,4.19,4.01,4.42,3.6,3.27,3.11,2.84,2.64,2.12,2.62,1.63,1.33,0.11,0.0,0.0,100.0
07/30/2021,8.8,9.35,10.23,8.36,8.77,5.71,4.22,4.47,4.46,4.21,3.98,4.32,3.57,3.2,2.98,2.82,2.68,2.14,2.58,1.68,1.38,0.11,0.0,0.0,100.02
08/02/2021,9.76,9.14,10.02,8.44,8.64,5.93,4.24,4.34,4.36,4.21,3.95,4.27,3.5,3.16,2.97,2.82,2.54,2.12,2.54,1.66,1.31,-5.93,6.03,0.0,100.02
08/03/2021,9.76,9.14,10.02,8.44,8.64,5.93,4.24,4.34,4.36,4.21,3.95,4.27,3.5,3.16,2.97,2.82,2.54,2.12,2.54,1.66,1.31,-5.93,6.03,0.0,100.02
08/04/2021,10.2,9.12,9.79,8.29,8.49,6.37,4.24,4.32,4.42,4.13,3.85,4.21,3.5,3.16,2.98,2.78,2.55,2.1,2.48,1.62,1.3,-5.81,5.91,0.0,100.0
08/05/2021,10.48,9.07,9.88,8.13,8.26,6.51,4.13,4.3,4.36,4.07,3.86,4.47,3.51,3.15,2.93,2.84,2.51,2.06,2.47,1.61,1.32,-5.7,5.79,0.0,100.01
08/06/2021,10.38,9.21,10.02,8.19,8.25,6.72,4.08,4.3,4.31,3.98,3.83,4.47,3.49,3.13,2.92,2.86,2.42,2.05,2.38,1.63,1.31,0.09,0.0,0.0,100.02
08/10/2021,10.15,9.2,9.83,8.23,8.31,6.79,4.17,4.24,4.23,4.08,3.84,4.47,3.54,3.15,2.94,2.96,2.41,2.14,2.29,1.63,1.31,0.0,0.0,0.08,99.99
08/11/2021,9.97,9.27,9.85,8.12,8.29,6.84,4.16,4.33,4.24,3.97,3.85,4.52,3.59,3.21,2.92,3.0,2.38,2.13,2.31,1.66,1.32,0.0,0.0,0.08,100.00999999999998
08/12/2021,9.78,9.15,9.87,8.19,8.3,6.98,4.18,4.3,4.27,4.0,3.84,4.61,3.6,3.25,2.92,2.99,2.4,2.1,2.27,1.63,1.3,0.0,0.0,0.08,100.01
08/13/2021,9.67,9.01,9.82,8.25,8.45,7.02,4.21,4.3,4.28,4.08,3.85,4.51,3.62,3.26,2.94,2.99,2.38,2.13,2.22,1.63,1.29,0.0,0.0,0.07,99.98
08/16/2021,9.38,8.91,9.85,8.1,8.24,7.08,4.2,4.37,4.28,4.23,3.88,4.89,3.56,3.25,2.94,3.05,2.39,2.15,2.24,1.63,1.3,0.0,0.0,0.07,99.99
08/18/2021,9.27,8.92,10.0,7.92,8.23,6.88,4.17,4.48,4.25,4.3,3.92,4.99,3.54,3.24,2.97,3.06,2.36,2.13,2.4,1.61,1.3,0.0,0.0,0.07,100.01
08/19/2021,8.94,8.9,10.18,7.94,8.28,6.87,4.21,4.37,4.22,4.26,3.94,5.1,3.53,3.24,2.94,3.09,2.37,2.2,2.37,1.64,1.34,0.0,0.0,0.06,99.99
08/20/2021,8.94,8.85,9.72,7.99,8.48,6.96,4.24,4.42,4.29,4.34,3.9,5.02,3.52,3.14,2.97,3.02,2.35,2.22,2.47,1.65,1.33,0.0,0.0,0.16,99.98
08/23/2021,8.83,8.65,9.62,7.96,8.39,6.86,4.28,4.46,4.25,4.33,3.88,5.14,3.59,3.19,2.96,3.29,2.27,2.21,2.47,1.69,1.52,0.0,0.0,0.15,99.99
08/24/2021,8.83,8.65,9.62,7.96,8.39,6.86,4.28,4.46,4.25,4.33,3.88,5.14,3.59,3.19,2.96,3.29,2.27,2.21,2.47,1.69,1.52,0.0,0.0,0.15,99.99
08/25/2021,8.94,8.27,9.35,7.93,8.18,7.5,4.26,4.42,4.33,4.27,3.78,5.3,3.62,3.19,2.89,3.33,2.22,2.2,2.47,1.68,1.55,0.0,0.0,0.34,100.02
08/26/2021,9.41,8.21,8.95,7.53,7.85,8.04,4.08,4.29,4.31,4.18,3.63,5.99,3.42,3.02,2.77,3.86,2.14,2.09,2.52,1.75,1.62,0.0,0.0,0.31,99.97
