,VEDL,GLEN.L,IVN.TO,2899 HK,TECK/B CN,FM.TO,FCX,BOL.ST,KGH.WA,GMEXICOB.MX,358 HK,OZL.AX,SCCO,ANTO.L,LUN.TO,HBM.TO,TRQ,CS.TO,ERO.TO,2362.HK,1208.HK,SFR.AX,2099 HK,CAML.L,CMMC.TO,TGB,ALS.TO,1258.HK,SOLG.L,SMTS,1515.T,NAK,ATYM.L,CASH,n/a,SUM
07/09/2021,5.91,5.24,5.24,5.18,5.08,4.97,4.82,4.79,4.76,4.67,4.54,4.37,4.21,3.83,3.57,3.33,3.3,2.97,2.97,2.96,2.03,1.71,1.26,1.14,1.12,1.06,1.05,0.93,0.79,0.61,0.57,0.46,0.43,0.09,0.0,99.96
07/12/2021,5.84,5.22,5.42,5.03,5.15,5.07,4.68,4.87,4.71,4.61,4.44,4.35,4.27,3.88,3.66,3.46,3.29,3.02,3.0,2.93,1.97,1.69,1.25,1.14,1.12,1.03,1.05,0.9,0.8,0.62,0.57,0.44,0.42,0.09,0.0,99.99
07/13/2021,5.84,5.22,5.42,5.03,5.15,5.07,4.68,4.87,4.71,4.61,4.44,4.35,4.27,3.88,3.66,3.46,3.29,3.02,3.0,2.93,1.97,1.69,1.25,1.14,1.12,1.03,1.05,0.9,0.8,0.62,0.57,0.44,0.42,0.09,0.0,99.99
07/14/2021,5.99,5.29,5.38,5.04,5.27,5.07,4.78,4.86,4.66,4.49,4.46,4.14,4.3,3.85,3.64,3.54,3.33,3.02,2.99,2.85,2.02,1.63,1.22,1.14,1.16,1.04,1.02,0.91,0.78,0.61,0.54,0.43,0.41,0.09,0.0,99.95
07/15/2021,5.89,5.25,5.44,5.14,5.27,5.0,4.76,4.85,4.57,4.47,4.57,4.24,4.27,3.79,3.7,3.49,3.32,3.07,2.98,2.88,2.01,1.63,1.21,1.13,1.16,1.06,1.01,0.93,0.81,0.61,0.57,0.42,0.4,0.09,0.0,99.99
07/16/2021,5.87,5.24,5.38,5.19,5.18,5.02,4.7,4.86,4.64,4.44,4.58,4.18,4.28,3.76,3.68,3.52,3.34,3.11,2.95,2.97,2.02,1.64,1.25,1.14,1.14,1.02,1.01,0.94,0.82,0.61,0.58,0.41,0.42,0.1,0.0,99.98999999999998
07/19/2021,5.89,5.38,5.33,5.21,5.11,4.82,4.56,4.98,4.71,4.68,4.51,4.25,4.27,3.76,3.68,3.63,3.19,3.14,2.87,3.01,2.0,1.66,1.25,1.13,1.14,0.99,1.05,0.91,0.79,0.63,0.57,0.39,0.41,0.1,0.0,100.0
07/20/2021,5.89,5.38,5.33,5.21,5.11,4.82,4.56,4.98,4.71,4.68,4.51,4.25,4.27,3.76,3.68,3.63,3.19,3.14,2.87,3.01,2.0,1.66,1.25,1.13,1.14,0.99,1.05,0.91,0.79,0.63,0.57,0.39,0.41,0.1,0.0,100.0
07/21/2021,6.08,5.36,5.16,5.41,5.07,4.5,4.57,5.1,4.81,4.78,4.71,4.29,4.29,3.82,3.63,3.5,2.79,2.96,2.89,3.07,2.05,1.73,1.27,1.15,1.08,0.98,1.06,0.91,0.81,0.63,0.59,0.41,0.42,0.1,0.0,99.98
07/22/2021,6.12,5.31,5.23,5.54,4.92,4.35,4.65,5.12,4.86,4.83,4.76,4.28,4.4,3.88,3.7,3.34,2.75,2.9,2.89,3.07,2.06,1.68,1.31,1.12,1.02,0.95,1.04,0.96,0.8,0.63,0.62,0.4,0.41,0.1,0.0,100.0
07/23/2021,6.08,5.4,5.44,5.27,4.91,4.34,4.74,5.17,4.84,4.79,4.63,4.21,4.49,3.93,3.73,3.5,2.83,2.95,2.88,2.86,2.03,1.64,1.26,1.14,1.06,0.96,1.06,0.93,0.75,0.62,0.59,0.44,0.41,0.12,0.0,100.0
07/26/2021,5.96,5.37,5.5,5.18,4.96,4.4,4.77,4.86,4.77,4.75,4.56,4.22,4.35,3.93,3.67,3.55,2.94,3.03,2.86,3.08,2.27,1.63,1.27,1.14,1.1,0.95,1.05,0.93,0.78,0.59,0.57,0.43,0.44,0.11,0.0,99.97
07/27/2021,5.96,5.37,5.5,5.18,4.96,4.4,4.77,4.86,4.77,4.75,4.56,4.22,4.35,3.93,3.67,3.55,2.94,3.03,2.86,3.08,2.27,1.63,1.27,1.14,1.1,0.95,1.05,0.93,0.78,0.59,0.57,0.43,0.44,0.11,0.0,99.97
07/29/2021,6.11,5.46,5.5,5.04,4.96,4.43,4.86,4.97,4.8,4.76,4.38,4.22,4.32,4.04,3.67,3.6,2.94,3.09,2.89,3.0,2.08,1.62,1.22,1.16,1.14,0.99,1.03,0.89,0.76,0.57,0.57,0.4,0.43,0.1,0.0,100.0
07/30/2021,5.74,5.43,5.43,5.27,4.93,4.45,4.81,4.97,4.82,4.85,4.49,4.48,4.33,4.0,3.52,3.66,2.93,3.09,2.87,2.87,2.23,1.65,1.18,1.16,1.16,0.93,1.02,0.9,0.77,0.56,0.59,0.39,0.43,0.1,0.0,100.01
08/02/2021,6.19,5.37,5.41,5.04,5.08,4.62,4.91,4.88,4.82,4.63,4.42,4.35,4.35,4.03,3.45,3.61,2.92,3.18,2.89,2.84,2.18,1.62,1.18,1.15,1.13,0.94,1.03,0.96,0.77,0.57,0.57,0.39,0.42,0.09,0.0,99.99
08/03/2021,6.19,5.37,5.41,5.04,5.08,4.62,4.91,4.88,4.82,4.63,4.42,4.35,4.35,4.03,3.45,3.61,2.92,3.18,2.89,2.84,2.18,1.62,1.18,1.15,1.13,0.94,1.03,0.96,0.77,0.57,0.57,0.39,0.42,0.09,0.0,99.99
08/04/2021,6.37,5.31,5.33,5.16,5.05,4.62,4.92,4.82,4.74,4.4,4.42,4.3,4.27,3.95,3.53,3.59,3.2,3.1,2.86,3.07,2.19,1.63,1.2,1.13,1.1,0.95,1.03,0.96,0.77,0.55,0.57,0.39,0.42,0.09,0.0,99.99
08/05/2021,6.55,5.33,5.3,5.44,5.02,4.59,4.7,4.84,4.76,4.39,4.52,4.25,4.18,4.0,3.51,3.57,3.09,3.08,2.84,2.88,2.29,1.66,1.27,1.13,1.09,0.92,1.02,0.99,0.78,0.55,0.59,0.4,0.41,0.08,0.0,100.02
08/06/2021,6.75,5.43,5.28,5.32,4.94,4.53,4.74,4.94,4.8,4.5,4.42,4.23,4.27,4.05,3.44,3.51,3.12,2.97,2.78,2.79,2.15,1.68,1.28,1.17,1.05,0.95,1.02,0.95,0.85,0.61,0.59,0.39,0.42,0.08,0.0,100.0
08/10/2021,6.81,5.42,5.53,5.26,4.86,4.48,4.71,4.82,4.83,4.65,4.35,4.28,4.3,4.06,3.52,3.47,3.01,2.98,2.86,2.71,2.09,1.72,1.21,1.15,1.09,0.97,1.03,0.9,0.75,0.63,0.63,0.4,0.44,0.0,0.07,99.99
08/11/2021,6.8,5.4,5.59,5.44,4.91,4.59,4.83,4.78,4.76,4.61,4.37,4.22,4.32,4.08,3.53,3.36,3.0,2.96,2.73,2.72,2.16,1.67,1.22,1.14,1.08,0.94,1.01,0.92,0.73,0.63,0.62,0.38,0.43,0.0,0.07,100.0
08/12/2021,6.78,5.47,5.61,5.42,4.94,4.6,4.84,4.81,4.67,4.6,4.37,4.3,4.36,4.1,3.53,3.33,2.93,2.95,2.71,2.79,2.13,1.67,1.2,1.16,1.06,0.92,1.0,0.88,0.76,0.61,0.63,0.38,0.44,0.0,0.07,100.02
