,CLB,T,INTC,INGR,CDK,PRLB,BIIB,RGLD,ABX.TO,AEM.TO,SLB,MTB,AMCX,LW,QRTEA,NOV,XRX,BP,C,LUV,CAH,CPB,INT,LUMN,SCS,WBA,ETD,WU,SRE,K,RMR,HFC,HE,QUOT,HCSG,CLX,OGS,IBM,LOPE,PRGO,HAE,KMB,CL,NEM,NWN,VRTX,GILD,NTUS,XOM,GHL,SABR,KHC,HBI,BIDU,NLSN,IONS,EBS,INGN,OLLI,SUM
01/11/2022,3.05,2.89,2.87,2.84,2.82,2.72,2.67,2.65,2.16,2.14,1.95,1.94,1.88,1.87,1.86,1.85,1.84,1.84,1.81,1.81,1.78,1.76,1.76,1.76,1.76,1.75,1.74,1.73,1.73,1.73,1.71,1.71,1.7,1.7,1.69,1.69,1.69,1.69,1.69,1.68,1.68,1.68,1.68,1.67,1.66,1.66,1.61,1.58,0.94,0.9,0.88,0.86,0.86,0.85,0.84,0.76,0.0,0.0,0.0,100.02
01/12/2022,3.05,2.89,2.87,2.84,2.82,2.72,2.67,2.65,2.16,2.14,1.95,1.94,1.88,1.87,1.86,1.85,1.84,1.84,1.81,1.81,1.78,1.76,1.76,1.76,1.76,1.75,1.74,1.73,1.73,1.73,1.71,1.71,1.7,1.7,1.69,1.69,1.69,1.69,1.69,1.68,1.68,1.68,1.68,1.67,1.66,1.66,1.61,1.58,0.94,0.9,0.88,0.86,0.86,0.85,0.84,0.76,0.0,0.0,0.0,100.02
01/13/2022,3.08,2.9,2.96,2.84,2.84,2.66,2.7,2.71,2.22,2.2,1.95,1.94,1.91,1.82,1.82,1.86,1.84,1.83,1.81,1.8,1.67,1.76,1.74,1.74,1.75,1.75,1.74,1.7,1.72,1.73,1.69,1.73,1.69,1.65,1.74,1.69,1.7,1.69,1.69,1.71,1.68,1.68,1.66,1.69,1.65,1.67,1.63,1.58,0.93,0.88,0.89,0.86,0.83,0.85,0.81,0.76,0.0,0.0,0.0,100.02
01/14/2022,3.12,2.86,2.96,2.83,2.83,2.74,2.74,2.69,2.22,2.18,2.0,1.93,1.91,1.82,1.84,1.93,1.83,1.87,1.82,1.8,1.7,1.71,1.76,1.68,1.75,1.75,1.75,1.67,1.68,1.71,1.65,1.75,1.66,1.74,1.71,1.67,1.68,1.65,1.69,1.71,1.68,1.65,1.63,1.69,1.59,1.67,1.62,1.61,0.96,0.89,0.89,0.85,0.84,0.86,0.83,0.77,0.0,0.0,0.0,100.02
01/17/2022,3.07,2.89,2.97,2.84,2.86,2.67,2.57,2.71,2.28,2.23,2.01,1.96,1.9,1.82,1.82,1.93,1.83,1.92,1.84,1.79,1.68,1.73,1.72,1.69,1.8,1.74,1.75,1.66,1.7,1.71,1.64,1.75,1.66,1.74,1.73,1.7,1.67,1.66,1.65,1.65,1.65,1.66,1.63,1.71,1.59,1.68,1.62,1.61,0.96,0.9,0.87,0.85,0.84,0.88,0.82,0.79,0.0,0.0,0.0,100.0
01/18/2022,3.03,2.92,2.92,2.85,2.85,2.58,2.7,2.67,2.23,2.19,1.99,1.99,1.93,1.82,1.82,1.97,1.85,1.92,1.85,1.81,1.7,1.75,1.72,1.55,1.86,1.75,1.76,1.67,1.7,1.72,1.64,1.77,1.67,1.69,1.75,1.71,1.68,1.67,1.65,1.62,1.65,1.65,1.62,1.7,1.6,1.68,1.61,1.63,0.95,0.89,0.9,0.86,0.86,0.84,0.82,0.79,0.0,0.0,0.0,99.97
01/19/2022,3.09,2.89,2.89,2.79,2.8,2.53,2.66,2.56,2.15,2.12,2.03,1.97,1.89,1.78,1.78,1.96,1.79,1.92,1.78,1.77,1.68,1.73,1.72,1.52,1.84,1.71,1.67,1.62,1.67,1.69,1.61,1.85,1.62,1.57,1.73,1.7,1.67,1.63,1.63,1.59,1.62,1.62,1.6,1.66,1.61,1.69,1.57,1.57,0.94,0.85,0.89,0.84,0.83,0.83,0.79,0.8,0.86,0.81,0.0,99.98
01/20/2022,3.09,2.89,2.89,2.79,2.8,2.53,2.66,2.56,2.15,2.12,2.03,1.97,1.89,1.78,1.78,1.96,1.79,1.92,1.78,1.77,1.68,1.73,1.72,1.52,1.84,1.71,1.67,1.62,1.67,1.69,1.61,1.85,1.62,1.57,1.73,1.7,1.67,1.63,1.63,1.59,1.62,1.62,1.6,1.66,1.61,1.69,1.57,1.57,0.94,0.85,0.89,0.84,0.83,0.83,0.79,0.8,0.86,0.81,0.0,99.98
01/21/2022,3.09,2.89,2.89,2.79,2.8,2.53,2.66,2.56,2.15,2.12,2.03,1.97,1.89,1.78,1.78,1.96,1.79,1.92,1.78,1.77,1.68,1.73,1.72,1.52,1.84,1.71,1.67,1.62,1.67,1.69,1.61,1.85,1.62,1.57,1.73,1.7,1.67,1.63,1.63,1.59,1.62,1.62,1.6,1.66,1.61,1.69,1.57,1.57,0.94,0.85,0.89,0.84,0.83,0.83,0.79,0.8,0.86,0.81,0.0,99.98
01/24/2022,3.0,2.96,2.78,2.84,2.88,2.61,2.59,2.76,2.36,2.22,2.05,1.82,1.8,1.73,1.71,1.96,1.74,1.94,1.77,1.76,1.68,1.72,1.69,1.53,1.81,1.72,1.59,1.66,1.68,1.71,1.59,1.79,1.68,1.55,1.69,1.65,1.66,1.63,1.61,1.63,1.6,1.64,1.65,1.78,1.61,1.7,1.53,1.62,0.99,0.79,0.89,0.85,0.79,0.9,0.76,0.74,0.79,0.82,0.0,100.0
01/25/2022,3.06,2.96,2.82,2.82,2.87,2.6,2.56,2.75,2.33,2.19,2.04,1.78,1.68,1.75,1.67,1.91,1.71,1.92,1.76,1.75,1.67,1.76,1.7,1.55,1.8,1.73,1.62,1.67,1.71,1.75,1.57,1.74,1.7,1.53,1.7,1.7,1.67,1.64,1.64,1.62,1.58,1.69,1.68,1.79,1.61,1.73,1.57,1.67,0.99,0.78,0.83,0.86,0.81,0.88,0.76,0.75,0.81,0.83,0.0,100.02
01/26/2022,3.06,2.96,2.82,2.82,2.87,2.6,2.56,2.75,2.33,2.19,2.04,1.78,1.68,1.75,1.67,1.91,1.71,1.92,1.76,1.75,1.67,1.76,1.7,1.55,1.8,1.73,1.62,1.67,1.71,1.75,1.57,1.74,1.7,1.53,1.7,1.7,1.67,1.64,1.64,1.62,1.58,1.69,1.68,1.79,1.61,1.73,1.57,1.67,0.99,0.78,0.83,0.86,0.81,0.88,0.76,0.75,0.81,0.83,0.0,100.02
01/27/2022,3.15,2.91,2.8,2.77,2.9,2.57,2.6,2.75,2.32,2.16,2.05,1.84,1.74,1.74,1.79,1.92,1.64,1.87,1.74,1.76,1.67,1.75,1.71,1.58,1.81,1.72,1.67,1.64,1.66,1.73,1.56,1.72,1.69,1.62,1.74,1.67,1.62,1.62,1.69,1.58,1.6,1.66,1.67,1.78,1.58,1.73,1.56,1.64,0.99,0.78,0.83,0.84,0.83,0.84,0.77,0.79,0.8,0.86,0.0,100.02
01/28/2022,3.15,2.91,2.8,2.77,2.9,2.57,2.6,2.75,2.32,2.16,2.05,1.84,1.74,1.74,1.79,1.92,1.64,1.87,1.74,1.76,1.67,1.75,1.71,1.58,1.81,1.72,1.67,1.64,1.66,1.73,1.56,1.72,1.69,1.62,1.74,1.67,1.62,1.62,1.69,1.58,1.6,1.66,1.67,1.78,1.58,1.73,1.56,1.64,0.99,0.78,0.83,0.84,0.83,0.84,0.77,0.79,0.8,0.86,0.0,100.02
