,VNLA,BX,ETV,PFF,FFC,CCI,PALL,4733.T,AMT,WCLD,CWB,PBE,MXI,NIE,OXLC,SIZE,FTLS,IXJ,ARCC,HERO,EMQQ,QAI,PBP,PCN,ARKQ,GDXJ,YYY,PKO,EMB,SKYY,BLOK,ARKG,IBUY,QCLN,CLIX,Us Dollars,AdvisorShares STAR Global Buy-Write ETF,DC.L,SPDR® Blmbg Barclays Convert Secs ETF,SUM
07/09/2021,7.45,6.3,4.84,4.76,4.16,3.79,3.69,3.67,3.15,3.1,3.04,2.9,2.72,2.69,2.62,2.58,2.56,2.52,2.52,2.47,2.38,1.95,1.94,1.89,1.89,1.89,1.86,1.86,1.79,1.79,1.76,1.61,1.53,1.49,1.48,0.8,0.58,0.0,0.0,100.02
07/12/2021,7.52,6.39,4.83,4.79,4.19,3.89,3.73,0.0,3.23,3.15,3.01,2.89,2.69,2.69,2.59,2.56,2.55,2.53,2.52,2.39,2.22,1.95,1.95,1.92,1.84,1.83,1.86,1.89,1.81,1.79,1.7,1.57,1.49,1.43,1.55,0.76,0.58,3.7,0.0,99.98
07/13/2021,7.52,6.39,4.83,4.79,4.19,3.89,3.73,0.0,3.23,3.15,3.01,2.89,2.69,2.69,2.59,2.56,2.55,2.53,2.52,2.39,2.22,1.95,1.95,1.92,1.84,1.83,1.86,1.89,1.81,1.79,1.7,1.57,1.49,1.43,1.55,0.76,0.58,3.7,0.0,99.98
07/14/2021,7.45,6.43,4.82,4.77,4.16,3.88,3.72,0.0,3.21,3.16,3.02,2.89,2.73,2.7,2.59,2.58,2.57,2.53,2.58,2.41,2.26,1.94,1.93,1.9,1.86,1.86,1.86,1.85,1.79,1.8,1.71,1.58,1.52,1.44,1.56,0.7,0.58,3.67,0.0,100.01
07/15/2021,7.44,6.57,4.84,4.77,4.16,3.9,3.76,0.0,3.23,3.11,3.01,2.85,2.73,2.7,2.65,2.58,2.56,2.53,2.58,2.4,2.23,1.94,1.93,1.89,1.86,1.81,1.85,1.83,1.79,1.77,1.69,1.55,1.52,1.46,1.54,0.7,0.58,3.66,0.0,99.96999999999998
07/16/2021,7.47,6.46,4.87,4.76,4.21,3.87,3.75,0.0,3.23,3.11,3.01,2.83,2.72,2.71,2.67,2.56,2.57,2.54,2.58,2.43,2.3,1.95,1.93,1.9,1.85,1.83,1.85,1.85,1.79,1.78,1.65,1.52,1.52,1.44,1.53,0.7,0.58,3.68,0.0,100.0
07/19/2021,7.53,6.68,4.93,4.8,4.22,3.93,3.65,0.0,3.28,3.01,2.99,2.73,2.75,2.71,2.63,2.56,2.57,2.54,2.6,2.4,2.31,1.96,1.95,1.92,1.81,1.88,1.84,1.86,1.82,1.75,1.58,1.46,1.46,1.38,1.5,0.71,0.58,3.71,0.0,99.98999999999998
07/20/2021,7.57,6.7,4.93,4.81,4.22,3.97,3.52,0.0,3.31,3.04,0.0,2.76,2.72,2.7,2.66,2.56,2.56,2.55,2.61,2.4,2.29,1.96,1.94,1.92,1.8,1.82,1.84,1.87,1.83,1.76,1.57,1.48,1.45,1.36,1.5,0.71,0.58,3.73,2.99,99.99
07/21/2021,7.57,6.7,4.93,4.81,4.22,3.97,3.52,0.0,3.31,3.04,2.99,2.76,2.72,2.7,2.66,2.56,2.56,2.55,2.61,2.4,2.29,1.96,1.94,1.92,1.8,1.82,1.84,1.87,1.83,1.76,1.57,1.48,1.45,1.36,1.5,0.71,0.58,3.73,0.0,99.99
07/22/2021,7.57,6.7,4.93,4.81,4.22,3.97,3.52,0.0,3.31,3.04,2.99,2.76,2.72,2.7,2.66,2.56,2.56,2.55,2.61,2.4,2.29,1.96,1.94,1.92,1.8,1.82,1.84,1.87,1.83,1.76,1.57,1.48,1.45,1.36,1.5,0.71,0.58,3.73,0.0,99.99
