,COMEX Gold 100 Troy Ounces Future,AGPXX,COMEX Silver Future,CLTL,XIB 0 10/07/21,B 0 08/05/21,B 0 01/27/22,Cash/Receivables/Payables,B 0 10/07/21,B 0 11/12/21,B 0 12/09/21,B 0 01/13/22,United States Treasury Bill,SUM
07/09/2021,77.87,56.93,22.26,14.02,13.67,12.86,2.41,0.0,0.0,0.0,0.0,0.0,0.0,200.02
07/12/2021,77.92,55.02,22.08,14.49,0.0,13.3,2.49,0.0,14.13,0.0,0.0,0.0,0.0,199.43
07/13/2021,77.92,55.02,22.08,14.49,0.0,13.3,2.49,0.0,14.13,0.0,0.0,0.0,0.0,199.43
07/15/2021,77.88,55.8,22.13,14.52,0.0,13.33,2.5,0.0,14.16,0.0,0.0,0.0,0.0,200.32
07/16/2021,77.98,55.47,22.03,14.51,0.0,13.32,2.5,0.06,14.15,0.0,0.0,0.0,0.0,200.02
07/19/2021,78.0,55.0,22.01,14.36,0.0,13.18,2.47,0.75,14.0,3.29,3.29,3.29,0.0,209.64
07/22/2021,78.63,45.92,21.38,14.64,0.0,13.43,2.52,0.0,14.27,3.36,3.36,0.0,3.36,200.87000000000003
07/23/2021,78.75,45.13,21.27,14.65,0.0,13.44,2.52,0.0,14.28,3.36,3.36,0.0,3.36,200.12000000000003
07/26/2021,78.44,44.94,21.58,14.64,0.0,13.43,2.52,0.0,14.27,3.36,3.36,0.0,3.36,199.9
08/03/2021,78.42,46.4,21.62,14.57,0.0,13.37,2.51,0.0,14.2,3.34,3.34,3.34,0.0,201.11
08/04/2021,78.42,46.4,21.62,14.57,0.0,13.37,2.51,0.0,14.2,3.34,3.34,3.34,0.0,201.10999999999999
