,B 0 11/12/21,NPH.NZ,FXFXX,NPH.NZ.1,SPY,n/a,SUM
07/09/2021,87.19,13.21,0.31,-0.7,0.0,0.0,100.01
12/06/2021,0.0,0.0,0.05,0.0,83.5,16.45,100.0
12/07/2021,0.0,0.0,0.05,0.0,83.5,16.45,100.0
12/08/2021,0.0,0.0,0.05,0.0,83.5,16.45,100.0
12/09/2021,0.0,0.0,0.05,0.0,83.5,16.45,100.0
12/10/2021,0.0,0.0,0.05,0.0,83.5,16.45,100.0
12/13/2021,0.0,0.0,0.05,0.0,83.5,16.45,100.0
12/14/2021,0.0,0.0,0.05,0.0,83.5,16.45,100.0
12/15/2021,0.0,0.0,0.05,0.0,83.5,16.45,100.0
12/16/2021,0.0,0.0,0.05,0.0,83.5,16.45,100.0
