,DAR,LAD,CROX,BLDR,SAIA,LSCC,NTLA,OMCL,RBC,AEO,LPX,THC,HELE,AMKR,MTZ,BLD,RH,GNRC,FOXF,MSTR,SYNA,ASGN,POWI,OLN,FCN,EME,NXST,HBAN,GTLS,NOVT,TKR,RXN,EXPO,CRUS,ESI,SSD,SF,AMN,ONTO,ABG,SEM,PAG,SAFM,DKS,UMBF,TTEK,STMP,UFPI,SLAB,EVR,ROLL,BRKS,JBT,MUSA,PRI,VAC,FFIN,TTEC,KBR,ACHC,DIOD,AMG,CLH,SIGI,AN,CMC,TXRH,RLI,CNO,EXLS,CATY,VLY,WTS,GBCI,KFY,RDN,KLIC,VMI,FELE,WD,JCOM,ENSG,WOR,LHCG,AWI,ROG,PRFT,LANC,ENS,OMI,SNBR,MEDP,THG,CBU,MMSI,CAR,MGNI,MSA,LSTR,CALX,IART,PZZA,AEIS,SXT,FCFS,CWST,ABCB,TRTN,IBP,FN,LCII,STL,NAVI,AAON,CFX,RRC,SHOO,MODV,WMS,AVNT,PBH,FUL,DAN,CNXC,SFBS,CCOI,ELY,AIT,PNM,WAL,TPX,GPI,PNFP,FHI,BCPC,PLXS,DORM,BOOT,FIX,BXS,MDC,NSIT,TEX,RAMP,WERN,TPH,VG,CHH,UBSI,GATX,JEF,TREX,CNMD,WSC,ALRM,CCS,SIG,STE,IRDM,LFUS,WWW,FLOW,BOH,VRTS,THRM,MCY,AX,NSP,UNF,TNET,MANH,MATX,AVAV,BPOP,WAFD,JHG,FORM,BMI,FIZZ,HRI,SWN,FSS,ACIW,COKE,SANM,PPBI,COLB,KTOS,AWR,RMBS,KBH,NJR,KMPR,IBOC,CRVL,SSTK,ABM,CCMP,ITGR,PRTA,PRG,CWT,MWA,HTH,SMTC,GDOT,PDCE,PFGC,TTGT,AA,MXL,SUM
08/16/2021,0.54,0.45,0.44,0.4,0.37,0.36,0.33,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.10000000000001
08/17/2021,0.57,0.45,0.46,0.41,0.36,0.36,0.32,0.32,0.32,0.29,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.27,0.28,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.23,0.24,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.2,0.18,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.19,0.18,0.17,0.18,0.18,0.19,0.18,0.18,0.18,0.19,0.16,0.18,0.18,0.18,0.18,0.19,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.0,0.14,0.14,0.15,0.14,0.14,0.14,0.0,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.21
08/18/2021,0.57,0.45,0.46,0.41,0.36,0.36,0.32,0.32,0.32,0.29,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.27,0.28,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.23,0.24,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.2,0.18,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.19,0.18,0.17,0.18,0.18,0.19,0.18,0.18,0.18,0.19,0.16,0.18,0.18,0.18,0.18,0.19,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.0,0.14,0.14,0.15,0.14,0.14,0.14,0.0,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.21
08/19/2021,0.57,0.45,0.46,0.41,0.36,0.36,0.32,0.32,0.32,0.29,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.27,0.28,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.23,0.24,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.2,0.18,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.19,0.18,0.17,0.18,0.18,0.19,0.18,0.18,0.18,0.19,0.16,0.18,0.18,0.18,0.18,0.19,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.0,0.14,0.14,0.15,0.14,0.14,0.14,0.0,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.21
08/20/2021,0.58,0.45,0.46,0.41,0.37,0.36,0.32,0.32,0.32,0.28,0.3,0.32,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.26,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.22,0.24,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.19,0.18,0.18,0.19,0.18,0.17,0.18,0.18,0.2,0.18,0.18,0.18,0.19,0.16,0.18,0.18,0.17,0.18,0.19,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.14,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.0,0.15,0.14,0.15,0.14,0.14,0.14,0.0,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.15,0.15,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.32
08/23/2021,0.56,0.41,0.44,0.41,0.37,0.35,0.32,0.32,0.32,0.28,0.3,0.32,0.3,0.28,0.29,0.28,0.28,0.27,0.27,0.25,0.28,0.27,0.26,0.25,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.24,0.21,0.23,0.23,0.22,0.23,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.23,0.22,0.21,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.19,0.18,0.18,0.2,0.19,0.17,0.18,0.17,0.2,0.19,0.18,0.19,0.19,0.15,0.18,0.18,0.17,0.19,0.19,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.16,0.17,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.16,0.15,0.14,0.14,0.15,0.16,0.14,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.0,0.15,0.14,0.15,0.14,0.14,0.14,0.0,0.15,0.14,0.0,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.15,0.15,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.080000000000005
08/24/2021,0.52,0.4,0.45,0.4,0.38,0.35,0.32,0.33,0.31,0.29,0.31,0.33,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.28,0.27,0.27,0.24,0.26,0.26,0.25,0.25,0.26,0.25,0.23,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.21,0.22,0.22,0.22,0.23,0.23,0.22,0.22,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.23,0.22,0.21,0.21,0.22,0.21,0.22,0.22,0.2,0.21,0.21,0.2,0.19,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.19,0.2,0.18,0.16,0.18,0.17,0.19,0.19,0.18,0.19,0.19,0.14,0.18,0.18,0.17,0.19,0.18,0.17,0.18,0.18,0.19,0.17,0.17,0.17,0.2,0.17,0.17,0.18,0.17,0.16,0.15,0.16,0.18,0.16,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.15,0.16,0.17,0.15,0.16,0.15,0.16,0.16,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.16,0.14,0.15,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.14,0.0,0.0,0.15,0.15,0.15,0.14,0.14,0.14,0.0,0.15,0.14,0.14,0.14,0.15,0.0,0.15,0.15,0.15,0.14,0.16,0.15,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.25
08/25/2021,0.52,0.4,0.45,0.4,0.38,0.35,0.32,0.33,0.31,0.29,0.31,0.33,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.28,0.27,0.27,0.24,0.26,0.26,0.25,0.25,0.26,0.25,0.23,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.21,0.22,0.22,0.22,0.23,0.23,0.22,0.22,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.23,0.22,0.21,0.21,0.22,0.21,0.22,0.22,0.2,0.21,0.21,0.2,0.19,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.19,0.2,0.18,0.16,0.18,0.17,0.19,0.19,0.18,0.19,0.19,0.14,0.18,0.18,0.17,0.19,0.18,0.17,0.18,0.18,0.19,0.17,0.17,0.17,0.2,0.17,0.17,0.18,0.17,0.16,0.15,0.16,0.18,0.16,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.15,0.16,0.17,0.15,0.16,0.15,0.16,0.16,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.16,0.14,0.15,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.14,0.0,0.0,0.15,0.15,0.15,0.14,0.14,0.14,0.0,0.15,0.14,0.14,0.14,0.15,0.0,0.15,0.15,0.15,0.14,0.16,0.15,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.25
08/26/2021,0.52,0.4,0.45,0.4,0.38,0.35,0.32,0.33,0.31,0.29,0.31,0.33,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.28,0.27,0.27,0.24,0.26,0.26,0.25,0.25,0.26,0.25,0.23,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.21,0.22,0.22,0.22,0.23,0.23,0.22,0.22,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.23,0.22,0.21,0.21,0.22,0.21,0.22,0.22,0.2,0.21,0.21,0.2,0.19,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.19,0.2,0.18,0.16,0.18,0.17,0.19,0.19,0.18,0.19,0.19,0.14,0.18,0.18,0.17,0.19,0.18,0.17,0.18,0.18,0.19,0.17,0.17,0.17,0.2,0.17,0.17,0.18,0.17,0.16,0.15,0.16,0.18,0.16,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.15,0.16,0.17,0.15,0.16,0.15,0.16,0.16,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.16,0.14,0.15,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.14,0.0,0.0,0.15,0.15,0.15,0.14,0.14,0.14,0.0,0.15,0.14,0.14,0.14,0.15,0.0,0.15,0.15,0.15,0.14,0.16,0.15,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.25
08/27/2021,0.54,0.41,0.45,0.41,0.38,0.36,0.33,0.32,0.31,0.29,0.31,0.33,0.29,0.29,0.29,0.28,0.28,0.29,0.27,0.27,0.29,0.27,0.28,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.23,0.25,0.25,0.24,0.23,0.24,0.24,0.25,0.21,0.22,0.21,0.22,0.23,0.24,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.23,0.22,0.22,0.21,0.22,0.21,0.21,0.22,0.2,0.21,0.21,0.2,0.19,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.19,0.2,0.18,0.16,0.18,0.17,0.19,0.18,0.18,0.19,0.19,0.15,0.18,0.18,0.18,0.19,0.18,0.17,0.18,0.18,0.19,0.17,0.17,0.17,0.19,0.16,0.17,0.17,0.17,0.16,0.15,0.16,0.18,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.15,0.16,0.17,0.15,0.16,0.15,0.16,0.16,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.16,0.15,0.16,0.14,0.16,0.16,0.16,0.15,0.15,0.14,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.0,0.14,0.14,0.15,0.14,0.14,0.14,0.0,0.15,0.14,0.0,0.14,0.15,0.0,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.25
