,PWR,DAR,RS,ARW,ATH,AGCO,AN,PHM,BG,STLD,TOL,CNXC,KNX,IVZ,LAD,NWSA,VOYA,SC,UHAL,GTLS,PBCT,ZION,BPOP,FHN,KSS,SNX,CNO,POST,PAG,DDS,DVN,BWA,CFX,DKS,PVH,OC,PNFP,ACHC,JBL,OLN,MHK,AGO,WLK,ESI,OSK,RGA,MTZ,RBC,ORI,HBAN,DIOD,JHG,UFPI,GPI,FAF,VLY,NYCB,WCC,HUN,AIZ,NWL,TRTN,NAVI,R,CMC,OZK,AFG,CACI,GATX,SF,FCNCA,TRN,AL,JBLU,PB,PRGO,VAC,AMKR,UMPQ,SNV,AVT,ASGN,BECN,SAIA,NXST,BLDR,ASH,EQT,BLD,STL,FLEX,AEO,PACW,WTFC,WSC,OMF,NWS,UBSI,AXS,ABM,SNA,MDC,KFY,MDRX,TEX,NSIT,KBR,FUL,MATX,JLL,TPH,INGR,PPBI,OMI,HFC,MKSI,HL,HWC,LEA,ASB,MAN,URBN,SEM,PXD,BRKS,USFD,VSTO,WHR,RUSHA,CLH,ISBC,KMPR,IBOC,ABCB,FNB,UNF,BKU,SIG,ANF,WBS,BOKF,XPO,ADNT,UFS,CATY,X,FL,MTX,ITGR,SSB,KLIC,AEL,ACA,MIC,SANM,TCBI,WAFD,KAI,VSH,COTY,LPX,MRO,AX,FBC,WTS,SEB,GHC,RDN,SFNC,FULT,MTH,SKYW,IBTX,TKR,ONB,ST,REGI,CF,AUB,KEX,PDCO,IRDM,CCS,DAN,WTM,XRX,ANAT,WGO,FBP,ROCK,GPK,TRMK,PRFT,NNI,AAWW,ALG,UNFI,MGLN,BYD,GXO WI,LNC,FN,WERN,GXO,CORE,ONTO,FORM,SUM
08/16/2021,0.94,0.87,0.78,0.73,0.68,0.66,0.65,0.63,0.61,0.61,0.58,0.56,0.55,0.55,0.52,0.51,0.5,0.49,0.48,0.47,0.47,0.47,0.46,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.61
08/17/2021,0.96,0.91,0.77,0.72,0.69,0.65,0.65,0.62,0.62,0.63,0.59,0.58,0.57,0.54,0.52,0.5,0.5,0.49,0.49,0.47,0.47,0.47,0.46,0.45,0.44,0.44,0.45,0.46,0.45,0.48,0.42,0.41,0.42,0.41,0.42,0.4,0.39,0.37,0.38,0.38,0.37,0.37,0.36,0.37,0.35,0.35,0.35,0.36,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.33,0.32,0.32,0.31,0.31,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.3,0.3,0.29,0.29,0.28,0.29,0.28,0.27,0.27,0.26,0.27,0.25,0.26,0.25,0.27,0.26,0.24,0.25,0.25,0.25,0.23,0.24,0.24,0.23,0.23,0.23,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.21,0.19,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.2,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.0,0.0,0.16,0.16,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,57.78
08/18/2021,0.96,0.91,0.77,0.72,0.69,0.65,0.65,0.62,0.62,0.63,0.59,0.58,0.57,0.54,0.52,0.5,0.5,0.49,0.49,0.47,0.47,0.47,0.46,0.45,0.44,0.44,0.45,0.46,0.45,0.48,0.42,0.41,0.42,0.41,0.42,0.4,0.39,0.37,0.38,0.38,0.37,0.37,0.36,0.37,0.35,0.35,0.35,0.36,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.33,0.32,0.32,0.31,0.31,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.3,0.3,0.29,0.29,0.28,0.29,0.28,0.27,0.27,0.26,0.27,0.25,0.26,0.25,0.27,0.26,0.24,0.25,0.25,0.25,0.23,0.24,0.24,0.23,0.23,0.23,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.21,0.19,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.2,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.0,0.0,0.16,0.16,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,57.78
08/19/2021,0.96,0.91,0.77,0.72,0.69,0.65,0.65,0.62,0.62,0.63,0.59,0.58,0.57,0.54,0.52,0.5,0.5,0.49,0.49,0.47,0.47,0.47,0.46,0.45,0.44,0.44,0.45,0.46,0.45,0.48,0.42,0.41,0.42,0.41,0.42,0.4,0.39,0.37,0.38,0.38,0.37,0.37,0.36,0.37,0.35,0.35,0.35,0.36,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.33,0.32,0.32,0.31,0.31,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.3,0.3,0.29,0.29,0.28,0.29,0.28,0.27,0.27,0.26,0.27,0.25,0.26,0.25,0.27,0.26,0.24,0.25,0.25,0.25,0.23,0.24,0.24,0.23,0.23,0.23,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.21,0.19,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.2,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.0,0.0,0.16,0.16,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,57.78
08/20/2021,0.95,0.92,0.76,0.73,0.69,0.65,0.69,0.63,0.63,0.62,0.6,0.58,0.57,0.55,0.52,0.5,0.5,0.49,0.49,0.48,0.46,0.47,0.46,0.45,0.44,0.45,0.44,0.47,0.45,0.5,0.41,0.41,0.41,0.43,0.41,0.4,0.4,0.37,0.38,0.37,0.37,0.37,0.36,0.37,0.34,0.35,0.35,0.36,0.36,0.34,0.35,0.34,0.33,0.34,0.33,0.33,0.33,0.32,0.32,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.28,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.27,0.25,0.26,0.25,0.27,0.26,0.23,0.25,0.25,0.25,0.23,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.23,0.22,0.22,0.23,0.21,0.22,0.22,0.21,0.21,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.21,0.2,0.19,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.2,0.2,0.19,0.19,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.17,0.0,0.16,0.16,0.0,0.18,0.16,0.0,0.0,0.0,0.0,0.0,0.0,57.82
08/23/2021,0.95,0.9,0.76,0.75,0.69,0.64,0.66,0.61,0.63,0.61,0.58,0.57,0.57,0.55,0.48,0.5,0.51,0.5,0.49,0.46,0.47,0.47,0.46,0.45,0.43,0.45,0.45,0.48,0.44,0.48,0.42,0.41,0.42,0.41,0.39,0.39,0.4,0.38,0.38,0.37,0.36,0.37,0.36,0.36,0.34,0.35,0.35,0.36,0.36,0.35,0.34,0.34,0.34,0.33,0.34,0.33,0.34,0.31,0.32,0.34,0.32,0.32,0.32,0.31,0.3,0.31,0.32,0.32,0.3,0.3,0.29,0.29,0.3,0.28,0.3,0.29,0.28,0.26,0.27,0.27,0.26,0.27,0.25,0.26,0.26,0.26,0.26,0.23,0.24,0.25,0.25,0.22,0.24,0.24,0.23,0.23,0.23,0.24,0.25,0.24,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.23,0.22,0.22,0.23,0.21,0.22,0.22,0.21,0.21,0.22,0.21,0.21,0.22,0.19,0.21,0.2,0.2,0.2,0.19,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.18,0.19,0.19,0.2,0.19,0.2,0.19,0.19,0.18,0.19,0.21,0.19,0.18,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.17,0.0,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.0,0.17,0.16,0.0,0.17,0.16,0.16,0.0,0.0,0.0,0.0,0.0,57.67999999999999
08/24/2021,0.97,0.83,0.76,0.76,0.68,0.62,0.66,0.62,0.59,0.59,0.59,0.59,0.58,0.54,0.47,0.48,0.49,0.5,0.49,0.5,0.46,0.47,0.47,0.45,0.47,0.46,0.46,0.48,0.44,0.5,0.4,0.39,0.41,0.43,0.39,0.39,0.4,0.38,0.38,0.36,0.37,0.37,0.35,0.36,0.34,0.35,0.35,0.35,0.37,0.35,0.35,0.34,0.34,0.32,0.34,0.33,0.33,0.31,0.31,0.33,0.31,0.31,0.33,0.3,0.29,0.31,0.32,0.32,0.29,0.3,0.3,0.29,0.28,0.27,0.3,0.28,0.28,0.27,0.27,0.27,0.26,0.27,0.25,0.27,0.26,0.26,0.26,0.22,0.25,0.25,0.25,0.23,0.24,0.24,0.23,0.23,0.23,0.24,0.24,0.25,0.23,0.23,0.23,0.22,0.22,0.23,0.22,0.23,0.23,0.22,0.22,0.23,0.22,0.22,0.22,0.21,0.2,0.22,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.19,0.21,0.2,0.2,0.2,0.21,0.2,0.21,0.2,0.19,0.2,0.19,0.19,0.2,0.19,0.19,0.2,0.19,0.21,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.17,0.19,0.16,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.0,0.16,0.17,0.0,0.17,0.16,0.16,0.16,0.17,0.16,0.17,0.0,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.0,0.18,0.17,0.18,0.16,0.0,0.0,0.0,0.0,57.6
08/25/2021,0.97,0.83,0.76,0.76,0.68,0.62,0.66,0.62,0.59,0.59,0.59,0.59,0.58,0.54,0.47,0.48,0.49,0.5,0.49,0.5,0.46,0.47,0.47,0.45,0.47,0.46,0.46,0.48,0.44,0.5,0.4,0.39,0.41,0.43,0.39,0.39,0.4,0.38,0.38,0.36,0.37,0.37,0.35,0.36,0.34,0.35,0.35,0.35,0.37,0.35,0.35,0.34,0.34,0.32,0.34,0.33,0.33,0.31,0.31,0.33,0.31,0.31,0.33,0.3,0.29,0.31,0.32,0.32,0.29,0.3,0.3,0.29,0.28,0.27,0.3,0.28,0.28,0.27,0.27,0.27,0.26,0.27,0.25,0.27,0.26,0.26,0.26,0.22,0.25,0.25,0.25,0.23,0.24,0.24,0.23,0.23,0.23,0.24,0.24,0.25,0.23,0.23,0.23,0.22,0.22,0.23,0.22,0.23,0.23,0.22,0.22,0.23,0.22,0.22,0.22,0.21,0.2,0.22,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.19,0.21,0.2,0.2,0.2,0.21,0.2,0.21,0.2,0.19,0.2,0.19,0.19,0.2,0.19,0.19,0.2,0.19,0.21,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.17,0.19,0.16,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.0,0.16,0.17,0.0,0.17,0.16,0.16,0.16,0.17,0.16,0.17,0.0,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.0,0.0,0.17,0.18,0.16,0.18,0.0,0.0,0.0,57.6
08/26/2021,0.97,0.83,0.76,0.76,0.68,0.62,0.66,0.62,0.59,0.59,0.59,0.59,0.58,0.54,0.47,0.48,0.49,0.5,0.49,0.5,0.46,0.47,0.47,0.45,0.47,0.46,0.46,0.48,0.44,0.5,0.4,0.39,0.41,0.43,0.39,0.39,0.4,0.38,0.38,0.36,0.37,0.37,0.35,0.36,0.34,0.35,0.35,0.35,0.37,0.35,0.35,0.34,0.34,0.32,0.34,0.33,0.33,0.31,0.31,0.33,0.31,0.31,0.33,0.3,0.29,0.31,0.32,0.32,0.29,0.3,0.3,0.29,0.28,0.27,0.3,0.28,0.28,0.27,0.27,0.27,0.26,0.27,0.25,0.27,0.26,0.26,0.26,0.22,0.25,0.25,0.25,0.23,0.24,0.24,0.23,0.23,0.23,0.24,0.24,0.25,0.23,0.23,0.23,0.22,0.22,0.23,0.22,0.23,0.23,0.22,0.22,0.23,0.22,0.22,0.22,0.21,0.2,0.22,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.19,0.21,0.2,0.2,0.2,0.21,0.2,0.21,0.2,0.19,0.2,0.19,0.19,0.2,0.19,0.19,0.2,0.19,0.21,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.17,0.19,0.16,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.0,0.16,0.17,0.0,0.17,0.16,0.16,0.16,0.17,0.16,0.17,0.0,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.0,0.0,0.17,0.18,0.16,0.18,0.0,0.0,0.0,57.6
08/27/2021,0.97,0.85,0.75,0.75,0.68,0.63,0.65,0.61,0.6,0.61,0.59,0.57,0.57,0.55,0.48,0.48,0.49,0.49,0.48,0.48,0.46,0.48,0.47,0.45,0.49,0.45,0.46,0.46,0.44,0.51,0.43,0.39,0.41,0.44,0.4,0.39,0.39,0.38,0.37,0.36,0.36,0.37,0.37,0.35,0.34,0.35,0.35,0.35,0.36,0.35,0.35,0.34,0.34,0.32,0.34,0.33,0.33,0.32,0.32,0.33,0.31,0.31,0.32,0.31,0.3,0.3,0.31,0.31,0.28,0.3,0.29,0.29,0.28,0.28,0.29,0.27,0.29,0.27,0.27,0.27,0.26,0.27,0.25,0.27,0.26,0.27,0.26,0.22,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.23,0.22,0.23,0.23,0.21,0.22,0.22,0.22,0.21,0.23,0.21,0.21,0.22,0.2,0.21,0.21,0.22,0.19,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.19,0.21,0.19,0.2,0.2,0.2,0.2,0.22,0.21,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.2,0.18,0.21,0.19,0.18,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.17,0.17,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.18,0.17,0.16,0.17,0.17,0.0,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.17,0.0,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.0,0.16,0.16,0.16,0.0,0.17,0.17,0.0,0.19,0.0,0.0,0.0,57.50000000000001
