,Cash&Other,UNH,MSFT,AAPL,NKE,V,MCD,JNJ,CVX,HON,GS,MMM,JPM,LMT,HD,WMT,MDT,ICE,DUK,PG,NEM,DOW,COP,VZ,COP   210716C00065000,DOW   210723C00066000,V     210716C00245000,NKE   210716C00165000,AAPL  210730C00144000,MSFT  210730C00297500,COP   210730C00064000,NKE   210806C00165000,AAPL  210820C00148000,CAT,CSX,DUK   210917C00110000,MSFT  210917C00295000,AAPL  210917C00155000,COP   210917C00057500,DOW   210917C00068000,MSFT  211001C00297500,CAT   211015C00200000,AAPL  211015C00152500,V     211015C00235000,MPC,NEM   211119C00062500,SUM
07/09/2021,8.41,5.79,5.78,5.57,5.53,5.24,5.03,5.02,5.01,4.73,4.59,3.94,3.64,3.5,3.1,3.08,2.97,2.94,2.88,2.88,2.72,2.66,2.59,2.53,-0.01,-0.01,-0.01,-0.02,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96999999999998
07/12/2021,9.29,5.77,5.34,5.42,5.03,5.17,5.05,5.04,4.98,4.82,4.58,3.99,3.4,4.02,3.11,3.07,2.98,2.94,2.89,2.88,2.7,2.69,2.57,2.5,0.0,-0.02,-0.01,-0.01,-0.16,-0.01,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,9.29,5.77,5.34,5.42,5.03,5.17,5.05,5.04,4.98,4.82,4.58,3.99,3.4,4.02,3.11,3.07,2.98,2.94,2.89,2.88,2.7,2.69,2.57,2.5,0.0,-0.02,-0.01,-0.01,-0.16,-0.01,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,9.29,5.77,5.34,5.42,5.03,5.17,5.05,5.04,4.98,4.82,4.58,3.99,3.4,4.02,3.11,3.07,2.98,2.94,2.89,2.88,2.7,2.69,2.57,2.5,0.0,-0.02,-0.01,-0.01,-0.16,-0.01,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,9.28,5.82,5.32,5.38,5.05,5.15,5.04,5.02,4.98,4.83,4.68,3.96,3.44,3.97,3.1,3.06,2.97,2.94,2.91,2.88,2.66,2.7,2.55,2.5,0.0,-0.01,0.0,-0.01,-0.14,-0.01,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
07/16/2021,9.28,5.86,5.39,5.43,5.04,5.25,5.06,5.02,4.97,4.81,4.62,3.96,3.39,3.96,3.06,3.07,2.95,2.93,2.91,2.88,2.67,2.68,2.54,2.5,0.0,-0.01,-0.01,-0.01,-0.16,-0.02,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
07/19/2021,9.25,5.86,5.38,5.52,5.03,5.37,5.06,4.98,4.83,4.99,4.58,4.01,3.38,3.95,3.1,3.09,2.9,2.91,2.97,2.92,2.67,2.63,2.43,2.51,0.0,-0.01,-0.06,0.0,-0.21,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/20/2021,9.29,5.9,5.42,5.48,5.01,5.4,5.05,5.01,4.74,4.97,4.51,3.97,3.32,3.97,3.11,3.11,2.93,2.93,3.01,2.97,2.61,2.57,2.38,2.52,0.0,0.0,0.0,0.0,-0.16,-0.02,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/21/2021,9.29,5.9,5.42,5.48,5.01,5.4,5.05,5.01,4.74,4.97,4.51,3.97,3.32,3.97,3.11,3.11,2.93,2.93,3.01,2.97,2.61,2.57,2.38,2.52,0.0,0.0,0.0,0.0,-0.16,-0.02,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/22/2021,9.79,5.85,5.43,5.42,5.03,5.08,5.01,5.05,4.68,4.84,4.45,4.0,3.27,3.98,3.14,3.15,2.91,2.96,3.04,3.01,2.61,2.52,2.34,2.54,0.0,0.0,0.0,0.0,-0.1,-0.01,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
