,NESN.SW,NOVN.SW,ROG.SW,GSK.L,FMG.AX,BATS.L,SAN.PA,ULVR.L,RIO.L,ALV.DE,AZN.L,9434.T,CBA.AX,7203.T,SIE.DE,BHP.AX,BAS.DE,OR.PA,EQNR.OL,MC.PA,NOVO B.CO,DTE.DE,9433.T,IBE.MC,SAP.DE,8306.T,ENEL.MI,9432.T,BAYN.DE,BHP.L,DPW.DE,ZURN.SW,VOD.L,1299.HK,VOW.,ASML.AS,SU.PA,NAB.AX,DGE.L,ANZ.AX,CS.PA,RIO.AX,8316.T,D05.SI,RO.SW,2914.T,BMW.DE,LIN,4502.T,ABBN.SW,AI.PA,NG.L,7974.T,WES.AX,2388.HK,8058.T,688012.SS,8001.T,8035.T,ITX.MC,BN.PA,16.HK,NTGY.MC,8411.T,11.HK,SCMN.SW,TLS.AX,388.HK,DAI.DE,O39.SI,AD.AS,MUV2.DE,UBSG.SW,7751.T,HOLN.SW,PGHN.SW,AAL.L,U11.SI,7267.T,KER.PA,ELE.MC,FORTUM.HE,RKT.L,ORA.PA,Z74.SI,REL.L,6902.T,2.HK,6501.T,VNA.DE,12.HK,TEL.OL,KNIN.SW,G.MI,SSE.L,NESTE.HE,KNEBV.HE,SHL.DE,8725.T,BA.L,ATCO A.ST,688.HK,RI.PA,4519.T,8766.T,MQG.AX,RMS.PA,5108.T,3382.T,SGSN.SW,SAMPO.HE,PST.MI,CRH.L,TELIA.ST,SRG.MI,NN.AS,UPM.HE,RITN.,6981.T,4063.T,WPL.AX,SLHN.SW,66.HK,GIVN.SW,TSCO.L,CON.DE,8053.T,TCL.AX,VIV.PA,823.HK,CSL.AX,6702.T,GEBN.SW,4503.T,COLO B.CO,9984.T,DSM.AS,AKZA.AS,HNR1.DE,WOW.AX,ERIC B.ST,EMSN.SW,3.HK,8750.T,4578.T,FER.MC,EVK.DE,6752.T,4523.T,COL.AX,5020.T,6503.T,EDP.LS,4452.T,6758.T,DB1.DE,SIKA.SW,ESSITY B.ST,FRE.DE,WKL.AS,17.HK,1972.HK,WisdomTree International MidCap Div ETF,8604.T,6367.T,DWNI.DE,1925.T,2502.T,GMG.AX,ORSTED.CO,F34.SI,4901.T,FME.DE,1928.T,9020.T,4568.T,ML.PA,TRN.MI,LR.PA,6301.T,2503.T,UN01.DE,CARL B.CO,RWE.DE,IFX.DE,8801.T,8630.T,ATCOB.ST,AHT.L,6954.T,ASSA B.ST,CCEP,AV.L,HEK.SW,VIE.PA,3407.T,669.HK,6861.T,EPI A.ST,6326.T,2810.T,6098.T,SCHN.SW,CAP.PA,EQT.ST,n/a,BIDI11.SA,CFR.SW,ASX.AX,4689.T,DIM,KBX.DE,UMG.AS,9983.T,RACE.MI,GVMXX,EOAN.DE,SUM
07/09/2021,3.1,3.06,2.59,2.07,1.92,1.75,1.69,1.63,1.57,1.43,1.41,1.4,1.25,1.24,1.14,1.13,1.11,1.1,1.05,1.04,1.03,1.03,1.0,0.99,0.97,0.97,0.96,0.95,0.89,0.84,0.84,0.83,0.83,0.82,0.76,0.75,0.74,0.74,0.74,0.73,0.72,0.71,0.69,0.67,0.65,0.62,0.6,0.59,0.59,0.58,0.57,0.54,0.54,0.53,0.51,0.51,0.51,0.5,0.5,0.48,0.48,0.47,0.46,0.46,0.45,0.45,0.44,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.4,0.4,0.39,0.37,0.37,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.11
07/12/2021,3.12,3.06,2.63,2.06,1.91,1.74,1.66,1.66,1.59,1.42,1.39,1.4,1.25,1.24,1.13,1.14,1.09,1.11,1.01,1.03,1.05,1.02,0.99,1.01,1.0,0.95,0.99,0.94,0.88,0.86,0.85,0.83,0.81,0.83,0.75,0.75,0.76,0.74,0.74,0.72,0.71,0.71,0.68,0.67,0.66,0.62,0.57,0.59,0.58,0.59,0.57,0.55,0.55,0.53,0.51,0.51,0.0,0.5,0.5,0.48,0.48,0.47,0.46,0.45,0.45,0.46,0.43,0.46,0.4,0.43,0.43,0.42,0.41,0.42,0.4,0.42,0.4,0.4,0.39,0.37,0.37,0.36,0.37,0.34,0.35,0.36,0.33,0.34,0.33,0.34,0.32,0.31,0.31,0.3,0.31,0.29,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.22,0.24,0.23,0.23,0.23,0.24,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.18,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.0,0.52,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.15
07/13/2021,3.12,3.06,2.63,2.06,1.91,1.74,1.66,1.66,1.59,1.42,1.39,1.4,1.25,1.24,1.13,1.14,1.09,1.11,1.01,1.03,1.05,1.02,0.99,1.01,1.0,0.95,0.99,0.94,0.88,0.86,0.85,0.83,0.81,0.83,0.75,0.75,0.76,0.74,0.74,0.72,0.71,0.71,0.68,0.67,0.66,0.62,0.57,0.59,0.58,0.59,0.57,0.55,0.55,0.53,0.51,0.51,0.0,0.5,0.5,0.48,0.48,0.47,0.46,0.45,0.45,0.46,0.43,0.46,0.4,0.43,0.43,0.42,0.41,0.42,0.4,0.42,0.4,0.4,0.39,0.37,0.37,0.36,0.37,0.34,0.35,0.36,0.33,0.34,0.33,0.34,0.32,0.31,0.31,0.3,0.31,0.29,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.22,0.24,0.23,0.23,0.23,0.24,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.18,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.0,0.52,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.15
07/14/2021,3.12,3.1,2.64,2.07,1.93,1.72,1.67,1.64,1.61,1.42,1.39,1.41,1.24,1.23,1.13,1.15,1.12,1.1,1.01,1.04,1.06,1.03,1.01,0.98,1.01,0.94,0.97,0.95,0.88,0.89,0.84,0.84,0.81,0.8,0.77,0.75,0.76,0.73,0.73,0.72,0.72,0.71,0.67,0.66,0.66,0.62,0.58,0.59,0.58,0.61,0.57,0.55,0.53,0.52,0.5,0.51,0.0,0.5,0.49,0.48,0.47,0.47,0.47,0.45,0.44,0.46,0.43,0.46,0.41,0.43,0.43,0.42,0.41,0.42,0.4,0.41,0.4,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.35,0.33,0.34,0.34,0.35,0.32,0.31,0.3,0.31,0.3,0.3,0.3,0.3,0.29,0.3,0.3,0.29,0.28,0.27,0.28,0.28,0.29,0.27,0.26,0.27,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.22,0.23,0.23,0.23,0.23,0.24,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.2,0.19,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.17,0.17,0.18,0.19,0.18,0.18,0.18,0.18,0.16,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.11,0.11,0.12,0.0,0.52,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.14
07/15/2021,3.12,3.1,2.64,2.07,1.93,1.72,1.67,1.64,1.61,1.42,1.39,1.41,1.24,1.23,1.13,1.15,1.12,1.1,1.01,1.04,1.06,1.03,1.01,0.98,1.01,0.94,0.97,0.95,0.88,0.89,0.84,0.84,0.81,0.8,0.77,0.75,0.76,0.73,0.73,0.72,0.72,0.71,0.67,0.66,0.66,0.62,0.58,0.59,0.58,0.61,0.57,0.55,0.53,0.52,0.5,0.51,0.0,0.5,0.49,0.48,0.47,0.47,0.47,0.45,0.44,0.46,0.43,0.46,0.41,0.43,0.43,0.42,0.41,0.42,0.4,0.41,0.4,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.35,0.33,0.34,0.34,0.35,0.32,0.31,0.3,0.31,0.3,0.3,0.3,0.3,0.29,0.3,0.3,0.29,0.28,0.27,0.28,0.28,0.29,0.27,0.26,0.27,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.22,0.23,0.23,0.23,0.23,0.24,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.2,0.19,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.17,0.17,0.18,0.19,0.18,0.18,0.18,0.18,0.16,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.11,0.11,0.12,0.0,0.52,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.14
07/16/2021,3.1,3.09,2.63,2.06,1.98,1.71,1.69,1.63,1.6,1.41,1.4,1.41,1.24,1.24,1.12,1.18,1.11,1.1,1.0,1.03,1.05,1.03,1.01,0.98,1.01,0.94,0.98,0.95,0.87,0.88,0.84,0.83,0.81,0.79,0.78,0.75,0.76,0.73,0.73,0.71,0.71,0.71,0.67,0.66,0.66,0.62,0.58,0.59,0.58,0.6,0.57,0.55,0.52,0.52,0.49,0.52,0.0,0.5,0.5,0.48,0.47,0.47,0.46,0.45,0.44,0.46,0.42,0.47,0.41,0.42,0.42,0.42,0.41,0.42,0.4,0.42,0.4,0.39,0.39,0.37,0.37,0.35,0.36,0.35,0.35,0.36,0.33,0.33,0.35,0.35,0.32,0.31,0.31,0.3,0.3,0.3,0.29,0.3,0.29,0.3,0.3,0.29,0.28,0.28,0.28,0.28,0.29,0.27,0.26,0.27,0.25,0.24,0.24,0.25,0.25,0.25,0.25,0.24,0.25,0.22,0.23,0.23,0.23,0.23,0.24,0.2,0.21,0.21,0.2,0.21,0.2,0.21,0.21,0.2,0.21,0.19,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.18,0.17,0.18,0.19,0.18,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.17,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.16,0.16,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.0,0.52,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.12
07/19/2021,3.09,3.06,2.62,2.06,2.02,1.72,1.68,1.63,1.59,1.4,1.38,1.43,1.23,1.25,1.12,1.18,1.11,1.1,1.01,1.04,1.05,1.03,1.02,0.96,1.02,0.95,0.97,0.95,0.87,0.88,0.84,0.83,0.79,0.8,0.77,0.77,0.75,0.73,0.73,0.7,0.71,0.72,0.67,0.66,0.66,0.63,0.58,0.58,0.6,0.6,0.57,0.54,0.52,0.52,0.49,0.52,0.0,0.51,0.49,0.47,0.47,0.47,0.47,0.45,0.44,0.46,0.43,0.48,0.41,0.43,0.42,0.41,0.41,0.43,0.4,0.41,0.4,0.4,0.39,0.37,0.36,0.35,0.36,0.35,0.35,0.36,0.33,0.33,0.34,0.34,0.32,0.3,0.31,0.3,0.3,0.3,0.29,0.3,0.3,0.3,0.3,0.29,0.28,0.28,0.29,0.28,0.29,0.26,0.26,0.27,0.25,0.24,0.24,0.25,0.25,0.25,0.24,0.24,0.25,0.22,0.23,0.23,0.23,0.23,0.24,0.21,0.21,0.22,0.2,0.21,0.2,0.2,0.21,0.2,0.21,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.17,0.17,0.15,0.16,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.12,0.12,0.0,0.52,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.07999999999998
07/20/2021,3.11,3.06,2.66,2.05,2.06,1.76,1.68,1.66,1.56,1.39,1.33,1.42,1.22,1.26,1.09,1.19,1.1,1.1,0.96,1.02,1.08,1.04,1.01,0.97,1.01,0.94,0.98,0.95,0.87,0.87,0.84,0.83,0.79,0.82,0.76,0.75,0.74,0.72,0.74,0.7,0.71,0.73,0.67,0.67,0.68,0.64,0.56,0.59,0.59,0.6,0.57,0.55,0.52,0.53,0.5,0.52,0.0,0.51,0.49,0.45,0.47,0.48,0.47,0.46,0.44,0.46,0.43,0.49,0.4,0.43,0.43,0.41,0.41,0.42,0.39,0.42,0.39,0.4,0.39,0.37,0.36,0.35,0.36,0.35,0.35,0.36,0.33,0.34,0.34,0.35,0.32,0.31,0.3,0.3,0.3,0.3,0.29,0.3,0.3,0.3,0.3,0.3,0.28,0.27,0.29,0.28,0.29,0.26,0.26,0.27,0.25,0.24,0.24,0.26,0.25,0.25,0.24,0.24,0.25,0.22,0.22,0.23,0.24,0.23,0.24,0.2,0.21,0.21,0.2,0.21,0.2,0.2,0.21,0.2,0.21,0.19,0.2,0.2,0.19,0.19,0.18,0.2,0.19,0.18,0.18,0.18,0.19,0.18,0.15,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.17,0.15,0.16,0.25,0.15,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.0,0.12,0.12,0.11,0.0,0.53,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.14
07/21/2021,3.11,3.06,2.66,2.05,2.06,1.76,1.68,1.66,1.56,1.39,1.33,1.42,1.22,1.26,1.09,1.19,1.1,1.1,0.96,1.02,1.08,1.04,1.01,0.97,1.01,0.94,0.98,0.95,0.87,0.87,0.84,0.83,0.79,0.82,0.76,0.75,0.74,0.72,0.74,0.7,0.71,0.73,0.67,0.67,0.68,0.64,0.56,0.59,0.59,0.6,0.57,0.55,0.52,0.53,0.5,0.52,0.0,0.51,0.49,0.45,0.47,0.48,0.47,0.46,0.44,0.46,0.43,0.49,0.4,0.43,0.43,0.41,0.41,0.42,0.39,0.42,0.39,0.4,0.39,0.37,0.36,0.35,0.36,0.35,0.35,0.36,0.33,0.34,0.34,0.35,0.32,0.31,0.3,0.3,0.3,0.3,0.29,0.3,0.3,0.3,0.3,0.3,0.28,0.27,0.29,0.28,0.29,0.26,0.26,0.27,0.25,0.24,0.24,0.26,0.25,0.25,0.24,0.24,0.25,0.22,0.22,0.23,0.24,0.23,0.24,0.2,0.21,0.21,0.2,0.21,0.2,0.2,0.21,0.2,0.21,0.19,0.2,0.2,0.19,0.19,0.18,0.2,0.19,0.18,0.18,0.18,0.19,0.18,0.15,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.17,0.15,0.16,0.25,0.15,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.0,0.12,0.12,0.11,0.0,0.53,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.14
07/22/2021,3.11,3.06,2.66,2.05,2.06,1.76,1.68,1.66,1.56,1.39,1.33,1.42,1.22,1.26,1.09,1.19,1.1,1.1,0.96,1.02,1.08,1.04,1.01,0.97,1.01,0.94,0.98,0.95,0.87,0.87,0.84,0.83,0.79,0.82,0.76,0.75,0.74,0.72,0.74,0.7,0.71,0.73,0.67,0.67,0.68,0.64,0.56,0.59,0.59,0.6,0.57,0.55,0.52,0.53,0.5,0.52,0.0,0.51,0.49,0.45,0.47,0.48,0.47,0.46,0.44,0.46,0.43,0.49,0.4,0.43,0.43,0.41,0.41,0.42,0.39,0.42,0.39,0.4,0.39,0.37,0.36,0.35,0.36,0.35,0.35,0.36,0.33,0.34,0.34,0.35,0.32,0.31,0.3,0.3,0.3,0.3,0.29,0.3,0.3,0.3,0.3,0.3,0.28,0.27,0.29,0.28,0.29,0.26,0.26,0.27,0.25,0.24,0.24,0.26,0.25,0.25,0.24,0.24,0.25,0.22,0.22,0.23,0.24,0.23,0.24,0.2,0.21,0.21,0.2,0.21,0.2,0.2,0.21,0.2,0.21,0.19,0.2,0.2,0.19,0.19,0.18,0.2,0.19,0.18,0.18,0.18,0.19,0.18,0.15,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.17,0.15,0.16,0.25,0.15,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.0,0.12,0.12,0.11,0.0,0.53,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.14
