,RCD,QQQ,IXN,FNCL,FXO,ARKW,IPO,First American Government Obligs X,FXD,XRT,FDIS,EWD,IJK,n/a,FGXXX,VUG,IYW,XSD,IGV,SUM
07/09/2021,19.59,15.49,15.33,14.11,14.02,12.77,8.26,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,14.73,0.0,0.0,0.0,0.0,0.0,0.0,0.34,19.88,19.51,15.23,15.22,15.09,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,14.73,0.0,0.0,0.0,0.0,0.0,0.0,0.34,19.88,19.51,15.23,15.22,15.09,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.34,19.82,19.6,15.3,15.19,15.05,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,14.67,0.0,0.0,0.0,0.0,0.0,0.0,0.27,19.83,19.92,15.2,15.14,14.98,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/16/2021,14.67,0.0,0.0,0.0,0.0,0.0,0.0,0.27,19.83,19.92,15.2,15.14,14.98,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/19/2021,14.68,0.0,0.0,0.0,0.0,0.0,0.0,0.27,19.79,19.68,15.22,15.44,14.91,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.28,19.79,19.55,15.25,15.46,14.97,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,14.65,0.0,0.0,0.0,0.0,0.0,0.0,0.28,19.78,19.51,15.25,15.5,15.04,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/22/2021,14.65,0.0,0.0,0.0,0.0,0.0,0.0,0.28,19.78,19.51,15.25,15.5,15.04,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/23/2021,14.56,0.0,0.0,0.0,0.0,0.0,0.0,0.28,19.79,19.57,15.28,15.45,15.07,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,14.65,0.0,0.0,0.0,0.0,0.0,0.0,0.27,19.88,19.82,15.15,15.2,15.03,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,14.65,0.0,0.0,0.0,0.0,0.0,0.0,0.27,19.88,19.82,15.15,15.2,15.03,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,14.67,0.0,0.0,0.0,0.0,0.0,0.0,0.27,19.92,19.61,15.22,15.37,14.93,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/29/2021,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.27,19.91,19.59,15.25,15.47,14.81,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.27,19.91,19.59,15.25,15.47,14.81,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,14.68,0.0,0.0,0.0,0.0,0.0,0.0,0.27,19.88,19.5,15.19,15.5,14.97,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/03/2021,14.68,0.0,0.0,0.0,0.0,0.0,0.0,0.27,19.88,19.5,15.19,15.5,14.97,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/04/2021,14.68,0.0,0.0,0.0,0.0,0.0,0.0,0.27,19.88,19.5,15.19,15.5,14.97,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/05/2021,14.68,0.0,0.0,0.0,0.0,0.0,0.0,0.27,19.88,19.5,15.19,15.5,14.97,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/06/2021,14.74,0.0,0.0,0.0,0.0,0.0,0.0,0.28,19.98,19.51,15.0,15.46,15.03,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/09/2021,14.97,15.07,15.1,0.0,0.0,0.0,0.0,0.0,19.9,19.62,14.95,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,99.99
08/10/2021,14.97,15.07,15.1,0.0,0.0,0.0,0.0,0.0,19.9,19.62,14.95,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,99.99
08/11/2021,14.97,15.07,15.1,0.0,0.0,0.0,0.0,0.0,19.9,19.62,14.95,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,99.99
08/13/2021,14.96,14.9,14.84,0.0,0.0,0.0,0.0,0.0,19.96,20.07,14.9,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,100.01
08/16/2021,15.02,14.9,14.85,0.0,0.0,0.0,0.0,0.0,20.02,19.94,14.9,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,100.01
08/17/2021,15.02,14.9,14.85,0.0,0.0,0.0,0.0,0.0,20.02,19.94,14.9,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,100.01
08/18/2021,15.01,15.0,14.96,0.0,0.0,0.0,0.0,0.0,19.97,19.79,14.9,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,100.01
08/19/2021,15.01,15.0,14.96,0.0,0.0,0.0,0.0,0.0,19.97,19.79,14.9,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,100.01
08/20/2021,14.95,15.01,15.01,0.0,0.0,0.0,0.0,0.0,19.99,19.8,14.86,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,100.0
08/23/2021,14.88,15.21,15.19,0.0,0.0,0.0,0.0,0.0,19.84,19.71,14.78,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,100.0
08/24/2021,14.88,15.21,15.19,0.0,0.0,0.0,0.0,0.0,19.84,19.71,14.78,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,100.0
08/25/2021,14.88,15.18,15.15,0.0,0.0,0.0,0.0,0.0,19.86,19.79,14.76,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,100.0
08/26/2021,14.88,15.18,15.15,0.0,0.0,0.0,0.0,0.0,19.86,19.79,14.76,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,100.0
08/27/2021,14.89,15.11,15.08,0.0,0.0,0.0,0.0,0.0,19.81,19.96,14.77,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,99.99
08/30/2021,14.92,15.17,15.13,0.0,0.0,0.0,0.0,0.0,19.84,19.76,14.81,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,100.01
08/31/2021,14.92,15.17,15.13,0.0,0.0,0.0,0.0,0.0,19.84,19.76,14.81,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,100.01
09/01/2021,14.93,15.17,15.14,0.0,0.0,0.0,0.0,0.0,19.84,19.73,14.81,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,99.99
09/02/2021,14.93,15.17,15.14,0.0,0.0,0.0,0.0,0.0,19.84,19.73,14.81,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,99.99
09/03/2021,14.84,15.29,15.23,0.0,0.0,0.0,0.0,0.0,19.73,19.7,14.85,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,100.01
09/06/2021,14.81,15.29,15.21,0.0,0.0,0.0,0.0,0.0,19.69,19.76,14.86,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,99.99
09/07/2021,14.85,15.32,15.24,0.0,0.0,0.0,0.0,0.0,19.7,19.65,14.87,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,100.0
09/08/2021,14.85,15.32,15.24,0.0,0.0,0.0,0.0,0.0,19.7,19.65,14.87,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,100.0
09/09/2021,21.21,0.0,15.08,0.0,0.0,0.0,0.0,0.0,23.71,19.84,4.73,0.0,0.0,0.0,0.38,15.05,0.0,0.0,0.0,100.0
09/10/2021,21.21,0.0,15.08,0.0,0.0,0.0,0.0,0.0,23.71,19.84,4.73,0.0,0.0,0.0,0.38,15.05,0.0,0.0,0.0,100.0
09/13/2021,21.23,0.0,15.13,0.0,0.0,0.0,0.0,0.0,23.6,19.58,4.78,0.0,0.0,0.0,0.48,15.19,0.0,0.0,0.0,99.99
09/14/2021,21.25,0.0,15.07,0.0,0.0,0.0,0.0,0.0,23.64,19.7,4.77,0.0,0.0,0.0,0.48,15.09,0.0,0.0,0.0,100.0
09/15/2021,21.27,0.0,15.08,0.0,0.0,0.0,0.0,0.0,23.71,19.58,4.78,0.0,0.0,0.0,0.48,15.1,0.0,0.0,0.0,100.0
09/16/2021,21.27,0.0,15.08,0.0,0.0,0.0,0.0,0.0,23.71,19.58,4.78,0.0,0.0,0.0,0.48,15.1,0.0,0.0,0.0,100.0
09/17/2021,21.33,0.0,15.09,0.0,0.0,0.0,0.0,0.0,23.76,19.49,4.79,0.0,0.0,0.0,0.48,15.05,0.0,0.0,0.0,99.99
09/20/2021,21.23,0.0,15.14,0.0,0.0,0.0,0.0,0.0,23.77,19.51,4.78,0.0,0.0,0.0,0.48,15.08,0.0,0.0,0.0,99.99
09/21/2021,21.2,0.0,15.06,0.0,0.0,0.0,0.0,0.0,23.79,19.67,4.78,0.0,0.0,0.0,0.48,15.02,0.0,0.0,0.0,100.0
09/22/2021,21.2,0.0,15.06,0.0,0.0,0.0,0.0,0.0,23.79,19.67,4.78,0.0,0.0,0.0,0.48,15.02,0.0,0.0,0.0,100.0
09/23/2021,21.2,0.0,15.06,0.0,0.0,0.0,0.0,0.0,23.79,19.67,4.78,0.0,0.0,0.0,0.48,15.02,0.0,0.0,0.0,100.0
09/24/2021,21.17,0.0,14.96,0.0,0.0,0.0,0.0,0.0,23.83,19.78,4.78,0.0,0.0,0.0,0.49,14.99,0.0,0.0,0.0,100.0
09/27/2021,21.28,0.0,14.92,0.0,0.0,0.0,0.0,0.0,23.76,19.86,4.77,0.0,0.0,0.0,0.53,14.88,0.0,0.0,0.0,100.0
09/28/2021,21.28,0.0,14.92,0.0,0.0,0.0,0.0,0.0,23.76,19.86,4.77,0.0,0.0,0.0,0.53,14.88,0.0,0.0,0.0,100.0
09/29/2021,21.28,0.0,14.92,0.0,0.0,0.0,0.0,0.0,23.76,19.86,4.77,0.0,0.0,0.0,0.53,14.88,0.0,0.0,0.0,100.0
09/30/2021,21.34,0.0,14.9,0.0,0.0,0.0,0.0,0.0,23.75,19.8,4.78,0.0,0.0,0.0,0.52,14.9,0.0,0.0,0.0,99.99
10/01/2021,21.57,0.0,14.53,0.0,0.0,0.0,0.0,0.0,23.91,20.1,4.79,0.0,0.0,0.0,0.53,14.57,0.0,0.0,0.0,100.0
10/04/2021,21.56,0.0,14.48,0.0,0.0,0.0,0.0,0.0,23.95,20.12,4.78,0.0,0.0,0.0,0.55,14.56,0.0,0.0,0.0,100.0
10/05/2021,21.48,0.0,14.77,0.0,0.0,0.0,0.0,0.0,23.82,19.64,4.81,0.0,0.0,0.0,0.65,14.83,0.0,0.0,0.0,100.0
10/06/2021,21.62,0.0,14.73,0.0,0.0,0.0,0.0,0.0,23.78,19.61,4.8,0.0,0.0,0.0,0.64,14.82,0.0,0.0,0.0,100.0
10/07/2021,21.62,0.0,14.73,0.0,0.0,0.0,0.0,0.0,23.78,19.61,4.8,0.0,0.0,0.0,0.64,14.82,0.0,0.0,0.0,100.0
10/08/2021,21.68,0.0,14.57,0.0,0.0,0.0,0.0,0.0,23.88,19.7,4.81,0.0,0.0,0.0,0.65,14.7,0.0,0.0,0.0,99.99
10/11/2021,0.0,0.0,15.01,0.0,0.0,0.0,0.0,0.0,14.7,19.48,0.0,0.0,0.0,0.0,0.37,15.06,35.38,0.0,0.0,100.0
10/12/2021,0.0,0.0,14.94,0.0,0.0,0.0,0.0,0.0,14.79,19.65,0.0,0.0,0.0,0.0,0.37,15.01,35.25,0.0,0.0,100.01
