,SJR.B.TO,TTE.PA,ENG.MC,BCE.TO,TRP.TO,GSK.L,REE.MC,2881.TW,TEL.OL,ELE.MC,NG.L,CM.TO,2891.TW,2886.TW,SCMN.SW,017670.KS,T.TO,Bank of Communications Co. Ltd. Class H,SPSN.SW,UU.L,HELN.SW,SVT.L,APA.AX,ZURN.SW,NA.TO,2.HK,TD.TO,BN.PA,RY.TO,TRN.MI,8725.T,IG.MI,RCI.B.TO,CU.TO,FTS.TO,9513.T,TEG.DE,7203.T,GBLB.BR,ULVR.L,CBA.AX,MUV2.DE,NOVN.SW,LEG.DE,SLF.TO,BALN.SW,TATE.L,SGSN.SW,MAYBANK.KL,S63.SI,270.HK,8984.T,Inter RAO UES PJSC,VNA.DE,CMBN.SW,66.HK,101.HK,2884.TW,GFC.PA,SHL.AX,SPP.JO,AST.AX,3309.T,CPX.TO,8951.T,SPK.NZ,3269.T,BVIC.L,9504.T,3226.T,8952.T,AQN.TO,6417.T,6823.HK,83.HK,BCVN.SW,GYC.DE,3281.T,ENTRA.OL,8972.T,China Merchants Bank Co. Ltd. Class H,ORI.AX,AP.UN.TO,8967.T,2887.TW,IRE.AX,8964.T,6460.T,018880.KS,8986.T,ALLN.SW,US.MI,8.HK,3292.T,MONY.L,GPT.AX,Mori Hills Reit Investment Corporation,8987.T,Euro,STATE STREET INSTITUTIONAL LIQ STATE STR,Malaysian Ringgit,U.S. Dollar,South African Rand,Japanese Yen,Australian Dollar,Canadian Dollar,British Pounds,Swiss Franc,Hong Kong Dollar,New Zealand Dollar,Norwegian Krone,Singapore Dollar,Turkish Lira,Indonesian Rupiah,Thailand Baht,Taiwan Dollar,KPN.AS,ENEL.MI,SAN.PA,ORK.OL,CAST.ST,VPK.AS,998.HK,ROG.SW,PSPN.SW,Agricultural Bank of China Limited Class H,RWE.DE,NESN.SW,Industrial and Commercial Bank of China Limited Class H,Henkel AG & Co. KGaA,3231.TW,VOD.JO,2282.T,China Construction Bank Corporation Class H,3044.TW,029780.KS,BKW.SW,2892.TW,4958.TW,China Vanke Co. Ltd Class H,SAHOL.IS,Ratch Group Public Co. Ltd. NVDR,WIHL.ST,5880.TW,KIMBERA.MX,CGN Power Co. Ltd. Class H,3234.T,1109.HK,2880.TW,E.SUN Financial Holding Co. Ltd.,Mexican Peso,Swedish Krona,GVMXX,3328.HK,IRAO.ME,M4B.,SSIXX,SUM
07/09/2021,2.65,2.21,2.17,2.12,2.01,1.9,1.81,1.79,1.78,1.76,1.71,1.7,1.59,1.59,1.56,1.55,1.5,1.44,1.42,1.42,1.4,1.36,1.34,1.28,1.28,1.27,1.26,1.26,1.21,1.2,1.18,1.16,1.16,1.14,1.13,1.08,1.07,1.06,1.06,1.03,1.03,1.01,1.01,0.97,0.96,0.94,0.94,0.92,0.92,0.91,0.91,0.88,0.87,0.87,0.86,0.85,0.85,0.82,0.81,0.81,0.79,0.79,0.78,0.77,0.76,0.75,0.73,0.73,0.71,0.71,0.71,0.69,0.69,0.66,0.63,0.61,0.61,0.59,0.58,0.58,0.58,0.56,0.56,0.52,0.5,0.49,0.46,0.46,0.44,0.43,0.43,0.42,0.42,0.41,0.4,0.4,0.36,0.26,0.14,0.04,0.04,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/12/2021,2.67,2.17,2.14,2.14,2.02,1.88,1.82,1.81,1.78,1.78,1.71,1.69,1.6,1.58,1.58,1.54,1.5,1.4,1.44,1.42,1.4,1.37,1.32,1.28,1.26,1.27,1.21,1.24,1.2,1.22,1.17,1.15,1.16,1.15,1.13,1.09,1.07,1.06,1.05,1.03,1.03,0.99,1.02,0.98,0.94,0.94,0.94,0.94,0.91,0.89,0.9,0.87,0.87,0.87,0.86,0.87,0.83,0.82,0.82,0.82,0.8,0.78,0.8,0.78,0.74,0.76,0.77,0.73,0.71,0.75,0.7,0.68,0.69,0.66,0.63,0.61,0.61,0.6,0.58,0.58,0.56,0.56,0.55,0.53,0.5,0.49,0.46,0.46,0.43,0.44,0.44,0.41,0.42,0.41,0.4,0.4,0.36,0.26,0.13,0.04,0.04,0.0,0.01,0.01,0.01,0.0,0.03,0.03,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,2.67,2.17,2.14,2.14,2.02,1.88,1.82,1.81,1.78,1.78,1.71,1.69,1.6,1.58,1.58,1.54,1.5,1.4,1.44,1.42,1.4,1.37,1.32,1.28,1.26,1.27,1.21,1.24,1.2,1.22,1.17,1.15,1.16,1.15,1.13,1.09,1.07,1.06,1.05,1.03,1.03,0.99,1.02,0.98,0.94,0.94,0.94,0.94,0.91,0.89,0.9,0.87,0.87,0.87,0.86,0.87,0.83,0.82,0.82,0.82,0.8,0.78,0.8,0.78,0.74,0.76,0.77,0.73,0.71,0.75,0.7,0.68,0.69,0.66,0.63,0.61,0.61,0.6,0.58,0.58,0.56,0.56,0.55,0.53,0.5,0.49,0.46,0.46,0.43,0.44,0.44,0.41,0.42,0.41,0.4,0.4,0.36,0.26,0.13,0.04,0.04,0.0,0.01,0.01,0.01,0.0,0.03,0.03,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,2.69,2.19,2.15,2.14,2.04,1.9,1.83,1.78,1.81,1.78,1.72,1.7,1.58,1.57,1.58,1.54,1.51,1.38,1.44,1.43,1.41,1.38,1.34,1.29,1.28,1.26,1.22,1.24,1.21,1.22,1.14,1.15,1.16,1.15,1.13,1.08,1.08,1.05,1.07,1.04,1.03,1.02,1.03,0.99,0.96,0.95,0.95,0.94,0.91,0.91,0.9,0.86,0.87,0.88,0.86,0.87,0.82,0.82,0.83,0.82,0.8,0.78,0.78,0.77,0.74,0.76,0.76,0.73,0.71,0.74,0.7,0.69,0.68,0.65,0.63,0.61,0.61,0.59,0.6,0.58,0.55,0.54,0.56,0.52,0.5,0.49,0.45,0.45,0.41,0.44,0.44,0.41,0.41,0.4,0.4,0.4,0.36,0.25,0.07,0.04,0.04,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.94
07/15/2021,2.69,2.18,2.15,2.12,2.02,1.9,1.84,1.82,1.8,1.79,1.72,1.7,1.57,1.56,1.59,1.56,1.5,1.38,1.46,1.45,1.41,1.39,1.33,1.29,1.28,1.25,1.22,1.23,1.21,1.23,1.15,1.16,1.15,1.14,1.12,1.08,1.1,1.05,1.07,1.04,1.03,1.02,1.03,1.0,0.96,0.95,0.94,0.95,0.89,0.91,0.88,0.85,0.87,0.89,0.86,0.87,0.83,0.81,0.84,0.82,0.78,0.78,0.79,0.76,0.74,0.76,0.75,0.73,0.71,0.74,0.7,0.68,0.7,0.65,0.63,0.61,0.61,0.59,0.61,0.57,0.56,0.54,0.55,0.51,0.51,0.48,0.45,0.46,0.42,0.43,0.44,0.41,0.41,0.4,0.4,0.4,0.36,0.25,0.09,0.04,0.04,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/16/2021,2.66,2.16,2.14,2.13,2.01,1.9,1.84,1.83,1.79,1.77,1.72,1.7,1.58,1.57,1.59,1.56,1.5,1.37,1.47,1.45,1.4,1.41,1.34,1.29,1.28,1.26,1.21,1.23,1.21,1.23,1.18,1.16,1.15,1.13,1.11,1.09,1.09,1.06,1.08,1.05,1.02,1.01,1.02,0.99,0.95,0.95,0.94,0.95,0.9,0.91,0.9,0.87,0.87,0.88,0.85,0.88,0.85,0.81,0.83,0.83,0.75,0.78,0.79,0.76,0.74,0.76,0.75,0.73,0.71,0.74,0.69,0.68,0.7,0.65,0.64,0.61,0.61,0.6,0.6,0.57,0.56,0.55,0.55,0.52,0.51,0.49,0.45,0.47,0.42,0.43,0.44,0.41,0.41,0.4,0.41,0.39,0.36,0.25,0.09,0.05,0.04,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/19/2021,2.66,2.13,2.13,2.13,2.0,1.87,1.84,1.92,1.79,1.72,1.7,1.71,1.59,1.58,1.58,1.54,1.5,1.38,1.44,1.43,1.4,1.4,1.42,1.28,1.29,1.28,1.21,1.22,1.23,1.23,1.18,1.15,1.15,1.14,1.13,1.11,1.08,1.07,1.07,1.04,1.02,1.01,1.01,0.99,0.96,0.95,0.89,0.94,0.9,0.91,0.94,0.88,0.86,0.88,0.84,0.89,0.85,0.82,0.81,0.83,0.76,0.8,0.81,0.76,0.75,0.74,0.75,0.72,0.72,0.73,0.7,0.69,0.7,0.66,0.64,0.61,0.6,0.6,0.58,0.57,0.58,0.54,0.55,0.52,0.51,0.49,0.45,0.47,0.42,0.43,0.43,0.42,0.41,0.4,0.39,0.39,0.36,0.25,0.09,0.06,0.04,-0.04,0.01,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/23/2021,2.68,2.05,2.15,2.12,1.95,1.87,1.83,1.99,1.81,1.74,1.75,1.68,1.6,1.6,1.62,1.58,1.49,1.37,1.45,1.44,1.36,1.42,1.4,1.28,1.27,1.3,1.18,1.23,1.2,1.24,1.19,1.13,1.15,1.14,1.14,1.11,1.09,1.06,1.06,1.05,1.01,0.98,1.01,1.0,0.95,0.94,0.91,0.94,0.9,0.91,0.95,0.89,0.83,0.89,0.83,0.91,0.83,0.84,0.83,0.86,0.75,0.79,0.82,0.75,0.74,0.75,0.76,0.7,0.73,0.75,0.69,0.69,0.68,0.67,0.64,0.61,0.6,0.61,0.57,0.57,0.58,0.52,0.54,0.53,0.53,0.49,0.45,0.45,0.41,0.43,0.44,0.41,0.42,0.41,0.39,0.38,0.36,0.25,0.01,0.09,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
07/29/2021,2.69,2.13,2.2,2.12,1.99,1.86,1.89,1.9,1.83,1.78,1.77,1.73,1.6,1.59,1.61,1.48,1.49,1.34,1.46,1.46,1.41,1.43,1.4,1.31,1.28,1.31,1.19,1.21,1.2,1.27,1.19,1.16,1.11,1.16,1.13,1.09,1.07,1.06,1.09,0.98,1.03,1.01,1.01,0.99,0.96,0.96,0.92,0.94,0.89,0.91,0.91,0.86,0.82,0.86,0.82,0.92,0.85,0.83,0.84,0.86,0.75,0.81,0.79,0.77,0.73,0.75,0.74,0.71,0.71,0.74,0.67,0.7,0.69,0.65,0.63,0.6,0.6,0.59,0.59,0.57,0.54,0.52,0.55,0.52,0.54,0.5,0.45,0.46,0.41,0.42,0.44,0.42,0.43,0.4,0.4,0.37,0.36,0.24,0.01,0.06,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/03/2021,2.67,2.17,2.24,2.11,1.98,1.86,1.94,1.82,1.84,1.73,1.76,1.74,1.58,1.58,1.61,1.49,1.47,1.33,1.47,1.48,1.4,1.46,1.36,1.3,1.29,1.3,1.2,1.26,1.2,1.27,1.19,1.18,1.09,1.17,1.13,1.08,1.06,1.06,1.09,0.99,1.02,1.01,1.01,0.99,0.97,0.95,0.91,0.95,0.88,0.91,0.9,0.87,0.83,0.85,0.8,0.9,0.88,0.83,0.83,0.86,0.78,0.78,0.81,0.78,0.75,0.73,0.73,0.72,0.7,0.73,0.68,0.71,0.67,0.65,0.61,0.61,0.59,0.61,0.59,0.57,0.54,0.51,0.54,0.52,0.53,0.54,0.45,0.44,0.4,0.42,0.44,0.42,0.42,0.39,0.38,0.37,0.35,0.25,0.01,0.06,0.01,0.0,0.0,0.01,0.0,0.03,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
