,SMPH.PM,ALI.PM,SM.PM,AC.PM,JGS.PM,ICT.PM,BPI.PM,BDO.PM,TEL.PM,URC.PM,JFC.PM,MBT.PM,AEV.PM,MER.PM,GTCAP.PM,GLO.PM,MPI.PM,ACEN.PM,SECB.PM,PGOLD.PM,MEG.PM,WLCON.PM,AGI.PM,DMC.PM,BLOOM.PM,DNL.PM,SCC.PM,FGEN.PM,CNPF.PM,VLL.PM,COSCO.PM,RRHI.PM,FLI.PM,RLC.PM,HOME,DD.PM,MWC.PM,CEB.PM,PHP,XTSLA,HBCFT,MESU1,SUM
07/09/2021,11.34,8.98,7.28,6.78,5.47,4.79,4.43,4.34,3.63,3.55,3.5,3.22,2.51,2.44,2.38,2.19,2.03,1.66,1.64,1.52,1.49,1.49,1.45,1.2,1.13,1.1,0.99,0.99,0.81,0.76,0.74,0.72,0.71,0.68,0.62,0.58,0.35,0.31,0.16,0.08,0.01,0.0,100.05
07/12/2021,11.41,8.9,7.33,6.77,5.41,4.83,4.38,4.37,3.61,3.55,3.48,3.25,2.54,2.44,2.32,2.22,2.01,1.66,1.62,1.5,1.52,1.44,1.46,1.2,1.23,1.09,1.01,0.97,0.82,0.76,0.74,0.7,0.73,0.67,0.64,0.59,0.35,0.31,0.16,0.08,0.01,0.0,100.08
07/13/2021,11.41,8.9,7.33,6.77,5.41,4.83,4.38,4.37,3.61,3.55,3.48,3.25,2.54,2.44,2.32,2.22,2.01,1.66,1.62,1.5,1.52,1.44,1.46,1.2,1.23,1.09,1.01,0.97,0.82,0.76,0.74,0.7,0.73,0.67,0.64,0.59,0.35,0.31,0.16,0.08,0.01,0.0,100.08
07/14/2021,11.38,9.0,7.35,6.71,5.37,4.76,4.51,4.33,3.64,3.64,3.4,3.19,2.54,2.43,2.3,2.24,1.99,1.7,1.6,1.49,1.5,1.49,1.45,1.2,1.22,1.1,1.01,0.98,0.82,0.74,0.74,0.71,0.74,0.66,0.62,0.6,0.36,0.3,0.17,0.08,0.01,0.0,100.07
07/15/2021,11.38,9.0,7.35,6.71,5.37,4.76,4.51,4.33,3.64,3.64,3.4,3.19,2.54,2.43,2.3,2.24,1.99,1.7,1.6,1.49,1.5,1.49,1.45,1.2,1.22,1.1,1.01,0.98,0.82,0.74,0.74,0.71,0.74,0.66,0.62,0.6,0.36,0.3,0.17,0.08,0.01,0.0,100.07
07/16/2021,11.23,8.93,7.29,6.77,5.32,4.94,4.36,4.3,3.62,3.5,3.51,3.24,2.56,2.44,2.36,2.26,2.02,1.72,1.63,1.48,1.45,1.56,1.47,1.18,1.23,1.1,1.01,1.0,0.87,0.74,0.74,0.74,0.75,0.66,0.59,0.58,0.36,0.3,0.17,0.03,0.01,0.0,100.02
07/19/2021,11.12,8.99,7.37,6.7,5.38,4.9,4.39,4.3,3.57,3.45,3.56,3.3,2.47,2.44,2.41,2.23,2.03,1.74,1.63,1.48,1.46,1.51,1.45,1.21,1.24,1.1,1.08,1.0,0.89,0.73,0.74,0.72,0.75,0.63,0.61,0.58,0.36,0.29,0.17,0.03,0.01,0.0,100.02
07/20/2021,11.12,8.99,7.37,6.7,5.38,4.9,4.39,4.3,3.57,3.45,3.56,3.3,2.47,2.44,2.41,2.23,2.03,1.74,1.63,1.48,1.46,1.51,1.45,1.21,1.24,1.1,1.08,1.0,0.89,0.73,0.74,0.72,0.75,0.63,0.61,0.58,0.36,0.29,0.17,0.03,0.01,0.0,100.02
07/22/2021,11.1,8.82,7.24,6.6,5.61,4.9,4.54,4.35,3.76,3.54,3.65,3.21,2.5,2.47,2.33,2.28,2.0,1.66,1.59,1.5,1.48,1.49,1.49,1.17,1.13,1.07,1.05,1.04,0.88,0.74,0.74,0.7,0.75,0.6,0.61,0.56,0.36,0.29,0.17,0.03,0.01,0.0,100.01
07/23/2021,11.1,8.82,7.24,6.6,5.61,4.9,4.54,4.35,3.76,3.54,3.65,3.21,2.5,2.47,2.33,2.28,2.0,1.66,1.59,1.5,1.48,1.49,1.49,1.17,1.13,1.07,1.05,1.04,0.88,0.74,0.74,0.7,0.75,0.6,0.61,0.56,0.36,0.29,0.17,0.03,0.01,0.0,100.01
07/27/2021,11.14,8.83,7.32,6.69,5.56,4.85,4.63,4.33,3.72,3.57,3.56,3.11,2.47,2.46,2.33,2.27,2.0,1.66,1.62,1.55,1.49,1.51,1.46,1.19,1.12,1.07,1.06,1.01,0.89,0.73,0.74,0.71,0.76,0.61,0.61,0.55,0.35,0.29,0.17,0.03,0.01,0.0,100.03
07/29/2021,11.04,8.71,7.45,6.6,5.4,4.92,4.58,4.25,3.75,3.58,3.48,3.18,2.55,2.52,2.38,2.33,1.99,1.63,1.63,1.59,1.48,1.53,1.45,1.17,1.13,1.08,1.04,1.01,0.94,0.73,0.74,0.73,0.77,0.64,0.61,0.54,0.35,0.29,0.2,0.04,0.01,0.0,100.04
08/02/2021,10.88,9.22,7.38,6.49,5.41,4.99,4.47,4.32,3.65,3.51,3.47,3.15,2.53,2.47,2.31,2.29,2.0,1.67,1.59,1.58,1.43,1.7,1.5,1.2,1.11,1.1,1.05,1.03,0.92,0.73,0.74,0.73,0.75,0.66,0.6,0.54,0.35,0.29,0.14,0.09,0.01,0.0,100.05
