,BAP,SCCO,ALICORC1.,HOC.L,BVN.,1208.HK,INRETC1.,FALABELLA.SN,FERREYC1.,CVERDEC1.,WPM.TO,PARAUCO.SN,PAAS.TO,VOLCABC1.,CPACASC1.,BBVAC1.,FVI.TO,IFS,UNACEMC1.,AENZAC1.,RIPLEY.SN,TAL.V,CORAREI1.,CASAGRC1,PEN,USD,HBCFT,HKD,CAD,GBP,XTSLA,MESU1,CLP,SUM
07/09/2021,22.93,22.1,4.47,4.26,4.05,2.95,2.94,2.92,2.89,2.62,2.57,2.51,2.42,2.33,2.3,2.2,2.12,2.11,2.06,1.93,1.8,1.79,0.72,0.48,0.46,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,23.03,22.81,4.41,4.22,3.85,2.99,3.01,3.05,3.02,2.6,2.68,2.47,2.41,2.2,2.28,2.09,2.0,2.11,1.91,2.02,1.71,1.77,0.63,0.51,0.04,0.04,0.01,0.0,0.01,0.0,0.11,0.0,0.0,99.99000000000002
07/19/2021,22.89,22.69,4.39,4.22,4.05,2.95,3.02,3.03,3.01,2.62,2.74,2.47,2.45,2.24,2.28,2.14,2.02,2.07,1.92,2.02,1.69,1.77,0.64,0.48,0.04,0.04,0.01,0.0,0.01,0.0,0.11,0.0,0.0,100.01000000000002
07/20/2021,22.89,22.69,4.39,4.22,4.05,2.95,3.02,3.03,3.01,2.62,2.74,2.47,2.45,2.24,2.28,2.14,2.02,2.07,1.92,2.02,1.69,1.77,0.64,0.48,0.04,0.04,0.01,0.0,0.01,0.0,0.11,0.0,0.0,100.01000000000002
07/22/2021,23.16,22.22,4.58,4.14,3.9,2.88,3.05,3.16,3.12,2.67,2.65,2.64,2.3,2.28,2.37,2.15,1.84,2.08,1.97,2.07,1.79,1.61,0.67,0.5,0.04,0.0,0.01,0.01,0.01,0.0,0.17,0.0,0.0,100.04000000000003
07/23/2021,23.29,22.5,4.54,3.89,3.98,2.83,3.03,3.14,3.16,2.66,2.66,2.61,2.28,2.25,2.34,2.17,1.72,2.15,2.03,2.04,1.77,1.58,0.69,0.49,0.04,0.0,0.01,0.01,0.01,0.0,0.17,0.0,0.0,100.04000000000002
07/27/2021,23.52,22.27,4.53,3.97,3.93,3.22,3.01,2.96,3.28,2.59,2.62,2.54,2.29,2.26,2.26,2.19,1.73,2.15,2.09,1.95,1.7,1.59,0.69,0.48,0.04,0.0,0.01,0.01,0.01,0.0,0.17,0.0,0.0,100.06
07/29/2021,23.33,22.91,4.62,4.0,4.08,3.07,2.98,2.81,3.32,2.45,2.64,2.35,2.31,2.23,2.28,2.26,1.76,2.03,2.16,2.01,1.58,1.53,0.69,0.44,0.05,0.06,0.01,0.01,0.01,0.01,0.0,0.0,0.0,99.99
07/30/2021,23.3,22.93,4.6,3.93,4.05,3.28,2.96,2.83,3.3,2.53,2.65,2.35,2.29,2.17,2.36,2.26,1.74,2.02,2.13,1.99,1.55,1.51,0.69,0.45,0.06,0.05,0.01,0.01,0.01,0.01,0.0,0.0,0.0,100.02
08/02/2021,22.78,23.5,4.52,4.27,3.97,3.28,2.91,2.77,3.24,2.49,2.71,2.33,2.36,2.13,2.32,2.22,1.83,1.96,2.09,1.95,1.58,1.54,0.68,0.44,0.06,0.04,0.01,0.01,0.01,0.01,0.0,0.0,0.0,100.01000000000003
08/03/2021,20.62,24.64,4.27,4.34,4.06,3.53,3.05,3.06,3.02,2.52,2.93,2.53,2.54,2.0,2.39,2.15,1.97,1.9,2.0,1.99,1.66,1.65,0.67,0.39,0.06,0.04,0.01,0.01,0.01,0.01,0.0,0.0,0.0,100.02000000000002
08/04/2021,20.62,24.64,4.27,4.34,4.06,3.53,3.05,3.06,3.02,2.52,2.93,2.53,2.54,2.0,2.39,2.15,1.97,1.9,2.0,1.99,1.66,1.65,0.67,0.39,0.06,0.04,0.01,0.01,0.01,0.01,0.0,0.0,0.0,100.02000000000002
08/05/2021,20.62,24.64,4.27,4.34,4.06,3.53,3.05,3.06,3.02,2.52,2.93,2.53,2.54,2.0,2.39,2.15,1.97,1.9,2.0,1.99,1.66,1.65,0.67,0.39,0.06,0.04,0.01,0.01,0.01,0.01,0.0,0.0,0.0,100.02000000000002
08/06/2021,20.81,24.76,4.13,4.45,4.13,3.47,3.0,3.06,2.88,2.6,2.95,2.44,2.54,2.01,2.36,2.07,1.96,1.89,1.88,2.09,1.58,1.68,0.68,0.45,0.06,0.0,0.01,0.01,0.01,0.01,0.11,0.0,0.0,100.08000000000004
08/13/2021,22.02,25.64,4.14,4.24,3.62,3.39,2.77,3.14,2.81,2.55,2.77,2.49,2.34,1.9,2.27,1.98,1.8,1.63,2.08,1.92,1.56,1.72,0.67,0.46,0.01,0.0,0.01,0.01,0.01,0.0,0.15,0.0,0.0,100.1
08/16/2021,21.64,25.51,3.95,4.3,3.62,3.53,2.76,3.32,2.9,2.5,2.81,2.52,2.42,1.89,2.25,1.92,1.78,1.66,2.03,1.76,1.62,1.73,0.66,0.5,0.01,0.38,0.02,0.01,0.01,0.0,0.0,0.0,0.0,100.01000000000002
08/17/2021,20.92,25.9,3.97,4.33,3.7,3.56,2.67,3.31,2.98,2.53,2.9,2.52,2.46,1.81,2.26,1.93,1.86,1.73,2.02,1.66,1.67,1.73,0.66,0.5,0.01,0.38,0.02,0.01,0.01,0.0,0.0,0.0,0.0,100.01000000000002
08/19/2021,21.25,25.32,3.96,4.43,3.79,3.42,2.71,3.21,3.06,2.58,2.92,2.52,2.43,1.82,2.29,1.94,1.81,1.79,2.1,1.62,1.67,1.74,0.66,0.55,0.01,0.34,0.02,0.01,0.01,0.0,0.04,0.0,0.0,100.02000000000002
08/20/2021,20.94,25.24,3.94,4.49,3.79,3.26,2.64,3.29,3.16,2.65,2.98,2.6,2.45,1.75,2.31,1.98,1.8,1.83,2.07,1.61,1.69,1.8,0.69,0.59,0.01,0.36,0.02,0.01,0.01,0.0,0.04,0.0,0.0,100.0
08/23/2021,20.99,25.59,4.05,4.59,3.54,3.02,2.6,3.46,3.04,2.56,3.02,2.68,2.44,1.61,2.32,1.99,1.79,1.87,1.96,1.58,1.73,1.83,0.72,0.58,0.01,0.35,0.02,0.01,0.01,0.0,0.05,0.0,0.0,100.01
08/24/2021,21.53,25.61,3.87,4.5,3.39,2.9,2.55,3.47,3.08,2.58,3.03,2.69,2.42,1.61,2.26,1.98,1.77,1.94,2.05,1.51,1.76,1.81,0.69,0.54,0.01,0.3,0.02,0.01,0.01,0.0,0.09,0.0,0.0,99.98000000000002
08/25/2021,21.53,25.61,3.87,4.5,3.39,2.9,2.55,3.47,3.08,2.58,3.03,2.69,2.42,1.61,2.26,1.98,1.77,1.94,2.05,1.51,1.76,1.81,0.69,0.54,0.01,0.3,0.02,0.01,0.01,0.0,0.09,0.0,0.0,99.98000000000002
08/26/2021,21.7,25.15,3.85,4.62,3.52,2.94,2.54,3.32,3.05,2.69,2.99,2.59,2.45,1.77,2.3,1.94,1.82,1.95,2.12,1.61,1.71,1.74,0.68,0.54,0.01,0.38,0.02,0.01,0.01,0.0,0.0,0.0,0.0,100.02
08/27/2021,21.75,24.53,3.67,4.46,3.64,2.89,2.6,3.17,3.21,2.83,2.91,2.47,2.38,1.98,2.27,2.01,1.8,1.98,2.23,1.73,1.66,1.69,0.7,0.57,0.45,0.37,0.02,0.01,0.01,0.0,0.0,0.0,0.0,99.99
08/30/2021,21.79,24.01,3.58,4.37,3.78,3.15,2.62,3.21,3.28,2.72,2.88,2.52,2.35,2.0,2.21,2.03,1.79,2.02,2.25,1.72,1.74,1.83,0.68,0.6,0.45,0.0,0.05,0.01,0.01,0.0,0.58,0.0,0.0,100.23
08/31/2021,21.37,24.0,3.67,4.3,3.86,3.12,2.55,3.12,3.34,2.82,2.89,2.41,2.37,2.25,2.14,1.98,1.84,1.98,2.38,1.89,1.69,1.85,0.71,0.63,0.44,0.0,0.05,0.01,0.01,0.0,0.55,0.0,0.0,100.22
09/01/2021,21.37,24.0,3.67,4.3,3.86,3.12,2.55,3.12,3.34,2.82,2.89,2.41,2.37,2.25,2.14,1.98,1.84,1.98,2.38,1.89,1.69,1.85,0.71,0.63,0.44,0.0,0.05,0.01,0.01,0.0,0.55,0.0,0.0,100.22
