,RSG,WM,ECL,WCN.TO,ERII,STE,DCI,CLH,GFL.TO,CVA,AQUA,TTEK,PCT,DAR,CWST,SRCL,SCHN,TNC,ABM,LOOP,ECOL,HCCI,ADES,Sharps Compliance Corp,Us Dollar,SMED,SAR.AX,n/a,SUM
07/09/2021,10.12,10.05,9.92,9.83,3.45,3.44,3.44,3.42,3.41,3.41,3.37,3.34,3.33,3.33,3.3,3.3,3.29,3.2,3.19,2.06,1.99,1.99,1.94,1.81,0.09,0.0,0.0,0.0,100.02
07/12/2021,10.38,10.23,9.97,10.11,3.24,3.51,3.51,3.39,3.48,3.45,3.31,3.35,2.84,3.31,3.33,3.31,3.37,3.17,3.1,2.0,1.98,1.96,1.86,0.0,0.0,1.76,0.05,0.0,99.97
07/13/2021,10.38,10.23,9.97,10.11,3.24,3.51,3.51,3.39,3.48,3.45,3.31,3.35,2.84,3.31,3.33,3.31,3.37,3.17,3.1,2.0,1.98,1.96,1.86,0.0,0.0,1.76,0.05,0.0,99.97
07/14/2021,10.27,10.16,10.05,10.07,3.32,3.48,3.51,3.42,3.36,3.41,3.31,3.37,2.98,3.35,3.29,3.27,3.53,3.14,3.12,1.99,1.97,1.95,1.87,0.0,0.0,1.77,0.05,0.0,100.01
07/15/2021,10.23,10.13,10.04,10.0,3.41,3.46,3.49,3.45,3.32,3.6,3.29,3.39,2.83,3.36,3.26,3.27,3.46,3.14,3.19,1.97,1.95,1.94,1.94,0.0,0.0,1.81,0.07,0.0,99.99999999999996
07/16/2021,10.23,10.13,10.04,10.0,3.41,3.46,3.49,3.45,3.32,3.6,3.29,3.39,2.83,3.36,3.26,3.27,3.46,3.14,3.19,1.97,1.95,1.94,1.94,0.0,0.0,1.81,0.07,0.0,99.99999999999996
07/19/2021,10.47,10.36,10.16,10.09,3.3,3.41,3.54,3.4,3.39,3.84,3.16,3.35,2.44,3.38,3.26,3.19,3.49,3.16,3.38,1.84,1.89,1.87,1.82,0.0,0.0,1.68,0.13,0.0,100.0
07/20/2021,10.55,10.4,10.21,10.19,3.23,3.44,3.53,3.4,3.37,3.87,3.17,3.36,2.34,3.3,3.34,3.21,3.48,3.16,3.37,1.72,1.92,1.86,1.78,0.0,0.0,1.69,0.13,0.0,100.02
07/21/2021,10.55,10.4,10.21,10.19,3.23,3.44,3.53,3.4,3.37,3.87,3.17,3.36,2.34,3.3,3.34,3.21,3.48,3.16,3.37,1.72,1.92,1.86,1.78,0.0,0.0,1.69,0.13,0.0,100.02
07/22/2021,10.55,10.4,10.21,10.19,3.23,3.44,3.53,3.4,3.37,3.87,3.17,3.36,2.34,3.3,3.34,3.21,3.48,3.16,3.37,1.72,1.92,1.86,1.78,0.0,0.0,1.69,0.13,0.0,100.02
07/23/2021,10.6,10.44,10.16,10.22,3.2,3.44,3.49,3.38,3.32,3.93,3.18,3.35,2.47,3.28,3.37,3.22,3.19,3.17,3.3,1.82,1.96,1.86,1.81,0.0,0.0,1.7,0.13,0.0,99.99
07/26/2021,10.47,10.3,10.14,10.22,3.27,3.49,3.49,3.39,3.38,3.84,3.28,3.41,2.31,3.38,3.32,3.21,3.37,3.16,3.28,1.83,1.94,1.83,1.85,0.0,0.0,1.68,0.13,0.0,99.97
07/27/2021,10.5,10.32,10.21,10.2,3.26,3.47,3.47,3.4,3.43,3.82,3.29,3.48,2.2,3.33,3.33,3.2,3.42,3.15,3.3,1.77,1.94,1.81,1.93,0.0,0.0,1.66,0.12,0.0,100.01
07/28/2021,10.5,10.32,10.21,10.2,3.26,3.47,3.47,3.4,3.43,3.82,3.29,3.48,2.2,3.33,3.33,3.2,3.42,3.15,3.3,1.77,1.94,1.81,1.93,0.0,0.0,1.66,0.12,0.0,100.01
07/29/2021,10.44,10.31,10.23,10.13,3.29,3.45,3.45,3.39,3.4,3.81,3.3,3.47,2.26,3.39,3.34,3.21,3.47,3.15,3.3,1.77,1.94,1.82,1.93,0.0,0.0,1.59,0.14,0.0,99.98
07/30/2021,10.48,10.34,10.32,10.19,3.23,3.5,3.46,3.4,3.46,3.81,3.28,3.42,2.19,3.36,3.31,3.18,3.4,3.14,3.28,1.72,1.92,1.82,2.02,0.0,0.0,1.63,0.14,0.0,100.0
08/02/2021,10.36,10.2,10.2,10.11,3.26,3.48,3.44,3.41,3.51,3.79,3.27,3.48,2.34,3.44,3.27,3.15,3.36,3.14,3.32,1.77,1.91,1.85,2.06,0.0,0.0,1.74,0.14,0.0,100.0
08/03/2021,10.36,10.2,10.2,10.11,3.26,3.48,3.44,3.41,3.51,3.79,3.27,3.48,2.34,3.44,3.27,3.15,3.36,3.14,3.32,1.77,1.91,1.85,2.06,0.0,0.0,1.74,0.14,0.0,100.0
08/04/2021,10.36,10.2,10.2,10.11,3.26,3.48,3.44,3.41,3.51,3.79,3.27,3.48,2.34,3.44,3.27,3.15,3.36,3.14,3.32,1.77,1.91,1.85,2.06,0.0,0.0,1.74,0.14,0.0,100.0
08/05/2021,10.36,10.2,10.2,10.11,3.26,3.48,3.44,3.41,3.51,3.79,3.27,3.48,2.34,3.44,3.27,3.15,3.36,3.14,3.32,1.77,1.91,1.85,2.06,0.0,0.0,1.74,0.14,0.0,100.0
08/06/2021,10.54,10.26,10.01,10.15,3.15,3.48,3.5,3.43,3.53,3.71,3.42,3.49,2.1,3.36,3.45,3.17,3.4,3.08,3.3,1.69,1.9,1.87,2.07,0.0,0.0,1.79,0.15,0.0,100.0
08/09/2021,10.48,10.25,10.02,10.1,3.12,3.45,3.48,3.55,3.6,3.74,3.57,3.56,2.26,3.39,3.42,3.15,3.25,3.02,3.29,1.67,1.92,1.86,0.0,0.0,0.0,1.7,0.12,2.05,100.02
08/10/2021,10.48,10.22,10.09,10.07,2.97,3.46,3.53,3.58,3.61,3.74,3.55,3.57,2.3,3.45,3.43,3.0,3.36,2.98,3.31,1.66,1.9,1.86,0.0,0.0,0.0,1.71,0.12,2.03,99.98
08/11/2021,10.48,10.22,10.09,10.07,2.97,3.46,3.53,3.58,3.61,3.74,3.55,3.57,2.3,3.45,3.43,3.0,3.36,2.98,3.31,1.66,1.9,1.86,0.0,0.0,0.0,1.71,0.12,2.03,99.98
08/13/2021,10.37,10.12,10.02,9.98,2.94,3.47,3.56,3.64,3.61,3.73,3.65,3.62,2.26,3.58,3.37,3.0,3.52,2.97,3.31,1.68,1.92,1.95,0.0,0.0,0.0,1.74,0.13,1.85,99.99
