,SHOP,RY.TO,TD.TO,ENB.TO,BNS.TO,CNR.TO,BMO.TO,BAM.A.TO,CM.TO,CP.TO,TRP.TO,CNQ.TO,ABX.TO,MFC.TO,SU.TO,NTR.TO,ATD.B.TO,CSU.TO,SLF.TO,FNV.TO,MG.TO,NA.TO,IFC.TO,FTS.TO,GIB.A.TO,WPM.TO,RCI.B.TO,QSR,POW.TO,PPL.TO,TRI.TO,AEM.TO,OTEX.TO,DOL.TO,WSP.TO,SJR.B.TO,FM.TO,CVE.TO,FFH.TO,MRU.TO,EMA.TO,L.TO,KL.TO,TECK,T.TO,AQN.TO,BHC.TO,CTC.A.TO,CAE.TO,CCL.B.TO,LSPD.TO,GWO.TO,K.TO,H.TO,NPI.TO,IMO.TO,CCO.TO,SAP.TO,WN.TO,GIL.TO,TIH.TO,FSV.TO,RBA.TO,BB.TO,IPL.TO,PAAS.TO,LUN.TO,KEY.TO,ALA.TO,WFG.TO,X.TO,IAG.TO,EMP.A.TO,BEPC,ONEX.TO,WEED.TO,CAD,GFL.TO,PKI.TO,NVEI.TO,QBR.B.TO,BTO.TO,BLDP.TO,IVN.TO,YRI.TO,CAR.UN.TO,CU.TO,BCE.TO,AC.TO,IGM.TO,REI.UN.TO,ACO.X.TO,XTSLA,UBFUT,CAD.1,PTU1,MARGIN_CAD,SUM
07/09/2021,8.91,7.42,6.56,4.2,3.98,3.82,3.39,3.38,2.62,2.62,2.41,2.19,1.95,1.95,1.87,1.73,1.58,1.58,1.53,1.46,1.34,1.3,1.13,1.07,1.05,1.04,0.98,0.91,0.91,0.9,0.89,0.77,0.72,0.69,0.69,0.68,0.67,0.63,0.63,0.61,0.59,0.55,0.55,0.54,0.49,0.46,0.46,0.46,0.45,0.42,0.42,0.42,0.42,0.41,0.4,0.39,0.38,0.38,0.37,0.37,0.36,0.35,0.33,0.33,0.33,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.28,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.23,0.23,0.22,0.22,0.21,0.21,0.19,0.18,0.18,0.15,0.15,0.14,0.05,0.01,0.0,0.0,0.0,100.01000000000002
07/12/2021,8.65,7.5,6.37,4.24,3.96,3.93,3.39,3.39,2.63,2.55,2.44,2.18,1.93,1.93,1.84,1.78,1.62,1.6,1.53,1.45,1.33,1.3,1.13,1.09,1.07,1.03,0.99,0.92,0.91,0.9,0.91,0.77,0.73,0.7,0.71,0.69,0.69,0.62,0.62,0.63,0.6,0.57,0.54,0.55,0.5,0.47,0.46,0.46,0.46,0.43,0.41,0.42,0.41,0.42,0.4,0.38,0.38,0.39,0.38,0.36,0.36,0.36,0.34,0.32,0.33,0.3,0.32,0.3,0.31,0.33,0.3,0.3,0.29,0.27,0.29,0.26,0.3,0.26,0.24,0.24,0.24,0.22,0.21,0.23,0.21,0.21,0.19,0.19,0.18,0.15,0.15,0.14,0.14,0.01,0.0,0.0,0.0,100.13000000000004
07/13/2021,8.65,7.5,6.37,4.24,3.96,3.93,3.39,3.39,2.63,2.55,2.44,2.18,1.93,1.93,1.84,1.78,1.62,1.6,1.53,1.45,1.33,1.3,1.13,1.09,1.07,1.03,0.99,0.92,0.91,0.9,0.91,0.77,0.73,0.7,0.71,0.69,0.69,0.62,0.62,0.63,0.6,0.57,0.54,0.55,0.5,0.47,0.46,0.46,0.46,0.43,0.41,0.42,0.41,0.42,0.4,0.38,0.38,0.39,0.38,0.36,0.36,0.36,0.34,0.32,0.33,0.3,0.32,0.3,0.31,0.33,0.3,0.3,0.29,0.27,0.29,0.26,0.3,0.26,0.24,0.24,0.24,0.22,0.21,0.23,0.21,0.21,0.19,0.19,0.18,0.15,0.15,0.14,0.14,0.01,0.0,0.0,0.0,100.13000000000004
07/16/2021,8.84,7.55,6.37,4.19,3.97,3.88,3.4,3.36,2.66,2.52,2.43,2.16,1.95,1.94,1.79,1.82,1.64,1.6,1.54,1.48,1.32,1.31,1.12,1.07,1.06,1.04,0.98,0.91,0.91,0.91,0.91,0.78,0.72,0.7,0.7,0.69,0.69,0.62,0.61,0.63,0.59,0.57,0.57,0.56,0.5,0.46,0.46,0.46,0.43,0.43,0.41,0.43,0.41,0.41,0.4,0.38,0.36,0.37,0.38,0.36,0.36,0.36,0.34,0.31,0.33,0.31,0.32,0.31,0.31,0.32,0.3,0.29,0.28,0.26,0.29,0.26,0.28,0.25,0.25,0.24,0.24,0.22,0.2,0.23,0.21,0.21,0.19,0.19,0.17,0.15,0.15,0.14,0.03,0.01,0.0,0.0,0.0,100.02000000000002
07/22/2021,8.96,7.6,6.32,4.16,3.96,3.91,3.37,3.33,2.68,2.56,2.41,1.97,1.98,1.94,1.65,1.78,1.74,1.64,1.57,1.53,1.28,1.32,1.14,1.12,1.08,1.05,1.01,0.92,0.92,0.91,0.95,0.8,0.73,0.71,0.69,0.71,0.58,0.55,0.61,0.65,0.62,0.59,0.58,0.51,0.51,0.48,0.44,0.46,0.42,0.43,0.41,0.43,0.42,0.43,0.41,0.36,0.35,0.38,0.4,0.35,0.36,0.37,0.34,0.29,0.34,0.3,0.31,0.29,0.31,0.3,0.31,0.29,0.29,0.27,0.29,0.24,0.28,0.26,0.25,0.23,0.24,0.22,0.19,0.21,0.21,0.22,0.19,0.19,0.16,0.15,0.15,0.14,0.04,0.01,0.0,0.0,0.0,100.01
07/23/2021,9.15,7.55,6.29,4.12,3.96,3.88,3.35,3.37,2.66,2.56,2.39,1.98,1.97,1.94,1.66,1.78,1.74,1.63,1.56,1.52,1.31,1.32,1.13,1.11,1.08,1.05,1.0,0.92,0.91,0.9,0.95,0.79,0.73,0.71,0.7,0.7,0.57,0.54,0.6,0.65,0.61,0.59,0.58,0.5,0.5,0.48,0.46,0.46,0.43,0.44,0.42,0.43,0.41,0.42,0.41,0.36,0.35,0.38,0.4,0.36,0.36,0.37,0.35,0.3,0.33,0.3,0.31,0.29,0.31,0.3,0.32,0.3,0.29,0.27,0.29,0.24,0.28,0.26,0.24,0.23,0.24,0.22,0.2,0.22,0.21,0.22,0.19,0.19,0.17,0.15,0.15,0.14,0.04,0.01,0.0,0.0,0.0,100.01000000000002
07/27/2021,9.4,7.48,6.25,4.11,3.92,3.91,3.34,3.46,2.66,2.55,2.39,2.03,1.93,1.95,1.67,1.78,1.71,1.62,1.56,1.5,1.28,1.32,1.12,1.09,1.07,1.04,0.96,0.94,0.92,0.9,0.95,0.77,0.73,0.71,0.7,0.7,0.59,0.55,0.6,0.64,0.61,0.57,0.56,0.52,0.49,0.48,0.45,0.46,0.45,0.43,0.42,0.43,0.4,0.42,0.4,0.37,0.36,0.37,0.39,0.35,0.36,0.38,0.35,0.29,0.33,0.3,0.31,0.3,0.31,0.32,0.31,0.29,0.28,0.28,0.3,0.24,0.28,0.26,0.24,0.24,0.24,0.22,0.2,0.23,0.21,0.22,0.19,0.19,0.17,0.15,0.15,0.14,0.04,0.01,0.0,0.0,0.0,100.06000000000004
07/29/2021,9.29,7.46,6.25,4.11,3.93,3.89,3.37,3.4,2.69,2.54,2.4,2.03,1.93,1.94,1.7,1.77,1.75,1.61,1.56,1.5,1.22,1.31,1.11,1.08,1.08,1.04,0.95,0.94,0.92,0.94,0.94,0.77,0.72,0.72,0.7,0.7,0.61,0.56,0.59,0.64,0.61,0.58,0.55,0.53,0.49,0.48,0.45,0.46,0.45,0.44,0.44,0.43,0.41,0.41,0.4,0.37,0.36,0.37,0.4,0.36,0.35,0.37,0.34,0.28,0.32,0.3,0.32,0.31,0.31,0.32,0.31,0.29,0.29,0.28,0.3,0.23,0.34,0.27,0.25,0.25,0.24,0.22,0.19,0.23,0.21,0.22,0.19,0.19,0.18,0.15,0.15,0.14,0.04,0.02,0.0,0.0,0.0,100.05000000000004
07/30/2021,9.15,7.5,6.28,4.13,3.93,3.96,3.37,3.5,2.69,2.52,2.41,2.0,1.96,1.93,1.63,1.75,1.74,1.62,1.56,1.5,1.21,1.32,1.12,1.09,1.09,1.05,0.95,0.94,0.92,0.93,0.95,0.78,0.74,0.72,0.69,0.69,0.62,0.55,0.58,0.64,0.61,0.59,0.55,0.53,0.5,0.48,0.44,0.46,0.46,0.44,0.44,0.43,0.4,0.42,0.4,0.36,0.35,0.36,0.4,0.35,0.36,0.38,0.34,0.28,0.32,0.3,0.31,0.3,0.31,0.31,0.31,0.29,0.28,0.29,0.3,0.22,0.34,0.27,0.25,0.25,0.24,0.22,0.19,0.23,0.21,0.22,0.19,0.19,0.17,0.15,0.15,0.14,0.04,0.02,0.0,0.0,0.0,100.05000000000004
08/02/2021,8.82,7.47,6.28,4.14,3.94,3.93,3.37,3.6,2.7,2.52,2.38,2.03,2.0,1.94,1.57,1.76,1.73,1.63,1.56,1.57,1.23,1.32,1.11,1.08,1.04,1.07,0.93,0.92,0.91,0.94,0.94,0.81,0.73,0.71,0.7,0.69,0.65,0.56,0.58,0.65,0.61,0.6,0.59,0.56,0.49,0.48,0.46,0.45,0.45,0.45,0.44,0.43,0.42,0.41,0.4,0.37,0.37,0.37,0.41,0.35,0.36,0.38,0.34,0.28,0.32,0.31,0.31,0.31,0.31,0.31,0.32,0.3,0.29,0.29,0.3,0.23,0.34,0.27,0.25,0.25,0.23,0.23,0.2,0.24,0.21,0.22,0.19,0.18,0.17,0.15,0.15,0.14,0.04,0.02,0.0,0.0,0.0,100.06
