,DHR,IDXX,ROP,A,XYL,PNR,WTRG,AWK,IEX,AOS,ECL,ACM,WMS,AQN.TO,RXN,FLS,FELE,TTEK,VMI,AQUA,WTS,ITRI,PRMW.TO,MWA,AWR,CWT,SJW,LNN,MLI,BMI,ERII,MSEX,YORW,GRC,SAJA.,MEG,US Dollar,MISXX,018000.KQ,Morgan Stanley Instl Lqudty Trs Instl,SUM
07/09/2021,4.57,4.57,4.53,4.4,4.36,4.35,4.07,4.06,4.05,3.74,3.61,3.39,3.28,3.08,3.03,2.88,2.86,2.85,2.63,2.44,2.28,2.27,2.06,2.03,2.01,1.86,1.85,1.84,1.83,1.66,1.39,1.35,1.23,1.22,1.17,1.11,0.09,0.0,0.0,0.0,100.0
07/12/2021,4.5,4.57,4.54,4.38,4.33,4.41,4.06,4.08,4.09,3.72,3.62,3.42,3.29,3.04,3.1,3.1,2.89,2.82,2.63,2.38,2.26,2.21,2.04,2.06,2.01,1.88,1.84,1.81,1.83,1.64,1.32,1.36,1.2,1.22,1.14,1.13,0.09,0.0,0.0,0.0,100.01
07/13/2021,4.5,4.57,4.54,4.38,4.33,4.41,4.06,4.08,4.09,3.72,3.62,3.42,3.29,3.04,3.1,3.1,2.89,2.82,2.63,2.38,2.26,2.21,2.04,2.06,2.01,1.88,1.84,1.81,1.83,1.64,1.32,1.36,1.2,1.22,1.14,1.13,0.09,0.0,0.0,0.0,100.01
07/14/2021,4.5,4.57,4.54,4.38,4.33,4.42,4.06,4.08,4.1,3.72,3.62,3.42,3.29,3.04,3.1,3.1,2.89,2.82,2.63,2.38,2.26,2.21,2.04,2.06,2.01,1.88,1.84,1.81,1.83,1.64,1.32,1.37,1.2,1.22,1.14,1.13,0.0,0.02,0.0,0.0,99.97
07/15/2021,4.49,4.5,4.53,4.34,4.33,4.46,4.01,4.07,4.08,3.72,3.62,3.39,3.33,3.03,3.13,3.08,2.9,2.82,2.65,2.36,2.29,2.22,2.04,2.07,2.01,1.88,1.85,1.81,1.83,1.65,1.35,1.38,1.19,1.22,1.19,1.13,0.0,0.02,0.0,0.0,99.96999999999998
07/16/2021,4.5,4.55,4.55,4.37,4.33,4.46,4.0,4.08,4.09,3.74,3.63,3.37,3.3,3.02,3.09,3.06,2.87,2.81,2.62,2.32,2.29,2.21,2.04,2.08,2.01,1.88,1.86,1.78,1.81,1.63,1.36,1.57,1.2,1.21,1.18,1.11,0.0,0.02,0.0,0.0,100.0
07/19/2021,4.58,4.52,4.61,4.37,4.31,4.49,4.05,4.19,4.12,3.73,3.67,3.29,3.23,3.04,3.04,3.04,2.88,2.8,2.57,2.27,2.25,2.17,2.06,2.07,2.05,1.91,1.89,1.76,1.8,1.61,1.31,1.48,1.24,1.22,1.2,1.08,0.0,0.04,0.03,0.0,99.97
07/20/2021,4.64,4.6,4.61,4.37,4.29,4.42,4.11,4.25,4.16,3.69,3.68,3.26,3.22,3.09,2.97,2.98,2.86,2.8,2.54,2.28,2.24,2.06,2.05,2.03,2.1,1.97,1.93,1.74,1.78,1.58,1.28,1.55,1.28,1.22,1.23,1.09,0.0,0.0,0.0,0.07,100.02
07/21/2021,4.64,4.6,4.61,4.37,4.29,4.42,4.11,4.25,4.16,3.69,3.68,3.26,3.22,3.09,2.97,2.98,2.86,2.8,2.54,2.28,2.24,2.06,2.05,2.03,2.1,1.97,1.93,1.74,1.78,1.58,1.28,1.55,1.28,1.22,1.23,1.09,0.0,0.07,0.0,0.0,100.02
07/22/2021,4.69,4.68,4.63,4.39,4.28,4.39,4.1,4.29,4.14,3.69,3.65,3.23,3.29,3.08,2.94,2.93,2.87,2.79,2.54,2.28,2.26,2.05,2.06,2.01,2.12,1.97,1.93,1.74,1.76,1.58,1.27,1.56,1.28,1.21,1.18,1.07,0.1,0.0,0.0,0.0,100.02999999999997
