,VALE3.SA,PETR4.SA,ITUB4.SA,BBDC4.SA,PETR3.SA,B3SA3.SA,ABEV3.SA,MGLU3.SA,NTCO3.SA,WEGE3.SA,ITSA4.SA,SUZB3.SA,GNDI3.SA,RENT3.SA,CSAN3.SA,LREN3.SA,GGBR4.SA,BBDC3.SA,BPAC11.SA,CSNA3.SA,BBAS3.SA,JBSS3.SA,RADL3.SA,ELET3.SA,RAIL3.SA,VVAR3.SA,EQTL3.SA,KLBN11.SA,BRFS3.SA,BRDT3.SA,BIDI4.SA,—,HAPV3.SA,LAME4.SA,VIVT3.SA,TOTS3.SA,BRAP4.SA,ENEV3.SA,BBSE3.SA,RDOR3.SA,UGPA3.SA,CCRO3.SA,SANB11.SA,HYPE3.SA,SULA11.SA,ASAI3.SA,BTOW3.SA,SBSP3.SA,AZUL4.SA,ELET6.SA,ENGI11.SA,ITUB3.SA,CMIG4.SA,BRKM5.SA,LWSA3.SA,GOAU4.SA,YDUQ3.SA,LCAM3.SA,USIM5.SA,TIMS3.SA,BIDI3.SA,ALPA4.SA,TAEE11.SA,BRML3.SA,COGN3.SA,MRFG3.SA,EGIE3.SA,MULT3.SA,CYRE3.SA,DTEX3.SA,IRBR3.SA,FLRY3.SA,CPLE6.SA,PCAR3.SA,SMTO3.SA,LAME3.SA,CRFB3.SA,QUAL3.SA,SAPR11.SA,CPFE3.SA,PSSA3.SA,TRPL4.SA,ENBR3.SA,CESP6.SA,CIEL3.SA,MDIA3.SA,NEOE3.SA,GRND3.SA,USIM3.SA,CMIG3.SA,CPLE3.SA,ALSO3.SA,ODPV3.SA,GMAT3.SA,EZTC3.SA,GUAR3.SA,UGPA1.SA,XBQ1,BZQ1,AMER3.SA,SUM
07/09/2021,18.09,6.14,5.58,4.61,4.19,3.86,3.04,2.42,2.26,2.03,1.97,1.72,1.71,1.47,1.39,1.36,1.26,1.16,1.15,1.11,1.06,1.06,1.03,1.03,0.95,0.93,0.88,0.84,0.83,0.83,0.81,0.81,0.75,0.75,0.74,0.72,0.67,0.65,0.6,0.6,0.6,0.59,0.58,0.55,0.53,0.52,0.52,0.49,0.48,0.47,0.46,0.46,0.46,0.45,0.43,0.39,0.38,0.37,0.36,0.36,0.35,0.34,0.33,0.33,0.31,0.29,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.22,0.22,0.2,0.19,0.19,0.19,0.18,0.18,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.07,0.0,0.0,-0.02,0.0,100.01
07/12/2021,18.0,6.07,5.55,4.56,4.11,3.89,2.98,2.52,2.27,2.04,1.99,1.76,1.72,1.52,1.4,1.4,1.24,1.15,1.13,1.1,1.07,1.07,1.07,1.03,0.98,0.92,0.88,0.85,0.82,1.31,0.8,0.53,0.75,0.75,0.74,0.72,0.67,0.67,0.6,0.6,0.61,0.59,0.58,0.55,0.52,0.52,0.53,0.48,0.46,0.48,0.45,0.46,0.45,0.44,0.43,0.38,0.37,0.38,0.35,0.36,0.35,0.34,0.33,0.33,0.3,0.29,0.26,0.24,0.26,0.23,0.25,0.22,0.24,0.24,0.22,0.22,0.22,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.11,0.12,0.07,0.0,0.0,-0.02,0.0,100.01
07/13/2021,18.0,6.07,5.55,4.56,4.11,3.89,2.98,2.52,2.27,2.04,1.99,1.76,1.72,1.52,1.4,1.4,1.24,1.15,1.13,1.1,1.07,1.07,1.07,1.03,0.98,0.92,0.88,0.85,0.82,1.31,0.8,0.53,0.75,0.75,0.74,0.72,0.67,0.67,0.6,0.6,0.61,0.59,0.58,0.55,0.52,0.52,0.53,0.48,0.46,0.48,0.45,0.46,0.45,0.44,0.43,0.38,0.37,0.38,0.35,0.36,0.35,0.34,0.33,0.33,0.3,0.29,0.26,0.24,0.26,0.23,0.25,0.22,0.24,0.24,0.22,0.22,0.22,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.11,0.12,0.07,0.0,0.0,-0.02,0.0,100.01
07/14/2021,18.0,6.07,5.55,4.56,4.11,3.89,2.98,2.52,2.27,2.04,1.99,1.76,1.72,1.52,1.4,1.4,1.24,1.15,1.13,1.1,1.07,1.07,1.07,1.03,0.98,0.92,0.88,0.85,0.82,1.31,0.8,0.53,0.75,0.75,0.74,0.72,0.67,0.67,0.6,0.6,0.61,0.59,0.58,0.55,0.52,0.52,0.53,0.48,0.46,0.48,0.45,0.46,0.45,0.44,0.43,0.38,0.37,0.38,0.35,0.36,0.35,0.34,0.33,0.33,0.3,0.29,0.26,0.24,0.26,0.23,0.25,0.22,0.24,0.24,0.22,0.22,0.22,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.11,0.12,0.07,0.0,0.0,-0.02,0.0,100.01
07/15/2021,17.93,6.02,5.53,4.6,4.09,3.96,2.98,2.5,2.27,2.05,2.0,1.72,1.7,1.51,1.47,1.38,1.27,1.16,1.13,1.15,1.08,1.06,1.06,1.03,0.97,0.9,0.87,0.84,0.81,1.32,0.82,0.52,0.75,0.75,0.74,0.72,0.67,0.67,0.6,0.59,0.61,0.59,0.59,0.54,0.52,0.52,0.53,0.49,0.47,0.47,0.44,0.46,0.46,0.45,0.43,0.39,0.38,0.39,0.35,0.36,0.35,0.33,0.33,0.33,0.3,0.28,0.26,0.24,0.26,0.22,0.25,0.22,0.24,0.23,0.22,0.22,0.21,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.16,0.14,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.11,0.12,0.07,0.0,0.0,-0.01,0.0,99.97
07/16/2021,17.95,6.03,5.54,4.57,4.09,4.0,2.99,2.53,2.25,2.02,1.98,1.68,1.71,1.51,1.47,1.39,1.27,1.15,1.14,1.15,1.07,1.06,1.08,1.02,0.98,0.9,0.85,0.83,0.81,1.31,0.79,0.52,0.75,0.77,0.72,0.72,0.69,0.67,0.59,0.58,0.61,0.58,0.58,0.57,0.53,0.52,0.54,0.48,0.47,0.47,0.44,0.46,0.45,0.44,0.43,0.39,0.38,0.38,0.35,0.37,0.35,0.33,0.33,0.34,0.3,0.28,0.26,0.25,0.26,0.22,0.24,0.22,0.24,0.23,0.22,0.23,0.21,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.11,0.12,0.07,0.0,0.0,-0.01,0.0,99.96
07/19/2021,18.0,5.88,5.51,4.55,3.98,4.03,2.98,2.68,2.21,2.01,1.98,1.63,1.72,1.57,1.51,1.39,1.25,1.17,1.18,1.13,1.07,1.05,1.1,1.04,0.99,0.9,0.86,0.81,0.8,1.31,0.85,0.53,0.75,0.74,0.72,0.73,0.68,0.68,0.59,0.58,0.61,0.6,0.58,0.55,0.52,0.51,0.52,0.49,0.46,0.48,0.44,0.46,0.46,0.46,0.43,0.39,0.38,0.4,0.34,0.38,0.37,0.33,0.33,0.34,0.3,0.28,0.27,0.25,0.26,0.23,0.24,0.22,0.24,0.22,0.22,0.22,0.21,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.16,0.15,0.15,0.15,0.13,0.14,0.13,0.14,0.14,0.12,0.12,0.07,0.0,0.0,-0.01,0.0,100.01
07/22/2021,17.91,5.84,5.52,4.49,3.95,3.98,2.95,2.68,2.27,2.02,1.98,1.63,1.73,1.58,1.5,1.39,1.27,1.16,1.17,1.11,1.07,1.07,1.12,1.06,1.03,0.88,0.87,0.81,0.81,1.31,0.89,0.54,0.76,0.29,0.73,0.73,0.67,0.67,0.59,0.58,0.61,0.62,0.58,0.56,0.52,0.53,0.0,0.49,0.44,0.49,0.44,0.46,0.46,0.45,0.45,0.39,0.39,0.39,0.34,0.38,0.38,0.34,0.34,0.34,0.3,0.29,0.27,0.25,0.26,0.23,0.24,0.22,0.24,0.23,0.22,0.09,0.21,0.19,0.2,0.19,0.19,0.18,0.19,0.18,0.16,0.15,0.16,0.15,0.13,0.14,0.13,0.14,0.14,0.12,0.12,0.07,0.0,0.0,-0.02,1.04,100.0
07/23/2021,17.91,5.84,5.52,4.49,3.95,3.98,2.95,2.68,2.27,2.02,1.98,1.63,1.73,1.58,1.5,1.39,1.27,1.16,1.17,1.11,1.07,1.07,1.12,1.06,1.03,0.88,0.87,0.81,0.81,1.31,0.89,0.54,0.76,0.29,0.73,0.73,0.67,0.67,0.59,0.58,0.61,0.62,0.58,0.56,0.52,0.53,0.0,0.49,0.44,0.49,0.44,0.46,0.46,0.45,0.45,0.39,0.39,0.39,0.34,0.38,0.38,0.34,0.34,0.34,0.3,0.29,0.27,0.25,0.26,0.23,0.24,0.22,0.24,0.23,0.22,0.09,0.21,0.19,0.2,0.19,0.19,0.18,0.19,0.18,0.16,0.15,0.16,0.15,0.13,0.14,0.13,0.14,0.14,0.12,0.12,0.07,0.0,0.0,-0.02,1.04,100.0
07/26/2021,18.06,5.9,5.48,4.46,4.03,3.95,2.91,2.65,2.28,2.04,1.96,1.64,1.65,1.58,1.54,1.36,1.29,1.15,1.17,1.14,1.07,1.12,1.11,1.04,1.04,0.88,0.9,0.8,0.82,1.32,0.87,0.54,0.72,0.29,0.72,0.73,0.68,0.66,0.58,0.59,0.59,0.61,0.58,0.56,0.51,0.53,0.0,0.49,0.45,0.48,0.45,0.46,0.47,0.47,0.47,0.4,0.38,0.4,0.35,0.38,0.37,0.34,0.34,0.35,0.29,0.31,0.27,0.25,0.25,0.22,0.26,0.21,0.24,0.22,0.22,0.08,0.21,0.19,0.19,0.19,0.18,0.18,0.19,0.17,0.16,0.15,0.16,0.15,0.14,0.15,0.13,0.14,0.13,0.12,0.12,0.07,0.0,0.0,-0.01,0.95,100.03
