,ENEL.MI,ISP.MI,STLA.MI,ENI.MI,UCG.MI,G.MI,RACE.MI,CNHI.MI,MONC.MI,SRG.MI,FBK.MI,TRN.MI,NEXI.MI,PRY.MI,ATL.MI,MB.MI,EXO.MI,CPR.MI,AMP.MI,PST.MI,REC.MI,TIT.MI,TEN.MI,DIA.MI,INW.MI,IG.MI,LDO.MI,A2A.MI,HER.MI,TIAJF,BMED.MI,PIRC.MI,BZU.MI,US.MI,—,SUM
07/09/2021,15.99,10.04,8.84,6.78,5.68,4.5,4.46,3.33,3.21,3.01,2.68,2.67,2.51,2.39,2.31,2.17,2.1,1.66,1.59,1.52,1.45,1.32,1.25,1.08,1.01,0.82,0.81,0.8,0.8,0.79,0.71,0.7,0.61,0.3,0.08,99.97
07/12/2021,16.26,9.91,8.68,6.74,5.54,4.54,4.55,3.27,3.19,3.03,2.74,2.75,2.5,2.41,2.3,2.15,2.06,1.69,1.6,1.51,1.49,1.27,1.25,1.09,1.04,0.83,0.81,0.8,0.81,0.77,0.71,0.71,0.62,0.3,0.09,100.01
07/13/2021,16.26,9.91,8.68,6.74,5.54,4.54,4.55,3.27,3.19,3.03,2.74,2.75,2.5,2.41,2.3,2.15,2.06,1.69,1.6,1.51,1.49,1.27,1.25,1.09,1.04,0.83,0.81,0.8,0.81,0.77,0.71,0.71,0.62,0.3,0.09,100.01
07/14/2021,16.11,9.98,8.79,6.72,5.64,4.56,4.54,3.33,3.2,3.01,2.75,2.73,2.44,2.42,2.29,2.18,2.08,1.67,1.48,1.51,1.47,1.27,1.27,1.09,1.03,0.82,0.82,0.79,0.8,0.78,0.71,0.72,0.62,0.3,0.08,100.0
07/15/2021,16.23,9.98,8.71,6.66,5.57,4.55,4.53,3.35,3.22,3.04,2.74,2.74,2.45,2.42,2.28,2.19,2.07,1.67,1.51,1.5,1.52,1.26,1.25,1.09,1.03,0.82,0.81,0.79,0.81,0.77,0.71,0.7,0.62,0.3,0.08,99.97
07/16/2021,16.31,9.87,8.63,6.64,5.51,4.57,4.56,3.36,3.27,3.07,2.7,2.78,2.47,2.43,2.26,2.19,2.09,1.68,1.51,1.51,1.51,1.26,1.23,1.09,1.05,0.83,0.79,0.81,0.82,0.78,0.71,0.71,0.63,0.3,0.08,100.01
07/19/2021,16.25,9.93,8.6,6.65,5.56,4.57,4.52,3.34,3.31,3.07,2.66,2.8,2.42,2.43,2.24,2.21,2.08,1.69,1.58,1.5,1.49,1.26,1.25,1.11,1.06,0.83,0.77,0.8,0.82,0.78,0.71,0.71,0.62,0.31,0.08,100.01
07/22/2021,16.17,9.77,8.44,6.59,5.49,4.58,4.68,3.29,3.33,3.13,2.66,2.86,2.46,2.46,2.27,2.2,2.06,1.71,1.66,1.52,1.52,1.26,1.21,1.18,1.09,0.83,0.76,0.8,0.83,0.77,0.7,0.71,0.61,0.31,0.06,99.97
07/23/2021,16.17,9.77,8.44,6.59,5.49,4.58,4.68,3.29,3.33,3.13,2.66,2.86,2.46,2.46,2.27,2.2,2.06,1.71,1.66,1.52,1.52,1.26,1.21,1.18,1.09,0.83,0.76,0.8,0.83,0.77,0.7,0.71,0.61,0.31,0.06,99.97
07/26/2021,16.36,9.94,8.41,6.5,5.55,4.58,4.56,3.33,3.37,3.06,2.64,2.83,2.48,2.41,2.24,2.23,2.09,1.71,1.62,1.55,1.49,1.23,1.2,1.18,1.06,0.82,0.77,0.8,0.83,0.74,0.71,0.72,0.61,0.31,0.05,99.98
07/29/2021,16.31,10.14,8.41,6.53,5.64,4.51,4.6,3.33,3.38,3.06,2.67,2.82,2.44,2.36,2.24,2.23,2.11,1.68,1.58,1.55,1.47,1.2,1.22,1.14,1.02,0.82,0.77,0.81,0.82,0.72,0.72,0.73,0.61,0.3,0.05,99.99
