,NVDA,ADBE,LLY,INTU,AAPL,TMO,MSFT,SPGI,TGT,ACN,FB,MRK,COST,ORCL,EL,QCOM,GILD,MA,ABBV,PM,ADP,BMY,PFE,AMGN,CSCO,TXN,UNP,CMCSA,PEP,PG,MCD,LMT,VZ,UNH,JNJ,INTC,UPS,WMT,T,AMAT,MMM,KO,ITW,IBM,LRCX,MO,HON,EMR,PSA,BIIB,DG,SO,KLAC,ZTS,APD,HPQ,MCO,D,ORLY,REGN,NOC,ATVI,GIS,PAYX,CMI,XLNX,ROK,MTD,SWKS,MSI,RMD,FAST,WBA,PGR,GOOGL,CTSH,HUM,MNST,GOOG,AZO,TROW,LYB,CTAS,VRTX,HSY,PEG,MXIM,CPRT,BBY,IDXX,NEM,CVS,CLX,AEP,ETN,KR,TSCO,VEEV,O,CERN,EXPD,ED,XEL,EA,GRMN,CHD,NUE,PCAR,ZM,GWW,MRNA,TSN,EBAY,MTCH,POOL,DHI,NTAP,FTNT,ODFL,TT,NVR,OMC,WST,AEE,WEC,GNRC,WSM,HRL,JBHT,WAT,K,CE,CHRW,FDS,JKHY,GGG,SJM,KMB,TTC,LNT,EMN,PKG,GD,WPC,DOW,ANET,FFIV,RHI,ATO,IPG,EVRG,PHM,SNA,IP,DOX,STLD,WSO,AKAM,AVY,—,MPWR,EXR,BAH,GNTX,LII,TER,NNN,ADM,AZPN,ROL,ALLE,IVZ,HII,FL,FICO,EPAM,DGX,SYF,STOR,LH,SON,LEN,CASY,CHE,TREX,VICI,RS,SEIC,INGR,LSTR,VMW,LUMN,BIO,AOS,COG,SRC,SAM,CPB,GPC,LAZ,HRB,FLO,HPE,CAH,n/a,AMCR,JEF,CRI,601019.SS,HUBB,LECO,SUM
07/09/2021,1.23,1.16,1.15,1.11,1.11,1.08,1.08,1.06,1.06,1.05,1.05,1.05,1.04,1.03,1.02,1.02,1.01,1.01,1.0,1.0,1.0,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.95,0.95,0.94,0.94,0.92,0.92,0.92,0.91,0.9,0.88,0.86,0.84,0.81,0.79,0.78,0.78,0.77,0.72,0.7,0.65,0.63,0.63,0.63,0.62,0.6,0.59,0.58,0.58,0.58,0.58,0.56,0.55,0.54,0.54,0.53,0.53,0.53,0.53,0.52,0.52,0.51,0.51,0.5,0.5,0.49,0.49,0.47,0.46,0.46,0.46,0.44,0.43,0.43,0.43,0.4,0.39,0.39,0.39,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.32,0.32,0.32,0.31,0.3,0.29,0.28,0.28,0.26,0.26,0.25,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.55
07/12/2021,1.18,1.18,1.16,1.13,1.12,1.08,1.08,1.07,1.07,1.06,1.03,1.05,1.06,1.06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,1.0,0.98,0.97,0.95,0.99,0.99,0.99,0.97,0.97,0.96,0.97,0.97,0.95,0.97,0.96,0.93,0.94,0.96,0.96,0.95,0.95,0.9,0.92,0.93,0.92,0.9,0.94,0.87,0.84,0.79,0.8,0.79,0.77,0.78,0.72,0.7,0.64,0.64,0.62,0.63,0.63,0.61,0.55,0.59,0.58,0.57,0.58,0.57,0.56,0.53,0.54,0.53,0.52,0.53,0.52,0.52,0.52,0.5,0.51,0.5,0.5,0.49,0.49,0.45,0.46,0.45,0.46,0.44,0.43,0.43,0.43,0.41,0.39,0.39,0.39,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.36,0.34,0.34,0.36,0.35,0.33,0.34,0.32,0.33,0.31,0.31,0.32,0.3,0.3,0.27,0.28,0.26,0.26,0.25,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.19,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.1,0.0,0.09,0.08,0.0,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.54999999999998
07/13/2021,1.18,1.18,1.16,1.13,1.12,1.08,1.08,1.07,1.07,1.06,1.03,1.05,1.06,1.06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,1.0,0.98,0.97,0.95,0.99,0.99,0.99,0.97,0.97,0.96,0.97,0.97,0.95,0.97,0.96,0.93,0.94,0.96,0.96,0.95,0.95,0.9,0.92,0.93,0.92,0.9,0.94,0.87,0.84,0.79,0.8,0.79,0.77,0.78,0.72,0.7,0.64,0.64,0.62,0.63,0.63,0.61,0.55,0.59,0.58,0.57,0.58,0.57,0.56,0.53,0.54,0.53,0.52,0.53,0.52,0.52,0.52,0.5,0.51,0.5,0.5,0.49,0.49,0.45,0.46,0.45,0.46,0.44,0.43,0.43,0.43,0.41,0.39,0.39,0.39,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.36,0.34,0.34,0.36,0.35,0.33,0.34,0.32,0.33,0.31,0.31,0.32,0.3,0.3,0.27,0.28,0.26,0.26,0.25,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.19,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.1,0.0,0.09,0.08,0.0,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.54999999999998
07/14/2021,1.18,1.17,1.14,1.11,1.13,1.07,1.07,1.05,1.06,1.06,1.03,1.04,1.06,1.08,1.01,1.02,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.98,0.97,0.96,0.98,0.98,0.98,0.98,0.97,0.96,0.97,0.97,0.95,0.96,0.96,0.93,0.94,0.96,0.95,0.95,0.95,0.9,0.93,0.94,0.93,0.9,0.91,0.86,0.83,0.8,0.8,0.79,0.77,0.78,0.71,0.71,0.64,0.63,0.62,0.62,0.64,0.61,0.56,0.59,0.58,0.58,0.58,0.56,0.56,0.53,0.55,0.53,0.52,0.52,0.52,0.52,0.53,0.51,0.52,0.5,0.49,0.49,0.49,0.46,0.47,0.46,0.46,0.44,0.43,0.42,0.42,0.41,0.39,0.39,0.38,0.37,0.36,0.37,0.37,0.36,0.36,0.36,0.35,0.37,0.35,0.34,0.36,0.34,0.34,0.34,0.33,0.33,0.31,0.32,0.32,0.3,0.3,0.27,0.28,0.26,0.26,0.25,0.24,0.24,0.22,0.24,0.22,0.22,0.23,0.22,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.19,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.09,0.09,0.0,0.0,0.08,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.64
07/15/2021,1.21,1.16,1.14,1.11,1.12,1.06,1.07,1.04,1.08,1.06,1.04,1.03,1.05,1.07,1.02,1.02,0.99,1.0,1.01,0.99,1.0,0.99,0.99,0.99,0.97,0.98,0.96,0.98,0.98,0.98,0.97,0.96,0.96,0.98,0.97,0.96,0.96,0.95,0.93,0.96,0.96,0.95,0.95,0.95,0.92,0.93,0.94,0.93,0.91,0.88,0.86,0.84,0.81,0.8,0.79,0.75,0.78,0.71,0.71,0.63,0.63,0.62,0.62,0.64,0.62,0.55,0.59,0.58,0.58,0.57,0.56,0.56,0.53,0.55,0.53,0.53,0.53,0.52,0.52,0.53,0.52,0.52,0.5,0.49,0.49,0.49,0.46,0.47,0.46,0.45,0.44,0.43,0.42,0.42,0.41,0.39,0.39,0.38,0.37,0.36,0.37,0.37,0.36,0.36,0.37,0.35,0.37,0.35,0.33,0.36,0.35,0.33,0.34,0.33,0.33,0.31,0.31,0.32,0.3,0.3,0.26,0.28,0.26,0.26,0.25,0.25,0.24,0.22,0.24,0.22,0.22,0.23,0.22,0.2,0.21,0.21,0.2,0.2,0.21,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.17,0.18,0.16,0.16,0.16,0.19,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.09,0.09,0.0,0.08,0.0,0.09,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.62
07/16/2021,1.2,1.17,1.14,1.12,1.14,1.07,1.09,1.04,1.08,1.06,1.04,1.04,1.05,1.07,1.02,1.02,1.0,1.03,1.0,0.98,1.01,1.0,0.99,0.99,0.98,0.98,0.95,0.98,1.0,0.99,0.98,0.96,0.96,0.99,0.97,0.97,0.96,0.96,0.93,0.96,0.96,0.96,0.96,0.95,0.92,0.92,0.94,0.93,0.9,0.89,0.86,0.84,0.81,0.81,0.79,0.72,0.78,0.7,0.71,0.64,0.63,0.62,0.62,0.64,0.61,0.55,0.59,0.58,0.58,0.57,0.56,0.56,0.53,0.54,0.53,0.52,0.53,0.53,0.52,0.53,0.51,0.52,0.49,0.49,0.49,0.48,0.46,0.47,0.46,0.46,0.44,0.43,0.42,0.42,0.41,0.39,0.39,0.38,0.37,0.36,0.37,0.37,0.36,0.36,0.36,0.35,0.36,0.35,0.33,0.36,0.35,0.33,0.34,0.33,0.33,0.3,0.31,0.32,0.3,0.3,0.26,0.28,0.26,0.26,0.25,0.25,0.23,0.22,0.24,0.22,0.22,0.23,0.22,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.21,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.09,0.1,0.1,0.09,0.09,0.09,0.1,0.08,0.08,0.0,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.6
07/19/2021,1.12,1.17,1.12,1.11,1.16,1.07,1.09,1.04,1.08,1.07,1.02,1.04,1.06,1.06,1.04,1.02,1.0,1.04,1.0,1.0,1.02,0.99,1.0,1.0,0.98,0.96,0.95,0.98,1.02,1.0,0.98,0.96,0.97,0.99,0.96,0.95,0.96,0.97,0.94,0.93,0.97,0.99,0.96,0.94,0.9,0.93,0.98,0.93,0.91,0.83,0.87,0.85,0.78,0.81,0.78,0.72,0.78,0.72,0.72,0.65,0.62,0.61,0.63,0.64,0.61,0.53,0.6,0.58,0.58,0.57,0.56,0.56,0.52,0.52,0.53,0.52,0.54,0.54,0.52,0.54,0.51,0.51,0.48,0.5,0.5,0.49,0.45,0.47,0.46,0.45,0.44,0.43,0.43,0.43,0.41,0.4,0.39,0.37,0.37,0.36,0.37,0.38,0.36,0.36,0.36,0.35,0.36,0.35,0.31,0.36,0.38,0.33,0.33,0.33,0.32,0.3,0.3,0.32,0.3,0.3,0.25,0.28,0.26,0.27,0.26,0.24,0.23,0.23,0.24,0.22,0.22,0.23,0.22,0.2,0.21,0.2,0.21,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.19,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.21,0.16,0.15,0.15,0.14,0.13,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.11,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.08,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.53999999999998
07/22/2021,1.12,1.18,1.15,1.12,1.12,1.1,1.09,1.05,1.09,1.07,1.01,1.04,1.08,1.08,1.02,1.01,1.01,0.99,1.0,1.0,1.01,0.99,1.02,1.01,0.98,0.97,0.94,0.97,1.03,1.02,0.96,0.96,0.97,0.97,0.97,0.94,0.97,0.98,0.93,0.91,0.96,0.99,0.96,0.94,0.88,0.93,0.94,0.9,0.91,0.83,0.89,0.87,0.77,0.81,0.78,0.72,0.78,0.73,0.72,0.66,0.61,0.61,0.64,0.63,0.6,0.54,0.6,0.59,0.58,0.57,0.58,0.57,0.52,0.53,0.53,0.51,0.54,0.54,0.52,0.54,0.5,0.47,0.5,0.5,0.5,0.49,0.44,0.48,0.46,0.47,0.43,0.43,0.45,0.43,0.4,0.43,0.38,0.39,0.38,0.35,0.37,0.38,0.37,0.36,0.37,0.36,0.34,0.35,0.31,0.36,0.47,0.33,0.34,0.32,0.32,0.31,0.3,0.32,0.29,0.3,0.26,0.27,0.26,0.27,0.26,0.24,0.22,0.23,0.23,0.22,0.23,0.22,0.22,0.2,0.21,0.2,0.21,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.18,0.19,0.18,0.18,0.18,0.18,0.19,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.21,0.16,0.15,0.15,0.14,0.13,0.13,0.14,0.13,0.13,0.14,0.13,0.12,0.13,0.11,0.12,0.12,0.13,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.0,0.09,0.08,0.08,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.6
07/23/2021,1.12,1.18,1.15,1.12,1.12,1.1,1.09,1.05,1.09,1.07,1.01,1.04,1.08,1.08,1.02,1.01,1.01,0.99,1.0,1.0,1.01,0.99,1.02,1.01,0.98,0.97,0.94,0.97,1.03,1.02,0.96,0.96,0.97,0.97,0.97,0.94,0.97,0.98,0.93,0.91,0.96,0.99,0.96,0.94,0.88,0.93,0.94,0.9,0.91,0.83,0.89,0.87,0.77,0.81,0.78,0.72,0.78,0.73,0.72,0.66,0.61,0.61,0.64,0.63,0.6,0.54,0.6,0.59,0.58,0.57,0.58,0.57,0.52,0.53,0.53,0.51,0.54,0.54,0.52,0.54,0.5,0.47,0.5,0.5,0.5,0.49,0.44,0.48,0.46,0.47,0.43,0.43,0.45,0.43,0.4,0.43,0.38,0.39,0.38,0.35,0.37,0.38,0.37,0.36,0.37,0.36,0.34,0.35,0.31,0.36,0.47,0.33,0.34,0.32,0.32,0.31,0.3,0.32,0.29,0.3,0.26,0.27,0.26,0.27,0.26,0.24,0.22,0.23,0.23,0.22,0.23,0.22,0.22,0.2,0.21,0.2,0.21,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.18,0.19,0.18,0.18,0.18,0.18,0.19,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.21,0.16,0.15,0.15,0.14,0.13,0.13,0.14,0.13,0.13,0.14,0.13,0.12,0.13,0.11,0.12,0.12,0.13,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.0,0.09,0.08,0.08,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.6
07/26/2021,1.15,1.2,1.15,1.15,1.14,1.08,1.1,1.06,1.1,1.07,1.03,1.02,1.07,1.11,1.03,1.02,1.0,1.02,1.0,0.97,1.0,1.0,1.03,0.99,0.99,0.93,0.95,0.97,1.01,0.99,0.99,0.96,0.96,0.97,0.97,0.95,0.96,0.96,0.92,0.96,0.95,0.99,0.95,0.94,0.93,0.92,0.97,0.92,0.89,0.82,0.88,0.85,0.81,0.81,0.78,0.71,0.79,0.7,0.73,0.65,0.61,0.6,0.61,0.63,0.6,0.56,0.6,0.59,0.58,0.57,0.58,0.56,0.52,0.51,0.54,0.52,0.53,0.54,0.53,0.54,0.51,0.48,0.5,0.49,0.49,0.48,0.45,0.49,0.45,0.47,0.41,0.44,0.42,0.42,0.42,0.41,0.38,0.39,0.38,0.35,0.37,0.37,0.36,0.36,0.37,0.34,0.35,0.34,0.32,0.35,0.48,0.32,0.35,0.32,0.31,0.31,0.29,0.34,0.29,0.31,0.26,0.25,0.26,0.26,0.25,0.25,0.22,0.22,0.23,0.23,0.22,0.22,0.21,0.2,0.22,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.2,0.18,0.19,0.18,0.18,0.17,0.19,0.19,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.23,0.17,0.15,0.15,0.14,0.13,0.14,0.14,0.13,0.13,0.14,0.13,0.12,0.13,0.11,0.13,0.13,0.13,0.11,0.12,0.12,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.6
