,1120.SR,1180.SR,2010.SR,2222.SR,7010.SR,1010.SR,1060.SR,1211.SR,2020.SR,1050.SR,1150.SR,5110.SR,2290.SR,2280.SR,4013.SR,1080.SR,2350.SR,1140.SR,4190.SR,7020.SR,2050.SR,2310.SR,4002.SR,2330.SR,2250.SR,1020.SR,8210.SR,2060.SR,7030.SR,3050.SR,4210.SR,4300.SR,2380.SR,4001.SR,2002.SR,4220.SR,8010.SR,3030.SR,4321.SR,—,3040.SR,3060.SR,3020.SR,1810.SR,6004.SR,4161.SR,4031.SR,4004.SR,2270.SR,ALHOKAIR,4240.SR,SUM
07/09/2021,11.85,11.16,9.55,8.06,7.04,4.48,3.19,3.06,2.81,2.65,2.45,2.31,1.88,1.76,1.67,1.66,1.64,1.54,1.41,1.4,1.29,1.26,0.93,0.9,0.87,0.87,0.85,0.77,0.73,0.69,0.64,0.64,0.63,0.63,0.61,0.6,0.57,0.55,0.46,0.45,0.44,0.39,0.39,0.36,0.36,0.36,0.36,0.32,0.32,0.18,0.0,99.99
07/12/2021,11.82,11.09,9.48,8.16,7.19,4.44,3.22,3.11,2.81,2.62,2.43,2.28,1.88,1.77,1.71,1.67,1.61,1.56,1.43,1.41,1.3,1.27,0.97,0.92,0.93,0.88,0.9,0.76,0.72,0.7,0.62,0.63,0.67,0.62,0.63,0.59,0.57,0.56,0.47,0.08,0.44,0.4,0.39,0.36,0.36,0.37,0.36,0.32,0.33,0.0,0.17,99.98
07/13/2021,11.82,11.09,9.48,8.16,7.19,4.44,3.22,3.11,2.81,2.62,2.43,2.28,1.88,1.77,1.71,1.67,1.61,1.56,1.43,1.41,1.3,1.27,0.97,0.92,0.93,0.88,0.9,0.76,0.72,0.7,0.62,0.63,0.67,0.62,0.63,0.59,0.57,0.56,0.47,0.08,0.44,0.4,0.39,0.36,0.36,0.37,0.36,0.32,0.33,0.0,0.17,99.98
07/14/2021,11.82,11.1,9.48,8.16,7.19,4.44,3.22,3.11,2.81,2.57,2.43,2.28,1.88,1.77,1.71,1.67,1.61,1.56,1.43,1.41,1.3,1.27,0.97,0.92,0.93,0.88,0.9,0.76,0.72,0.7,0.62,0.63,0.67,0.62,0.63,0.59,0.57,0.56,0.47,0.12,0.44,0.4,0.39,0.36,0.36,0.37,0.36,0.32,0.33,0.0,0.17,99.98
07/15/2021,11.88,10.95,9.67,8.19,7.23,4.45,3.16,3.04,2.83,2.52,2.45,2.3,1.87,1.72,1.71,1.66,1.62,1.55,1.4,1.39,1.28,1.27,0.98,0.9,0.92,0.88,0.92,0.8,0.73,0.7,0.62,0.63,0.68,0.62,0.62,0.6,0.59,0.56,0.47,0.12,0.45,0.4,0.4,0.37,0.36,0.37,0.36,0.32,0.32,0.0,0.17,100.0
07/16/2021,11.82,10.94,9.55,8.2,7.26,4.48,3.17,3.07,2.84,2.54,2.42,2.29,1.89,1.74,1.75,1.67,1.64,1.56,1.42,1.4,1.27,1.28,0.98,0.89,0.91,0.88,0.93,0.81,0.74,0.69,0.62,0.63,0.68,0.63,0.62,0.59,0.6,0.56,0.46,0.12,0.45,0.4,0.39,0.36,0.36,0.37,0.36,0.31,0.32,0.0,0.17,100.03
07/19/2021,11.84,10.96,9.68,8.2,7.07,4.47,3.17,3.05,2.85,2.55,2.46,2.29,1.84,1.74,1.73,1.67,1.63,1.57,1.38,1.41,1.26,1.33,0.96,0.89,0.93,0.91,0.9,0.82,0.74,0.69,0.57,0.63,0.71,0.6,0.62,0.61,0.59,0.56,0.47,0.12,0.44,0.4,0.39,0.37,0.36,0.37,0.36,0.32,0.31,0.0,0.18,99.97
07/22/2021,11.84,10.96,9.68,8.2,7.07,4.47,3.17,3.05,2.85,2.55,2.46,2.29,1.85,1.74,1.74,1.67,1.63,1.57,1.38,1.41,1.26,1.33,0.96,0.89,0.93,0.91,0.91,0.82,0.74,0.69,0.57,0.63,0.71,0.6,0.62,0.61,0.59,0.56,0.47,0.12,0.44,0.4,0.39,0.37,0.36,0.37,0.36,0.32,0.31,0.0,0.18,100.0
07/23/2021,11.84,10.96,9.68,8.2,7.07,4.47,3.17,3.05,2.85,2.55,2.46,2.29,1.85,1.74,1.74,1.67,1.63,1.57,1.38,1.41,1.26,1.33,0.96,0.89,0.93,0.91,0.91,0.82,0.74,0.69,0.57,0.63,0.71,0.6,0.62,0.61,0.59,0.56,0.47,0.12,0.44,0.4,0.39,0.37,0.36,0.37,0.36,0.32,0.31,0.0,0.18,100.0
07/26/2021,11.84,10.96,9.68,8.2,7.07,4.47,3.17,3.05,2.85,2.55,2.46,2.29,1.85,1.74,1.74,1.67,1.63,1.57,1.38,1.41,1.26,1.33,0.96,0.89,0.93,0.91,0.91,0.82,0.74,0.69,0.57,0.63,0.71,0.6,0.62,0.61,0.59,0.56,0.47,0.11,0.44,0.4,0.39,0.37,0.36,0.37,0.36,0.32,0.31,0.0,0.18,99.99
08/02/2021,11.88,10.62,9.63,8.01,7.35,4.41,3.15,3.24,2.97,2.49,2.44,2.33,1.83,1.7,1.81,1.66,1.63,1.55,1.36,1.39,1.29,1.39,0.99,0.91,0.94,0.9,0.91,0.81,0.72,0.67,0.66,0.64,0.65,0.6,0.64,0.65,0.59,0.56,0.47,0.1,0.44,0.42,0.39,0.36,0.36,0.37,0.36,0.32,0.3,0.0,0.17,100.03000000000002
08/03/2021,11.88,10.62,9.63,8.01,7.35,4.41,3.15,3.24,2.97,2.49,2.44,2.33,1.83,1.7,1.81,1.66,1.63,1.55,1.36,1.39,1.29,1.39,0.99,0.91,0.94,0.9,0.91,0.81,0.72,0.67,0.66,0.64,0.65,0.6,0.64,0.65,0.59,0.56,0.47,0.1,0.44,0.42,0.39,0.36,0.36,0.37,0.36,0.32,0.3,0.0,0.17,100.03000000000002
