,RIGDS.,SE,MELI,YNDX,035420.KS,TCS.L,035720.KS,DHER.DE,MMYT,PAGS,STNE,259960.KS,3659.T,XP,036570.KS,OZON,323410.KS,MGLU3.SA,CPNG,MAIL.L,KAKZF,ALE.WA,CDR.WA,AMER3.SA,MCG.JO,VTEX,DLO,263750.KQ,293490.KQ,251270.KS,LWSA3.SA,HHR,n/a,035760.KQ,HEPS,JMIA,BUKA.JK,FWRY.CA,AFYA,ARCE,YALA,067160.KQ,078340.KQ,DESP,CVCB3.SA,QIWI,181710.KS,SOMA3.SA,IFCM3.SA,042000.KQ,064260.KQ,069080.KQ,080160.KQ,035600.KQ,SUM
10/29/2021,8.99,8.99,7.1,6.53,6.42,5.5,5.45,4.78,4.68,3.25,2.86,2.8,2.54,2.37,2.29,2.15,1.85,1.81,1.77,1.52,1.51,1.5,1.03,0.99,0.94,0.89,0.88,0.81,0.68,0.55,0.5,0.47,0.46,0.46,0.45,0.42,0.4,0.38,0.32,0.31,0.3,0.29,0.24,0.21,0.19,0.19,0.17,0.17,0.15,0.11,0.11,0.1,0.1,0.08,100.01
11/01/2021,9.1,8.8,6.95,6.63,6.61,5.25,5.56,4.71,5.52,3.02,2.57,2.8,2.6,2.29,2.35,2.07,1.91,1.69,1.79,1.51,1.6,1.45,0.98,0.94,0.92,0.8,0.9,0.86,0.74,0.56,0.49,0.44,0.46,0.44,0.45,0.39,0.39,0.42,0.32,0.31,0.29,0.31,0.27,0.21,0.18,0.18,0.17,0.15,0.14,0.12,0.11,0.1,0.1,0.08,100.0
11/02/2021,8.93,9.06,6.97,7.01,6.55,5.27,5.39,4.71,5.83,3.04,2.61,2.7,2.57,2.27,2.27,2.09,1.98,1.61,1.79,1.45,1.64,1.41,0.95,0.85,0.91,0.78,0.89,0.78,0.73,0.54,0.48,0.43,0.46,0.43,0.46,0.39,0.38,0.41,0.33,0.3,0.3,0.31,0.26,0.21,0.17,0.18,0.17,0.15,0.13,0.11,0.1,0.1,0.09,0.08,100.01
11/03/2021,8.87,9.02,6.96,7.14,6.6,5.31,5.52,4.64,5.46,3.07,2.61,2.73,2.52,2.26,2.35,2.06,1.98,1.59,1.83,1.44,1.72,1.41,0.97,0.85,0.91,0.73,0.89,0.79,0.75,0.55,0.44,0.42,0.47,0.44,0.45,0.39,0.39,0.42,0.33,0.3,0.29,0.35,0.27,0.21,0.17,0.18,0.19,0.15,0.13,0.12,0.12,0.1,0.09,0.08,100.03
11/04/2021,8.87,9.02,6.96,7.14,6.6,5.31,5.52,4.64,5.46,3.07,2.61,2.73,2.52,2.26,2.35,2.06,1.98,1.59,1.83,1.44,1.72,1.41,0.97,0.85,0.91,0.73,0.89,0.79,0.75,0.55,0.44,0.42,0.47,0.44,0.45,0.39,0.39,0.42,0.33,0.3,0.29,0.35,0.27,0.21,0.17,0.18,0.19,0.15,0.13,0.12,0.12,0.1,0.09,0.08,100.03
11/05/2021,8.72,9.32,6.99,7.05,6.52,5.6,5.52,4.58,5.55,2.93,2.44,2.76,2.7,2.23,2.36,2.01,1.97,1.62,1.82,1.39,1.67,1.36,0.95,0.88,0.89,0.67,0.91,0.79,0.8,0.55,0.44,0.42,0.46,0.43,0.45,0.41,0.36,0.4,0.31,0.29,0.3,0.38,0.27,0.21,0.17,0.18,0.19,0.15,0.13,0.12,0.12,0.1,0.09,0.08,100.01
11/08/2021,8.68,9.27,7.24,7.18,6.53,5.59,5.59,4.66,5.53,2.83,2.37,2.66,2.62,2.2,2.18,2.01,1.84,1.62,1.85,1.38,1.67,1.37,1.0,0.93,0.89,0.79,0.88,0.77,0.84,0.54,0.5,0.41,0.42,0.41,0.52,0.41,0.37,0.41,0.31,0.29,0.3,0.39,0.25,0.21,0.17,0.18,0.18,0.17,0.14,0.1,0.11,0.1,0.09,0.07,100.01999999999998
11/09/2021,8.68,9.27,7.24,7.18,6.53,5.59,5.59,4.66,5.53,2.83,2.37,2.66,2.62,2.2,2.18,2.01,1.84,1.62,1.85,1.38,1.67,1.37,1.0,0.93,0.89,0.79,0.88,0.77,0.84,0.54,0.5,0.41,0.42,0.41,0.52,0.41,0.37,0.41,0.31,0.29,0.3,0.39,0.25,0.21,0.17,0.18,0.18,0.17,0.14,0.1,0.11,0.1,0.09,0.07,100.01999999999998
11/10/2021,8.68,9.27,7.24,7.18,6.53,5.59,5.59,4.66,5.53,2.83,2.37,2.66,2.62,2.2,2.18,2.01,1.84,1.62,1.85,1.38,1.67,1.37,1.0,0.93,0.89,0.79,0.88,0.77,0.84,0.54,0.5,0.41,0.42,0.41,0.52,0.41,0.37,0.41,0.31,0.29,0.3,0.39,0.25,0.21,0.17,0.18,0.18,0.17,0.14,0.1,0.11,0.1,0.09,0.07,100.01999999999998
11/11/2021,8.69,8.79,7.54,7.25,6.36,5.89,5.28,4.49,5.94,2.86,2.28,2.47,2.71,2.28,2.26,1.99,1.67,1.74,1.8,1.37,1.63,1.46,0.98,0.92,0.87,0.73,0.89,0.84,0.9,0.53,0.51,0.42,0.41,0.42,0.51,0.42,0.36,0.38,0.3,0.3,0.33,0.4,0.27,0.23,0.18,0.18,0.18,0.16,0.14,0.1,0.12,0.1,0.09,0.07,99.99
11/12/2021,8.69,8.79,7.54,7.25,6.36,5.89,5.28,4.49,5.94,2.86,2.28,2.47,2.71,2.28,2.26,1.99,1.67,1.74,1.8,1.37,1.63,1.46,0.98,0.92,0.87,0.73,0.89,0.84,0.9,0.53,0.51,0.42,0.41,0.42,0.51,0.42,0.36,0.38,0.3,0.3,0.33,0.4,0.27,0.23,0.18,0.18,0.18,0.16,0.14,0.1,0.12,0.1,0.09,0.07,99.99
11/15/2021,8.68,8.68,7.8,7.08,6.53,5.67,5.31,4.6,5.7,2.79,2.21,2.61,2.69,2.27,2.26,1.98,1.72,1.92,1.77,1.35,1.62,1.29,0.99,1.01,0.87,0.72,0.86,0.84,0.89,0.56,0.52,0.44,0.41,0.41,0.51,0.4,0.38,0.38,0.29,0.3,0.38,0.41,0.3,0.23,0.18,0.18,0.2,0.16,0.15,0.1,0.13,0.1,0.09,0.07,99.98999999999998
11/16/2021,8.68,8.68,7.8,7.08,6.53,5.67,5.31,4.6,5.7,2.79,2.21,2.61,2.69,2.27,2.26,1.98,1.72,1.92,1.77,1.35,1.62,1.29,0.99,1.01,0.87,0.72,0.86,0.84,0.89,0.56,0.52,0.44,0.41,0.41,0.51,0.4,0.38,0.38,0.29,0.3,0.38,0.41,0.3,0.23,0.18,0.18,0.2,0.16,0.15,0.1,0.13,0.1,0.09,0.07,99.98999999999998
11/17/2021,8.68,8.68,7.8,7.08,6.53,5.67,5.31,4.6,5.7,2.79,2.21,2.61,2.69,2.27,2.26,1.98,1.72,1.92,1.77,1.35,1.62,1.29,0.99,1.01,0.87,0.72,0.86,0.84,0.89,0.56,0.52,0.44,0.41,0.41,0.51,0.4,0.38,0.38,0.29,0.3,0.38,0.41,0.3,0.23,0.18,0.18,0.2,0.16,0.15,0.1,0.13,0.1,0.09,0.07,99.98999999999998
11/19/2021,8.8,8.71,7.43,6.82,6.4,5.1,5.44,5.0,5.67,3.05,2.34,3.06,3.04,2.25,2.37,1.92,1.88,1.64,1.67,1.29,1.51,1.23,0.97,1.07,0.9,0.7,0.82,0.9,0.88,0.56,0.46,0.48,0.41,0.4,0.33,0.4,0.39,0.36,0.28,0.32,0.41,0.39,0.34,0.21,0.18,0.18,0.21,0.17,0.16,0.1,0.12,0.11,0.08,0.07,99.98
11/22/2021,8.6,8.48,7.09,6.86,6.38,5.17,5.44,5.22,5.76,2.99,2.39,3.09,3.25,2.18,2.56,1.91,1.9,1.44,1.79,1.31,1.48,1.31,0.97,0.97,0.87,0.7,0.84,1.02,0.99,0.58,0.41,0.5,0.42,0.4,0.33,0.33,0.37,0.34,0.27,0.3,0.41,0.41,0.36,0.2,0.16,0.18,0.23,0.16,0.15,0.11,0.13,0.11,0.08,0.07,99.96999999999998
11/23/2021,8.6,8.48,7.09,6.86,6.38,5.17,5.44,5.22,5.76,2.99,2.39,3.09,3.25,2.18,2.56,1.91,1.9,1.44,1.79,1.31,1.48,1.31,0.97,0.97,0.87,0.7,0.84,1.02,0.99,0.58,0.41,0.5,0.42,0.4,0.33,0.33,0.37,0.34,0.27,0.3,0.41,0.41,0.36,0.2,0.16,0.18,0.23,0.16,0.15,0.11,0.13,0.11,0.08,0.07,99.96999999999998
11/24/2021,8.81,8.28,6.7,7.11,6.57,5.09,5.6,5.51,5.78,2.56,1.5,3.17,3.38,2.08,2.82,2.13,2.04,1.41,1.7,1.28,1.51,1.38,1.03,0.99,0.89,0.73,0.69,1.03,1.02,0.56,0.38,0.5,0.44,0.45,0.33,0.32,0.4,0.36,0.28,0.34,0.37,0.4,0.35,0.23,0.17,0.17,0.22,0.18,0.17,0.11,0.2,0.11,0.08,0.08,99.99
11/25/2021,8.68,8.36,6.58,6.68,6.98,4.87,5.93,5.58,5.83,2.49,1.4,3.15,3.44,2.1,2.94,2.05,2.1,1.4,1.73,1.27,1.55,1.36,1.1,0.97,0.92,0.68,0.63,1.05,0.96,0.58,0.35,0.47,0.46,0.45,0.33,0.3,0.4,0.37,0.27,0.34,0.39,0.41,0.35,0.24,0.17,0.17,0.23,0.17,0.17,0.11,0.21,0.1,0.09,0.08,99.99
11/26/2021,8.37,7.58,6.07,6.52,6.4,4.87,5.4,5.02,5.19,2.28,1.36,2.9,3.23,2.08,2.62,1.91,2.01,1.27,1.58,1.2,1.42,1.29,1.07,0.89,0.87,0.62,0.57,0.96,0.9,0.54,0.32,0.44,7.36,0.41,0.28,0.28,0.37,0.35,0.24,0.32,0.36,0.37,0.3,0.22,0.16,0.18,0.22,0.16,0.16,0.1,0.17,0.09,0.08,0.07,99.99999999999996
11/29/2021,8.37,7.58,6.07,6.52,6.4,4.87,5.4,5.02,5.19,2.28,1.36,2.9,3.23,2.08,2.62,1.91,2.01,1.27,1.58,1.2,1.42,1.29,1.07,0.89,0.87,0.62,0.57,0.96,0.9,0.54,0.32,0.44,7.36,0.41,0.28,0.28,0.37,0.35,0.24,0.32,0.36,0.37,0.3,0.22,0.16,0.18,0.22,0.16,0.16,0.1,0.17,0.09,0.08,0.07,99.99999999999996
11/30/2021,8.37,7.58,6.07,6.52,6.4,4.87,5.4,5.02,5.19,2.28,1.36,2.9,3.23,2.08,2.62,1.91,2.01,1.27,1.58,1.2,1.42,1.29,1.07,0.89,0.87,0.62,0.57,0.96,0.9,0.54,0.32,0.44,7.36,0.41,0.28,0.28,0.37,0.35,0.24,0.32,0.36,0.37,0.3,0.22,0.16,0.18,0.22,0.16,0.16,0.1,0.17,0.09,0.08,0.07,99.99999999999997
