,AAPL,XOM,MSFT,JPM,WFC,T,BRK.B,CVX,VZ,BAC,C,INTC,JNJ,WMT,UNH,CSCO,PFE,CMCSA,GE,IBM,PG,CVS,DIS,GOOG,GOOGL,HD,F,GM,FB,MRK,GME,GILD,ORCL,VLO,ABBV,PSX,AMZN,BA,GS,PEP,COF,AIG,COP,PM,WBA,ANTM,TGT,MPC,COST,AMGN,UNP,KO,RTX,MDT,AXP,MCD,QCOM,MMM,MO,HON,SLB,MS,LOW,USB,TXN,CAT,ADM,KR,OXY,V,PNC,TRV,MU,DUK,FDX,SBUX,ACN,NKE,MDLZ,DD,MCK,PRU,DFS,EXC,LIN,UPS,HUM,AMAT,SYF,MET,HPE,BMY,AVGO,TJX,ABT,DE,CHTR,LMT,GD,ALL,ETN,SO,NEE,MA,BK,HCA,CSX,NUE,LLY,EMR,LUMN,LYB,BKNG,KMI,CAH,BLK,M,CB,CI,KSS,AFL,EOG,TMO,NSC,NOC,GLW,ITW,HPQ,BIIB,JCI,EBAY,D,TSN,WDC,NVDA,DG,WM,AEP,ALLY,TFC,IP,BG,CMI,BKR,MMC,CTSH,SYY,SPG,ADP,CL,PPG,AMP,CCL,DHR,PYPL,FITB,CNC,DXC,TMUS,BBY,TROW,STX,AON,S+p500 Emini Fut Sep21 Xcme 20210917,VIAC,TEL,LRCX,NXPI,DOW,PCAR,HAL,MRO,KHC,WMB,PGR,OKE,CARR,ADBE,SCHW,GIS,FE,SYK,ED,PEG,HIG,WRK,SRE,APTV,BBBY,PPL,WELL,INTU,AVT,SPGI,PH,TT,STT,AMT,YUM,XEL,iShares Core S&P Total US Stock Mkt ETF,031330.KQ,CCI,KMB,ORLY,ECL,URI,ITOT,ABC,002270.KS,GE.,581.HK,BTU,n/a,ROST,806.HK,688180.SS,ADI,NTAP,AA,GT,WY,BDX,SUM
07/09/2021,3.55,2.36,1.78,1.54,1.45,1.41,1.31,1.27,1.09,1.02,1.01,1.0,1.0,0.93,0.92,0.85,0.85,0.77,0.74,0.69,0.69,0.69,0.65,0.65,0.65,0.64,0.63,0.62,0.58,0.54,0.52,0.52,0.52,0.51,0.5,0.5,0.49,0.48,0.48,0.48,0.48,0.47,0.46,0.46,0.45,0.45,0.44,0.43,0.43,0.42,0.42,0.41,0.4,0.39,0.38,0.38,0.37,0.37,0.36,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.75
07/12/2021,3.71,2.29,1.81,1.53,1.41,1.41,1.32,1.25,1.11,0.99,0.98,0.99,1.01,0.93,0.94,0.86,0.85,0.78,0.73,0.7,0.7,0.69,0.64,0.67,0.66,0.65,0.61,0.6,0.58,0.54,0.5,0.52,0.55,0.48,0.52,0.47,0.52,0.48,0.48,0.49,0.47,0.47,0.44,0.45,0.45,0.45,0.44,0.41,0.44,0.42,0.43,0.42,0.4,0.4,0.39,0.39,0.37,0.37,0.36,0.35,0.32,0.33,0.33,0.32,0.31,0.31,0.31,0.29,0.27,0.3,0.28,0.29,0.28,0.29,0.27,0.28,0.28,0.27,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.17,0.19,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.0,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.82000000000001
07/13/2021,3.71,2.29,1.81,1.53,1.41,1.41,1.32,1.25,1.11,0.99,0.98,0.99,1.01,0.93,0.94,0.86,0.85,0.78,0.73,0.7,0.7,0.69,0.64,0.67,0.66,0.65,0.61,0.6,0.58,0.54,0.5,0.52,0.55,0.48,0.52,0.47,0.52,0.48,0.48,0.49,0.47,0.47,0.44,0.45,0.45,0.45,0.44,0.41,0.44,0.42,0.43,0.42,0.4,0.4,0.39,0.39,0.37,0.37,0.36,0.35,0.32,0.33,0.33,0.32,0.31,0.31,0.31,0.29,0.27,0.3,0.28,0.29,0.28,0.29,0.27,0.28,0.28,0.27,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.17,0.19,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.0,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.82000000000001
07/14/2021,3.7,2.3,1.79,1.54,1.42,1.38,1.32,1.25,1.09,0.99,0.98,0.99,1.0,0.93,0.93,0.86,0.85,0.77,0.73,0.7,0.7,0.68,0.65,0.66,0.65,0.65,0.61,0.62,0.58,0.53,0.49,0.51,0.56,0.47,0.51,0.47,0.52,0.49,0.48,0.48,0.49,0.46,0.44,0.45,0.44,0.45,0.44,0.41,0.44,0.42,0.42,0.42,0.4,0.4,0.39,0.39,0.37,0.37,0.36,0.35,0.33,0.33,0.33,0.32,0.31,0.31,0.31,0.3,0.28,0.3,0.29,0.29,0.28,0.29,0.27,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.23,0.24,0.23,0.23,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.0,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.76
07/15/2021,3.7,2.3,1.79,1.54,1.42,1.38,1.32,1.25,1.09,0.99,0.98,0.99,1.0,0.93,0.93,0.86,0.85,0.77,0.73,0.7,0.7,0.68,0.65,0.66,0.65,0.65,0.61,0.62,0.58,0.53,0.49,0.51,0.56,0.47,0.51,0.47,0.52,0.49,0.48,0.48,0.49,0.46,0.44,0.45,0.44,0.45,0.44,0.41,0.44,0.42,0.42,0.42,0.4,0.4,0.39,0.39,0.37,0.37,0.36,0.35,0.33,0.33,0.33,0.32,0.31,0.31,0.31,0.3,0.28,0.3,0.29,0.29,0.28,0.29,0.27,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.23,0.24,0.23,0.23,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.0,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.76
07/16/2021,3.74,2.3,1.82,1.55,1.4,1.38,1.32,1.26,1.1,1.0,0.99,1.01,1.01,0.94,0.95,0.86,0.86,0.77,0.72,0.7,0.7,0.69,0.68,0.67,0.66,0.64,0.61,0.63,0.59,0.53,0.47,0.52,0.56,0.46,0.52,0.47,0.51,0.47,0.49,0.5,0.5,0.47,0.44,0.45,0.45,0.46,0.45,0.41,0.44,0.42,0.41,0.43,0.39,0.4,0.4,0.39,0.37,0.37,0.36,0.35,0.32,0.34,0.33,0.32,0.32,0.31,0.3,0.3,0.28,0.3,0.29,0.29,0.28,0.29,0.28,0.29,0.28,0.27,0.26,0.26,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.22,0.24,0.24,0.23,0.22,0.22,0.21,0.22,0.22,0.21,0.22,0.21,0.22,0.22,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.11,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.11,0.0,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.01
07/19/2021,3.83,2.24,1.83,1.56,1.47,1.39,1.33,1.23,1.11,0.98,1.0,1.0,1.01,0.95,0.96,0.87,0.87,0.78,0.72,0.71,0.72,0.7,0.69,0.67,0.67,0.65,0.6,0.61,0.58,0.54,0.44,0.52,0.55,0.44,0.52,0.44,0.51,0.46,0.49,0.51,0.49,0.48,0.43,0.46,0.44,0.47,0.45,0.39,0.45,0.43,0.42,0.44,0.4,0.39,0.4,0.4,0.38,0.38,0.37,0.37,0.3,0.34,0.34,0.33,0.31,0.31,0.3,0.31,0.25,0.31,0.29,0.3,0.28,0.3,0.28,0.29,0.29,0.27,0.27,0.26,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.23,0.24,0.23,0.23,0.24,0.24,0.23,0.22,0.22,0.21,0.22,0.22,0.21,0.22,0.22,0.22,0.22,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.19,0.18,0.17,0.17,0.16,0.18,0.17,0.17,0.17,0.18,0.16,0.16,0.17,0.16,0.16,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.12,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.11,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.0,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.1,0.1,0.0,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.0,0.12,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.15
07/20/2021,3.82,2.2,1.85,1.54,1.46,1.4,1.33,1.21,1.12,0.96,0.98,0.99,1.02,0.96,0.97,0.88,0.89,0.78,0.71,0.71,0.73,0.7,0.68,0.69,0.67,0.66,0.59,0.6,0.58,0.55,0.45,0.53,0.57,0.43,0.53,0.43,0.51,0.46,0.48,0.51,0.49,0.48,0.42,0.46,0.44,0.47,0.46,0.38,0.45,0.43,0.42,0.44,0.39,0.4,0.4,0.4,0.38,0.38,0.37,0.37,0.3,0.34,0.34,0.33,0.31,0.31,0.3,0.31,0.24,0.32,0.28,0.3,0.27,0.3,0.28,0.29,0.29,0.27,0.27,0.25,0.26,0.25,0.26,0.26,0.25,0.25,0.26,0.23,0.23,0.23,0.23,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.17,0.19,0.18,0.17,0.18,0.15,0.18,0.17,0.17,0.17,0.18,0.16,0.16,0.17,0.16,0.17,0.15,0.14,0.13,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.12,0.14,0.13,0.12,0.13,0.14,0.14,0.13,0.13,0.11,0.14,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.0,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.0,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.21000000000001
07/21/2021,3.82,2.2,1.85,1.54,1.46,1.4,1.33,1.21,1.12,0.96,0.98,0.99,1.02,0.96,0.97,0.88,0.89,0.78,0.71,0.71,0.73,0.7,0.68,0.69,0.67,0.66,0.59,0.6,0.58,0.55,0.45,0.53,0.57,0.43,0.53,0.43,0.51,0.46,0.48,0.51,0.49,0.48,0.42,0.46,0.44,0.47,0.46,0.38,0.45,0.43,0.42,0.44,0.39,0.4,0.4,0.4,0.38,0.38,0.37,0.37,0.3,0.34,0.34,0.33,0.31,0.31,0.3,0.31,0.24,0.32,0.28,0.3,0.27,0.3,0.28,0.29,0.29,0.27,0.27,0.25,0.26,0.25,0.26,0.26,0.25,0.25,0.26,0.23,0.23,0.23,0.23,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.17,0.19,0.18,0.17,0.18,0.15,0.18,0.17,0.17,0.17,0.18,0.16,0.16,0.17,0.16,0.17,0.15,0.14,0.13,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.12,0.14,0.13,0.12,0.13,0.14,0.14,0.13,0.13,0.11,0.14,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.0,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.0,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.21000000000001
07/22/2021,3.82,2.2,1.85,1.54,1.46,1.4,1.33,1.21,1.12,0.96,0.98,0.99,1.02,0.96,0.97,0.88,0.89,0.78,0.71,0.71,0.73,0.7,0.68,0.69,0.67,0.66,0.59,0.6,0.58,0.55,0.45,0.53,0.57,0.43,0.53,0.43,0.51,0.46,0.48,0.51,0.49,0.48,0.42,0.46,0.44,0.47,0.46,0.38,0.45,0.43,0.42,0.44,0.39,0.4,0.4,0.4,0.38,0.38,0.37,0.37,0.3,0.34,0.34,0.33,0.31,0.31,0.3,0.31,0.24,0.32,0.28,0.3,0.27,0.3,0.28,0.29,0.29,0.27,0.27,0.25,0.26,0.25,0.26,0.26,0.25,0.25,0.26,0.23,0.23,0.23,0.23,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.17,0.19,0.18,0.17,0.18,0.15,0.18,0.17,0.17,0.17,0.18,0.16,0.16,0.17,0.16,0.17,0.15,0.14,0.13,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.12,0.14,0.13,0.12,0.13,0.14,0.14,0.13,0.13,0.11,0.14,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.0,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.0,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.21000000000001
