,AAPL,MSFT,GOOGL,FB,NVDA,HD,V,JNJ,UNH,MA,NKE,ADBE,MCD,LOW,CSCO,ACN,CMCSA,PG,INTC,ORLY,SPGI,PFE,AZO,BKNG,TXN,MCO,EBAY,ABBV,DPZ,AVGO,DFS,VZ,TMO,DHR,MRK,MSCI,FTNT,YUM,T,CME,AON,WAL,BMY,APO,QCOM,ADP,SIVB,AMGN,FFIN,HON,UNP,KO,ZTS,CVX,WING,FHN,ETSY,IDXX,SEIC,MMM,WMT,ZM,FDS,PAYX,PM,GILD,LMT,ALXN,CSX,ITW,MTD,EMR,NSC,OTIS,FLT,COP,LIN,ROK,AZPN,NEE,GWW,FAST,MO,EA,GGG,VRSK,SLB,CL,SIRI,HOLX,AMT,KMI,TTWO,WMB,KMB,D,SHW,MNST,PLD,WEC,NEM,ECL,CLX,OGE,IDA,IP,SPG,PSA,CE,NRG,VVV,VST,EXP,DLR,EXR,AVB,EQR,RGLD,ESS,O,DRE,VICI,WPC,GLPI,CHG.BK,Fidelity Revere Str Tr,OGN,CHG.BK.1,Fidelity Securities Lending Cash Central Fund,Sp500 Mic Emin Futsep21 Xcme 20210917,Us Dollar,SUM
07/09/2021,5.78,5.51,3.95,2.51,1.97,1.67,1.56,1.52,1.46,1.35,1.3,1.3,1.22,1.17,1.13,1.08,1.07,1.07,1.05,1.05,1.04,1.03,1.02,1.01,1.0,0.99,0.98,0.96,0.96,0.96,0.95,0.94,0.94,0.92,0.92,0.92,0.92,0.89,0.88,0.88,0.86,0.86,0.84,0.84,0.83,0.82,0.82,0.81,0.81,0.81,0.8,0.78,0.77,0.77,0.77,0.76,0.74,0.73,0.73,0.73,0.72,0.71,0.71,0.7,0.69,0.69,0.68,0.64,0.62,0.61,0.61,0.6,0.6,0.6,0.58,0.55,0.55,0.54,0.54,0.54,0.54,0.52,0.5,0.49,0.46,0.45,0.44,0.44,0.43,0.41,0.41,0.4,0.38,0.38,0.37,0.37,0.35,0.34,0.33,0.29,0.29,0.29,0.28,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.18,0.18,0.17,0.17,0.15,0.14,0.08,0.07,0.04,0.0,0.0,0.0,0.0,99.95000000000002
07/12/2021,5.96,5.54,3.97,2.47,1.95,1.67,1.56,1.52,1.46,1.35,1.3,1.32,1.22,1.17,1.12,1.1,1.06,1.07,1.03,1.05,1.05,1.02,1.02,0.98,0.99,1.01,0.98,0.97,0.97,0.96,0.94,0.94,0.95,0.94,0.92,0.95,0.94,0.89,0.87,0.85,0.86,0.84,0.84,0.82,0.81,0.83,0.8,0.79,0.79,0.81,0.81,0.78,0.79,0.75,0.76,0.72,0.72,0.75,0.72,0.73,0.71,0.72,0.71,0.71,0.68,0.68,0.68,0.63,0.62,0.61,0.62,0.6,0.61,0.61,0.57,0.52,0.55,0.56,0.56,0.55,0.55,0.53,0.49,0.49,0.48,0.46,0.41,0.44,0.43,0.42,0.42,0.4,0.38,0.37,0.38,0.37,0.35,0.34,0.34,0.3,0.29,0.28,0.29,0.26,0.26,0.25,0.24,0.25,0.23,0.24,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.18,0.18,0.17,0.16,0.15,0.14,0.0,0.03,0.04,0.0,0.0,0.08,0.0,100.0
07/13/2021,5.96,5.54,3.97,2.47,1.95,1.67,1.56,1.52,1.46,1.35,1.3,1.32,1.22,1.17,1.12,1.1,1.06,1.07,1.03,1.05,1.05,1.02,1.02,0.98,0.99,1.01,0.98,0.97,0.97,0.96,0.94,0.94,0.95,0.94,0.92,0.95,0.94,0.89,0.87,0.85,0.86,0.84,0.84,0.82,0.81,0.83,0.8,0.79,0.79,0.81,0.81,0.78,0.79,0.75,0.76,0.72,0.72,0.75,0.72,0.73,0.71,0.72,0.71,0.71,0.68,0.68,0.68,0.63,0.62,0.61,0.62,0.6,0.61,0.61,0.57,0.52,0.55,0.56,0.56,0.55,0.55,0.53,0.49,0.49,0.48,0.46,0.41,0.44,0.43,0.42,0.42,0.4,0.38,0.37,0.38,0.37,0.35,0.34,0.34,0.3,0.29,0.28,0.29,0.26,0.26,0.25,0.24,0.25,0.23,0.24,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.18,0.18,0.17,0.16,0.15,0.14,0.0,0.03,0.04,0.0,0.0,0.08,0.0,100.0
07/14/2021,5.97,5.49,3.94,2.47,1.92,1.66,1.55,1.52,1.46,1.34,1.31,1.32,1.22,1.16,1.13,1.11,1.06,1.07,1.03,1.06,1.04,1.03,1.03,0.99,0.99,1.0,0.97,0.97,0.96,0.98,0.97,0.93,0.94,0.93,0.91,0.95,0.95,0.9,0.86,0.86,0.85,0.87,0.84,0.8,0.82,0.83,0.83,0.8,0.81,0.82,0.78,0.78,0.79,0.75,0.77,0.74,0.73,0.75,0.72,0.73,0.71,0.7,0.71,0.72,0.68,0.67,0.68,0.63,0.6,0.61,0.62,0.6,0.59,0.6,0.56,0.53,0.55,0.55,0.55,0.54,0.55,0.53,0.5,0.48,0.47,0.46,0.42,0.44,0.42,0.42,0.42,0.4,0.37,0.37,0.37,0.37,0.35,0.34,0.34,0.3,0.29,0.29,0.28,0.26,0.26,0.25,0.25,0.26,0.24,0.24,0.22,0.22,0.21,0.22,0.21,0.21,0.2,0.2,0.19,0.18,0.17,0.17,0.15,0.14,0.0,0.06,0.04,0.0,0.0,0.08,0.01,99.98
07/15/2021,5.94,5.47,3.98,2.48,1.96,1.65,1.54,1.51,1.47,1.35,1.31,1.31,1.22,1.16,1.12,1.1,1.06,1.07,1.05,1.06,1.03,1.03,1.03,0.99,0.99,1.0,0.96,0.98,0.97,0.99,1.0,0.93,0.94,0.93,0.91,0.95,0.95,0.89,0.85,0.86,0.83,0.88,0.84,0.8,0.82,0.83,0.86,0.79,0.81,0.82,0.78,0.78,0.79,0.75,0.76,0.74,0.72,0.74,0.72,0.72,0.71,0.69,0.7,0.72,0.68,0.67,0.67,0.63,0.6,0.61,0.62,0.61,0.58,0.6,0.56,0.52,0.55,0.56,0.54,0.54,0.55,0.53,0.5,0.48,0.47,0.45,0.41,0.44,0.42,0.42,0.42,0.4,0.37,0.37,0.37,0.37,0.35,0.34,0.35,0.3,0.29,0.29,0.28,0.26,0.26,0.25,0.25,0.26,0.24,0.24,0.22,0.22,0.21,0.22,0.21,0.22,0.21,0.19,0.19,0.18,0.18,0.17,0.16,0.14,0.0,0.06,0.03,0.0,0.0,0.08,0.02,99.97
07/16/2021,5.99,5.55,4.0,2.48,1.94,1.63,1.58,1.51,1.48,1.38,1.31,1.32,1.23,1.16,1.12,1.11,1.06,1.07,1.05,1.06,1.02,1.03,1.02,0.99,0.99,1.0,0.96,0.98,0.98,0.99,0.99,0.93,0.94,0.93,0.91,0.95,0.95,0.89,0.85,0.86,0.83,0.86,0.84,0.78,0.82,0.83,0.84,0.8,0.8,0.82,0.77,0.79,0.8,0.75,0.77,0.72,0.7,0.75,0.71,0.72,0.71,0.69,0.7,0.72,0.67,0.67,0.67,0.64,0.6,0.62,0.62,0.6,0.58,0.6,0.56,0.52,0.54,0.55,0.54,0.54,0.55,0.52,0.49,0.49,0.47,0.46,0.41,0.44,0.42,0.42,0.42,0.4,0.38,0.36,0.37,0.37,0.35,0.35,0.34,0.3,0.29,0.29,0.28,0.25,0.26,0.25,0.24,0.25,0.24,0.23,0.22,0.22,0.2,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.17,0.17,0.15,0.14,0.0,0.06,0.03,0.0,0.0,0.08,0.02,99.97
07/19/2021,6.1,5.54,3.98,2.42,1.81,1.66,1.61,1.5,1.49,1.4,1.31,1.32,1.23,1.16,1.13,1.11,1.06,1.09,1.03,1.07,1.03,1.04,1.05,0.98,0.97,1.0,0.95,0.97,0.98,0.98,0.97,0.94,0.94,0.94,0.91,0.95,0.95,0.89,0.85,0.86,0.83,0.87,0.84,0.77,0.82,0.84,0.84,0.8,0.81,0.85,0.78,0.81,0.8,0.73,0.75,0.72,0.68,0.74,0.72,0.73,0.72,0.65,0.7,0.72,0.68,0.67,0.67,0.61,0.6,0.62,0.62,0.61,0.58,0.61,0.57,0.5,0.54,0.56,0.53,0.55,0.55,0.53,0.5,0.48,0.46,0.47,0.38,0.44,0.42,0.41,0.42,0.39,0.36,0.36,0.38,0.38,0.35,0.35,0.35,0.31,0.29,0.29,0.28,0.26,0.27,0.24,0.24,0.26,0.24,0.23,0.21,0.22,0.2,0.22,0.21,0.22,0.21,0.2,0.19,0.18,0.18,0.17,0.16,0.14,0.0,0.09,0.03,0.0,0.0,0.08,0.0,100.01
07/20/2021,6.05,5.57,4.0,2.41,1.74,1.66,1.62,1.51,1.49,1.4,1.3,1.33,1.22,1.17,1.14,1.11,1.05,1.1,1.02,1.08,1.04,1.05,1.06,0.97,0.97,1.01,0.95,0.98,0.98,0.96,0.96,0.94,0.95,0.96,0.92,0.96,0.96,0.88,0.86,0.86,0.84,0.84,0.85,0.74,0.81,0.84,0.82,0.81,0.79,0.84,0.77,0.81,0.8,0.72,0.76,0.69,0.69,0.75,0.72,0.73,0.72,0.66,0.71,0.72,0.68,0.68,0.67,0.62,0.59,0.62,0.63,0.6,0.58,0.61,0.57,0.49,0.54,0.56,0.54,0.57,0.55,0.53,0.5,0.49,0.47,0.47,0.37,0.45,0.41,0.42,0.43,0.38,0.37,0.35,0.38,0.38,0.36,0.35,0.35,0.31,0.29,0.29,0.29,0.26,0.27,0.24,0.24,0.26,0.24,0.23,0.21,0.22,0.2,0.22,0.21,0.22,0.21,0.19,0.19,0.18,0.18,0.17,0.16,0.14,0.0,0.03,0.03,0.0,0.0,0.07,0.0,99.93000000000002
07/21/2021,6.05,5.57,4.0,2.41,1.74,1.66,1.62,1.51,1.49,1.4,1.3,1.33,1.22,1.17,1.14,1.11,1.05,1.1,1.02,1.08,1.04,1.05,1.06,0.97,0.97,1.01,0.95,0.98,0.98,0.96,0.96,0.94,0.95,0.96,0.92,0.96,0.96,0.88,0.86,0.86,0.84,0.84,0.85,0.74,0.81,0.84,0.82,0.81,0.79,0.84,0.77,0.81,0.8,0.72,0.76,0.69,0.69,0.75,0.72,0.73,0.72,0.66,0.71,0.72,0.68,0.68,0.67,0.62,0.59,0.62,0.63,0.6,0.58,0.61,0.57,0.49,0.54,0.56,0.54,0.57,0.55,0.53,0.5,0.49,0.47,0.47,0.37,0.45,0.41,0.42,0.43,0.38,0.37,0.35,0.38,0.38,0.36,0.35,0.35,0.31,0.29,0.29,0.29,0.26,0.27,0.24,0.24,0.26,0.24,0.23,0.21,0.22,0.2,0.22,0.21,0.22,0.21,0.19,0.19,0.18,0.18,0.17,0.16,0.14,0.0,0.03,0.03,0.0,0.0,0.07,0.0,99.93000000000002
07/22/2021,6.05,5.57,4.0,2.41,1.74,1.66,1.62,1.51,1.49,1.4,1.3,1.33,1.22,1.17,1.14,1.11,1.05,1.1,1.02,1.08,1.04,1.05,1.06,0.97,0.97,1.01,0.95,0.98,0.98,0.96,0.96,0.94,0.95,0.96,0.92,0.96,0.96,0.88,0.86,0.86,0.84,0.84,0.85,0.74,0.81,0.84,0.82,0.81,0.79,0.84,0.77,0.81,0.8,0.72,0.76,0.69,0.69,0.75,0.72,0.73,0.72,0.66,0.71,0.72,0.68,0.68,0.67,0.62,0.59,0.62,0.63,0.6,0.58,0.61,0.57,0.49,0.54,0.56,0.54,0.57,0.55,0.53,0.5,0.49,0.47,0.47,0.37,0.45,0.41,0.42,0.43,0.38,0.37,0.35,0.38,0.38,0.36,0.35,0.35,0.31,0.29,0.29,0.29,0.26,0.27,0.24,0.24,0.26,0.24,0.23,0.21,0.22,0.2,0.22,0.21,0.22,0.21,0.19,0.19,0.18,0.18,0.17,0.16,0.14,0.0,0.03,0.03,0.0,0.0,0.07,0.0,99.93000000000002
