,9988.HK,3690.HK,700.HK,939.HK,2318.HK,2269.HK,9618.HK,1398.HK,1810.HK,9999.HK,M4B.,3988.HK,2020.HK,BY6.,2313.HK,CHL.,291.HK,SNPMF,1109.HK,1288.HK,2333.HK,857.HK,960.HK,6969.HK,241.HK,HKD,2601.HK,2007.HK,2899.HK,6690.HK,2359.HK,1919.HK,1088.HK,788.HK,1658.HK,AQE.,2202.HK,1024.HK,267.HK,6030.HK,6862.HK,3328.HK,D7C.,3692.HK,3908.HK,1988.HK,1339.HK,6618.HK,6099.HK,6818.HK,6066.HK,UBFUT,XTSLA,CNY,MARGIN_EUR,EUR,ZUYU1,MARGIN_HKD,MARGIN_USD,9988,2318,9999,2333,6690,2601,2899,914,1658,1919,6030,3908,1339,6099,6818,6066,ZUYZ1,USD,SUM
07/09/2021,9.43,8.72,8.67,6.07,4.72,4.68,4.49,4.21,4.07,3.53,3.36,3.03,2.87,2.54,2.03,1.64,1.49,1.42,1.25,1.19,1.15,1.13,1.12,1.04,1.04,0.92,0.91,0.91,0.88,0.84,0.77,0.74,0.74,0.71,0.7,0.68,0.67,0.66,0.6,0.6,0.56,0.5,0.49,0.44,0.42,0.34,0.31,0.29,0.18,0.13,0.11,0.08,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.13
07/16/2021,9.26,8.89,8.63,5.5,4.55,4.87,4.46,4.09,4.25,3.5,3.28,3.04,3.0,2.66,1.95,1.49,1.5,1.37,1.25,1.18,1.27,1.04,1.12,1.16,1.06,1.29,0.86,0.89,0.9,0.95,0.82,0.69,0.73,0.71,0.69,0.66,0.63,0.61,0.59,0.58,0.62,0.48,0.49,0.43,0.44,0.34,0.3,0.29,0.19,0.13,0.11,0.13,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/19/2021,9.45,8.7,8.72,5.49,4.59,5.08,4.53,4.08,4.22,3.56,3.38,3.01,3.05,2.41,1.89,1.49,1.52,1.37,1.25,1.18,1.2,1.02,1.11,1.14,1.06,1.32,0.86,0.9,0.89,0.93,0.85,0.63,0.73,0.71,0.67,0.67,0.62,0.59,0.58,0.58,0.59,0.48,0.49,0.44,0.44,0.34,0.3,0.29,0.19,0.13,0.11,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/20/2021,9.45,8.7,8.72,5.49,4.59,5.08,4.53,4.08,4.22,3.56,3.38,3.01,3.05,2.41,1.89,1.49,1.52,1.37,1.25,1.18,1.2,1.02,1.11,1.14,1.06,1.32,0.86,0.9,0.89,0.93,0.85,0.63,0.73,0.71,0.67,0.67,0.62,0.59,0.58,0.58,0.59,0.48,0.49,0.44,0.44,0.34,0.3,0.29,0.19,0.13,0.11,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/22/2021,9.25,8.42,8.64,5.54,4.64,5.24,4.49,4.12,4.47,3.59,3.39,3.03,3.03,2.39,1.82,1.49,1.54,1.36,1.24,1.18,1.25,1.02,1.12,1.11,1.06,1.34,0.86,0.89,0.89,0.92,0.88,0.66,0.75,0.72,0.69,0.66,0.62,0.55,0.59,0.59,0.58,0.49,0.49,0.45,0.45,0.34,0.31,0.29,0.19,0.13,0.11,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
07/23/2021,9.35,8.47,8.61,5.52,4.63,5.23,4.51,4.13,4.44,3.63,3.38,3.03,3.04,2.39,1.85,1.48,1.59,1.33,1.24,1.19,1.24,0.99,1.13,1.11,0.99,1.35,0.85,0.89,0.85,0.94,0.88,0.64,0.74,0.72,0.69,0.67,0.62,0.55,0.58,0.59,0.6,0.48,0.49,0.45,0.45,0.34,0.31,0.29,0.19,0.13,0.11,0.14,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
07/27/2021,0.0,8.53,8.54,5.49,0.0,5.02,4.58,4.1,4.32,0.0,3.38,3.01,2.92,2.57,1.86,1.48,1.5,1.36,1.26,1.17,0.0,1.01,1.18,1.11,1.0,1.34,0.0,0.91,0.0,0.0,0.86,0.0,0.74,0.72,0.0,0.0,0.62,0.56,0.57,0.0,0.59,0.48,0.49,0.41,0.0,0.33,0.0,0.29,0.0,0.0,0.0,0.13,0.04,0.0,0.0,0.0,0.0,0.0,0.0,9.46,4.63,3.61,1.42,0.94,0.88,0.87,0.68,0.68,0.64,0.6,0.44,0.3,0.19,0.12,0.11,0.0,0.0,100.04
07/29/2021,9.43,7.73,8.28,5.85,4.66,4.84,4.46,4.39,4.43,3.32,3.44,3.22,2.93,2.69,1.96,1.53,1.53,1.42,1.31,1.25,1.58,1.05,1.2,1.0,0.92,1.31,0.91,0.93,0.94,0.97,0.83,0.63,0.78,0.76,0.73,0.71,0.62,0.48,0.62,0.61,0.5,0.51,0.52,0.42,0.43,0.34,0.32,0.26,0.2,0.13,0.11,0.12,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.12
08/10/2021,9.58,7.07,7.73,5.92,4.72,5.15,4.65,4.31,4.55,3.03,3.45,3.23,3.04,3.43,2.14,1.52,1.46,1.44,1.13,1.24,1.77,1.05,1.02,1.1,0.86,0.77,0.92,0.92,1.04,1.01,0.84,0.69,0.8,0.8,0.77,0.77,0.63,0.36,0.64,0.64,0.4,0.51,0.51,0.42,0.44,0.32,0.31,0.23,0.21,0.13,0.11,0.1,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/11/2021,9.58,7.07,7.73,5.92,4.72,5.15,4.65,4.31,4.55,3.03,3.45,3.23,3.04,3.43,2.14,1.52,1.46,1.44,1.13,1.24,1.77,1.05,1.02,1.1,0.86,0.77,0.92,0.92,1.04,1.01,0.84,0.69,0.8,0.8,0.77,0.77,0.63,0.36,0.64,0.64,0.4,0.51,0.51,0.42,0.44,0.32,0.31,0.23,0.21,0.13,0.11,0.1,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
