,EYLD,SYLD,PDBC,BLDG,BND,GVAL,VAMO,FYLD,BNDX,QMOM,EMLC,VGIT,HYEM,VGLT,SCHP,VCIT,WIP,IMOM,IHY,VCSH,VMOT,SHV,Us Dollars,BAR,Cambria Global Tail Risk ETF,n/a,FAIL,SECLEND,SUM
07/09/2021,10.23,9.97,8.45,7.28,6.5,5.23,4.58,4.53,4.21,4.09,4.01,3.54,3.51,3.24,2.93,2.87,2.7,2.32,1.88,1.83,1.8,1.74,1.24,0.9,0.42,0.0,0.0,0.0,100.0
07/12/2021,10.19,9.69,8.29,7.33,6.63,5.19,4.43,4.46,4.28,3.96,4.01,3.61,3.54,3.35,2.97,2.93,2.73,2.32,1.91,1.86,1.78,1.76,1.45,0.92,0.42,0.0,0.0,0.0,100.01
07/13/2021,10.19,9.69,8.29,7.33,6.63,5.19,4.43,4.46,4.28,3.96,4.01,3.61,3.54,3.35,2.97,2.93,2.73,2.32,1.91,1.86,1.78,1.76,1.45,0.92,0.42,0.0,0.0,0.0,100.01
07/14/2021,10.42,9.83,8.28,7.38,6.52,5.2,4.49,4.49,4.22,4.01,3.99,3.55,3.51,3.27,2.93,2.88,2.7,2.33,1.88,1.83,1.79,1.74,1.43,0.91,0.43,0.0,0.0,0.0,100.01
07/15/2021,10.32,9.87,8.29,7.42,6.52,5.18,4.53,4.49,4.22,4.02,3.98,3.55,3.49,3.26,2.94,2.88,2.7,2.35,1.88,1.83,1.8,1.73,1.43,0.91,0.42,0.0,0.0,0.0,100.01
07/16/2021,10.16,9.77,8.44,7.36,6.55,5.17,4.48,4.5,4.25,3.97,3.98,3.57,3.52,3.27,2.96,2.9,2.71,2.36,1.89,1.84,1.8,1.75,1.44,0.92,0.42,0.0,0.0,0.0,99.98
07/19/2021,10.31,9.66,8.33,7.4,6.61,5.18,4.34,4.49,4.28,3.84,4.02,3.6,3.54,3.34,2.99,2.92,2.73,2.33,1.9,1.85,1.77,1.75,1.46,0.93,0.42,0.0,0.0,0.0,99.99
07/20/2021,10.38,9.47,8.35,7.41,6.64,5.16,4.28,4.47,4.31,3.82,4.05,3.61,3.56,3.36,3.01,2.93,2.76,2.32,1.91,1.86,1.77,1.76,1.46,0.92,0.43,0.0,0.0,0.0,100.0
07/21/2021,10.38,9.47,8.35,7.41,6.64,5.16,4.28,4.47,4.31,3.82,4.05,3.61,3.56,3.36,3.01,2.93,2.76,2.32,1.91,1.86,1.77,1.76,1.46,0.92,0.43,0.0,0.0,0.0,100.0
07/22/2021,10.38,9.47,8.35,7.41,6.64,5.16,4.28,4.47,4.31,3.82,4.05,3.61,3.56,3.36,3.01,2.93,2.76,2.32,1.91,1.86,1.77,1.76,1.46,0.92,0.43,0.0,0.0,0.0,100.0
07/23/2021,10.28,9.35,8.14,7.34,6.76,5.13,4.27,4.39,4.38,3.79,4.07,3.68,3.59,3.47,3.05,2.99,2.79,2.31,1.93,1.89,1.76,1.79,1.48,0.94,0.45,0.0,0.0,0.0,100.02
07/26/2021,10.23,9.49,8.38,7.38,6.64,5.16,4.26,4.46,4.31,3.92,4.02,3.62,3.54,3.38,3.0,2.94,2.76,2.4,1.9,1.86,1.8,1.76,1.46,0.92,0.43,0.0,0.0,0.0,100.02
07/27/2021,10.3,9.52,8.38,7.41,6.61,5.14,4.33,4.45,4.3,3.91,4.0,3.6,3.53,3.34,3.0,2.93,2.75,2.4,1.9,1.85,1.8,1.75,1.45,0.92,0.44,0.0,0.0,0.0,100.01
07/28/2021,10.3,9.52,8.38,7.41,6.61,5.14,4.33,4.45,4.3,3.91,4.0,3.6,3.53,3.34,3.0,2.93,2.75,2.4,1.9,1.85,1.8,1.75,1.45,0.92,0.44,0.0,0.0,0.0,100.01
07/29/2021,10.27,9.58,8.42,7.4,6.58,5.16,4.36,4.47,4.28,3.93,3.99,3.58,3.51,3.32,3.0,2.91,2.75,2.42,1.89,1.84,1.8,1.75,1.45,0.91,0.43,0.0,0.0,0.0,100.0
07/30/2021,10.18,9.55,8.41,7.45,6.62,5.17,4.31,4.46,4.3,3.89,4.0,3.6,3.5,3.37,3.01,2.93,2.76,2.4,1.89,1.85,1.8,1.75,1.45,0.91,0.44,0.0,0.0,0.0,100.0
08/02/2021,10.29,9.63,8.48,7.43,6.54,5.22,4.37,4.47,4.25,3.91,4.0,3.56,3.46,3.31,2.98,2.89,2.76,2.42,1.87,1.83,1.81,1.73,1.44,0.92,0.43,0.0,0.0,0.0,100.0
08/03/2021,10.29,9.63,8.48,7.43,6.54,5.22,4.37,4.47,4.25,3.91,4.0,3.56,3.46,3.31,2.98,2.89,2.76,2.42,1.87,1.83,1.81,1.73,1.44,0.92,0.43,0.0,0.0,0.0,100.0
08/04/2021,10.29,9.63,8.48,7.43,6.54,5.22,4.37,4.47,4.25,3.91,4.0,3.56,3.46,3.31,2.98,2.89,2.76,2.42,1.87,1.83,1.81,1.73,1.44,0.92,0.43,0.0,0.0,0.0,100.0
08/05/2021,10.29,9.63,8.48,7.43,6.54,5.22,4.37,4.47,4.25,3.91,4.0,3.56,3.46,3.31,2.98,2.89,2.76,2.42,1.87,1.83,1.81,1.73,1.44,0.92,0.43,0.0,0.0,0.0,100.0
08/06/2021,10.37,9.65,8.31,7.35,6.57,5.24,4.37,4.49,4.27,3.93,3.98,3.58,3.46,3.36,2.98,2.9,2.75,2.43,1.87,1.83,1.81,1.73,1.44,0.91,0.43,0.0,0.0,0.0,100.01000000000002
09/07/2021,10.2,9.6,8.3,7.5,6.47,5.38,4.42,4.56,4.2,4.09,3.95,3.52,3.45,3.28,2.93,2.86,2.72,2.47,1.85,1.81,1.84,1.72,0.0,0.91,0.0,1.53,0.43,0.0,99.99
09/08/2021,10.2,9.6,8.3,7.5,6.47,5.38,4.42,4.56,4.2,4.09,3.95,3.52,3.45,3.28,2.93,2.86,2.72,2.47,1.85,1.81,1.84,1.72,0.0,0.91,0.0,1.53,0.43,0.0,99.99
09/09/2021,10.2,9.6,8.3,7.5,6.47,5.38,4.42,4.56,4.2,4.09,3.95,3.52,3.45,3.28,2.93,2.86,2.72,2.47,1.85,1.81,1.84,1.72,0.0,0.91,0.0,1.53,0.43,0.0,99.99
09/10/2021,10.19,9.56,8.24,7.45,6.48,5.42,4.4,4.56,4.21,4.11,3.95,3.53,3.46,3.26,2.93,2.86,2.72,2.51,1.86,1.82,1.84,1.73,0.0,0.9,0.0,1.56,0.43,0.0,99.98000000000002
09/13/2021,10.13,9.48,8.25,7.4,6.52,5.36,4.37,4.56,4.23,4.12,3.95,3.55,3.47,3.32,2.96,2.88,2.74,2.49,1.86,1.83,1.83,1.73,0.0,0.9,0.0,1.63,0.43,0.0,99.99
09/14/2021,10.13,9.42,8.37,7.34,6.52,5.39,4.34,4.54,4.23,4.11,3.95,3.55,3.48,3.31,2.96,2.88,2.74,2.51,1.87,1.83,1.84,1.73,0.0,0.9,0.0,1.64,0.43,0.0,100.01
09/15/2021,10.13,9.42,8.37,7.34,6.52,5.39,4.34,4.54,4.23,4.11,3.95,3.55,3.48,3.31,2.96,2.88,2.74,2.51,1.87,1.83,1.84,1.73,0.0,0.9,0.0,1.64,0.43,0.0,100.01
09/16/2021,10.13,9.42,8.37,7.34,6.52,5.39,4.34,4.54,4.23,4.11,3.95,3.55,3.48,3.31,2.96,2.88,2.74,2.51,1.87,1.83,1.84,1.73,0.0,0.9,0.0,1.64,0.43,0.0,100.01
09/17/2021,10.22,9.29,8.42,7.35,6.54,5.41,4.29,4.55,4.23,4.07,3.95,3.55,3.47,3.36,2.96,2.89,2.74,2.5,1.87,1.83,1.83,1.73,0.0,0.91,0.0,1.64,0.42,0.0,100.02
09/20/2021,10.13,9.39,8.51,7.34,6.5,5.42,4.38,4.55,4.2,4.11,3.93,3.53,3.45,3.33,2.94,2.87,2.73,2.51,1.86,1.82,1.84,1.72,0.0,0.9,0.0,1.63,0.42,0.0,100.01
09/21/2021,10.04,9.43,8.47,7.36,6.53,5.35,4.38,4.51,4.22,4.18,3.92,3.55,3.46,3.33,2.96,2.88,2.71,2.5,1.86,1.83,1.84,1.74,0.0,0.88,0.0,1.64,0.42,0.0,99.99
09/22/2021,10.04,9.43,8.47,7.36,6.53,5.35,4.38,4.51,4.22,4.18,3.92,3.55,3.46,3.33,2.96,2.88,2.71,2.5,1.86,1.83,1.84,1.74,0.0,0.88,0.0,1.64,0.42,0.0,99.99
09/23/2021,10.04,9.43,8.47,7.36,6.53,5.35,4.38,4.51,4.22,4.18,3.92,3.55,3.46,3.33,2.96,2.88,2.71,2.5,1.86,1.83,1.84,1.74,0.0,0.88,0.0,1.64,0.42,0.0,99.99
09/24/2021,10.04,9.43,8.47,7.36,6.53,5.35,4.38,4.51,4.22,4.18,3.92,3.55,3.46,3.33,2.96,2.88,2.71,2.5,1.86,1.83,1.84,1.74,0.0,0.88,0.0,1.64,0.42,0.0,99.99
09/27/2021,9.98,9.35,8.49,7.4,6.57,5.34,4.42,4.48,4.25,4.12,3.92,3.56,3.45,3.39,2.96,2.9,2.7,2.48,1.86,1.84,1.82,1.74,0.0,0.89,0.0,1.65,0.44,0.0,100.0
09/28/2021,9.7,9.58,8.69,7.33,6.54,5.29,4.48,4.45,4.23,4.21,3.91,3.55,3.46,3.3,2.95,2.89,2.68,2.49,1.86,1.84,1.84,1.75,0.0,0.88,0.0,1.66,0.43,0.0,99.99
09/29/2021,9.7,9.58,8.69,7.33,6.54,5.29,4.48,4.45,4.23,4.21,3.91,3.55,3.46,3.3,2.95,2.89,2.68,2.49,1.86,1.84,1.84,1.75,0.0,0.88,0.0,1.66,0.43,0.0,99.99
09/30/2021,9.64,9.76,8.77,7.29,6.51,5.32,4.6,4.46,4.21,4.19,3.89,3.53,3.43,3.27,2.94,2.88,2.68,2.43,1.85,1.83,1.83,1.74,0.0,0.88,0.0,1.65,0.43,0.0,100.01
10/01/2021,9.66,9.74,8.79,7.32,6.55,5.28,4.58,4.43,4.25,4.11,3.9,3.56,3.46,3.26,2.97,2.89,2.67,2.34,1.86,1.85,1.79,1.76,0.0,0.88,0.0,1.67,0.43,0.0,100.0
10/04/2021,10.36,9.59,8.45,7.4,6.57,5.22,4.34,4.43,4.26,3.91,3.99,3.58,3.47,3.34,3.0,2.91,2.74,2.41,1.88,1.84,1.8,1.74,0.0,0.91,0.0,0.0,0.42,0.0,98.56
10/05/2021,9.59,9.63,8.97,7.28,6.56,5.37,4.64,4.41,4.25,4.04,3.9,3.57,3.44,3.28,2.97,2.9,2.66,2.3,1.85,1.85,1.76,1.76,0.0,0.9,0.0,1.68,0.45,0.0,100.01
10/06/2021,9.59,9.63,8.97,7.28,6.56,5.37,4.64,4.41,4.25,4.04,3.9,3.57,3.44,3.28,2.97,2.9,2.66,2.3,1.85,1.85,1.76,1.76,0.0,0.9,0.0,1.68,0.45,0.0,100.01
10/07/2021,9.51,9.62,9.08,7.28,6.54,5.34,4.64,4.37,4.23,3.97,3.87,3.56,3.41,3.27,2.96,2.89,2.66,2.23,1.84,1.84,1.73,1.75,0.0,0.9,0.0,2.05,0.45,0.0,99.99
10/08/2021,9.57,9.65,9.17,7.21,6.49,5.37,4.69,4.4,4.2,4.01,3.84,3.54,3.39,3.22,2.95,2.87,2.65,2.25,1.83,1.83,1.74,1.74,0.0,0.89,0.0,2.04,0.44,0.0,99.98
10/11/2021,9.8,9.86,9.21,7.37,6.55,5.43,4.73,4.45,4.25,4.09,3.88,3.57,3.41,3.24,2.98,2.89,2.66,2.27,1.84,1.85,1.76,1.76,0.0,0.9,0.0,0.8,0.44,0.0,99.99
10/12/2021,9.73,9.91,9.25,7.36,6.55,5.47,4.73,4.46,4.25,4.03,3.89,3.58,3.41,3.23,2.99,2.89,2.66,2.25,1.84,1.86,1.76,1.77,0.0,0.9,0.0,0.8,0.44,0.0,100.00999999999999
