,HL,KL.TO,SSRM CN,EDV.TO,MDKA.JK,AGI.TO,NG,BTO.TO,CDE,ELD.TO,EQX CN,PVG.TO,CEY.L,KNT.TO,ANTM.JK,PRU.AX,WDO.TO,OGC CN,SLR.AX,SA,DPM.TO,NGD.TO,TXG.TO,SBM.AX,RRL.AX,RMS.AX,GGP.L,VGCX.TO,GOR.AX,POG.L,DEG.AX,OSK.TO,AR.TO,HOC.L,LUG.TO,KOZAL.IS,WAF.AX,GBR.V,WGX.AX,BGL.AX,OLA.TO,MUX,SKE.TO,PAF.L,RSG.AX,SBB.TO,AMI.AX,SOLG.L,NVO.TO,CASH,n/a,KOZAL.E.IS,SSRM,EQX,OGC.NE,SEA.TO,FRGXX,SUM
07/09/2021,6.68,4.42,4.14,4.09,4.05,3.76,3.51,3.49,3.32,3.18,3.13,3.1,2.84,2.78,2.5,2.4,2.36,2.31,1.96,1.85,1.83,1.8,1.72,1.67,1.65,1.65,1.62,1.44,1.39,1.38,1.37,1.27,1.24,1.23,1.05,1.0,0.99,0.98,0.96,0.94,0.92,0.87,0.84,0.81,0.8,0.73,0.68,0.68,0.52,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,6.45,4.39,4.17,4.11,4.03,3.75,3.47,3.38,3.21,3.12,3.11,3.07,2.87,2.62,2.62,2.43,2.38,2.34,2.0,1.85,1.83,1.76,1.7,1.73,1.69,1.69,1.7,1.46,1.43,1.38,1.44,1.29,1.24,1.25,1.04,1.0,1.04,0.98,0.98,0.97,0.9,0.82,0.87,0.85,0.86,0.71,0.69,0.7,0.52,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/13/2021,6.45,4.39,4.17,4.11,4.03,3.75,3.47,3.38,3.21,3.12,3.11,3.07,2.87,2.62,2.62,2.43,2.38,2.34,2.0,1.85,1.83,1.76,1.7,1.73,1.69,1.69,1.7,1.46,1.43,1.38,1.44,1.29,1.24,1.25,1.04,1.0,1.04,0.98,0.98,0.97,0.9,0.82,0.87,0.85,0.86,0.71,0.69,0.7,0.52,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/14/2021,6.56,4.42,4.21,4.14,3.88,3.74,3.52,3.39,3.26,3.14,3.15,3.04,2.77,2.72,2.62,2.31,2.38,2.32,1.99,1.85,1.87,1.8,1.66,1.71,1.67,1.67,1.69,1.49,1.41,1.36,1.39,1.34,1.25,1.25,1.04,1.0,1.05,0.99,0.96,0.95,0.93,0.84,0.87,0.8,0.87,0.72,0.7,0.7,0.52,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,6.46,4.52,4.19,4.13,3.89,3.74,3.5,3.33,3.19,3.1,3.1,3.03,2.85,2.71,2.62,2.35,2.4,2.23,2.01,1.85,1.84,1.75,1.63,1.72,1.7,1.71,1.78,1.48,1.45,1.38,1.45,1.32,1.26,1.24,1.04,0.98,1.07,0.98,0.97,0.99,0.89,0.82,0.91,0.79,0.87,0.71,0.7,0.73,0.51,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/16/2021,6.52,4.62,4.27,4.22,3.86,3.82,3.48,3.36,3.17,3.12,3.09,3.03,2.83,2.71,2.6,2.33,2.39,2.23,1.99,1.84,1.9,1.76,1.66,1.67,1.67,1.7,1.71,1.44,1.42,1.37,1.4,1.33,1.27,1.24,1.05,0.99,1.05,0.98,0.95,0.98,0.88,0.78,0.93,0.78,0.84,0.72,0.71,0.73,0.51,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/19/2021,6.38,4.66,4.27,4.24,3.9,3.87,3.39,3.5,3.06,3.1,3.06,3.05,2.81,2.69,2.6,2.32,2.42,2.34,2.07,1.82,1.85,1.75,1.65,1.75,1.71,1.79,1.72,1.45,1.44,1.33,1.37,1.31,1.27,1.21,1.04,0.99,1.0,0.94,0.96,1.06,0.87,0.78,0.91,0.78,0.86,0.73,0.71,0.68,0.5,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/20/2021,6.38,4.66,4.27,4.24,3.9,3.87,3.39,3.5,3.06,3.1,3.06,3.05,2.81,2.69,2.6,2.32,2.42,2.34,2.07,1.82,1.85,1.75,1.65,1.75,1.71,1.79,1.72,1.45,1.44,1.33,1.37,1.31,1.27,1.21,1.04,0.99,1.0,0.94,0.96,1.06,0.87,0.78,0.91,0.78,0.86,0.73,0.71,0.68,0.5,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/21/2021,6.24,4.66,4.28,4.24,3.99,3.85,3.4,3.36,3.01,3.03,2.99,3.05,2.83,2.71,2.7,2.39,2.39,2.29,2.1,1.85,1.84,1.7,1.63,1.78,1.76,1.79,1.72,1.39,1.48,1.34,1.44,1.31,1.3,1.24,1.03,1.0,1.04,0.93,0.98,0.99,0.84,0.77,0.94,0.78,0.87,0.72,0.73,0.7,0.49,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/22/2021,6.2,4.71,4.24,4.32,4.01,3.89,3.38,3.42,2.94,3.05,2.96,3.08,2.94,2.61,2.81,2.41,2.42,2.29,2.08,1.88,1.84,1.68,1.63,1.76,1.75,1.78,1.78,1.38,1.46,1.33,1.39,1.29,1.32,1.24,1.02,1.03,1.03,0.89,0.96,0.93,0.82,0.76,0.94,0.76,0.88,0.74,0.72,0.68,0.48,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
