,NESN.SW,ROG.SW,ASML.AS,MC.PA,NOVN.SW,NOVO B.CO,OR.PA,AZN.L,SAP.DE,ULVR.L,DPW.DE,SAN.PA,KNIN.SW,FERG.L,ADS.DE,GSK.L,HFG.DE,DGE.L,AD.AS,PGHN.SW,TTE.PA,ADM.L,SIE.DE,RMS.PA,SBRY.L,SU.PA,RIO.L,MT.AS,FDJ.PA,DAI.DE,ZAL.DE,ATO.PA,BATS.L,BNP.PA,VOE.VI,IBE.MC,ALV.DE,AUTO.L,ENEL.MI,SGO.PA,JD.L,IPN.PA,SGSN.SW,MNG.L,BRBY.L,PHIA.AS,BOL.PA,AI.PA,SWMA.ST,PUM.DE,HEI.DE,MAERSK B.CO,MONC.MI,HL.L,LOGN.SW,ACS.MC,RAND.AS,AV.L,MAERSKA.CO,FRE.DE,KER.PA,KINV B.ST,INVE B.ST,CAP.PA,ORNBV.HE,BN.PA,JMT.LS,KGF.L,CA.PA,WKL.AS,DIM.PA,UBSG.SW,RDSA.AS,MRK.DE,PUB.PA,RITN.,REL.L,HSBA.L,VOW3.DE,NEM.DE,FGR.PA,DTE.DE,JMAT.L,VOW.,COLO B.CO,EL.PA,ABBN.SW,RKT.L,RWE.DE,BMW.DE,DG.PA,LONN.SW,PNDORA.CO,SGE.L,STMN.SW,BAYN.DE,ADYEN.AS,DIA.MI,RBI.VI,BHP.L,GLEN.L,GIVN.SW,ERIC B.ST,DSV.CO,VOD.L,NHY.OL,BBVA.MC,FME.DE,RI.PA,UN01.DE,SIKA.SW,BNR.DE,BAS.DE,RO.SW,EQT.ST,BEI.DE,RYDBF,RACE.MI,SEV.PA,ITX.MC,RAA.DE,NN.AS,NXT.L,LR.PA,DSM.AS,EN.PA,STJ.L,EXPN.L,IMB.L,NG.L,BP.L,TEP.PA,ATCO A.ST,AHT.L,ISP.MI,ENGI.PA,INGA.AS,GJF.OL,DSY.PA,BIM.PA,SKA B.ST,GEBN.SW,SGRO.L,CRH.L,AAL.L,TIAJF,STM.PA,CLNX.MC,KBX.DE,CARL B.CO,UCB.BR,CNP.PA,BMW3.,REP.MC,ABI.BR,EVO.ST,DB1.DE,ZURN,TIT.MI,IFX.DE,PRX.AS,KNEBV.HE,HEXA B.ST,HOLN.SW,SRT3.,EVR.L,CRDA.L,CNHI.MI,STLA.MI,LISP.SW,VNA.DE,SN.L,VWS.CO,GMAB.CO,DWNI.DE,HM B.ST,AFX.DE,HIK.L,BARC.L,SK.PA,REC.MI,WPP.L,AKZA.AS,SCHB.OL,KESKOB.HE,CABK.MC,SPX.L,SAND.ST,NOKIA.HE,SY1.DE,PST.MI,G.MI,ORSTED.CO,DANSKE.CO,SECU B.ST,CSGN.SW,ENR.DE,ACA.PA,LSEG.L,CCEP,FPE3.DE,VIE.PA,VOLV B.ST,DSYA.,MRO.L,ERF.PA,VIV.PA,EOAN.DE,ELUX B.ST,EMSN.SW,AGS.BR,USD,1164.HK,ZURN.SW,UG,ADEN.SW,FPE3.,NIBE B.ST,CFR.SW,QGEN,LLOY.L,GLE.PA,COLR.BR,AIR.PA,DBK.DE,SAN.MC,INPST.AS,SHL.DE,GBP,TEF.MC,AGN.AS,FJLU1,n/a,ML.PA,ASM.AS,BVI.PA,SUM
07/09/2021,2.86,2.35,1.96,1.67,1.5,1.32,1.14,1.14,1.04,1.04,0.94,0.93,0.87,0.81,0.8,0.79,0.77,0.73,0.73,0.73,0.73,0.71,0.7,0.7,0.64,0.62,0.62,0.59,0.58,0.58,0.58,0.57,0.56,0.55,0.55,0.55,0.54,0.53,0.52,0.51,0.5,0.49,0.49,0.48,0.48,0.47,0.47,0.46,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.75
07/12/2021,2.93,2.4,1.94,1.65,1.52,1.36,1.14,1.13,1.08,1.05,0.93,0.92,0.87,0.82,0.81,0.79,0.76,0.73,0.74,0.73,0.73,0.71,0.7,0.69,0.66,0.62,0.62,0.59,0.57,0.57,0.57,0.57,0.56,0.53,0.56,0.53,0.53,0.52,0.52,0.52,0.48,0.5,0.51,0.47,0.46,0.46,0.46,0.46,0.45,0.46,0.46,0.45,0.43,0.44,0.45,0.41,0.43,0.41,0.42,0.42,0.41,0.41,0.42,0.4,0.4,0.4,0.41,0.39,0.37,0.4,0.41,0.37,0.37,0.38,0.36,0.36,0.35,0.35,0.35,0.36,0.35,0.34,0.35,0.33,0.36,0.34,0.34,0.33,0.33,0.32,0.32,0.33,0.32,0.33,0.33,0.32,0.31,0.31,0.3,0.31,0.3,0.31,0.3,0.3,0.29,0.28,0.28,0.3,0.28,0.3,0.3,0.3,0.28,0.29,0.29,0.28,0.28,0.27,0.28,0.26,0.28,0.27,0.26,0.28,0.26,0.26,0.25,0.27,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.0,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.22,0.23,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.19,0.19,0.21,0.2,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.17,0.16,0.17,0.18,0.18,0.17,0.0,0.17,0.0,0.17,0.17,0.17,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.9
07/13/2021,2.93,2.4,1.94,1.65,1.52,1.36,1.14,1.13,1.08,1.05,0.93,0.92,0.87,0.82,0.81,0.79,0.76,0.73,0.74,0.73,0.73,0.71,0.7,0.69,0.66,0.62,0.62,0.59,0.57,0.57,0.57,0.57,0.56,0.53,0.56,0.53,0.53,0.52,0.52,0.52,0.48,0.5,0.51,0.47,0.46,0.46,0.46,0.46,0.45,0.46,0.46,0.45,0.43,0.44,0.45,0.41,0.43,0.41,0.42,0.42,0.41,0.41,0.42,0.4,0.4,0.4,0.41,0.39,0.37,0.4,0.41,0.37,0.37,0.38,0.36,0.36,0.35,0.35,0.35,0.36,0.35,0.34,0.35,0.33,0.36,0.34,0.34,0.33,0.33,0.32,0.32,0.33,0.32,0.33,0.33,0.32,0.31,0.31,0.3,0.31,0.3,0.31,0.3,0.3,0.29,0.28,0.28,0.3,0.28,0.3,0.3,0.3,0.28,0.29,0.29,0.28,0.28,0.27,0.28,0.26,0.28,0.27,0.26,0.28,0.26,0.26,0.25,0.27,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.0,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.22,0.23,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.19,0.19,0.21,0.2,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.17,0.16,0.17,0.18,0.18,0.17,0.0,0.17,0.0,0.17,0.17,0.17,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.9
07/14/2021,2.87,2.35,1.97,1.68,1.51,1.35,1.14,1.12,1.07,1.04,0.93,0.93,0.86,0.82,0.82,0.79,0.74,0.72,0.73,0.72,0.72,0.7,0.7,0.7,0.65,0.63,0.64,0.61,0.57,0.58,0.57,0.57,0.56,0.53,0.57,0.53,0.54,0.52,0.52,0.53,0.49,0.5,0.5,0.47,0.48,0.45,0.46,0.46,0.45,0.45,0.46,0.44,0.44,0.45,0.44,0.41,0.44,0.41,0.41,0.42,0.42,0.39,0.42,0.4,0.4,0.39,0.4,0.38,0.37,0.39,0.4,0.37,0.37,0.38,0.36,0.36,0.35,0.34,0.37,0.36,0.35,0.34,0.35,0.34,0.35,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.33,0.31,0.31,0.31,0.3,0.32,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.3,0.28,0.3,0.3,0.3,0.29,0.28,0.29,0.28,0.28,0.27,0.27,0.27,0.28,0.27,0.26,0.27,0.25,0.26,0.26,0.27,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.0,0.22,0.23,0.23,0.23,0.23,0.23,0.21,0.22,0.22,0.22,0.2,0.21,0.22,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.21,0.2,0.19,0.2,0.2,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.19,0.18,0.19,0.18,0.19,0.18,0.17,0.0,0.17,0.17,0.18,0.17,0.0,0.0,0.17,0.17,0.17,0.17,0.17,0.0,0.23,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.88
07/15/2021,2.87,2.35,1.98,1.68,1.51,1.34,1.14,1.13,1.08,1.04,0.93,0.94,0.87,0.82,0.82,0.79,0.75,0.72,0.73,0.74,0.72,0.73,0.7,0.7,0.65,0.63,0.64,0.6,0.56,0.58,0.57,0.47,0.55,0.53,0.56,0.53,0.53,0.52,0.52,0.53,0.48,0.49,0.5,0.47,0.47,0.45,0.46,0.47,0.45,0.45,0.45,0.44,0.44,0.45,0.44,0.42,0.43,0.41,0.41,0.43,0.42,0.39,0.42,0.4,0.4,0.39,0.4,0.38,0.36,0.4,0.4,0.37,0.36,0.37,0.36,0.36,0.35,0.34,0.38,0.36,0.35,0.34,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.33,0.34,0.31,0.31,0.31,0.3,0.32,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.3,0.28,0.3,0.3,0.3,0.28,0.28,0.3,0.28,0.28,0.27,0.27,0.26,0.28,0.27,0.26,0.27,0.25,0.26,0.26,0.27,0.26,0.25,0.25,0.25,0.26,0.25,0.24,0.24,0.23,0.24,0.0,0.22,0.23,0.23,0.23,0.23,0.22,0.21,0.22,0.22,0.22,0.21,0.21,0.22,0.21,0.2,0.21,0.2,0.21,0.21,0.2,0.2,0.21,0.21,0.21,0.2,0.2,0.21,0.21,0.2,0.19,0.2,0.2,0.18,0.18,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.19,0.18,0.19,0.18,0.19,0.18,0.17,0.0,0.17,0.17,0.18,0.17,0.0,0.0,0.0,0.17,0.17,0.17,0.17,0.0,0.23,0.0,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.83
07/16/2021,2.87,2.36,2.01,1.69,1.51,1.34,1.14,1.13,1.09,1.05,0.93,0.94,0.87,0.83,0.82,0.79,0.76,0.73,0.73,0.74,0.71,0.73,0.7,0.71,0.64,0.63,0.63,0.59,0.57,0.58,0.57,0.46,0.56,0.53,0.55,0.53,0.53,0.53,0.52,0.53,0.47,0.49,0.5,0.47,0.47,0.45,0.46,0.47,0.45,0.45,0.45,0.43,0.44,0.45,0.43,0.41,0.43,0.4,0.4,0.42,0.42,0.38,0.42,0.4,0.39,0.39,0.4,0.38,0.36,0.4,0.41,0.37,0.36,0.38,0.36,0.36,0.35,0.34,0.37,0.37,0.35,0.34,0.35,0.35,0.35,0.34,0.34,0.32,0.33,0.32,0.32,0.32,0.32,0.33,0.34,0.31,0.31,0.31,0.3,0.31,0.3,0.31,0.31,0.3,0.29,0.29,0.28,0.3,0.28,0.3,0.3,0.31,0.28,0.28,0.29,0.28,0.28,0.27,0.27,0.26,0.28,0.27,0.26,0.28,0.26,0.26,0.26,0.27,0.26,0.25,0.24,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.0,0.22,0.23,0.24,0.23,0.23,0.22,0.21,0.22,0.21,0.22,0.21,0.21,0.22,0.21,0.2,0.21,0.2,0.21,0.21,0.2,0.2,0.21,0.21,0.21,0.2,0.2,0.21,0.21,0.2,0.19,0.21,0.2,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.19,0.19,0.18,0.18,0.18,0.19,0.19,0.17,0.0,0.17,0.17,0.18,0.17,0.0,0.0,0.16,0.16,0.17,0.17,0.17,0.0,0.23,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.77
07/19/2021,2.87,2.37,2.03,1.69,1.5,1.36,1.15,1.09,1.08,1.04,0.93,0.93,0.88,0.81,0.81,0.78,0.74,0.73,0.73,0.73,0.71,0.74,0.69,0.72,0.66,0.62,0.65,0.61,0.57,0.58,0.55,0.45,0.56,0.53,0.57,0.53,0.53,0.53,0.52,0.53,0.46,0.49,0.5,0.47,0.48,0.45,0.47,0.47,0.45,0.45,0.45,0.42,0.45,0.43,0.42,0.4,0.43,0.4,0.4,0.43,0.42,0.39,0.43,0.4,0.39,0.39,0.41,0.39,0.36,0.41,0.42,0.38,0.35,0.38,0.36,0.36,0.35,0.34,0.37,0.38,0.34,0.34,0.35,0.35,0.35,0.34,0.34,0.32,0.32,0.32,0.31,0.32,0.32,0.33,0.35,0.31,0.32,0.31,0.3,0.32,0.31,0.31,0.31,0.31,0.28,0.3,0.28,0.3,0.28,0.3,0.3,0.31,0.28,0.29,0.29,0.28,0.27,0.27,0.27,0.25,0.29,0.28,0.25,0.28,0.26,0.26,0.26,0.28,0.26,0.25,0.24,0.25,0.26,0.25,0.24,0.24,0.23,0.24,0.0,0.22,0.23,0.24,0.23,0.23,0.23,0.21,0.22,0.21,0.22,0.21,0.21,0.22,0.21,0.19,0.21,0.2,0.2,0.21,0.2,0.2,0.22,0.21,0.21,0.2,0.21,0.21,0.21,0.2,0.19,0.21,0.2,0.18,0.17,0.19,0.19,0.18,0.19,0.19,0.19,0.18,0.18,0.18,0.19,0.19,0.19,0.18,0.19,0.19,0.19,0.17,0.16,0.17,0.17,0.18,0.17,0.0,0.0,0.0,0.0,0.17,0.17,0.17,0.16,0.23,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.86000000000001
07/21/2021,2.9,2.4,2.0,1.67,1.51,1.38,1.15,1.09,1.09,1.06,0.93,0.94,0.87,0.81,0.8,0.79,0.74,0.74,0.74,0.75,0.7,0.75,0.68,0.71,0.65,0.62,0.63,0.59,0.57,0.57,0.54,0.46,0.57,0.52,0.56,0.53,0.53,0.54,0.52,0.53,0.46,0.5,0.51,0.46,0.46,0.45,0.47,0.47,0.46,0.45,0.45,0.42,0.44,0.44,0.42,0.4,0.43,0.4,0.4,0.43,0.42,0.4,0.43,0.4,0.4,0.39,0.41,0.39,0.37,0.41,0.42,0.38,0.35,0.38,0.36,0.36,0.36,0.34,0.36,0.38,0.34,0.35,0.35,0.34,0.36,0.33,0.34,0.33,0.32,0.32,0.31,0.32,0.31,0.33,0.35,0.32,0.32,0.31,0.3,0.31,0.3,0.31,0.28,0.3,0.29,0.29,0.28,0.3,0.29,0.3,0.3,0.31,0.28,0.29,0.3,0.28,0.27,0.27,0.27,0.25,0.29,0.28,0.25,0.28,0.26,0.27,0.27,0.28,0.26,0.25,0.24,0.25,0.26,0.25,0.23,0.24,0.23,0.24,0.0,0.23,0.23,0.24,0.23,0.23,0.22,0.21,0.22,0.21,0.22,0.21,0.21,0.22,0.21,0.19,0.21,0.2,0.2,0.21,0.2,0.2,0.22,0.21,0.21,0.2,0.21,0.2,0.21,0.19,0.18,0.21,0.2,0.18,0.17,0.2,0.19,0.18,0.2,0.19,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.18,0.18,0.18,0.19,0.17,0.0,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.17,0.17,0.17,0.0,0.24,0.0,0.0,0.0,0.17,0.0,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.88000000000001
07/22/2021,2.96,2.44,2.0,1.66,1.52,1.41,1.17,1.1,1.08,1.07,0.94,0.94,0.87,0.81,0.8,0.79,0.77,0.73,0.74,0.75,0.69,0.76,0.68,0.71,0.65,0.62,0.61,0.58,0.57,0.57,0.56,0.45,0.56,0.51,0.56,0.53,0.52,0.54,0.51,0.52,0.45,0.5,0.51,0.45,0.46,0.46,0.47,0.47,0.46,0.46,0.44,0.43,0.44,0.44,0.43,0.4,0.43,0.39,0.4,0.43,0.42,0.4,0.42,0.41,0.39,0.4,0.41,0.38,0.36,0.42,0.43,0.37,0.34,0.38,0.35,0.36,0.36,0.33,0.36,0.39,0.34,0.34,0.34,0.34,0.37,0.33,0.34,0.33,0.31,0.31,0.31,0.33,0.31,0.33,0.36,0.31,0.32,0.32,0.3,0.31,0.29,0.32,0.28,0.3,0.28,0.28,0.28,0.3,0.29,0.3,0.3,0.31,0.28,0.3,0.3,0.28,0.26,0.27,0.28,0.25,0.29,0.28,0.25,0.28,0.27,0.27,0.26,0.28,0.26,0.25,0.23,0.25,0.27,0.25,0.23,0.24,0.22,0.24,0.0,0.23,0.23,0.24,0.24,0.22,0.21,0.21,0.22,0.22,0.23,0.21,0.21,0.21,0.21,0.19,0.21,0.2,0.21,0.21,0.19,0.2,0.22,0.21,0.21,0.2,0.21,0.2,0.21,0.19,0.18,0.21,0.2,0.18,0.17,0.2,0.2,0.18,0.2,0.19,0.18,0.18,0.18,0.17,0.19,0.19,0.19,0.18,0.18,0.18,0.19,0.18,0.0,0.17,0.17,0.17,0.17,0.16,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.24,0.0,0.17,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.95000000000002
07/23/2021,2.96,2.41,2.0,1.67,1.52,1.4,1.18,1.11,1.07,1.06,0.94,0.95,0.88,0.81,0.8,0.79,0.73,0.73,0.74,0.76,0.69,0.75,0.68,0.72,0.64,0.62,0.62,0.6,0.57,0.57,0.54,0.45,0.55,0.52,0.56,0.53,0.52,0.53,0.51,0.52,0.46,0.5,0.5,0.45,0.46,0.46,0.47,0.47,0.45,0.46,0.45,0.42,0.45,0.43,0.42,0.4,0.43,0.39,0.4,0.43,0.42,0.4,0.43,0.41,0.39,0.4,0.4,0.38,0.36,0.42,0.42,0.39,0.34,0.38,0.36,0.36,0.36,0.33,0.36,0.38,0.34,0.34,0.34,0.34,0.37,0.33,0.34,0.33,0.31,0.31,0.31,0.33,0.31,0.32,0.35,0.32,0.32,0.33,0.3,0.31,0.3,0.32,0.28,0.3,0.28,0.29,0.28,0.3,0.29,0.3,0.31,0.31,0.28,0.3,0.3,0.28,0.26,0.27,0.28,0.25,0.29,0.28,0.25,0.28,0.27,0.27,0.26,0.28,0.25,0.25,0.23,0.25,0.27,0.25,0.23,0.24,0.23,0.23,0.0,0.23,0.23,0.24,0.24,0.23,0.22,0.21,0.22,0.21,0.22,0.21,0.21,0.22,0.21,0.19,0.21,0.2,0.21,0.21,0.19,0.2,0.22,0.21,0.21,0.2,0.21,0.2,0.21,0.19,0.18,0.21,0.2,0.18,0.17,0.2,0.2,0.17,0.21,0.19,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.18,0.19,0.19,0.2,0.18,0.16,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.24,0.0,0.17,0.16,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.94000000000001
