,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,TSLA,NVDA,JPM,JNJ,V,UNH,BRK.B,HD,PYPL,PG,MA,DIS,BAC,ADBE,CMCSA,XOM,NFLX,INTC,VZ,CRM,PFE,ABT,KO,CSCO,T,PEP,NKE,WMT,TMO,ABBV,LLY,ACN,MRK,CVX,AVGO,WFC,COST,DHR,TXN,MCD,MDT,QCOM,UPS,PM,LIN,HON,BMY,UNP,NEE,ORCL,LOW,AMGN,C,BA,SBUX,INTU,MS,RTX,BLK,GS,AMAT,IBM,AMT,TGT,CAT,MMM,AMD,GE,ISRG,NOW,SCHW,CVS,AXP,DE,SPGI,ANTM,SQ,FIS,MU,PLD,CHTR,LMT,BKNG,ZTS,CCI,SYK,ADP,MDLZ,GILD,LRCX,MO,ZM,TMUS,PNC,CI,MRNA,COP,USB,DUK,GM,SNAP,TJX,MELI,TFC,EQIX,CME,BDX,ATVI,CSX,MMC,FDX,NSC,EL,CL,COF,ILMN,ADSK,EW,ITW,APD,UBER,SHW,CB,ICE,SO,FISV,BX,BSX,MCO,D,REGN,ETN,TWLO,ADI,WM,F,EMR,SNOW,GPN,PGR,IDXX,HUM,HCA,NOC,FCX,DG,DOCU,ECL,AON,TWTR,BIIB,VRTX,JCI,EOG,NEM,ROP,ROKU,CRWD,KLAC,ROST,EBAY,KMB,A,EXC,TEL,LULU,MSCI,TT,GD,DOW,TROW,LHX,VEEV,ALGN,IQV,PSA,SLB,SRE,MET,PINS,APH,INFO,PPG,CMG,CNC,CARR,SPG,APTV,WDAY,BAX,AIG,DD,AEP,ORLY,EA,MTCH,DXCM,DLR,SNPS,PH,BK,GIS,FTNT,USD,1164.HK,MRVL,CDNS,GE.,PRU,RMD,SUM
07/09/2021,6.27,5.43,4.16,2.22,1.97,1.93,1.34,1.3,1.21,1.16,1.06,1.02,0.94,0.9,0.9,0.88,0.86,0.83,0.8,0.75,0.69,0.68,0.62,0.6,0.59,0.59,0.58,0.55,0.55,0.54,0.54,0.54,0.53,0.53,0.53,0.53,0.52,0.51,0.51,0.51,0.49,0.47,0.46,0.46,0.46,0.46,0.45,0.42,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.19000000000001
07/12/2021,6.36,5.46,4.24,2.19,1.97,1.94,1.33,1.25,1.2,1.18,1.06,1.02,0.94,0.91,0.91,0.89,0.85,0.83,0.78,0.76,0.7,0.67,0.61,0.6,0.59,0.58,0.58,0.56,0.55,0.55,0.53,0.55,0.54,0.53,0.54,0.53,0.53,0.52,0.52,0.51,0.49,0.46,0.48,0.46,0.46,0.46,0.45,0.42,0.4,0.4,0.4,0.4,0.39,0.38,0.39,0.39,0.37,0.37,0.37,0.37,0.36,0.36,0.34,0.34,0.33,0.32,0.32,0.33,0.33,0.33,0.31,0.3,0.29,0.3,0.3,0.29,0.27,0.28,0.27,0.26,0.27,0.25,0.24,0.23,0.23,0.24,0.25,0.24,0.23,0.25,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.21,0.23,0.2,0.21,0.21,0.21,0.2,0.2,0.19,0.18,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.17,0.17,0.16,0.18,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.28000000000002
07/13/2021,6.36,5.46,4.24,2.19,1.97,1.94,1.33,1.25,1.2,1.18,1.06,1.02,0.94,0.91,0.91,0.89,0.85,0.83,0.78,0.76,0.7,0.67,0.61,0.6,0.59,0.58,0.58,0.56,0.55,0.55,0.53,0.55,0.54,0.53,0.54,0.53,0.53,0.52,0.52,0.51,0.49,0.46,0.48,0.46,0.46,0.46,0.45,0.42,0.4,0.4,0.4,0.4,0.39,0.38,0.39,0.39,0.37,0.37,0.37,0.37,0.36,0.36,0.34,0.34,0.33,0.32,0.32,0.33,0.33,0.33,0.31,0.3,0.29,0.3,0.3,0.29,0.27,0.28,0.27,0.26,0.27,0.25,0.24,0.23,0.23,0.24,0.25,0.24,0.23,0.25,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.21,0.23,0.2,0.21,0.21,0.21,0.2,0.2,0.19,0.18,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.17,0.17,0.16,0.18,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.28000000000002
07/14/2021,6.37,5.41,4.18,2.19,1.95,1.92,1.32,1.25,1.23,1.17,1.05,1.01,0.95,0.91,0.92,0.88,0.85,0.84,0.79,0.75,0.69,0.68,0.61,0.6,0.59,0.57,0.58,0.55,0.55,0.55,0.53,0.54,0.53,0.53,0.53,0.53,0.52,0.52,0.51,0.51,0.49,0.47,0.48,0.46,0.46,0.46,0.45,0.42,0.4,0.4,0.4,0.41,0.39,0.39,0.38,0.4,0.37,0.37,0.37,0.37,0.36,0.35,0.35,0.34,0.33,0.33,0.32,0.33,0.32,0.32,0.31,0.3,0.29,0.3,0.29,0.29,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.23,0.23,0.24,0.24,0.24,0.23,0.25,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.21,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.18,0.18,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.18,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.0,0.0,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.0,0.0,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.12
07/15/2021,6.33,5.38,4.17,2.21,1.97,1.93,1.38,1.27,1.24,1.16,1.05,1.02,0.94,0.9,0.93,0.88,0.85,0.87,0.8,0.75,0.69,0.67,0.61,0.61,0.59,0.56,0.58,0.55,0.55,0.54,0.53,0.54,0.53,0.53,0.53,0.53,0.52,0.52,0.51,0.51,0.5,0.47,0.47,0.46,0.46,0.46,0.45,0.42,0.4,0.4,0.4,0.41,0.39,0.38,0.38,0.4,0.37,0.37,0.38,0.36,0.36,0.35,0.36,0.34,0.34,0.33,0.33,0.33,0.32,0.33,0.31,0.3,0.29,0.3,0.29,0.29,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.23,0.23,0.24,0.24,0.23,0.23,0.25,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.21,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.18,0.18,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.18,0.17,0.17,0.17,0.16,0.18,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.12,0.0,0.11,0.11,0.0,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.12,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.21000000000002
07/16/2021,6.4,5.47,4.14,2.21,1.98,1.94,1.35,1.26,1.23,1.17,1.07,1.03,0.94,0.89,0.92,0.88,0.88,0.87,0.79,0.76,0.69,0.67,0.62,0.61,0.59,0.57,0.58,0.55,0.56,0.54,0.53,0.55,0.53,0.53,0.53,0.54,0.52,0.52,0.51,0.51,0.5,0.46,0.47,0.46,0.46,0.46,0.45,0.42,0.4,0.4,0.4,0.41,0.39,0.38,0.38,0.4,0.36,0.37,0.37,0.35,0.37,0.35,0.36,0.34,0.34,0.33,0.33,0.33,0.32,0.33,0.31,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.26,0.26,0.26,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.25,0.23,0.22,0.23,0.23,0.22,0.23,0.23,0.21,0.23,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.18,0.2,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.17,0.18,0.18,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.18,0.17,0.17,0.17,0.17,0.18,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.16,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.11,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.0,0.11,0.0,0.11,0.11,0.0,0.12,0.11,0.11,0.11,0.11,0.0,0.11,0.0,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.37
07/19/2021,6.54,5.49,4.1,2.16,1.98,1.95,1.32,1.18,1.23,1.16,1.1,1.04,0.95,0.91,0.91,0.9,0.89,0.88,0.77,0.76,0.69,0.65,0.62,0.6,0.59,0.55,0.59,0.54,0.57,0.55,0.53,0.56,0.53,0.54,0.53,0.53,0.51,0.53,0.51,0.5,0.49,0.48,0.48,0.47,0.46,0.46,0.44,0.42,0.4,0.41,0.4,0.42,0.39,0.38,0.39,0.39,0.37,0.37,0.37,0.34,0.37,0.35,0.36,0.34,0.33,0.33,0.32,0.33,0.33,0.33,0.3,0.31,0.28,0.29,0.29,0.29,0.28,0.28,0.27,0.26,0.26,0.25,0.24,0.24,0.23,0.25,0.23,0.24,0.23,0.25,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.19,0.23,0.21,0.21,0.23,0.2,0.21,0.21,0.19,0.18,0.2,0.19,0.2,0.19,0.2,0.19,0.18,0.19,0.19,0.19,0.17,0.18,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.15,0.18,0.17,0.17,0.17,0.17,0.18,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.14,0.13,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.0,0.11,0.11,0.0,0.11,0.11,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.37
07/20/2021,6.5,5.53,4.07,2.16,2.0,1.98,1.31,1.14,1.21,1.17,1.11,1.04,0.95,0.91,0.91,0.91,0.89,0.86,0.76,0.76,0.69,0.64,0.61,0.6,0.6,0.56,0.6,0.55,0.58,0.55,0.53,0.57,0.53,0.54,0.54,0.54,0.52,0.52,0.52,0.49,0.49,0.48,0.48,0.48,0.45,0.46,0.45,0.42,0.4,0.41,0.4,0.42,0.39,0.38,0.4,0.4,0.37,0.38,0.37,0.34,0.37,0.35,0.36,0.33,0.33,0.32,0.31,0.33,0.33,0.33,0.3,0.3,0.27,0.29,0.29,0.29,0.27,0.28,0.27,0.25,0.26,0.25,0.24,0.24,0.22,0.25,0.24,0.24,0.23,0.25,0.23,0.22,0.23,0.24,0.23,0.22,0.23,0.2,0.23,0.2,0.21,0.26,0.2,0.2,0.21,0.19,0.17,0.2,0.19,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.17,0.18,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.15,0.18,0.17,0.17,0.18,0.17,0.18,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.11,0.13,0.13,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.0,0.11,0.0,0.0,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.41000000000001
07/21/2021,6.49,5.52,4.06,2.16,2.0,1.98,1.31,1.14,1.21,1.17,1.11,1.04,0.95,0.91,0.91,0.91,0.89,0.86,0.76,0.76,0.69,0.64,0.61,0.6,0.6,0.56,0.6,0.55,0.58,0.55,0.53,0.57,0.53,0.54,0.54,0.54,0.52,0.52,0.52,0.49,0.49,0.48,0.48,0.48,0.45,0.46,0.45,0.42,0.4,0.41,0.4,0.42,0.39,0.38,0.4,0.4,0.37,0.38,0.37,0.34,0.37,0.35,0.36,0.33,0.33,0.32,0.31,0.33,0.33,0.33,0.3,0.3,0.27,0.29,0.29,0.29,0.27,0.28,0.27,0.25,0.26,0.25,0.24,0.24,0.22,0.25,0.24,0.24,0.23,0.25,0.23,0.22,0.23,0.24,0.23,0.22,0.23,0.2,0.23,0.2,0.21,0.26,0.2,0.2,0.21,0.19,0.17,0.2,0.19,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.17,0.18,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.15,0.18,0.17,0.17,0.18,0.17,0.18,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.11,0.13,0.13,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.0,0.11,0.0,0.0,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.37
07/22/2021,6.41,5.53,4.09,2.16,1.99,1.97,1.34,1.2,1.19,1.18,1.09,1.03,0.94,0.92,0.93,0.92,0.85,0.84,0.75,0.77,0.69,0.63,0.62,0.6,0.6,0.57,0.61,0.56,0.58,0.55,0.53,0.58,0.53,0.55,0.55,0.54,0.53,0.53,0.52,0.48,0.49,0.47,0.49,0.48,0.46,0.46,0.44,0.42,0.41,0.41,0.4,0.41,0.39,0.38,0.4,0.41,0.37,0.38,0.36,0.32,0.36,0.36,0.36,0.33,0.32,0.32,0.31,0.33,0.33,0.34,0.3,0.31,0.28,0.28,0.29,0.29,0.27,0.28,0.26,0.25,0.26,0.25,0.24,0.24,0.22,0.25,0.24,0.24,0.23,0.25,0.23,0.22,0.23,0.24,0.23,0.23,0.23,0.2,0.23,0.2,0.21,0.29,0.19,0.2,0.21,0.19,0.18,0.19,0.19,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.17,0.18,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.15,0.18,0.17,0.18,0.18,0.17,0.18,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.14,0.15,0.16,0.15,0.15,0.15,0.16,0.15,0.14,0.13,0.14,0.15,0.14,0.13,0.14,0.13,0.14,0.13,0.11,0.13,0.13,0.12,0.13,0.12,0.11,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.11,0.0,0.0,0.11,0.11,0.11,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.0,0.0,0.11,0.11,0.11,0.0,0.11,0.12,0.11,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.44
