,XTSLA,IAU,SGAFT,USD,GCQ1,GCZ1,SUM
07/09/2021,71.05,23.94,4.24,0.78,0.0,0.0,100.01
07/12/2021,71.54,23.94,4.23,0.3,0.0,0.0,100.01
07/13/2021,71.54,23.94,4.23,0.3,0.0,0.0,100.01
07/14/2021,71.41,23.88,4.2,0.5,0.0,0.0,99.99
07/15/2021,71.41,23.88,4.2,0.5,0.0,0.0,99.99
07/16/2021,71.66,23.9,4.2,0.23,0.0,0.0,99.99
07/19/2021,71.71,23.9,4.16,0.23,0.0,0.0,100.0
07/20/2021,71.71,23.9,4.16,0.23,0.0,0.0,100.0
07/22/2021,64.86,23.94,3.78,7.43,0.0,0.0,100.01
07/23/2021,64.2,23.9,4.18,7.73,0.0,0.0,100.01
07/27/2021,71.75,23.93,4.19,0.13,0.0,0.0,100.0
07/29/2021,71.96,23.89,4.21,0.0,0.0,0.0,100.06
07/30/2021,71.8,23.92,4.2,0.08,0.0,0.0,100.0
08/02/2021,69.47,17.94,4.14,8.45,0.0,0.0,100.0
08/03/2021,78.6,17.96,4.18,0.0,0.0,0.0,100.74
08/04/2021,78.6,17.96,4.18,0.0,0.0,0.0,100.74000000000001
