,RELIANCE.NS,INFY.NS,HDFC.NS,ICICIBANK.NS,TCS.NS,HINDUNILVR.NS,AXISBANK.NS,BAJFINANCE.NS,XTSLA,BHARTIARTL.NS,ASIANPAINT.NS,HCLTECH.NS,LT.NS,MARUTI.NS,KOTAKBANK.NS,SBIN.NS,WIPRO.NS,TATASTEEL.NS,ULTRACEMCO.NS,M&M.NS,TECHM.NS,DRREDDY.NS,TITAN.NS,HINDALCO.NS,DIVISLAB.NS,ITC.NS,NESTLEIND.NS,NTPC.NS,JSWSTEEL.NS,SUNPHARMA.NS,HDFCLIFE.NS,DMART.NS,POWERGRID.NS,TATAMOTORS.NS,CIPLA.NS,BJFIN.NS,SBILIFE.NS,TATACONSUM.NS,NAUKRI.NS,UPL.NS,ADANIGREEN.NS,GRASIM.NS,BPCL.NS,ADANIENT.NS,BRITANNIA.NS,APOLLOHOSP.NS,EICHERMOT.NS,DABUR.NS,ADANIPORTS.NS,HEROMOTOCO.NS,ICICIGI.NS,GODREJCP.NS,PIDILITIND.NS,ONGC.NS,VEDL.NS,SHREECEM.NS,MOTHERSUMI.NS,BAJAJ-AUTO.NS,AUROPHARMA.NS,SRTRANSFIN.NS,MARICO.NS,ADANITRANS.NS,LUPIN.NS,ATGL.NS,PIIND.NS,JUBLFOOD.NS,AMBUJACEM.NS,GAIL.NS,PEL.NS,COALINDIA.NS,ICICIPRULI.NS,HAVELLS.NS,BEL.NS,CHOLAFIN.NS,LTI.NS,BANDHANBNK.NS,COLPAL.NS,IOC.NS,HINDPETRO.NS,BERGEPAINT.NS,BALKRISIND.NS,MCDOWELL-N.NS,SBICARD.NS,MUTHOOTFIN.NS,DLF.NS,BHARATFORG.NS,INDIGO.NS,PAGEIND.NS,CONCOR.NS,PETRONET.NS,TRENT.NS,IGL.NS,INDUSTOWER.NS,BIOCON.NS,HDFCAMC.NS,MRF.NS,ACC.NS,YESBANK.NS,TORNTPHARM.NS,IPCALAB.NS,SIEMENS.NS,RECLTD.NS,INR,WFFUT,BRITIN,IHN1,USD,IHQ1,-,BAJAJFINSV.NS,IHU1,1915213D,IHV1,SUM
07/09/2021,9.52,8.36,6.71,5.22,4.74,3.19,2.7,2.63,2.15,2.03,1.81,1.66,1.63,1.6,1.53,1.2,1.15,1.14,1.1,1.07,1.04,1.01,0.98,0.95,0.94,0.94,0.93,0.9,0.89,0.89,0.86,0.86,0.85,0.83,0.74,0.72,0.72,0.72,0.66,0.63,0.62,0.62,0.61,0.61,0.6,0.59,0.58,0.57,0.57,0.55,0.55,0.54,0.53,0.48,0.47,0.47,0.47,0.46,0.45,0.44,0.43,0.41,0.41,0.39,0.39,0.39,0.38,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.2,0.12,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.99
07/12/2021,9.41,8.38,6.78,5.17,4.75,3.17,2.69,2.61,2.17,2.03,1.83,1.67,1.63,1.59,1.51,1.19,1.15,1.16,1.1,1.06,1.05,1.0,0.97,0.95,0.94,0.94,0.94,0.9,0.89,0.88,0.87,0.86,0.86,0.8,0.72,0.74,0.72,0.72,0.65,0.64,0.63,0.61,0.61,0.62,0.6,0.58,0.59,0.58,0.57,0.55,0.55,0.54,0.55,0.46,0.46,0.47,0.46,0.45,0.44,0.45,0.43,0.43,0.41,0.4,0.39,0.39,0.4,0.37,0.37,0.36,0.35,0.36,0.35,0.33,0.33,0.32,0.34,0.32,0.3,0.32,0.31,0.3,0.29,0.29,0.28,0.3,0.28,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.2,0.15,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.05
07/13/2021,9.41,8.38,6.78,5.17,4.75,3.17,2.69,2.61,2.17,2.03,1.83,1.67,1.63,1.59,1.51,1.19,1.15,1.16,1.1,1.06,1.05,1.0,0.97,0.95,0.94,0.94,0.94,0.9,0.89,0.88,0.87,0.86,0.86,0.8,0.72,0.74,0.72,0.72,0.65,0.64,0.63,0.61,0.61,0.62,0.6,0.58,0.59,0.58,0.57,0.55,0.55,0.54,0.55,0.46,0.46,0.47,0.46,0.45,0.44,0.45,0.43,0.43,0.41,0.4,0.39,0.39,0.4,0.37,0.37,0.36,0.35,0.36,0.35,0.33,0.33,0.32,0.34,0.32,0.3,0.32,0.31,0.3,0.29,0.29,0.28,0.3,0.28,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.2,0.15,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.05
07/14/2021,9.31,8.4,6.74,5.15,4.68,3.18,2.67,2.62,2.16,2.07,1.82,1.67,1.63,1.59,1.5,1.19,1.13,1.21,1.1,1.06,1.04,1.0,0.96,0.97,0.96,0.94,0.94,0.9,0.9,0.88,0.87,0.86,0.85,0.8,0.73,0.77,0.72,0.72,0.65,0.64,0.63,0.62,0.61,0.62,0.59,0.59,0.58,0.58,0.58,0.55,0.55,0.54,0.55,0.47,0.48,0.47,0.47,0.44,0.44,0.46,0.43,0.44,0.41,0.39,0.39,0.39,0.4,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.33,0.32,0.33,0.32,0.29,0.32,0.31,0.3,0.29,0.29,0.29,0.3,0.27,0.28,0.26,0.26,0.26,0.25,0.26,0.26,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.2,0.16,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.98
07/15/2021,9.31,8.4,6.74,5.15,4.68,3.18,2.67,2.62,2.16,2.07,1.82,1.67,1.63,1.59,1.5,1.19,1.13,1.21,1.1,1.06,1.04,1.0,0.96,0.97,0.96,0.94,0.94,0.9,0.9,0.88,0.87,0.86,0.85,0.8,0.73,0.77,0.72,0.72,0.65,0.64,0.63,0.62,0.61,0.62,0.59,0.59,0.58,0.58,0.58,0.55,0.55,0.54,0.55,0.47,0.48,0.47,0.47,0.44,0.44,0.46,0.43,0.44,0.41,0.39,0.39,0.39,0.4,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.33,0.32,0.33,0.32,0.29,0.32,0.31,0.3,0.29,0.29,0.29,0.3,0.27,0.28,0.26,0.26,0.26,0.25,0.26,0.26,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.2,0.16,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.98
07/16/2021,9.39,8.25,6.83,5.33,4.62,3.14,2.74,2.61,2.12,2.04,1.8,1.65,1.63,1.58,1.52,1.2,1.13,1.19,1.13,1.07,1.04,0.99,0.96,0.97,0.96,0.93,0.94,0.91,0.93,0.9,0.88,0.85,0.84,0.81,0.73,0.77,0.74,0.73,0.62,0.65,0.61,0.65,0.6,0.61,0.59,0.59,0.58,0.57,0.56,0.55,0.54,0.53,0.54,0.47,0.47,0.48,0.48,0.43,0.44,0.45,0.43,0.43,0.41,0.39,0.39,0.38,0.4,0.37,0.37,0.36,0.35,0.35,0.35,0.33,0.33,0.32,0.33,0.32,0.29,0.32,0.31,0.3,0.29,0.29,0.3,0.3,0.28,0.29,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.23,0.24,0.23,0.22,0.21,0.13,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0
07/19/2021,9.26,8.4,6.78,5.32,4.62,3.09,2.73,2.58,2.11,2.01,1.78,1.76,1.73,1.55,1.51,1.2,1.23,1.21,1.13,1.06,1.09,0.98,0.94,0.98,0.95,0.95,0.93,0.91,0.92,0.89,0.87,0.84,0.85,0.8,0.73,0.77,0.74,0.72,0.63,0.65,0.61,0.64,0.59,0.6,0.58,0.59,0.57,0.56,0.55,0.54,0.54,0.53,0.53,0.46,0.47,0.48,0.48,0.43,0.44,0.46,0.43,0.42,0.41,0.38,0.38,0.38,0.42,0.36,0.36,0.35,0.35,0.36,0.34,0.33,0.36,0.32,0.33,0.31,0.28,0.32,0.31,0.3,0.29,0.29,0.31,0.29,0.27,0.29,0.25,0.26,0.26,0.24,0.25,0.26,0.26,0.24,0.25,0.24,0.24,0.23,0.23,0.21,0.15,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.97
07/20/2021,9.26,8.4,6.78,5.32,4.62,3.09,2.73,2.58,2.11,2.01,1.78,1.76,1.73,1.55,1.51,1.2,1.23,1.21,1.13,1.06,1.09,0.98,0.94,0.98,0.95,0.95,0.93,0.91,0.92,0.89,0.87,0.84,0.85,0.8,0.73,0.77,0.74,0.72,0.63,0.65,0.61,0.64,0.59,0.6,0.58,0.59,0.57,0.56,0.55,0.54,0.54,0.53,0.53,0.46,0.47,0.48,0.48,0.43,0.44,0.46,0.43,0.42,0.41,0.38,0.38,0.38,0.42,0.36,0.36,0.35,0.35,0.36,0.34,0.33,0.36,0.32,0.33,0.31,0.28,0.32,0.31,0.3,0.29,0.29,0.31,0.29,0.27,0.29,0.25,0.26,0.26,0.24,0.25,0.26,0.26,0.24,0.25,0.24,0.24,0.23,0.23,0.21,0.15,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.97
07/22/2021,9.41,8.26,6.68,5.27,4.63,3.11,2.69,2.56,2.14,2.08,1.8,1.71,1.74,1.53,1.5,1.2,1.23,1.23,1.16,1.06,1.08,0.99,0.94,0.98,1.0,0.96,0.94,0.92,0.92,0.91,0.86,0.85,0.86,0.81,0.74,0.76,0.73,0.72,0.62,0.65,0.6,0.64,0.61,0.6,0.59,0.61,0.55,0.57,0.54,0.54,0.52,0.53,0.54,0.45,0.46,0.48,0.49,0.42,0.44,0.44,0.43,0.42,0.42,0.37,0.41,0.38,0.42,0.36,0.36,0.35,0.35,0.38,0.36,0.33,0.36,0.31,0.34,0.31,0.29,0.32,0.32,0.3,0.29,0.29,0.32,0.3,0.27,0.29,0.25,0.26,0.25,0.24,0.24,0.27,0.25,0.25,0.25,0.23,0.24,0.23,0.22,0.21,0.15,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.06
07/23/2021,9.44,8.35,6.66,5.19,4.69,3.17,2.67,2.54,2.14,2.04,1.92,1.68,1.73,1.55,1.49,1.19,1.23,1.21,1.19,1.05,1.08,0.98,0.94,0.95,1.0,0.97,0.95,0.91,0.91,0.9,0.85,0.87,0.86,0.79,0.73,0.76,0.72,0.72,0.63,0.64,0.58,0.65,0.61,0.59,0.59,0.62,0.55,0.58,0.54,0.54,0.52,0.54,0.56,0.45,0.45,0.48,0.48,0.43,0.45,0.44,0.43,0.4,0.42,0.35,0.41,0.38,0.44,0.36,0.35,0.35,0.34,0.38,0.35,0.32,0.36,0.31,0.34,0.31,0.29,0.33,0.32,0.3,0.29,0.29,0.32,0.29,0.26,0.29,0.26,0.26,0.25,0.24,0.24,0.27,0.24,0.25,0.27,0.23,0.24,0.23,0.22,0.21,0.15,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.1
