,AAPL,MSFT,GOOGL,GOOG,TSLA,NVDA,JNJ,V,UNH,HD,PYPL,PG,MA,DIS,BAC,ADBE,CMCSA,INTC,VZ,CRM,KO,CSCO,T,ABT,PEP,TMO,NKE,ABBV,LLY,MRK,ACN,AVGO,TXN,COST,MCD,DHR,MDT,QCOM,UPS,LIN,UNP,C,NEE,AMGN,LOW,MS,SBUX,INTU,AMAT,IBM,TGT,AMT,GE,MMM,AMD,ISRG,SCHW,CVS,NOW,AXP,SPGI,DE,ANTM,BKNG,LRCX,MU,PLD,GILD,ADP,CCI,CI,PNC,MRNA,TJX,SNAP,TFC,MELI,CSX,FDX,ATVI,MMC,EQIX,CL,ILMN,NSC,EL,SHW,ICE,BX,EW,ADSK,ITW,APD,FISV,CB,ADI,TWLO,ETN,WM,REGN,MCO,HUM,PGR,GPN,HCA,IDXX,TWTR,ECL,AON,BIIB,DOCU,VRTX,NEM,JCI,ROP,KLAC,ROKU,DOW,IQV,ALGN,EBAY,SLB,TEL,KMB,A,PSA,TT,LULU,ROST,CMG,MSCI,WDAY,APTV,SPG,SNPS,DLR,DD,CNC,INFO,PINS,AIG,DXCM,MET,BK,EA,SRE,PRU,PPG,PH,MPC,ALL,ALXN,PSX,HPQ,CDNS,TRV,SYY,IFF,MSI,MAR,CTSH,GIS,RMD,KMI,OTIS,XLNX,WELL,PANW,PAYX,SBAC,HLT,WBA,CTAS,FTNT,AFL,ADM,FRC,ROK,WMB,MTD,CSGP,VLO,SWKS,DHI,ANSS,SIVB,PEG,FAST,WLTW,OKTA,EFX,AVB,AMP,EQR,ZBRA,NUE,VRSK,AWK,KEYS,EPAM,ES,KR,BLL,CBRE,WST,GE.,LH,ODFL,LBRDK,HUBS,4300.SR,n/a,DDOG,AJG,ARE,SUM
07/09/2021,8.58,7.54,2.72,2.66,1.91,1.78,1.62,1.47,1.41,1.27,1.24,1.22,1.19,1.17,1.14,1.03,0.97,0.84,0.82,0.81,0.77,0.76,0.76,0.76,0.75,0.74,0.73,0.73,0.72,0.72,0.71,0.67,0.65,0.64,0.64,0.63,0.62,0.59,0.56,0.56,0.55,0.54,0.53,0.52,0.51,0.5,0.49,0.48,0.46,0.46,0.45,0.44,0.43,0.42,0.42,0.4,0.4,0.39,0.39,0.37,0.36,0.36,0.35,0.33,0.33,0.33,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.69
07/12/2021,8.84,7.59,2.73,2.69,1.85,1.74,1.64,1.47,1.42,1.26,1.27,1.24,1.19,1.15,1.08,1.06,0.97,0.83,0.82,0.8,0.77,0.76,0.74,0.77,0.76,0.75,0.74,0.74,0.74,0.72,0.72,0.68,0.64,0.66,0.64,0.64,0.63,0.58,0.56,0.55,0.53,0.51,0.54,0.52,0.51,0.48,0.5,0.5,0.44,0.46,0.45,0.45,0.41,0.42,0.4,0.41,0.38,0.39,0.4,0.37,0.37,0.36,0.35,0.32,0.32,0.32,0.33,0.31,0.32,0.32,0.29,0.28,0.29,0.27,0.25,0.26,0.27,0.26,0.26,0.26,0.26,0.27,0.26,0.25,0.23,0.25,0.24,0.24,0.24,0.25,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.21,0.21,0.19,0.2,0.19,0.2,0.2,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.16,0.14,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.0,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.78000000000002
07/13/2021,8.84,7.59,2.73,2.69,1.85,1.74,1.64,1.47,1.42,1.26,1.27,1.24,1.19,1.15,1.08,1.06,0.97,0.83,0.82,0.8,0.77,0.76,0.74,0.77,0.76,0.75,0.74,0.74,0.74,0.72,0.72,0.68,0.64,0.66,0.64,0.64,0.63,0.58,0.56,0.55,0.53,0.51,0.54,0.52,0.51,0.48,0.5,0.5,0.44,0.46,0.45,0.45,0.41,0.42,0.4,0.41,0.38,0.39,0.4,0.37,0.37,0.36,0.35,0.32,0.32,0.32,0.33,0.31,0.32,0.32,0.29,0.28,0.29,0.27,0.25,0.26,0.27,0.26,0.26,0.26,0.26,0.27,0.26,0.25,0.23,0.25,0.24,0.24,0.24,0.25,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.21,0.21,0.19,0.2,0.19,0.2,0.2,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.16,0.14,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.0,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.78000000000002
07/14/2021,8.86,7.52,2.71,2.67,1.84,1.74,1.63,1.46,1.41,1.26,1.28,1.22,1.18,1.17,1.11,1.05,0.96,0.83,0.81,0.79,0.77,0.76,0.74,0.77,0.75,0.74,0.74,0.74,0.72,0.71,0.72,0.69,0.64,0.66,0.64,0.64,0.63,0.58,0.56,0.55,0.54,0.52,0.53,0.51,0.51,0.49,0.5,0.49,0.45,0.46,0.45,0.45,0.42,0.42,0.4,0.41,0.39,0.39,0.4,0.38,0.36,0.36,0.35,0.33,0.32,0.32,0.34,0.31,0.32,0.32,0.3,0.29,0.29,0.28,0.26,0.27,0.27,0.26,0.26,0.26,0.26,0.27,0.25,0.25,0.24,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.21,0.21,0.2,0.2,0.19,0.2,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.77000000000001
07/15/2021,8.8,7.48,2.74,2.68,1.92,1.77,1.62,1.45,1.42,1.25,1.29,1.22,1.19,1.21,1.12,1.04,0.96,0.84,0.81,0.78,0.77,0.75,0.74,0.76,0.75,0.73,0.74,0.74,0.73,0.7,0.72,0.69,0.64,0.65,0.64,0.64,0.63,0.59,0.56,0.55,0.53,0.52,0.53,0.51,0.51,0.5,0.51,0.49,0.45,0.46,0.46,0.45,0.42,0.42,0.4,0.41,0.39,0.39,0.4,0.38,0.36,0.36,0.35,0.33,0.32,0.32,0.34,0.31,0.32,0.32,0.3,0.29,0.3,0.28,0.26,0.27,0.26,0.26,0.27,0.26,0.26,0.27,0.25,0.26,0.24,0.25,0.24,0.24,0.25,0.24,0.23,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.14,0.14,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.80000000000001
07/16/2021,8.88,7.6,2.75,2.7,1.87,1.75,1.62,1.48,1.43,1.24,1.28,1.22,1.22,1.21,1.1,1.05,0.95,0.84,0.81,0.79,0.77,0.75,0.73,0.76,0.77,0.73,0.74,0.74,0.72,0.71,0.72,0.69,0.64,0.65,0.64,0.64,0.62,0.58,0.55,0.55,0.53,0.52,0.53,0.51,0.51,0.5,0.51,0.49,0.45,0.46,0.46,0.45,0.41,0.42,0.4,0.41,0.39,0.39,0.4,0.38,0.36,0.36,0.35,0.32,0.32,0.32,0.34,0.31,0.32,0.31,0.3,0.29,0.29,0.27,0.26,0.27,0.27,0.26,0.27,0.26,0.26,0.27,0.25,0.26,0.24,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.21,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.11,0.11,0.11,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.87
07/19/2021,9.06,7.6,2.74,2.7,1.82,1.64,1.61,1.52,1.44,1.26,1.26,1.24,1.24,1.22,1.07,1.05,0.96,0.83,0.82,0.77,0.79,0.76,0.74,0.75,0.78,0.73,0.74,0.74,0.71,0.71,0.73,0.68,0.63,0.66,0.64,0.65,0.61,0.58,0.56,0.55,0.53,0.52,0.55,0.52,0.51,0.5,0.51,0.49,0.44,0.46,0.46,0.45,0.41,0.43,0.38,0.41,0.39,0.39,0.4,0.38,0.36,0.35,0.35,0.32,0.32,0.31,0.34,0.31,0.32,0.32,0.3,0.29,0.32,0.28,0.24,0.27,0.26,0.26,0.26,0.25,0.26,0.27,0.26,0.24,0.24,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.23,0.23,0.24,0.22,0.21,0.22,0.22,0.22,0.22,0.22,0.2,0.21,0.21,0.2,0.19,0.2,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.17,0.16,0.17,0.17,0.17,0.16,0.15,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.13,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.14,0.13,0.14,0.14,0.12,0.13,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.89000000000001
07/20/2021,8.98,7.64,2.76,2.73,1.82,1.58,1.62,1.53,1.44,1.26,1.26,1.26,1.23,1.19,1.05,1.06,0.96,0.82,0.82,0.77,0.8,0.76,0.74,0.76,0.79,0.75,0.74,0.75,0.72,0.71,0.72,0.67,0.63,0.66,0.64,0.66,0.62,0.58,0.56,0.55,0.53,0.51,0.56,0.52,0.51,0.5,0.51,0.49,0.43,0.45,0.46,0.46,0.4,0.42,0.38,0.41,0.38,0.39,0.4,0.38,0.36,0.35,0.35,0.32,0.31,0.31,0.34,0.32,0.32,0.32,0.3,0.28,0.36,0.27,0.24,0.27,0.26,0.26,0.26,0.26,0.26,0.27,0.26,0.25,0.24,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.23,0.23,0.24,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.19,0.2,0.19,0.18,0.19,0.19,0.18,0.18,0.19,0.16,0.16,0.16,0.17,0.17,0.16,0.14,0.16,0.17,0.17,0.17,0.17,0.16,0.15,0.16,0.17,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.13,0.15,0.16,0.14,0.14,0.15,0.15,0.14,0.15,0.14,0.13,0.14,0.14,0.12,0.13,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.14,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.0,0.0,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.91000000000001
07/21/2021,8.98,7.64,2.76,2.73,1.82,1.58,1.62,1.53,1.44,1.26,1.26,1.26,1.23,1.19,1.05,1.06,0.96,0.82,0.82,0.77,0.8,0.76,0.74,0.76,0.79,0.75,0.74,0.75,0.72,0.71,0.72,0.67,0.63,0.66,0.64,0.66,0.62,0.58,0.56,0.55,0.53,0.51,0.56,0.52,0.51,0.5,0.51,0.49,0.43,0.45,0.46,0.46,0.4,0.42,0.38,0.41,0.38,0.39,0.4,0.38,0.36,0.35,0.35,0.32,0.31,0.31,0.34,0.32,0.32,0.32,0.3,0.28,0.36,0.27,0.24,0.27,0.26,0.26,0.26,0.26,0.26,0.27,0.26,0.25,0.24,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.23,0.23,0.24,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.19,0.2,0.19,0.18,0.19,0.19,0.18,0.18,0.19,0.16,0.16,0.16,0.17,0.17,0.16,0.14,0.16,0.17,0.17,0.17,0.17,0.16,0.15,0.16,0.17,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.13,0.15,0.16,0.14,0.14,0.15,0.15,0.14,0.15,0.14,0.13,0.14,0.14,0.12,0.13,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.14,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.0,0.0,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.91000000000001
07/22/2021,8.98,7.64,2.76,2.73,1.82,1.58,1.62,1.53,1.44,1.26,1.26,1.26,1.23,1.19,1.05,1.06,0.96,0.82,0.82,0.77,0.8,0.76,0.74,0.76,0.79,0.75,0.74,0.75,0.72,0.71,0.72,0.67,0.63,0.66,0.64,0.66,0.62,0.58,0.56,0.55,0.53,0.51,0.56,0.52,0.51,0.5,0.51,0.49,0.43,0.45,0.46,0.46,0.4,0.42,0.38,0.41,0.38,0.39,0.4,0.38,0.36,0.35,0.35,0.32,0.31,0.31,0.34,0.32,0.32,0.32,0.3,0.28,0.36,0.27,0.24,0.27,0.26,0.26,0.26,0.26,0.26,0.27,0.26,0.25,0.24,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.23,0.23,0.24,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.19,0.2,0.19,0.18,0.19,0.19,0.18,0.18,0.19,0.16,0.16,0.16,0.17,0.17,0.16,0.14,0.16,0.17,0.17,0.17,0.17,0.16,0.15,0.16,0.17,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.13,0.15,0.16,0.14,0.14,0.15,0.15,0.14,0.15,0.14,0.13,0.14,0.14,0.12,0.13,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.14,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.0,0.0,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.91000000000001
