,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,NVDA,TSLA,PYPL,ADBE,HD,V,NFLX,CRM,MA,TMO,UNH,JNJ,PG,QCOM,ABBV,INTU,AVGO,NKE,AMAT,ABT,DHR,CMCSA,AMD,LLY,NOW,ACN,UPS,CHTR,SPGI,LOW,MRK,TXN,COST,BLK,LRCX,LIN,PEP,ORCL,DE,TGT,SBUX,ISRG,BMY,KO,UNP,AMGN,MCD,ZTS,ADSK,AMT,NEE,REGN,TMUS,IDXX,TWTR,CAT,VRTX,CCI,DG,KLAC,EBAY,MSCI,SHW,FDX,CMG,FISV,ALGN,ATVI,MCO,DXCM,LMT,EQIX,SYK,ADP,EL,SNPS,CDNS,CSX,XTSLA,EW,PGR,XLNX,BKNG,ILMN,MMC,ICE,RMD,CL,FTNT,MNST,MTD,FCX,A,ANSS,IQV,HUM,NSC,APTV,ITW,CPRT,NEM,MCHP,SIVB,VRSK,ALXN,APD,AON,ORLY,TROW,INFO,BIIB,WST,GNRC,ROP,ADI,ODFL,ECL,ETSY,CARR,ENPH,LHX,APH,CTAS,QRVO,EA,URI,DOW,FAST,EMR,SBAC,ANET,PSA,TTWO,TT,PH,TSCO,TRMB,TER,WM,TDG,ZBRA,FRC,DHI,MKTX,PAYX,ROK,DPZ,AZO,POOL,CRL,PAYC,TYL,CTLT,ALB,CTSH,MSI,SWKS,KEYS,MPWR,MXIM,BLL,TEL,OTIS,PKI,TECH,KMB,ABMD,FMC,EXPD,CHD,SEDG,AWK,GLW,BIO,CGNX,FICO,YUM,EFX,AME,CLX,CMI,PTC,TTC,AKAM,GWW,CZR,IT,STE,TREX,RH,AXON,WAT,GRMN,BRO,BBY,HES,MASI,WSM,AJG,HLT,HOLX,NDAQ,FDS,GGG,KSU,MRNA,RGEN,USD,DECK,CDW,DAR,CLF,FIVE,EXR,MTCH,WOLF,JPM,PFE,BAC,GS,CSCO,SCHW,PLD,MS,AXP,NXPI,EPAM,HCA,DFS,JCI,SPG,COF,DVN,EOG,PXD,HPQ,AMP,SBNY,NUE,CPT,FANG,CBRE,MLM,MAA,STX,LH,DRE,BLDR,SYF,AVB,NTAP,VMC,WY,RSG,CSL,HSY,BBWI WI,LSI,KMX,STLD,ULTA,REXR,TRGP,DOV,SCI,OKE,VRSN,SUM
07/09/2021,10.74,10.08,7.6,4.08,3.66,3.56,2.49,2.45,1.66,1.38,1.18,1.17,1.16,1.12,1.08,0.98,0.97,0.85,0.77,0.77,0.73,0.66,0.63,0.63,0.61,0.6,0.58,0.56,0.55,0.55,0.53,0.52,0.52,0.48,0.48,0.47,0.46,0.45,0.45,0.43,0.43,0.42,0.42,0.4,0.39,0.39,0.38,0.38,0.37,0.35,0.34,0.34,0.34,0.32,0.31,0.31,0.3,0.29,0.29,0.27,0.27,0.27,0.25,0.25,0.25,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.3
07/12/2021,10.86,10.1,7.73,4.0,3.64,3.56,2.4,2.43,1.68,1.4,1.18,1.16,1.14,1.1,1.07,0.99,0.97,0.86,0.78,0.75,0.74,0.67,0.63,0.63,0.59,0.6,0.58,0.57,0.53,0.56,0.54,0.53,0.52,0.5,0.49,0.47,0.46,0.45,0.46,0.42,0.42,0.42,0.42,0.41,0.39,0.39,0.38,0.38,0.38,0.36,0.34,0.34,0.34,0.33,0.31,0.31,0.31,0.29,0.29,0.27,0.26,0.26,0.25,0.25,0.25,0.22,0.21,0.22,0.22,0.22,0.21,0.21,0.22,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.18,0.18,0.17,0.19,0.18,0.16,0.16,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.09,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.34
07/13/2021,10.86,10.1,7.73,4.0,3.64,3.56,2.4,2.43,1.68,1.4,1.18,1.16,1.14,1.1,1.07,0.99,0.97,0.86,0.78,0.75,0.74,0.67,0.63,0.63,0.59,0.6,0.58,0.57,0.53,0.56,0.54,0.53,0.52,0.5,0.49,0.47,0.46,0.45,0.46,0.42,0.42,0.42,0.42,0.41,0.39,0.39,0.38,0.38,0.38,0.36,0.34,0.34,0.34,0.33,0.31,0.31,0.31,0.29,0.29,0.27,0.26,0.26,0.25,0.25,0.25,0.22,0.21,0.22,0.22,0.22,0.21,0.21,0.22,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.18,0.18,0.17,0.19,0.18,0.16,0.16,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.09,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.34
07/14/2021,10.92,10.04,7.65,4.03,3.62,3.54,2.4,2.43,1.69,1.39,1.18,1.16,1.14,1.09,1.06,0.98,0.97,0.86,0.77,0.77,0.73,0.66,0.64,0.63,0.59,0.6,0.57,0.56,0.53,0.55,0.54,0.53,0.52,0.49,0.48,0.47,0.45,0.45,0.46,0.43,0.42,0.42,0.42,0.42,0.39,0.39,0.39,0.38,0.38,0.36,0.34,0.34,0.34,0.33,0.31,0.31,0.3,0.29,0.28,0.27,0.26,0.27,0.25,0.25,0.25,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.2,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.21,0.18,0.18,0.17,0.18,0.18,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.09,0.08,0.09,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.06,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.25
07/15/2021,10.92,10.04,7.65,4.03,3.62,3.54,2.4,2.43,1.69,1.39,1.18,1.16,1.14,1.09,1.06,0.98,0.97,0.86,0.77,0.77,0.73,0.66,0.64,0.63,0.59,0.6,0.57,0.56,0.53,0.55,0.54,0.53,0.52,0.49,0.48,0.47,0.45,0.45,0.46,0.43,0.42,0.42,0.42,0.42,0.39,0.39,0.39,0.38,0.38,0.36,0.34,0.34,0.34,0.33,0.31,0.31,0.3,0.29,0.28,0.27,0.26,0.27,0.25,0.25,0.25,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.2,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.21,0.18,0.18,0.17,0.18,0.18,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.09,0.08,0.09,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.06,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.25
07/16/2021,10.94,10.14,7.55,4.04,3.67,3.57,2.42,2.47,1.69,1.39,1.16,1.18,1.15,1.08,1.09,0.97,0.98,0.85,0.77,0.76,0.74,0.66,0.64,0.63,0.6,0.6,0.57,0.56,0.53,0.55,0.53,0.53,0.51,0.47,0.47,0.47,0.45,0.45,0.46,0.43,0.43,0.42,0.43,0.42,0.39,0.39,0.39,0.38,0.38,0.36,0.33,0.34,0.34,0.33,0.31,0.31,0.3,0.29,0.29,0.27,0.27,0.27,0.25,0.25,0.25,0.23,0.21,0.22,0.22,0.22,0.22,0.21,0.22,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.18,0.17,0.18,0.18,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.12,0.12,0.13,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.35
07/19/2021,11.2,10.17,7.48,3.97,3.67,3.59,2.27,2.41,1.67,1.39,1.19,1.21,1.16,1.06,1.12,0.97,0.99,0.85,0.79,0.77,0.74,0.66,0.64,0.63,0.59,0.59,0.58,0.56,0.51,0.54,0.53,0.54,0.52,0.47,0.48,0.47,0.46,0.44,0.46,0.42,0.42,0.42,0.43,0.41,0.39,0.4,0.39,0.38,0.38,0.37,0.34,0.34,0.34,0.33,0.31,0.31,0.31,0.3,0.29,0.27,0.26,0.26,0.25,0.25,0.25,0.22,0.21,0.22,0.22,0.22,0.21,0.22,0.22,0.2,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.18,0.18,0.17,0.18,0.17,0.15,0.16,0.16,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.13,0.13,0.15,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.12,0.11,0.13,0.12,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.1,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.09,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.06,0.06,0.06,0.0,0.0,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.36
07/20/2021,11.2,10.17,7.48,3.97,3.67,3.59,2.27,2.41,1.67,1.39,1.19,1.21,1.16,1.06,1.12,0.97,0.99,0.85,0.79,0.77,0.74,0.66,0.64,0.63,0.59,0.59,0.58,0.56,0.51,0.54,0.53,0.54,0.52,0.47,0.48,0.47,0.46,0.44,0.46,0.42,0.42,0.42,0.43,0.41,0.39,0.4,0.39,0.38,0.38,0.37,0.34,0.34,0.34,0.33,0.31,0.31,0.31,0.3,0.29,0.27,0.26,0.26,0.25,0.25,0.25,0.22,0.21,0.22,0.22,0.22,0.21,0.22,0.22,0.2,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.18,0.18,0.17,0.18,0.17,0.15,0.16,0.16,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.13,0.13,0.15,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.12,0.11,0.13,0.12,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.1,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.09,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.06,0.06,0.06,0.0,0.0,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.36
07/21/2021,11.11,10.23,7.41,3.96,3.7,3.63,2.19,2.4,1.67,1.4,1.19,1.22,1.14,1.07,1.11,0.99,1.0,0.86,0.8,0.76,0.74,0.66,0.63,0.63,0.57,0.6,0.59,0.56,0.5,0.55,0.53,0.54,0.52,0.47,0.48,0.48,0.46,0.44,0.47,0.42,0.41,0.42,0.44,0.42,0.39,0.4,0.39,0.38,0.38,0.37,0.34,0.34,0.34,0.33,0.31,0.32,0.32,0.3,0.29,0.28,0.26,0.26,0.25,0.25,0.25,0.22,0.21,0.23,0.23,0.22,0.21,0.22,0.21,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.18,0.17,0.18,0.17,0.15,0.16,0.16,0.17,0.17,0.18,0.18,0.17,0.17,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.13,0.13,0.15,0.15,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.12,0.11,0.13,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.12,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.09,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.09,0.08,0.09,0.09,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.08,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.06,0.06,0.0,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.44
07/22/2021,10.94,10.22,7.45,3.95,3.67,3.6,2.29,2.44,1.7,1.41,1.2,1.2,1.16,1.08,1.06,1.0,0.98,0.86,0.81,0.77,0.74,0.67,0.63,0.63,0.58,0.61,0.6,0.56,0.52,0.56,0.54,0.54,0.52,0.48,0.48,0.47,0.46,0.45,0.48,0.41,0.41,0.42,0.44,0.43,0.38,0.4,0.39,0.38,0.38,0.37,0.33,0.35,0.34,0.34,0.31,0.32,0.32,0.3,0.29,0.28,0.26,0.26,0.25,0.26,0.26,0.22,0.22,0.23,0.23,0.23,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.18,0.18,0.18,0.17,0.16,0.16,0.17,0.17,0.17,0.18,0.18,0.17,0.17,0.16,0.14,0.16,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.13,0.13,0.14,0.15,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.13,0.12,0.11,0.1,0.11,0.11,0.1,0.11,0.11,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.1,0.09,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.09,0.09,0.09,0.09,0.07,0.0,0.07,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.06,0.0,0.06,0.0,0.06,0.06,0.0,0.0,0.06,0.06,0.06,0.06,0.06,0.0,0.07,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.53
