,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,TSLA,NVDA,V,PYPL,HD,MA,ADBE,NFLX,ABBV,NKE,AVGO,PEP,COST,QCOM,LLY,ACN,UPS,KO,LOW,SBUX,ORCL,INTU,AMAT,AMT,AMGN,AMD,ISRG,NOW,TXN,ABT,CAT,DE,SQ,UNP,BKNG,CHTR,LRCX,ZTS,CCI,ZM,TJX,LMT,MRNA,ADP,EL,SPGI,AXP,UBER,ILMN,SHW,BX,EW,ADSK,ITW,MCO,HCA,IDXX,DOCU,TGT,EQIX,ROKU,MO,EBAY,KLAC,ALGN,ECL,ROST,WDAY,CMG,VEEV,MTCH,CRWD,DXCM,LULU,PINS,XTSLA,A,PLTR,CDNS,SYK,MAR,PANW,SYY,CL,SPG,SPOT,XLNX,PSA,TEAM,CRM,FTNT,MNST,MSCI,FDX,AON,PTON,CTAS,MTD,TTD,HON,RMD,OKTA,MCD,MCHP,PAYX,DAL,WST,SNPS,EPAM,CPRT,APH,ZBRA,ENPH,ETSY,CSGP,NET,MXIM,GNRC,UNH,FAST,HUBS,SNOW,SPLK,KMB,HLT,EXPE,IQV,ODFL,CVNA,RNG,CDW,DDOG,AVTR,WAT,ALNY,LNG,VRTX,BURL,TER,IT,TSCO,TT,HSY,WORK,DG,MDB,TMO,ULTA,PODD,EXAS,NVCR,CARR,PAYC,COUP,DFS,ROK,ANET,Z,VFC,LVS,MPWR,PLUG,NXPI,PPG,MMM,LYFT,TYL,GWW,ZEN,BR,ZS,CRL,TECH,MKTX,TWLO,VRSK,POOL,SGEN,CLX,SWKS,ABMD,TRU,CGNX,FICO,XYL,STNE,BILL,PTC,TROW,FCX,DIS,EXPD,DKNG,U,TXG,AMP,PXD,WIX,ENTG,NVAX,ANSGR.IS,USD,SUM
07/09/2021,10.35,9.71,7.41,3.92,3.03,2.94,2.38,2.3,1.88,1.6,1.59,1.53,1.32,1.09,0.95,0.92,0.88,0.79,0.77,0.74,0.73,0.72,0.71,0.69,0.65,0.63,0.63,0.59,0.58,0.58,0.53,0.53,0.52,0.51,0.51,0.48,0.47,0.46,0.45,0.44,0.42,0.42,0.41,0.41,0.4,0.4,0.38,0.38,0.37,0.37,0.34,0.33,0.33,0.33,0.32,0.31,0.31,0.31,0.3,0.29,0.26,0.26,0.26,0.25,0.25,0.24,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.52
07/12/2021,10.48,9.75,7.55,3.86,3.02,2.94,2.36,2.22,1.87,1.62,1.6,1.51,1.35,1.07,0.96,0.93,0.88,0.8,0.78,0.73,0.74,0.74,0.72,0.69,0.64,0.64,0.65,0.6,0.57,0.58,0.54,0.51,0.52,0.51,0.5,0.48,0.47,0.45,0.43,0.43,0.41,0.43,0.4,0.41,0.4,0.38,0.38,0.38,0.37,0.37,0.33,0.33,0.32,0.31,0.32,0.31,0.31,0.31,0.3,0.29,0.27,0.26,0.26,0.26,0.26,0.24,0.23,0.22,0.22,0.22,0.23,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.17,0.16,0.16,0.16,0.14,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.12,0.11,0.1,0.1,0.09,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.08,0.09,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,92.65
07/13/2021,10.48,9.75,7.55,3.86,3.02,2.94,2.36,2.22,1.87,1.62,1.6,1.51,1.35,1.07,0.96,0.93,0.88,0.8,0.78,0.73,0.74,0.74,0.72,0.69,0.64,0.64,0.65,0.6,0.57,0.58,0.54,0.51,0.52,0.51,0.5,0.48,0.47,0.45,0.43,0.43,0.41,0.43,0.4,0.41,0.4,0.38,0.38,0.38,0.37,0.37,0.33,0.33,0.32,0.31,0.32,0.31,0.31,0.31,0.3,0.29,0.27,0.26,0.26,0.26,0.26,0.24,0.23,0.22,0.22,0.22,0.23,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.17,0.16,0.16,0.16,0.14,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.12,0.11,0.1,0.1,0.09,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.08,0.09,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,92.65
07/14/2021,10.53,9.68,7.46,3.88,3.01,2.92,2.36,2.22,1.87,1.63,1.6,1.51,1.33,1.07,0.95,0.92,0.89,0.79,0.79,0.74,0.73,0.74,0.72,0.69,0.65,0.64,0.66,0.59,0.57,0.58,0.54,0.51,0.52,0.52,0.5,0.48,0.47,0.46,0.44,0.43,0.42,0.42,0.4,0.41,0.4,0.38,0.38,0.38,0.36,0.37,0.34,0.33,0.33,0.31,0.32,0.31,0.31,0.31,0.3,0.3,0.27,0.26,0.26,0.25,0.26,0.24,0.23,0.23,0.22,0.22,0.23,0.22,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.15,0.17,0.16,0.16,0.16,0.14,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.16,0.15,0.14,0.15,0.14,0.15,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.14,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.0,0.07,0.07,0.08,0.0,0.07,0.07,0.0,0.07,0.07,0.07,0.0,0.0,0.0,0.0,92.66
07/15/2021,10.53,9.68,7.46,3.88,3.01,2.92,2.36,2.22,1.87,1.63,1.6,1.51,1.33,1.07,0.95,0.92,0.89,0.79,0.79,0.74,0.73,0.74,0.72,0.69,0.65,0.64,0.66,0.59,0.57,0.58,0.54,0.51,0.52,0.52,0.5,0.48,0.47,0.46,0.44,0.43,0.42,0.42,0.4,0.41,0.4,0.38,0.38,0.38,0.36,0.37,0.34,0.33,0.33,0.31,0.32,0.31,0.31,0.31,0.3,0.3,0.27,0.26,0.26,0.25,0.26,0.24,0.23,0.23,0.22,0.22,0.23,0.22,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.15,0.17,0.16,0.16,0.16,0.14,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.16,0.15,0.14,0.15,0.14,0.15,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.14,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.08,0.08,0.07,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,92.66
07/16/2021,10.57,9.79,7.38,3.89,3.05,2.96,2.4,2.24,1.9,1.64,1.58,1.55,1.34,1.08,0.96,0.93,0.89,0.81,0.78,0.74,0.73,0.74,0.71,0.7,0.64,0.65,0.65,0.6,0.58,0.58,0.54,0.5,0.52,0.51,0.51,0.48,0.47,0.46,0.44,0.43,0.41,0.41,0.41,0.41,0.4,0.37,0.38,0.38,0.37,0.37,0.34,0.32,0.33,0.31,0.33,0.31,0.31,0.3,0.3,0.3,0.27,0.26,0.26,0.25,0.26,0.24,0.23,0.22,0.22,0.22,0.23,0.22,0.2,0.2,0.21,0.2,0.21,0.19,0.2,0.2,0.18,0.17,0.19,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.15,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.16,0.15,0.14,0.15,0.14,0.15,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.11,0.11,0.12,0.12,0.12,0.13,0.13,0.13,0.12,0.14,0.1,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.1,0.1,0.09,0.08,0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.07,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.08,0.08,0.07,0.0,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.0,0.0,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,92.81000000000002
07/19/2021,10.83,9.84,7.32,3.83,3.05,2.98,2.34,2.11,1.95,1.62,1.61,1.59,1.34,1.09,0.96,0.93,0.88,0.83,0.79,0.74,0.72,0.75,0.72,0.72,0.65,0.65,0.65,0.6,0.57,0.59,0.54,0.49,0.52,0.51,0.5,0.47,0.46,0.45,0.43,0.43,0.41,0.41,0.4,0.42,0.4,0.35,0.38,0.38,0.41,0.38,0.35,0.33,0.33,0.3,0.31,0.32,0.32,0.31,0.3,0.3,0.27,0.27,0.26,0.25,0.26,0.25,0.22,0.23,0.22,0.22,0.23,0.22,0.2,0.2,0.21,0.2,0.2,0.19,0.2,0.2,0.18,0.18,0.19,0.16,0.18,0.18,0.18,0.17,0.16,0.17,0.17,0.16,0.15,0.17,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.15,0.14,0.16,0.15,0.14,0.15,0.13,0.15,0.12,0.13,0.12,0.13,0.14,0.13,0.13,0.1,0.11,0.12,0.11,0.12,0.12,0.13,0.13,0.11,0.13,0.1,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.11,0.08,0.09,0.09,0.08,0.08,0.09,0.09,0.09,0.08,0.1,0.1,0.09,0.08,0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.07,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.09,0.07,0.0,0.07,0.07,0.07,0.07,0.0,0.0,0.07,0.07,0.07,0.08,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,92.89
07/20/2021,10.83,9.84,7.32,3.83,3.05,2.98,2.34,2.11,1.95,1.62,1.61,1.59,1.34,1.09,0.96,0.93,0.88,0.83,0.79,0.74,0.72,0.75,0.72,0.72,0.65,0.65,0.65,0.6,0.57,0.59,0.54,0.49,0.52,0.51,0.5,0.47,0.46,0.45,0.43,0.43,0.41,0.41,0.4,0.42,0.4,0.35,0.38,0.38,0.41,0.38,0.35,0.33,0.33,0.3,0.31,0.32,0.32,0.31,0.3,0.3,0.27,0.27,0.26,0.25,0.26,0.25,0.22,0.23,0.22,0.22,0.23,0.22,0.2,0.2,0.21,0.2,0.2,0.19,0.2,0.2,0.18,0.18,0.19,0.16,0.18,0.18,0.18,0.17,0.16,0.17,0.17,0.16,0.15,0.17,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.15,0.14,0.16,0.15,0.14,0.15,0.13,0.15,0.12,0.13,0.12,0.13,0.14,0.13,0.13,0.1,0.11,0.12,0.11,0.12,0.12,0.13,0.13,0.11,0.13,0.1,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.11,0.08,0.09,0.09,0.08,0.08,0.09,0.09,0.09,0.08,0.1,0.1,0.09,0.08,0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.07,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.09,0.07,0.0,0.07,0.07,0.07,0.07,0.0,0.0,0.07,0.07,0.07,0.08,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,92.89
07/21/2021,10.74,9.89,7.25,3.82,3.07,3.01,2.34,2.03,1.96,1.62,1.62,1.58,1.35,1.07,0.97,0.93,0.87,0.84,0.79,0.74,0.73,0.75,0.71,0.72,0.66,0.65,0.66,0.6,0.55,0.6,0.55,0.49,0.52,0.51,0.5,0.48,0.46,0.45,0.43,0.43,0.41,0.41,0.39,0.42,0.41,0.36,0.38,0.38,0.45,0.38,0.35,0.33,0.33,0.3,0.32,0.32,0.33,0.31,0.3,0.3,0.27,0.27,0.26,0.25,0.26,0.25,0.22,0.23,0.22,0.21,0.23,0.22,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.18,0.18,0.19,0.16,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.15,0.16,0.14,0.16,0.15,0.14,0.15,0.13,0.15,0.12,0.13,0.12,0.13,0.14,0.13,0.13,0.1,0.11,0.12,0.11,0.12,0.12,0.13,0.13,0.12,0.13,0.1,0.11,0.1,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.1,0.1,0.1,0.11,0.1,0.11,0.08,0.09,0.08,0.08,0.08,0.09,0.09,0.09,0.07,0.09,0.1,0.09,0.08,0.07,0.07,0.08,0.0,0.07,0.08,0.08,0.07,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.09,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.07,0.07,0.07,0.08,0.07,0.0,0.07,0.07,0.07,0.0,0.07,0.07,0.0,0.0,0.0,92.77
07/22/2021,10.57,9.87,7.28,3.81,3.05,2.98,2.37,2.12,1.92,1.64,1.62,1.51,1.36,1.09,0.96,0.92,0.88,0.84,0.81,0.74,0.74,0.75,0.72,0.72,0.65,0.64,0.67,0.6,0.56,0.6,0.55,0.5,0.52,0.52,0.5,0.49,0.45,0.45,0.43,0.43,0.4,0.42,0.4,0.42,0.41,0.36,0.37,0.38,0.5,0.37,0.34,0.33,0.32,0.3,0.32,0.33,0.32,0.3,0.3,0.3,0.27,0.27,0.27,0.26,0.26,0.25,0.22,0.23,0.22,0.21,0.22,0.22,0.19,0.2,0.21,0.21,0.2,0.19,0.2,0.2,0.18,0.18,0.19,0.17,0.18,0.18,0.17,0.18,0.16,0.18,0.16,0.16,0.15,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.16,0.14,0.16,0.16,0.14,0.14,0.13,0.15,0.12,0.13,0.13,0.14,0.14,0.13,0.13,0.1,0.11,0.12,0.12,0.12,0.13,0.13,0.13,0.12,0.13,0.1,0.11,0.1,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.1,0.1,0.1,0.11,0.11,0.11,0.08,0.09,0.08,0.08,0.09,0.09,0.09,0.09,0.08,0.09,0.1,0.09,0.08,0.07,0.07,0.08,0.0,0.08,0.08,0.08,0.07,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.09,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.07,0.07,0.07,0.07,0.08,0.07,0.0,0.07,0.07,0.07,0.0,0.07,0.0,0.07,0.0,0.0,92.81
