,JPM,V,MA,BAC,WFC,C,MS,BLK,GS,AXP,SCHW,SPGI,PNC,USB,CME,TFC,COF,BX,ICE,MCO,TROW,MSCI,BK,DFS,KKR,FRC,SIVB,AMP,STT,FITB,SYF,NTRS,HBAN,NDAQ,KEY,CFG,RF,ALLY,MTB,MKTX,RJF,SBNY,APO,FDS,CBOE,EQH,LPLA,EWBC,IVZ,CMA,WAL,FHN,TW,FNF,XTSLA,ZION,BEN,CBSH,SEIC,ARES,PBCT,AMG,FFIN,SF,JEF,COIN,SNV,JHG,PB,PNFP,SLM,CFR,BPOP,FCNCA,CG,MORN,OMF,CACC,NYCB,GBCI,LAZ,VLY,IBKR,OZK,ESNT,UBSI,MTG,WBS,RDN,WTFC,UMPQ,UMBF,FNB,HOMB,PRG,FCFS,FHI,SC,BOKF,RKT,TREE,VIRT,UPST,GDOT,USD,TFSL,WFFUT,UWMC,SUM
07/09/2021,11.41,9.96,8.09,7.43,4.42,3.47,3.3,3.11,3.09,2.71,2.61,2.46,1.96,1.87,1.84,1.8,1.73,1.64,1.63,1.46,1.14,1.11,0.98,0.88,0.86,0.82,0.76,0.71,0.7,0.65,0.64,0.59,0.51,0.5,0.48,0.47,0.46,0.45,0.45,0.44,0.39,0.34,0.33,0.32,0.31,0.28,0.27,0.24,0.24,0.24,0.24,0.23,0.22,0.21,0.21,0.21,0.21,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.02,0.02,0.01,100.03
07/12/2021,11.44,10.02,8.11,7.32,4.38,3.45,3.27,3.11,3.06,2.73,2.55,2.52,1.95,1.87,1.87,1.78,1.72,1.68,1.66,1.51,1.13,1.14,0.98,0.88,0.85,0.82,0.77,0.7,0.69,0.65,0.63,0.58,0.51,0.5,0.47,0.47,0.46,0.46,0.44,0.44,0.39,0.35,0.32,0.32,0.31,0.28,0.27,0.25,0.24,0.23,0.24,0.22,0.23,0.21,0.17,0.2,0.21,0.19,0.18,0.18,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.07,0.06,0.07,0.06,0.05,0.05,0.05,0.1,0.02,0.02,0.01,99.99
07/13/2021,11.44,10.02,8.11,7.32,4.38,3.45,3.27,3.11,3.06,2.73,2.55,2.52,1.95,1.87,1.87,1.78,1.72,1.68,1.66,1.51,1.13,1.14,0.98,0.88,0.85,0.82,0.77,0.7,0.69,0.65,0.63,0.58,0.51,0.5,0.47,0.47,0.46,0.46,0.44,0.44,0.39,0.35,0.32,0.32,0.31,0.28,0.27,0.25,0.24,0.23,0.24,0.22,0.23,0.21,0.17,0.2,0.21,0.19,0.18,0.18,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.07,0.06,0.07,0.06,0.05,0.05,0.05,0.1,0.02,0.02,0.01,99.99
07/14/2021,11.5,9.84,7.96,7.37,4.43,3.45,3.28,3.12,3.09,2.73,2.58,2.44,1.97,1.88,1.84,1.81,1.77,1.67,1.63,1.48,1.14,1.13,0.98,0.91,0.84,0.84,0.79,0.71,0.71,0.65,0.64,0.59,0.51,0.49,0.48,0.47,0.47,0.46,0.45,0.43,0.39,0.36,0.32,0.32,0.31,0.28,0.27,0.25,0.24,0.24,0.25,0.23,0.22,0.21,0.16,0.21,0.22,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.17,0.16,0.15,0.15,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.11,0.02,0.02,0.01,100.03
07/16/2021,11.45,9.97,8.16,7.31,4.34,3.44,3.37,3.13,3.11,2.73,2.62,2.4,1.96,1.88,1.84,1.79,1.79,1.66,1.63,1.47,1.13,1.12,0.98,0.93,0.84,0.84,0.79,0.7,0.71,0.64,0.64,0.58,0.51,0.5,0.47,0.47,0.46,0.46,0.44,0.42,0.4,0.36,0.31,0.31,0.3,0.27,0.27,0.25,0.24,0.24,0.24,0.22,0.22,0.2,0.17,0.2,0.21,0.19,0.18,0.17,0.17,0.18,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.13,0.13,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.07,0.08,0.08,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.1,0.02,0.02,0.01,99.99
07/19/2021,11.41,10.2,8.28,7.1,4.51,3.43,3.34,3.03,3.08,2.73,2.57,2.41,1.95,1.93,1.83,1.82,1.76,1.7,1.61,1.46,1.13,1.12,0.95,0.91,0.83,0.85,0.79,0.7,0.69,0.65,0.63,0.58,0.51,0.5,0.48,0.46,0.46,0.46,0.44,0.42,0.39,0.35,0.31,0.31,0.3,0.28,0.26,0.25,0.24,0.23,0.25,0.22,0.22,0.21,0.2,0.21,0.2,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.15,0.16,0.16,0.16,0.17,0.16,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.07,0.08,0.08,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.08,0.02,0.02,0.01,99.99
07/20/2021,11.41,10.2,8.28,7.1,4.51,3.43,3.34,3.03,3.08,2.73,2.57,2.41,1.95,1.93,1.83,1.82,1.76,1.7,1.61,1.46,1.13,1.12,0.95,0.91,0.83,0.85,0.79,0.7,0.69,0.65,0.63,0.58,0.51,0.5,0.48,0.46,0.46,0.46,0.44,0.42,0.39,0.35,0.31,0.31,0.3,0.28,0.26,0.25,0.24,0.23,0.25,0.22,0.22,0.21,0.2,0.21,0.2,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.15,0.16,0.16,0.16,0.17,0.16,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.07,0.08,0.08,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.08,0.02,0.02,0.01,99.99
07/22/2021,11.31,10.34,8.13,7.08,4.52,3.42,3.38,3.05,3.07,2.69,2.54,2.51,1.92,1.88,1.88,1.78,1.76,1.74,1.68,1.52,1.14,1.17,0.98,0.91,0.85,0.84,0.76,0.7,0.7,0.62,0.62,0.57,0.5,0.52,0.46,0.45,0.44,0.45,0.43,0.45,0.39,0.33,0.3,0.33,0.31,0.28,0.26,0.24,0.23,0.23,0.24,0.21,0.23,0.21,0.2,0.2,0.2,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.17,0.16,0.16,0.16,0.15,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.08,0.07,0.08,0.08,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.07,0.02,0.02,0.01,99.98
07/23/2021,11.24,10.18,8.12,7.05,4.6,3.4,3.41,3.09,3.08,2.73,2.53,2.49,1.91,1.89,1.86,1.8,1.77,1.76,1.66,1.51,1.15,1.15,0.99,0.92,0.85,0.85,0.78,0.71,0.72,0.63,0.62,0.58,0.5,0.52,0.46,0.45,0.45,0.47,0.43,0.43,0.39,0.34,0.3,0.32,0.31,0.28,0.27,0.24,0.24,0.23,0.24,0.21,0.23,0.21,0.19,0.2,0.2,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.15,0.17,0.16,0.17,0.16,0.15,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.08,0.07,0.08,0.08,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.08,0.02,0.02,0.01,100.0
07/27/2021,11.23,10.15,8.22,7.03,4.57,3.4,3.5,3.02,3.12,2.73,2.48,2.48,1.9,1.86,1.85,1.8,1.79,1.85,1.67,1.51,1.15,1.16,0.99,0.93,0.87,0.84,0.79,0.7,0.73,0.62,0.61,0.57,0.5,0.52,0.45,0.46,0.45,0.48,0.41,0.43,0.39,0.34,0.31,0.32,0.31,0.28,0.27,0.25,0.23,0.23,0.24,0.21,0.23,0.21,0.2,0.2,0.2,0.18,0.18,0.18,0.16,0.17,0.17,0.17,0.16,0.15,0.15,0.17,0.16,0.16,0.15,0.14,0.14,0.14,0.13,0.13,0.14,0.14,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.08,0.07,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.08,0.02,0.02,0.01,100.0
