,PYPL,ACN,UPS,HON,UNP,RTX,BA,CAT,MMM,GE,DE,SQ,LMT,FIS,ADP,CSX,FDX,NSC,SHW,FISV,ITW,ETN,EMR,GPN,WM,NOC,ROP,JCI,LHX,TEL,TT,GD,APH,CARR,PH,TDG,PAYX,CMI,CTAS,OTIS,ROK,GLW,AME,FAST,PCAR,EFX,ZBRA,VRSK,KEYS,GNRC,BLL,KSU,ODFL,IP,RSG,FTV,VMC,URI,FLT,EXPD,DOV,TRU,XYL,MLM,TRMB,TDY,GWW,BR,IR,AMCR,PKI,AVY,J,IEX,TXT,CGNX,MAS,WAB,XPO,CCK,WRK,JBHT,FBHS,LDOS,PKG,HWM,GGG,ALLE,CHRW,PWR,JKHY,SNA,LII,BAH,TTC,NDSN,TREX,AXON,PNR,XTSLA,OC,HUBB,CSL,WSO,WU,HEI.A,AOS,MIDD,RHI,ATR,ACM,ST,SEE,WEX,BERY,NLSN,OSK,ARW,AGCO,LECO,G,ITT,HII,DCI,JBL,SITE,IPGP,EEFT,WWD,CLVT,TTEK,COHR,MAN,CNXC,EME,SRCL,SON,LPX,KNX,HEI,EXP,MTZ,LSTR,CACI,LFUS,AYI,MSA,TKR,MMS,KBR,RBC,CFX,VNT,BWXT,NATI,AWI,HXL,FLS,NVT,SAIC,GPK,ASGN,CW,VMI,MSM,ALSN,AL,ITRI,CLH,FCN,CR,ENS,UNVR,AVT,MRCY,KEX,AIT,AFRM,NSP,MIC,TNET,DNB,SHLS,SLGN,NKLA,CMPR,ARRY,ADT,GTES,WFFUT,IXTU1,IXIU1,USD,GE.,GXO WI,GXO,IXTZ1,V,MA,AXP,COF,INFO,DD,MTD,PPG,SWK,SYF,WAT,BILL,FICO,BLDR,PCTY,MHK,RPM,STNE,MKSI,BLD,BC,WMS,MDU,AXTA,ADS,AZEK,SPCE,SPR,R,FOUR,PSFE,TSP,SNDR,CNM,HAYW,DSEY,LZ,ARD,IXIZ1,RRX,AMBP,LYLTV,SUM
07/09/2021,6.87,3.88,3.05,3.03,2.97,2.6,2.59,2.34,2.28,2.27,2.18,1.93,1.85,1.8,1.71,1.47,1.44,1.35,1.31,1.29,1.28,1.19,1.15,1.14,1.11,1.1,1.0,0.98,0.9,0.9,0.88,0.85,0.83,0.79,0.78,0.72,0.7,0.69,0.67,0.66,0.66,0.63,0.61,0.6,0.6,0.6,0.58,0.58,0.57,0.54,0.54,0.51,0.48,0.47,0.47,0.47,0.45,0.45,0.43,0.43,0.43,0.43,0.43,0.43,0.41,0.39,0.39,0.38,0.36,0.35,0.35,0.34,0.34,0.33,0.3,0.3,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.03,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,6.95,3.94,3.07,3.05,2.91,2.59,2.61,2.33,2.3,2.26,2.15,1.85,1.86,1.78,1.72,1.41,1.43,1.27,1.31,1.29,1.29,1.2,1.15,1.11,1.11,1.11,1.0,0.99,0.91,0.89,0.9,0.86,0.83,0.79,0.79,0.71,0.71,0.7,0.68,0.67,0.67,0.62,0.62,0.61,0.6,0.6,0.58,0.59,0.57,0.54,0.56,0.48,0.49,0.48,0.47,0.47,0.46,0.44,0.42,0.43,0.44,0.43,0.43,0.44,0.41,0.39,0.4,0.39,0.36,0.35,0.35,0.35,0.35,0.34,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.28,0.26,0.26,0.26,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.18,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.2,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.16,0.17,0.15,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.04,0.04,0.03,0.03,0.02,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,6.95,3.94,3.07,3.05,2.91,2.59,2.61,2.33,2.3,2.26,2.15,1.85,1.86,1.78,1.72,1.41,1.43,1.27,1.31,1.29,1.29,1.2,1.15,1.11,1.11,1.11,1.0,0.99,0.91,0.89,0.9,0.86,0.83,0.79,0.79,0.71,0.71,0.7,0.68,0.67,0.67,0.62,0.62,0.61,0.6,0.6,0.58,0.59,0.57,0.54,0.56,0.48,0.49,0.48,0.47,0.47,0.46,0.44,0.42,0.43,0.44,0.43,0.43,0.44,0.41,0.39,0.4,0.39,0.36,0.35,0.35,0.35,0.35,0.34,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.28,0.26,0.26,0.26,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.18,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.2,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.16,0.17,0.15,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.04,0.04,0.03,0.03,0.02,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,6.96,3.92,3.05,3.07,2.91,2.58,2.6,2.35,2.3,2.28,2.15,1.87,1.85,1.77,1.71,1.43,1.43,1.3,1.3,1.28,1.29,1.21,1.15,1.11,1.1,1.1,1.0,0.99,0.91,0.9,0.9,0.86,0.83,0.78,0.79,0.71,0.71,0.7,0.68,0.67,0.67,0.63,0.62,0.61,0.6,0.6,0.58,0.58,0.57,0.54,0.55,0.49,0.49,0.48,0.47,0.47,0.46,0.45,0.42,0.43,0.44,0.43,0.43,0.44,0.41,0.39,0.39,0.39,0.36,0.35,0.34,0.34,0.35,0.34,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.24,0.25,0.25,0.24,0.23,0.24,0.24,0.24,0.23,0.23,0.23,0.17,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.2,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.04,0.04,0.03,0.03,0.02,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/16/2021,7.02,3.94,3.03,3.09,2.89,2.57,2.49,2.34,2.3,2.25,2.17,1.88,1.83,1.8,1.72,1.43,1.45,1.3,1.32,1.3,1.3,1.22,1.16,1.12,1.1,1.09,1.01,0.99,0.91,0.9,0.91,0.86,0.83,0.8,0.79,0.71,0.71,0.7,0.67,0.67,0.67,0.62,0.62,0.61,0.6,0.59,0.57,0.58,0.58,0.56,0.55,0.48,0.49,0.48,0.47,0.47,0.46,0.45,0.42,0.43,0.44,0.43,0.43,0.44,0.41,0.4,0.4,0.39,0.36,0.35,0.34,0.34,0.34,0.34,0.3,0.3,0.29,0.29,0.29,0.28,0.27,0.28,0.26,0.28,0.26,0.26,0.26,0.24,0.24,0.25,0.25,0.24,0.23,0.24,0.23,0.24,0.23,0.23,0.23,0.18,0.19,0.2,0.2,0.19,0.19,0.18,0.19,0.2,0.19,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.06,0.04,0.04,0.03,0.03,0.02,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/19/2021,6.92,3.97,3.06,3.21,2.9,2.56,2.43,2.3,2.33,2.22,2.14,1.83,1.84,1.83,1.75,1.44,1.44,1.31,1.33,1.31,1.31,1.22,1.17,1.14,1.12,1.08,1.02,1.0,0.91,0.9,0.91,0.86,0.82,0.8,0.78,0.69,0.72,0.7,0.65,0.68,0.68,0.62,0.62,0.61,0.61,0.61,0.56,0.59,0.57,0.54,0.55,0.49,0.49,0.47,0.48,0.47,0.47,0.45,0.42,0.43,0.44,0.44,0.43,0.44,0.4,0.4,0.4,0.39,0.36,0.35,0.34,0.34,0.34,0.34,0.3,0.3,0.3,0.29,0.28,0.28,0.27,0.28,0.27,0.28,0.26,0.25,0.26,0.25,0.25,0.24,0.25,0.24,0.22,0.24,0.24,0.24,0.22,0.22,0.23,0.2,0.19,0.21,0.2,0.19,0.19,0.18,0.19,0.2,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.11,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.04,0.06,0.04,0.04,0.03,0.03,0.02,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,6.92,3.97,3.06,3.21,2.9,2.56,2.43,2.3,2.33,2.22,2.14,1.83,1.84,1.83,1.75,1.44,1.44,1.31,1.33,1.31,1.31,1.22,1.17,1.14,1.12,1.08,1.02,1.0,0.91,0.9,0.91,0.86,0.82,0.8,0.78,0.69,0.72,0.7,0.65,0.68,0.68,0.62,0.62,0.61,0.61,0.61,0.56,0.59,0.57,0.54,0.55,0.49,0.49,0.47,0.48,0.47,0.47,0.45,0.42,0.43,0.44,0.44,0.43,0.44,0.4,0.4,0.4,0.39,0.36,0.35,0.34,0.34,0.34,0.34,0.3,0.3,0.3,0.29,0.28,0.28,0.27,0.28,0.27,0.28,0.26,0.25,0.26,0.25,0.25,0.24,0.25,0.24,0.22,0.24,0.24,0.24,0.22,0.22,0.23,0.2,0.19,0.21,0.2,0.19,0.19,0.18,0.19,0.2,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.11,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.04,0.06,0.04,0.04,0.03,0.03,0.02,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,7.06,4.01,3.12,3.13,2.9,2.5,2.32,2.27,2.34,2.15,2.13,1.87,1.86,1.8,1.75,1.43,1.47,1.3,1.38,1.3,1.32,1.21,1.15,1.12,1.14,1.08,1.03,0.99,0.91,0.89,0.92,0.86,0.82,0.8,0.76,0.68,0.72,0.7,0.68,0.69,0.69,0.62,0.63,0.63,0.61,0.62,0.55,0.61,0.58,0.56,0.56,0.49,0.48,0.46,0.49,0.47,0.46,0.44,0.42,0.44,0.45,0.44,0.43,0.43,0.4,0.4,0.4,0.39,0.35,0.35,0.35,0.34,0.34,0.34,0.29,0.29,0.31,0.28,0.28,0.28,0.26,0.27,0.27,0.28,0.26,0.24,0.26,0.25,0.25,0.24,0.26,0.24,0.22,0.24,0.24,0.24,0.23,0.23,0.23,0.2,0.19,0.21,0.2,0.19,0.19,0.18,0.19,0.2,0.19,0.18,0.18,0.17,0.17,0.17,0.18,0.17,0.16,0.16,0.15,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.14,0.11,0.12,0.11,0.11,0.11,0.12,0.13,0.12,0.12,0.12,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.09,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.08,0.09,0.08,0.08,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.06,0.04,0.04,0.03,0.03,0.02,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/23/2021,6.98,3.95,3.06,3.18,2.85,2.56,2.38,2.27,2.32,2.22,2.16,1.93,1.85,1.79,1.72,1.41,1.45,1.28,1.34,1.29,1.31,1.22,1.16,1.11,1.12,1.07,1.03,1.0,0.92,0.89,0.94,0.87,0.82,0.81,0.77,0.7,0.71,0.69,0.68,0.69,0.68,0.62,0.63,0.62,0.61,0.62,0.55,0.61,0.57,0.55,0.55,0.48,0.48,0.45,0.48,0.47,0.46,0.45,0.42,0.43,0.47,0.44,0.44,0.43,0.4,0.4,0.4,0.39,0.36,0.35,0.35,0.33,0.34,0.35,0.3,0.29,0.3,0.29,0.29,0.28,0.26,0.27,0.26,0.28,0.25,0.25,0.26,0.25,0.25,0.25,0.26,0.24,0.22,0.24,0.24,0.24,0.23,0.23,0.23,0.19,0.19,0.21,0.21,0.19,0.19,0.18,0.19,0.21,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.17,0.16,0.16,0.17,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.11,0.12,0.11,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.08,0.09,0.09,0.08,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.06,0.04,0.05,0.03,0.03,0.02,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/27/2021,7.06,3.95,3.05,3.2,2.89,2.57,2.4,2.27,2.28,2.21,2.17,2.02,1.84,1.79,1.71,1.47,1.43,1.31,1.33,1.3,1.29,1.23,1.16,1.12,1.11,1.06,1.02,1.0,0.92,0.9,0.94,0.86,0.83,0.82,0.77,0.7,0.7,0.69,0.68,0.7,0.68,0.62,0.63,0.61,0.6,0.6,0.57,0.6,0.58,0.55,0.53,0.49,0.48,0.45,0.48,0.46,0.46,0.46,0.42,0.43,0.47,0.43,0.43,0.43,0.41,0.41,0.39,0.39,0.36,0.35,0.35,0.33,0.34,0.34,0.3,0.29,0.3,0.29,0.28,0.27,0.25,0.27,0.26,0.28,0.25,0.25,0.26,0.24,0.24,0.25,0.26,0.24,0.22,0.24,0.23,0.24,0.23,0.23,0.22,0.19,0.19,0.21,0.2,0.19,0.19,0.18,0.18,0.21,0.19,0.18,0.18,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.12,0.12,0.13,0.13,0.13,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.12,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.08,0.09,0.09,0.08,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.06,0.04,0.05,0.03,0.03,0.02,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
