,LIN,APD,FCX,ECL,NEM,DOW,DD,PPG,IFF,CTVA,NUE,LYB,ALB,CE,EMN,FMC,STLD,RPM,CF,MOS,RS,RGLD,SMG,AA,AXTA,VVV,CC,HUN,ESI,ASH,GRA,CMC,NGVT,WLK,NEU,XTSLA,WFFUT,FAU1,IXIU1,USD,IXDU1,FAST,IP,AVY,CLF,OLN,X,SCCO,HXL,TKR,UNVR,IXDZ1,SUM
07/09/2021,18.48,7.82,6.5,6.42,6.3,5.7,5.05,4.94,4.53,4.0,3.41,3.17,2.42,2.08,1.9,1.69,1.44,1.42,1.32,1.29,1.17,0.94,0.93,0.84,0.77,0.71,0.69,0.64,0.61,0.58,0.53,0.45,0.39,0.38,0.28,0.2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,18.52,7.89,6.31,6.48,6.24,5.69,5.06,4.97,4.56,3.92,3.48,3.16,2.43,2.09,1.89,1.68,1.49,1.43,1.32,1.32,1.17,0.94,0.9,0.82,0.77,0.71,0.68,0.64,0.63,0.58,0.54,0.45,0.4,0.37,0.28,0.1,0.01,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/13/2021,18.52,7.89,6.31,6.48,6.24,5.69,5.06,4.97,4.56,3.92,3.48,3.16,2.43,2.09,1.89,1.68,1.49,1.43,1.32,1.32,1.17,0.94,0.9,0.82,0.77,0.71,0.68,0.64,0.63,0.58,0.54,0.45,0.4,0.37,0.28,0.1,0.01,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/14/2021,18.46,7.83,6.49,6.42,6.21,5.71,5.06,4.93,4.46,3.88,3.53,3.21,2.48,2.1,1.9,1.68,1.5,1.42,1.32,1.33,1.17,0.93,0.9,0.85,0.76,0.7,0.69,0.65,0.63,0.58,0.53,0.45,0.4,0.38,0.28,0.1,0.01,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/16/2021,18.42,7.82,6.4,6.47,6.21,5.73,5.14,4.93,4.43,3.88,3.49,3.21,2.64,2.12,1.89,1.69,1.5,1.41,1.31,1.32,1.17,0.93,0.9,0.81,0.76,0.7,0.69,0.65,0.62,0.58,0.53,0.45,0.4,0.37,0.28,0.11,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02000000000002
07/19/2021,18.61,7.81,6.17,6.54,6.23,5.66,5.19,4.98,4.39,3.83,3.5,3.19,2.66,2.15,1.89,1.69,1.51,1.41,1.29,1.29,1.18,0.95,0.89,0.79,0.75,0.69,0.69,0.65,0.63,0.59,0.53,0.46,0.4,0.37,0.28,0.13,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/20/2021,18.61,7.81,6.17,6.54,6.23,5.66,5.19,4.98,4.39,3.83,3.5,3.19,2.66,2.15,1.89,1.69,1.51,1.41,1.29,1.29,1.18,0.95,0.89,0.79,0.75,0.69,0.69,0.65,0.63,0.59,0.53,0.46,0.4,0.37,0.28,0.13,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/22/2021,18.94,7.98,6.07,6.69,6.22,5.52,4.95,5.03,4.46,3.86,3.45,3.04,2.66,2.13,1.85,1.7,1.49,1.45,1.26,1.27,1.18,0.96,0.93,0.76,0.74,0.7,0.65,0.64,0.62,0.59,0.55,0.46,0.39,0.35,0.29,0.14,0.01,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/23/2021,19.03,7.97,6.08,6.71,6.1,5.52,4.94,4.73,4.51,3.88,3.45,3.08,2.75,2.14,1.86,1.68,1.49,1.42,1.27,1.29,1.19,0.96,0.93,0.82,0.73,0.7,0.67,0.64,0.63,0.59,0.55,0.46,0.39,0.35,0.29,0.13,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/27/2021,19.07,7.93,6.33,6.64,5.99,5.61,4.92,4.73,4.51,3.87,3.49,3.07,2.79,2.08,1.84,1.69,1.47,1.39,1.26,1.29,1.19,0.95,0.92,0.86,0.73,0.67,0.66,0.64,0.62,0.59,0.54,0.46,0.39,0.35,0.27,0.13,0.01,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/29/2021,18.94,7.81,6.55,6.65,5.9,5.65,4.85,4.77,4.52,3.81,3.57,3.1,2.77,2.11,1.86,1.68,1.49,1.38,1.25,1.28,1.2,0.94,0.91,0.89,0.74,0.68,0.65,0.64,0.63,0.58,0.53,0.47,0.4,0.35,0.27,0.13,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/30/2021,18.98,7.81,6.5,6.71,6.0,5.65,4.81,4.78,4.53,3.83,3.59,3.11,2.69,2.12,1.85,1.67,1.5,1.34,1.24,1.26,1.19,0.94,0.9,0.87,0.77,0.67,0.65,0.64,0.62,0.57,0.53,0.46,0.4,0.35,0.27,0.13,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/02/2021,18.73,7.71,6.78,6.59,6.04,5.62,4.81,4.64,4.46,3.83,3.72,3.11,2.85,2.11,1.85,1.66,1.56,1.34,1.23,1.29,1.22,0.96,0.87,0.88,0.75,0.67,0.66,0.63,0.61,0.56,0.52,0.48,0.42,0.35,0.28,0.13,0.01,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,19.16,7.73,6.7,6.6,6.05,4.83,4.8,4.66,4.51,3.8,3.75,3.08,2.9,2.12,1.86,1.67,1.57,1.36,1.23,1.31,1.22,0.98,0.88,0.92,0.77,0.69,0.68,0.65,0.63,0.58,0.54,0.49,0.43,0.36,0.3,0.13,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/04/2021,19.16,7.73,6.7,6.6,6.05,4.83,4.8,4.66,4.51,3.8,3.75,3.08,2.9,2.12,1.86,1.67,1.57,1.36,1.23,1.31,1.22,0.98,0.88,0.92,0.77,0.69,0.68,0.65,0.63,0.58,0.54,0.49,0.43,0.36,0.3,0.13,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/05/2021,19.16,7.73,6.7,6.6,6.05,4.83,4.8,4.66,4.51,3.8,3.75,3.08,2.9,2.12,1.86,1.67,1.57,1.36,1.23,1.31,1.22,0.98,0.88,0.92,0.77,0.69,0.68,0.65,0.63,0.58,0.54,0.49,0.43,0.36,0.3,0.13,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/06/2021,18.95,7.74,6.46,6.56,6.04,5.6,4.76,4.72,4.49,3.82,3.84,3.1,2.91,2.12,1.83,1.65,1.56,1.35,1.2,1.3,1.21,0.95,0.86,0.91,0.75,0.68,0.68,0.62,0.61,0.55,0.52,0.47,0.4,0.35,0.28,0.12,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/10/2021,19.14,7.74,6.5,6.57,5.77,5.58,4.87,4.68,4.52,3.97,3.76,3.08,3.18,2.11,1.85,1.48,1.52,1.33,1.19,1.31,1.17,0.92,0.8,0.91,0.75,0.68,0.67,0.62,0.61,0.55,0.52,0.47,0.4,0.34,0.29,0.03,0.01,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/11/2021,19.14,7.74,6.5,6.57,5.77,5.58,4.87,4.68,4.52,3.97,3.76,3.08,3.18,2.11,1.85,1.48,1.52,1.33,1.19,1.31,1.17,0.92,0.8,0.91,0.75,0.68,0.67,0.62,0.61,0.55,0.52,0.47,0.4,0.34,0.29,0.03,0.01,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/13/2021,18.65,7.31,6.65,6.47,5.53,5.61,4.88,4.71,4.62,4.0,4.2,3.17,3.31,2.15,1.86,1.46,1.63,1.32,1.22,1.38,1.19,0.88,0.77,0.97,0.76,0.65,0.67,0.62,0.61,0.55,0.51,0.5,0.38,0.35,0.29,0.11,0.01,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/16/2021,18.72,7.21,6.6,6.41,5.49,5.62,4.87,4.74,4.56,3.98,4.4,3.17,3.24,2.15,1.86,1.44,1.72,1.32,1.23,1.38,1.18,0.88,0.76,0.99,0.77,0.66,0.67,0.61,0.62,0.55,0.51,0.51,0.39,0.34,0.29,0.12,0.01,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
08/17/2021,18.85,7.25,6.54,6.46,5.52,5.58,4.8,4.72,4.57,3.97,4.42,3.17,3.22,2.14,1.85,1.42,1.72,1.32,1.22,1.36,1.17,0.89,0.74,0.99,0.77,0.65,0.67,0.6,0.62,0.56,0.51,0.51,0.39,0.34,0.29,0.12,0.01,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99000000000002
08/19/2021,19.13,7.36,6.38,6.5,5.57,5.59,4.82,4.74,4.57,3.93,4.39,3.14,3.11,2.12,1.85,1.41,1.7,1.33,1.17,1.32,1.17,0.89,0.74,0.96,0.77,0.66,0.66,0.61,0.62,0.56,0.51,0.5,0.39,0.35,0.29,0.12,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/20/2021,19.41,7.46,6.09,6.59,5.65,5.58,4.8,4.73,4.62,3.98,4.29,3.14,3.03,2.11,1.85,1.42,1.65,1.33,1.17,1.29,1.16,0.89,0.74,0.93,0.77,0.66,0.67,0.6,0.61,0.56,0.52,0.49,0.39,0.35,0.3,0.12,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/23/2021,19.94,7.4,5.85,6.76,5.58,5.58,4.78,4.71,4.58,3.86,4.33,3.08,3.07,2.11,1.84,1.41,1.66,1.33,1.14,1.26,1.17,0.89,0.77,0.85,0.78,0.66,0.64,0.6,0.61,0.55,0.53,0.48,0.38,0.34,0.31,0.12,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
08/24/2021,20.03,7.26,5.9,6.78,5.54,5.59,4.76,4.69,4.57,3.79,4.27,3.1,3.15,2.13,1.84,1.39,1.65,1.34,1.17,1.3,1.17,0.87,0.78,0.86,0.78,0.66,0.64,0.6,0.61,0.56,0.53,0.48,0.38,0.35,0.31,0.12,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/25/2021,20.03,7.26,5.9,6.78,5.54,5.59,4.76,4.69,4.57,3.79,4.27,3.1,3.15,2.13,1.84,1.39,1.65,1.34,1.17,1.3,1.17,0.87,0.78,0.86,0.78,0.66,0.64,0.6,0.61,0.56,0.53,0.48,0.38,0.35,0.31,0.12,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/26/2021,19.71,7.25,6.07,6.71,5.61,5.62,4.75,4.66,4.53,3.75,4.34,3.12,3.22,2.12,1.85,1.39,1.68,1.32,1.16,1.31,1.17,0.89,0.78,0.93,0.77,0.66,0.65,0.6,0.61,0.56,0.52,0.48,0.38,0.35,0.31,0.12,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/27/2021,19.51,7.19,6.19,6.64,5.53,5.68,4.78,4.64,4.52,3.76,4.43,3.17,3.21,2.13,1.85,1.4,1.71,1.3,1.16,1.34,1.17,0.88,0.77,0.94,0.77,0.66,0.67,0.61,0.61,0.56,0.52,0.49,0.38,0.36,0.3,0.11,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/30/2021,19.55,7.17,6.11,6.7,5.48,5.75,4.77,4.61,4.54,3.91,4.27,3.15,3.25,2.15,1.85,1.46,1.67,1.3,1.15,1.32,1.15,0.87,0.77,0.93,0.77,0.66,0.68,0.62,0.6,0.57,0.52,0.48,0.38,0.36,0.3,0.12,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/31/2021,19.42,7.05,6.36,6.64,5.53,5.81,4.75,4.55,4.49,3.87,4.26,3.14,3.28,2.14,1.87,1.42,1.69,1.28,1.15,1.34,1.16,0.88,0.78,0.98,0.77,0.66,0.68,0.62,0.6,0.57,0.51,0.48,0.39,0.36,0.3,0.12,0.01,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/01/2021,19.42,7.05,6.36,6.64,5.53,5.81,4.75,4.55,4.49,3.87,4.26,3.14,3.28,2.14,1.87,1.42,1.69,1.28,1.15,1.34,1.16,0.88,0.78,0.98,0.77,0.66,0.68,0.62,0.6,0.57,0.51,0.48,0.39,0.36,0.3,0.12,0.01,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/02/2021,19.54,7.12,6.39,6.68,5.48,5.7,4.68,4.56,4.48,3.84,4.31,3.12,3.29,2.14,1.85,1.43,1.68,1.29,1.14,1.33,1.16,0.87,0.76,0.98,0.76,0.65,0.67,0.62,0.6,0.57,0.52,0.48,0.39,0.36,0.3,0.12,0.01,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/03/2021,19.58,7.13,6.38,6.71,5.56,5.63,4.71,4.52,4.51,3.88,4.21,3.09,3.31,2.14,1.85,1.44,1.62,1.27,1.17,1.33,1.14,0.87,0.76,0.99,0.76,0.65,0.66,0.63,0.59,0.6,0.52,0.47,0.38,0.36,0.31,0.12,0.01,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/06/2021,19.58,7.13,6.34,6.73,5.61,5.59,4.69,4.49,4.5,3.95,4.11,2.99,3.4,2.1,1.84,1.49,1.61,1.27,1.18,1.34,1.14,0.87,0.77,1.04,0.74,0.66,0.67,0.64,0.59,0.6,0.52,0.46,0.38,0.36,0.3,0.13,0.01,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/07/2021,19.57,7.13,6.36,6.72,5.74,5.58,4.6,4.43,4.51,3.97,4.1,2.96,3.39,2.1,1.84,1.47,1.61,1.27,1.17,1.33,1.14,0.89,0.78,1.06,0.74,0.67,0.66,0.64,0.59,0.62,0.52,0.46,0.38,0.36,0.3,0.12,0.02,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/08/2021,19.57,7.13,6.36,6.72,5.74,5.58,4.6,4.43,4.51,3.97,4.1,2.96,3.39,2.1,1.84,1.47,1.61,1.27,1.17,1.33,1.14,0.89,0.78,1.06,0.74,0.67,0.66,0.64,0.59,0.62,0.52,0.46,0.38,0.36,0.3,0.12,0.02,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/09/2021,19.61,7.14,6.37,6.74,5.75,5.59,4.61,4.44,4.52,3.98,4.1,2.96,3.39,2.1,1.85,1.48,1.61,1.27,1.17,1.34,1.15,0.89,0.78,1.06,0.74,0.67,0.66,0.64,0.59,0.62,0.52,0.46,0.38,0.36,0.3,0.12,0.02,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.17
