,KOZAL.IS,RGLD,PRU.AX,KNT.TO,WDO.TO,CDE,MUX,RSG.AX,AR.TO,OR.TO,EVN.AX,ALK.AX,OGC CN,DRD,SSRM CN,WAF.AX,GOR.AX,CEY.L,SSL.TO,RMS.AX,YRI.TO,SLR.AX,BTO.TO,AGI.TO,LUG.TO,POG.L,ELD.TO,GCM.TO,IMG.TO,KRR.TO,DPM.TO,SBM.AX,CG.TO,TXG.TO,PVG.TO,WGX.AX,RRL.AX,GSC.TO,EQX CN,GPR.TO,SEA.TO,JAG.TO,CMCL,GGP.L,RED.AX,OSK.TO,GSV.TO,PAF.L,NG CN,SBB.TO,GBR.V,CXB.TO,NVO.TO,DCN.AX,Cash&Other,KOZAL.E.IS,KOZAL TI,WDO CN,AR CN,PRU AU,LUG CN,WAF AU,OR CN,YRI CN,KNT CN,AGI CN,GOR AU,CEY LN,EVN AU,RSG AU,DPM CN,BTO CN,PVG CN,RMS AU,POG LN,ALK AU,GCM CN,SSL CN,ELD CN,CG CN,TXG CN,RED AU,KRR CN,SLR AU,RRL AU,WGX AU,SA,GSS,IMG CN,SBM AU,GGP LN,GPL,OSK CN,PAF LN,GSV,JAG CN,SBB CN,CXB CN,BLBCH11,B669XF8,DCN AU,GSC.NE,IAU.TO,ARCI.JK,SUM
07/09/2021,3.17,2.62,2.59,2.56,2.55,2.4,2.37,2.34,2.32,2.3,2.29,2.28,2.26,2.18,2.16,2.12,2.11,2.09,2.06,2.02,2.0,1.98,1.97,1.97,1.93,1.88,1.88,1.87,1.85,1.83,1.79,1.75,1.75,1.72,1.71,1.68,1.67,1.65,1.63,1.52,1.48,1.46,1.42,1.4,1.38,1.36,1.36,1.27,1.22,1.08,0.99,0.98,0.81,0.79,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/12/2021,3.16,2.64,2.49,2.51,2.58,2.36,2.28,2.55,2.35,2.25,2.3,2.27,2.27,2.13,2.2,2.26,2.15,2.05,2.07,2.03,1.99,2.01,1.91,1.96,1.92,1.85,1.85,1.82,1.84,1.76,1.83,1.8,1.73,1.66,1.68,1.67,1.69,1.62,1.64,1.5,1.48,1.46,1.4,1.47,1.4,1.44,1.36,1.25,1.23,1.07,1.0,1.01,0.82,0.84,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,3.16,2.64,2.49,2.51,2.58,2.36,2.28,2.55,2.35,2.25,2.3,2.27,2.27,2.13,2.2,2.26,2.15,2.05,2.07,2.03,1.99,2.01,1.91,1.96,1.92,1.85,1.85,1.82,1.84,1.76,1.83,1.8,1.73,1.66,1.68,1.67,1.69,1.62,1.64,1.5,1.48,1.46,1.4,1.47,1.4,1.44,1.36,1.25,1.23,1.07,1.0,1.01,0.82,0.84,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/14/2021,3.16,2.64,2.49,2.51,2.58,2.36,2.28,2.55,2.35,2.25,2.3,2.27,2.27,2.13,2.2,2.26,2.15,2.05,2.07,2.03,1.99,2.01,1.91,1.96,1.92,1.85,1.85,1.82,1.84,1.76,1.83,1.8,1.73,1.66,1.68,1.67,1.69,1.62,1.64,1.5,1.48,1.46,1.4,1.47,1.4,1.44,1.36,1.25,1.23,1.07,1.0,1.01,0.82,0.84,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,3.1,2.65,2.54,2.5,2.59,2.3,2.24,2.55,2.35,2.29,2.37,2.36,2.18,2.11,2.19,2.28,2.2,2.1,2.08,2.09,1.96,2.03,1.87,1.96,1.92,1.88,1.83,1.81,1.83,1.78,1.8,1.81,1.68,1.63,1.67,1.7,1.72,1.59,1.61,1.48,1.48,1.44,1.41,1.54,1.41,1.42,1.33,1.24,1.22,1.06,1.0,1.0,0.8,0.85,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/16/2021,3.14,2.66,2.53,2.51,2.6,2.3,2.15,2.48,2.39,2.29,2.35,2.16,2.2,2.1,2.24,2.26,2.16,2.1,2.1,2.09,1.98,2.02,1.9,2.02,1.95,1.87,1.85,1.79,1.82,1.76,1.86,1.77,1.66,1.66,1.68,1.67,1.7,1.63,1.62,1.47,1.48,1.44,1.44,1.49,1.41,1.44,1.39,1.24,1.22,1.08,1.0,1.05,0.79,0.89,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,3.14,2.64,2.52,2.49,2.63,2.22,2.13,2.51,2.39,2.25,2.44,2.18,2.3,2.15,2.24,2.15,2.2,2.09,2.08,2.19,2.04,2.1,1.98,2.04,1.93,1.82,1.84,1.73,1.84,1.82,1.81,1.85,1.67,1.65,1.69,1.68,1.74,1.52,1.6,1.53,1.47,1.45,1.39,1.49,1.26,1.41,1.37,1.23,1.2,1.09,0.96,1.05,0.78,0.85,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97999999999998
07/20/2021,3.19,2.65,2.59,2.5,2.6,2.18,2.1,2.54,2.43,2.27,2.37,2.27,2.25,2.12,2.24,2.22,2.25,2.09,2.05,2.19,2.03,2.13,1.9,2.02,1.91,1.83,1.8,1.73,1.79,1.76,1.8,1.87,1.68,1.63,1.69,1.71,1.79,1.48,1.56,1.52,1.48,1.42,1.38,1.49,1.4,1.41,1.39,1.22,1.19,1.07,0.94,1.05,0.76,0.89,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/21/2021,3.19,2.65,2.59,2.5,2.6,2.18,2.1,2.54,2.43,2.27,2.37,2.27,2.25,2.12,2.24,2.22,2.25,2.09,2.05,2.19,2.03,2.13,1.9,2.02,1.91,1.83,1.8,1.73,1.79,1.76,1.8,1.87,1.68,1.63,1.69,1.71,1.79,1.48,1.56,1.52,1.48,1.42,1.38,1.49,1.4,1.41,1.39,1.22,1.19,1.07,0.94,1.05,0.76,0.89,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/22/2021,3.27,2.74,2.61,2.41,2.63,2.13,2.09,2.59,2.48,2.29,2.23,2.26,2.25,2.14,2.23,2.22,2.23,2.18,2.06,2.19,2.04,2.11,1.94,2.05,1.89,1.82,1.81,1.7,1.79,1.79,1.8,1.86,1.73,1.63,1.7,1.68,1.78,1.44,1.55,1.46,1.5,1.4,1.39,1.54,1.37,1.4,1.38,1.19,1.18,1.1,0.91,1.07,0.75,0.85,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
