,PGR,ALL,CB,TRV,AIG,SIGI,RLI,AIZ,ACGL,WRB,THG,RNR,KMPR,CINF,RE,HIG,AFG,AXS,MCY,SPNT,HMN,JRVR,PRA,UVE,Cash/Receivables/Payables,AGPXX,95IE.L,n/a,ALS.,SUM
07/09/2021,8.25,8.06,7.92,7.89,7.37,4.19,4.14,4.07,4.06,4.06,4.06,4.02,4.0,4.0,3.99,3.91,3.82,3.65,3.16,1.41,1.4,1.17,1.04,0.38,-0.01,0.0,0.0,0.0,0.0,100.01
07/12/2021,8.34,8.11,7.94,7.97,7.36,4.18,4.15,4.04,4.0,4.02,4.09,4.07,3.94,4.05,3.96,3.91,3.85,3.62,3.06,1.4,1.36,1.17,1.02,0.37,0.0,0.03,0.0,0.0,0.0,100.01
07/13/2021,8.34,8.11,7.94,7.97,7.36,4.18,4.15,4.04,4.0,4.02,4.09,4.07,3.94,4.05,3.96,3.91,3.85,3.62,3.06,1.4,1.36,1.17,1.02,0.37,0.0,0.03,0.0,0.0,0.0,100.01
07/14/2021,8.34,8.11,7.94,7.97,7.36,4.18,4.15,4.04,4.0,4.02,4.09,4.07,3.94,4.05,3.96,3.91,3.85,3.62,3.06,1.4,1.36,1.17,1.02,0.37,0.0,0.03,0.0,0.0,0.0,100.01
07/15/2021,8.3,8.11,7.97,7.95,7.39,4.12,4.1,4.01,3.96,4.03,4.12,4.02,3.94,4.05,3.94,3.99,3.87,3.66,3.08,1.4,1.38,1.17,1.02,0.37,0.0,0.03,0.0,0.0,0.0,99.98
07/16/2021,8.25,8.09,8.01,8.0,7.39,4.11,4.11,4.02,3.93,4.02,4.08,4.01,3.92,4.07,3.93,4.0,3.88,3.68,3.11,1.4,1.37,1.2,1.01,0.38,0.0,0.03,0.0,0.0,0.0,100.0
07/19/2021,7.95,7.92,8.1,8.08,7.54,4.1,4.17,4.01,3.95,4.06,4.07,4.07,3.88,4.04,3.93,4.01,3.91,3.71,3.0,1.39,1.4,1.21,1.03,0.37,0.03,0.06,0.0,0.0,0.0,99.99
07/20/2021,8.04,7.91,8.12,8.11,7.35,4.12,4.24,4.0,3.95,4.07,4.06,4.09,3.88,4.03,3.93,4.01,3.94,3.72,2.98,1.39,1.4,1.2,1.03,0.37,0.0,0.06,0.0,0.0,0.0,100.0
07/21/2021,8.04,7.91,8.12,8.11,7.35,4.12,4.24,4.0,3.95,4.07,4.06,4.09,3.88,4.03,3.93,4.01,3.94,3.72,2.98,1.39,1.4,1.2,1.03,0.37,0.0,0.06,0.0,0.0,0.0,100.0
07/22/2021,8.04,7.91,8.12,8.11,7.35,4.12,4.24,4.0,3.95,4.07,4.06,4.09,3.88,4.03,3.93,4.01,3.94,3.72,2.98,1.39,1.4,1.2,1.03,0.37,0.0,0.06,0.0,0.0,0.0,100.0
07/23/2021,7.99,7.85,8.27,7.93,7.49,4.15,4.25,4.01,3.98,4.08,4.01,4.1,3.86,4.04,3.89,4.0,4.01,3.68,2.99,1.36,1.42,1.19,1.01,0.37,0.0,0.06,0.0,0.0,0.0,99.99
07/26/2021,7.96,7.93,8.31,7.81,7.6,4.11,4.17,3.99,4.04,4.07,3.97,4.15,3.85,3.99,3.94,3.98,4.06,3.69,2.98,1.38,1.42,1.17,0.99,0.37,0.0,0.06,0.0,0.0,0.0,99.99
07/27/2021,8.04,7.99,8.26,7.79,7.53,4.15,4.23,4.05,4.06,4.04,4.0,4.08,3.84,3.98,3.93,3.95,3.98,3.69,3.02,1.37,1.42,1.18,0.98,0.37,0.0,0.06,0.0,0.0,0.0,99.99
