,700.HK,BABA,3690.HK,PDD,JD,BILI,BIDU,BEKE,NTES,TCOM,1024.HK,6618.HK,TAL,TME,VIPS,241.HK,LU,1833.HK,IQ,3888.HK,909.HK,772.HK,ZH,2013.HK,QFIN,ATHM,Cash,6060.HK,YY,WB,API,KC,VNET,780.HK,2158.HK,JOBS,DADA,2400.HK,MOMO,CD,BZUN,GOTU,1060.HK,DAO,9923.HK,HUYA,DOYU,YQ,1797.HK,9990.HK,7342.T,7342.T.1,YMM,ANSGR.IS,9988.HK,IPO-ROF.L,n/a,AEGN.AT,603613.SS,SUM
07/09/2021,9.57,9.09,8.43,6.58,6.02,4.56,4.31,4.16,3.94,3.76,3.72,3.71,2.45,2.12,1.86,1.82,1.66,1.45,1.2,1.18,1.17,1.15,1.14,1.09,0.96,0.88,0.84,0.82,0.81,0.78,0.78,0.73,0.65,0.6,0.6,0.57,0.54,0.47,0.47,0.46,0.45,0.45,0.42,0.39,0.32,0.27,0.23,0.13,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96999999999998
07/12/2021,10.58,9.17,8.22,6.88,6.12,3.73,3.94,3.59,4.1,4.11,3.91,3.5,2.02,1.87,1.78,1.66,1.56,1.31,1.07,1.2,1.14,1.08,0.85,0.98,0.81,0.94,0.06,0.77,0.77,0.82,0.7,0.67,0.58,0.64,0.59,0.53,0.49,0.39,0.41,0.51,0.36,0.4,0.37,0.36,0.32,0.29,0.18,0.1,0.13,0.0,0.0,0.0,3.33,0.12,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,10.58,9.17,8.22,6.88,6.12,3.73,3.94,3.59,4.1,4.11,3.91,3.5,2.02,1.87,1.78,1.66,1.56,1.31,1.07,1.2,1.14,1.08,0.85,0.98,0.81,0.94,0.06,0.77,0.77,0.82,0.7,0.67,0.58,0.64,0.59,0.53,0.49,0.39,0.41,0.51,0.36,0.4,0.37,0.36,0.32,0.29,0.18,0.1,0.13,0.0,0.0,0.0,3.33,0.12,0.0,0.0,0.0,0.0,0.0,100.01
07/14/2021,10.2,9.12,7.76,7.03,6.22,3.95,3.93,4.01,4.16,3.97,3.64,3.29,2.22,1.77,1.83,1.64,1.42,1.28,1.06,1.16,1.17,1.1,0.96,0.97,0.65,0.96,0.31,0.78,0.76,0.83,0.71,0.67,0.58,0.64,0.58,0.53,0.5,0.38,0.4,0.52,0.37,0.41,0.36,0.38,0.32,0.29,0.18,0.1,0.11,0.0,0.0,0.0,3.7,0.11,0.0,0.0,0.0,0.0,0.0,99.99
07/15/2021,10.13,9.16,7.94,7.05,6.23,3.99,3.94,3.75,4.21,3.96,3.57,3.46,2.15,1.71,1.84,1.7,1.35,1.32,1.06,1.22,1.21,1.13,0.93,0.99,0.66,0.96,0.15,0.81,0.74,0.84,0.71,0.67,0.57,0.66,0.61,0.54,0.51,0.4,0.4,0.52,0.36,0.38,0.36,0.38,0.32,0.29,0.16,0.1,0.11,0.0,0.0,0.0,3.69,0.11,0.0,0.0,0.0,0.0,0.0,100.01
07/16/2021,10.08,8.94,7.86,6.85,6.25,3.95,3.86,3.76,4.15,3.83,3.6,3.38,2.17,1.73,1.85,1.63,1.35,1.26,1.02,1.2,1.16,1.1,0.95,0.93,0.67,0.95,1.27,0.77,0.76,0.83,0.69,0.67,0.56,0.64,0.59,0.51,0.49,0.39,0.39,0.5,0.36,0.37,0.36,0.38,0.31,0.29,0.17,0.1,0.11,0.0,0.0,0.0,3.95,0.11,0.0,0.0,0.0,0.0,0.0,100.04999999999998
07/19/2021,10.17,9.14,7.67,6.76,6.27,3.94,3.88,3.7,4.23,3.75,3.5,3.29,2.2,1.65,1.85,1.63,1.32,1.28,0.98,1.17,1.14,1.09,0.99,0.84,0.72,0.94,1.74,0.9,0.76,0.83,0.63,0.65,0.53,0.64,0.59,0.51,0.49,0.37,0.39,0.5,0.36,0.36,0.36,0.37,0.31,0.29,0.15,0.09,0.11,0.0,0.0,0.0,3.87,0.1,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,10.17,9.14,7.67,6.76,6.27,3.94,3.88,3.7,4.23,3.75,3.5,3.29,2.2,1.65,1.85,1.63,1.32,1.28,0.98,1.17,1.14,1.09,0.99,0.84,0.72,0.94,1.74,0.9,0.76,0.83,0.63,0.65,0.53,0.64,0.59,0.51,0.49,0.37,0.39,0.5,0.36,0.36,0.36,0.37,0.31,0.29,0.15,0.09,0.11,0.0,0.0,0.0,3.87,0.1,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,10.17,9.14,7.67,6.76,6.27,3.94,3.88,3.7,4.23,3.75,3.5,3.29,2.2,1.65,1.85,1.63,1.32,1.28,0.98,1.17,1.14,1.09,0.99,0.84,0.72,0.94,1.74,0.9,0.76,0.83,0.63,0.65,0.53,0.64,0.59,0.51,0.49,0.37,0.39,0.5,0.36,0.36,0.36,0.37,0.31,0.29,0.15,0.09,0.11,0.0,0.0,0.0,3.87,0.1,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,10.17,9.14,7.67,6.76,6.27,3.94,3.88,3.7,4.23,3.75,3.5,3.29,2.2,1.65,1.85,1.63,1.32,1.28,0.98,1.17,1.14,1.09,0.99,0.84,0.72,0.94,1.74,0.9,0.76,0.83,0.63,0.65,0.53,0.64,0.59,0.51,0.49,0.37,0.39,0.5,0.36,0.36,0.36,0.37,0.31,0.29,0.15,0.09,0.11,0.0,0.0,0.0,3.87,0.1,0.0,0.0,0.0,0.0,0.0,100.0
07/23/2021,10.42,9.56,7.76,6.66,6.43,4.27,3.97,3.85,4.47,3.66,3.34,3.48,2.05,1.64,1.8,1.58,1.34,1.26,1.02,1.14,1.11,1.1,1.21,0.73,0.71,0.91,0.21,0.86,0.76,0.85,0.66,0.67,0.53,0.65,0.59,0.54,0.49,0.42,0.39,0.52,0.35,0.32,0.38,0.4,0.29,0.28,0.16,0.09,0.1,0.0,0.0,0.0,3.94,0.1,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/26/2021,10.34,9.62,7.81,6.78,6.55,4.11,3.94,3.81,4.4,3.58,3.46,3.5,2.18,1.63,1.79,1.59,1.26,1.19,0.99,1.12,1.11,1.11,1.13,0.77,0.71,0.85,0.67,0.92,0.75,0.85,0.63,0.68,0.54,0.64,0.58,0.54,0.49,0.4,0.39,0.52,0.36,0.3,0.38,0.4,0.31,0.27,0.15,0.08,0.11,0.0,0.0,0.0,3.62,0.1,0.0,0.0,0.0,0.0,0.0,100.01
07/27/2021,10.34,9.62,7.81,6.78,6.55,4.11,3.94,3.81,4.4,3.58,3.46,3.5,2.18,1.63,1.79,1.59,1.26,1.19,0.99,1.12,1.11,1.11,1.13,0.77,0.71,0.85,0.67,0.92,0.75,0.85,0.63,0.68,0.54,0.64,0.58,0.54,0.49,0.4,0.39,0.52,0.36,0.3,0.38,0.4,0.31,0.27,0.15,0.08,0.11,0.0,0.0,0.0,3.62,0.1,0.0,0.0,0.0,0.0,0.0,100.01
07/28/2021,10.34,9.62,7.81,6.78,6.55,4.11,3.94,3.81,4.4,3.58,3.46,3.5,2.18,1.63,1.79,1.59,1.26,1.19,0.99,1.12,1.11,1.11,1.13,0.77,0.71,0.85,0.67,0.92,0.75,0.85,0.63,0.68,0.54,0.64,0.58,0.54,0.49,0.4,0.39,0.52,0.36,0.3,0.38,0.4,0.31,0.27,0.15,0.08,0.11,0.0,0.0,0.0,3.62,0.1,0.0,0.0,0.0,0.0,0.0,100.01
07/29/2021,11.19,10.42,7.9,6.92,6.89,4.0,4.33,2.96,4.22,3.84,3.26,3.41,0.56,1.78,1.97,1.64,1.39,1.31,1.07,1.18,1.12,1.27,1.07,0.77,0.76,0.92,0.25,1.03,0.85,0.95,0.62,0.74,0.57,0.73,0.65,0.63,0.49,0.42,0.42,0.57,0.33,0.09,0.43,0.19,0.32,0.31,0.17,0.05,0.06,0.0,0.0,0.0,2.89,0.11,0.0,0.0,0.0,0.0,0.0,100.02
