,2330.TW,9988.HK,700.HK,3690.HK,NPN.JO,RELIANCE.NS,939.HK,INFY.NS,NIO,2318.HK,HDFC.NS,2269.HK,2454.TW,GAZP.ME,035420.KS,035720.KS,TCS.NS,LKOH.ME,006400.KS,051910.KS,M4B.,2010.SR,YUMC,HINDUNILVR.NS,2331.HK,BBCA.JK,BBDC4.SA,AXISBANK.NS,2303.TW,BY6.,QNBK.QA,2308.TW,2603.TW,NVTK.L,2313.HK,FAB.,B3SA3.SA,FSR.JO,105560.KS,2319.HK,175.HK,2881.TW,2002.TW,FEMSAUBD.MX,GFNORTEO.MX,LI,1303.TW,066570.KS,055550.KS,2412.TW,ASIANPAINT.NS,2882.TW,2891.TW,2688.HK,6098.HK,051900.KS,HCLTECH.NS,PBBANK.KL,XPEV,IMP.JO,3711.TW,CEMEXCPO.MX,096770.KS,1216.TW,2886.TW,MTN.JO,OTP.BD,KFH.,1093.HK,SBK.JO,WEGE3.SA,300750.SZ,017670.KS,CPALL-R.BK,2884.TW,ETISALAT.,SCVUF,NTCO3.SA,SBIN.NS,2333.HK,960.HK,WIPRO.NS,1177.HK,2885.TW,968.HK,384.HK,5871.TW,CPI.JO,009150.KS,M&M.NS,EMIRATESNBD.DB,PKO.WA,688.HK,2892.TW,268.HK,GNDI3.SA,1101.TW,TITAN.NS,GLOB,VIPS,091990.KQ,GFI.JO,2327.TW,003550.KS,AOT-R.BK,HINDALCO.NS,241.HK,992.HK,SLM.JO,SMPH.PM,MAYBANK.KL,LREN3.SA,RENT3.SA,034730.KS,NESTLEIND.NS,1211.SR,6186.HK,POLY.L,BID.JO,2359.HK,CIMB.KL,KGH.WA,090430.KS,BDMS-R.BK,3481.TW,2409.TW,2207.TW,601318.SS,586.HK,ABG.JO,267.HK,PKN.WA,AMS.JO,PLZL.ME,NVAA.,018260.KS,SQM/B.SN,PZU.WA,ALI.PM,3045.TW,2880.TW,VOD.JO,2887.TW,NAUKRI.NS,BBDC3.SA,000810.KS,ADANIGREEN.NS,GRASIM.NS,853.HK,881.HK,1193.HK,UPL.NS,5876.TW,2202.HK,BBAS3.SA,SHP.JO,NHM.JO,3692.HK,601888.SS,034220.KS,EICHERMOT.NS,BRITANNIA.NS,SM.PM,CSAN3.SA,PTTEP-R.BK,RAIL3.SA,2890.TW,TOPGLOV.KL,ADCB.,2018.HK,2912.TW,1066.HK,BPCL.NS,PEO.WA,PIDILITIND.NS,DABUR.NS,009830.KS,AC.PM,1548.HK,HEROMOTOCO.NS,VIVT3.SA,1772.HK,601166.SS,2280.SR,COMI.CA,MBT,EQTL3.SA,REM.JO,CLS.JO,NED.JO,1476.TW,003490.KS,2301.TW,NLMK.ME,PTTGC-R.BK,APN.JO,OMU.JO,3606.HK,BAJAJ-AUTO.NS,MARICO.NS,XTSLA,HKD,ALDAR.,HTO.AT,SHREECEM.NS,002594.SZ,003670.KS,VVAR3.SA,2196.HK,000720.KS,656.HK,NVAM.,AMER3.SA,MOTHERSUMI.NS,011170.KS,TWD,021240.KS,AMBUJACEM.NS,SUM
07/09/2021,5.15,4.87,4.43,3.44,2.17,2.07,1.94,1.82,1.66,1.55,1.46,1.4,1.28,1.2,1.14,1.1,1.03,0.98,0.93,0.9,0.82,0.73,0.71,0.69,0.65,0.6,0.59,0.58,0.58,0.57,0.57,0.54,0.53,0.52,0.52,0.5,0.49,0.48,0.48,0.47,0.47,0.45,0.43,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.37,0.36,0.34,0.34,0.32,0.32,0.32,0.32,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.5
07/12/2021,5.2,4.69,4.28,3.24,2.18,2.08,1.8,1.85,1.53,1.52,1.5,1.44,1.3,1.2,1.18,1.15,1.05,0.96,0.92,0.9,0.8,0.73,0.72,0.7,0.66,0.61,0.59,0.58,0.58,0.58,0.58,0.54,0.5,0.52,0.5,0.5,0.5,0.5,0.47,0.46,0.48,0.46,0.42,0.42,0.41,0.39,0.41,0.39,0.39,0.4,0.41,0.4,0.4,0.39,0.37,0.38,0.38,0.37,0.4,0.34,0.34,0.32,0.31,0.33,0.32,0.32,0.31,0.3,0.31,0.3,0.29,0.32,0.28,0.28,0.28,0.28,0.26,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.24,0.24,0.23,0.23,0.22,0.21,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.2,0.21,0.21,0.2,0.21,0.2,0.19,0.2,0.2,0.2,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.18,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.0,0.0,0.11,0.11,0.0,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.12,0.11,0.0,0.0,0.0,0.46,0.22,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.82000000000001
07/13/2021,5.2,4.69,4.28,3.24,2.18,2.08,1.8,1.85,1.53,1.52,1.5,1.44,1.3,1.2,1.18,1.15,1.05,0.96,0.92,0.9,0.8,0.73,0.72,0.7,0.66,0.61,0.59,0.58,0.58,0.58,0.58,0.54,0.5,0.52,0.5,0.5,0.5,0.5,0.47,0.46,0.48,0.46,0.42,0.42,0.41,0.39,0.41,0.39,0.39,0.4,0.41,0.4,0.4,0.39,0.37,0.38,0.38,0.37,0.4,0.34,0.34,0.32,0.31,0.33,0.32,0.32,0.31,0.3,0.31,0.3,0.29,0.32,0.28,0.28,0.28,0.28,0.26,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.24,0.24,0.23,0.23,0.22,0.21,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.2,0.21,0.21,0.2,0.21,0.2,0.19,0.2,0.2,0.2,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.18,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.0,0.0,0.11,0.11,0.0,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.12,0.11,0.0,0.0,0.0,0.46,0.22,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.82000000000001
07/16/2021,5.3,4.8,4.43,3.52,2.16,2.06,1.76,1.81,1.49,1.5,1.5,1.46,1.29,1.21,1.22,1.12,1.01,0.95,0.92,0.86,0.81,0.72,0.7,0.69,0.66,0.6,0.61,0.59,0.58,0.61,0.57,0.54,0.39,0.51,0.5,0.49,0.53,0.47,0.46,0.46,0.49,0.46,0.39,0.42,0.41,0.39,0.41,0.39,0.39,0.4,0.4,0.41,0.39,0.39,0.37,0.37,0.37,0.36,0.39,0.35,0.35,0.31,0.31,0.32,0.32,0.3,0.3,0.3,0.31,0.29,0.3,0.31,0.29,0.28,0.28,0.28,0.26,0.27,0.26,0.29,0.25,0.25,0.25,0.23,0.26,0.25,0.25,0.22,0.23,0.24,0.23,0.22,0.23,0.22,0.22,0.23,0.23,0.22,0.23,0.24,0.21,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.21,0.21,0.2,0.2,0.19,0.19,0.2,0.19,0.2,0.18,0.18,0.18,0.18,0.16,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.18,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.16,0.15,0.13,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.15,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.14,0.12,0.11,0.12,0.0,0.0,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.12,0.11,0.0,0.0,0.0,0.0,0.23,0.11,0.0,0.11,0.11,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.56
07/19/2021,5.34,4.89,4.48,3.44,2.24,2.03,1.76,1.84,1.44,1.51,1.49,1.52,1.32,1.14,1.23,1.1,1.01,0.92,0.92,0.84,0.83,0.73,0.7,0.68,0.69,0.61,0.61,0.59,0.59,0.55,0.56,0.57,0.39,0.49,0.48,0.49,0.53,0.47,0.46,0.46,0.47,0.48,0.4,0.42,0.41,0.37,0.42,0.38,0.38,0.4,0.39,0.42,0.39,0.42,0.38,0.36,0.39,0.36,0.38,0.35,0.36,0.31,0.3,0.32,0.32,0.31,0.3,0.3,0.33,0.28,0.3,0.32,0.28,0.27,0.28,0.27,0.25,0.27,0.26,0.28,0.25,0.27,0.25,0.23,0.25,0.25,0.25,0.22,0.24,0.23,0.23,0.22,0.23,0.22,0.22,0.23,0.22,0.21,0.22,0.24,0.22,0.22,0.21,0.21,0.2,0.22,0.21,0.2,0.2,0.18,0.19,0.21,0.22,0.2,0.2,0.19,0.2,0.2,0.19,0.21,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.16,0.15,0.13,0.14,0.15,0.14,0.15,0.14,0.14,0.13,0.15,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.12,0.15,0.12,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.11,0.12,0.12,0.12,0.11,0.15,0.12,0.11,0.12,0.0,0.0,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.12,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.23,0.11,0.0,0.11,0.0,0.11,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,85.59
07/22/2021,5.14,4.81,4.44,3.34,2.28,2.08,1.78,1.82,1.46,1.53,1.48,1.57,1.29,1.14,1.24,1.08,1.02,0.9,0.93,0.85,0.83,0.74,0.7,0.69,0.68,0.61,0.58,0.58,0.57,0.55,0.58,0.55,0.45,0.48,0.47,0.5,0.52,0.47,0.46,0.46,0.47,0.51,0.4,0.42,0.41,0.38,0.42,0.38,0.38,0.4,0.4,0.44,0.4,0.43,0.38,0.36,0.38,0.36,0.4,0.32,0.36,0.3,0.3,0.33,0.32,0.31,0.31,0.31,0.33,0.28,0.29,0.3,0.29,0.28,0.28,0.28,0.26,0.27,0.26,0.29,0.25,0.27,0.25,0.24,0.25,0.26,0.26,0.22,0.23,0.24,0.24,0.22,0.23,0.22,0.23,0.22,0.23,0.21,0.23,0.22,0.22,0.22,0.21,0.21,0.2,0.22,0.21,0.19,0.2,0.18,0.19,0.21,0.21,0.2,0.21,0.19,0.2,0.2,0.18,0.21,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.17,0.17,0.16,0.15,0.15,0.16,0.16,0.15,0.17,0.16,0.14,0.16,0.15,0.15,0.16,0.14,0.16,0.15,0.13,0.14,0.14,0.14,0.15,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.14,0.12,0.15,0.14,0.13,0.14,0.12,0.14,0.13,0.14,0.12,0.12,0.12,0.12,0.11,0.16,0.12,0.11,0.13,0.0,0.0,0.12,0.0,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.12,0.11,0.12,0.0,0.0,0.0,0.0,0.12,0.22,0.11,0.0,0.11,0.0,0.12,0.0,0.11,0.0,0.0,0.0,0.12,0.11,0.11,0.0,0.0,0.0,85.46000000000001
07/23/2021,5.16,4.83,4.41,3.35,2.26,2.09,1.76,1.85,1.49,1.52,1.48,1.56,1.3,1.14,1.23,1.07,1.04,0.92,0.91,0.85,0.83,0.75,0.71,0.7,0.71,0.61,0.59,0.58,0.58,0.54,0.58,0.54,0.41,0.49,0.47,0.5,0.52,0.47,0.46,0.46,0.45,0.51,0.4,0.42,0.41,0.38,0.42,0.39,0.38,0.41,0.42,0.43,0.39,0.43,0.37,0.36,0.38,0.36,0.41,0.33,0.36,0.31,0.3,0.32,0.32,0.31,0.31,0.31,0.33,0.28,0.29,0.3,0.29,0.28,0.28,0.28,0.26,0.27,0.26,0.28,0.25,0.27,0.25,0.23,0.25,0.25,0.25,0.22,0.24,0.23,0.24,0.22,0.23,0.22,0.23,0.22,0.23,0.21,0.24,0.22,0.23,0.22,0.21,0.21,0.2,0.21,0.2,0.19,0.19,0.18,0.2,0.2,0.21,0.2,0.21,0.2,0.21,0.19,0.18,0.21,0.18,0.18,0.18,0.18,0.15,0.15,0.16,0.16,0.17,0.17,0.16,0.15,0.16,0.16,0.16,0.15,0.17,0.16,0.15,0.16,0.15,0.15,0.16,0.14,0.16,0.15,0.13,0.15,0.14,0.14,0.15,0.14,0.14,0.13,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.13,0.12,0.14,0.12,0.15,0.14,0.13,0.14,0.12,0.14,0.13,0.14,0.12,0.13,0.12,0.12,0.11,0.15,0.12,0.11,0.13,0.0,0.11,0.12,0.0,0.11,0.0,0.11,0.11,0.0,0.11,0.11,0.12,0.0,0.12,0.11,0.0,0.0,0.0,0.11,0.22,0.11,0.11,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.12,0.0,0.11,0.0,0.0,0.0,85.52000000000001
07/29/2021,5.25,4.67,4.06,2.92,2.16,2.12,1.79,1.96,1.49,1.47,1.51,1.35,1.33,1.2,1.29,1.06,1.06,0.96,0.94,0.86,0.81,0.77,0.72,0.69,0.63,0.62,0.61,0.6,0.6,0.58,0.6,0.55,0.35,0.51,0.48,0.51,0.53,0.48,0.47,0.46,0.47,0.5,0.4,0.43,0.44,0.39,0.42,0.4,0.39,0.41,0.42,0.42,0.41,0.44,0.3,0.32,0.4,0.37,0.42,0.36,0.36,0.33,0.3,0.33,0.33,0.32,0.31,0.32,0.32,0.28,0.3,0.31,0.28,0.28,0.29,0.29,0.26,0.28,0.27,0.35,0.26,0.29,0.24,0.24,0.25,0.25,0.27,0.23,0.24,0.24,0.25,0.23,0.24,0.23,0.22,0.22,0.24,0.23,0.25,0.21,0.22,0.22,0.22,0.21,0.2,0.23,0.18,0.18,0.2,0.18,0.2,0.21,0.22,0.2,0.22,0.21,0.2,0.19,0.19,0.19,0.18,0.19,0.17,0.18,0.16,0.17,0.17,0.15,0.17,0.17,0.16,0.15,0.18,0.16,0.17,0.16,0.17,0.16,0.14,0.16,0.16,0.15,0.16,0.14,0.16,0.15,0.13,0.15,0.12,0.14,0.15,0.15,0.14,0.12,0.15,0.14,0.15,0.12,0.12,0.12,0.13,0.13,0.12,0.15,0.12,0.15,0.14,0.14,0.14,0.12,0.14,0.12,0.14,0.12,0.13,0.13,0.12,0.0,0.13,0.12,0.0,0.14,0.0,0.11,0.12,0.0,0.0,0.0,0.12,0.11,0.11,0.11,0.12,0.13,0.11,0.12,0.11,0.0,0.0,0.0,0.11,0.23,0.11,0.0,0.0,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.11,0.12,0.11,0.0,85.3
07/30/2021,5.39,4.48,3.79,2.47,2.05,2.15,1.87,2.01,1.39,1.44,1.53,1.28,1.39,1.23,1.32,1.09,1.08,0.98,0.99,0.91,0.8,0.79,0.7,0.71,0.57,0.64,0.63,0.6,0.61,0.56,0.62,0.55,0.32,0.52,0.48,0.52,0.54,0.5,0.49,0.46,0.47,0.5,0.4,0.44,0.45,0.34,0.43,0.41,0.4,0.43,0.43,0.43,0.42,0.45,0.26,0.33,0.4,0.38,0.37,0.36,0.37,0.33,0.31,0.34,0.34,0.33,0.32,0.33,0.31,0.29,0.31,0.29,0.29,0.29,0.3,0.3,0.26,0.28,0.28,0.33,0.25,0.3,0.24,0.24,0.25,0.26,0.27,0.24,0.25,0.24,0.26,0.24,0.24,0.23,0.19,0.23,0.25,0.23,0.25,0.2,0.23,0.23,0.22,0.22,0.21,0.24,0.15,0.18,0.2,0.19,0.2,0.21,0.23,0.21,0.23,0.22,0.17,0.2,0.2,0.19,0.19,0.2,0.18,0.18,0.16,0.16,0.17,0.15,0.16,0.18,0.17,0.16,0.18,0.17,0.17,0.16,0.18,0.17,0.15,0.17,0.16,0.16,0.17,0.15,0.17,0.16,0.13,0.15,0.0,0.14,0.15,0.15,0.15,0.12,0.16,0.15,0.15,0.11,0.12,0.13,0.13,0.14,0.13,0.15,0.12,0.15,0.15,0.14,0.14,0.12,0.15,0.0,0.14,0.12,0.13,0.13,0.12,0.12,0.12,0.13,0.11,0.14,0.0,0.11,0.12,0.0,0.12,0.11,0.12,0.0,0.11,0.0,0.12,0.14,0.11,0.13,0.0,0.0,0.0,0.0,0.11,0.24,0.0,0.12,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.13,0.11,0.11,85.16
08/02/2021,5.24,4.74,4.03,2.8,2.26,2.08,1.76,1.95,1.45,1.45,1.47,1.42,1.34,1.22,1.24,1.06,1.05,0.96,0.97,0.88,0.81,0.77,0.69,0.68,0.65,0.61,0.63,0.57,0.61,0.61,0.6,0.53,0.35,0.54,0.48,0.51,0.51,0.49,0.48,0.45,0.51,0.48,0.4,0.45,0.45,0.38,0.42,0.41,0.41,0.42,0.41,0.41,0.4,0.44,0.32,0.32,0.39,0.36,0.39,0.38,0.36,0.34,0.3,0.33,0.33,0.32,0.32,0.32,0.33,0.29,0.32,0.32,0.28,0.28,0.29,0.29,0.25,0.26,0.28,0.37,0.24,0.29,0.24,0.24,0.25,0.25,0.26,0.24,0.25,0.23,0.25,0.23,0.22,0.23,0.23,0.22,0.24,0.23,0.25,0.2,0.22,0.23,0.21,0.21,0.2,0.26,0.18,0.18,0.2,0.18,0.2,0.2,0.22,0.2,0.21,0.21,0.19,0.2,0.19,0.21,0.18,0.19,0.17,0.17,0.16,0.16,0.17,0.15,0.16,0.18,0.17,0.15,0.19,0.17,0.17,0.16,0.17,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.16,0.15,0.13,0.14,0.13,0.14,0.15,0.15,0.13,0.12,0.14,0.14,0.15,0.12,0.12,0.12,0.12,0.13,0.12,0.15,0.12,0.14,0.14,0.13,0.14,0.12,0.15,0.12,0.14,0.12,0.13,0.12,0.0,0.0,0.13,0.12,0.11,0.15,0.0,0.11,0.12,0.0,0.12,0.11,0.12,0.0,0.11,0.11,0.12,0.14,0.11,0.13,0.0,0.0,0.0,0.0,0.12,0.25,0.11,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.13,0.11,0.0,85.37
