,WST,RMD,STMN.SW,PKI,SOON.SW,EW,WAT,DHR,DIM.PA,DXCM,ISRG,A,AFX.DE,SHL.DE,BIO,7741.T,MTD,DEMANT.CO,MASI,TMO,4543.T,ALGN,COO,ALC.SW,COLO B.CO,BSX,2359.HK,ABMD,SYK,MDT,STE,6869.T,ABT,HOLX,PODD,7733.T,FPH.NZ,SN.L,BDX,BIM.PA,XRAY,BAX,TFX,ZBH,TXG,PHIA.AS,EXAS,NVCR,GH,AMBU B.CO,n/a,SUM
08/25/2021,2.64,2.56,2.53,2.52,2.51,2.49,2.49,2.45,2.39,2.39,2.36,2.33,2.32,2.31,2.29,2.26,2.19,2.13,2.13,2.09,2.07,2.05,2.04,2.04,2.04,2.01,1.94,1.94,1.92,1.92,1.91,1.91,1.89,1.88,1.85,1.82,1.81,1.8,1.77,1.74,1.71,1.62,1.62,1.58,1.49,1.37,1.33,1.28,1.2,1.03,0.02,99.98
08/26/2021,2.61,2.55,2.53,2.51,2.5,2.44,2.48,2.41,2.41,2.34,2.35,2.34,2.33,2.35,2.29,2.28,2.18,2.13,2.12,2.07,2.08,2.09,2.03,2.04,2.04,1.98,1.98,1.95,1.91,1.89,1.89,1.89,1.88,1.88,1.83,1.86,1.8,1.78,1.76,1.73,1.7,1.6,1.63,1.57,1.56,1.38,1.39,1.3,1.27,1.03,0.02,99.96
08/27/2021,2.59,2.5,2.49,2.51,2.44,2.45,2.46,2.42,2.41,2.34,2.34,2.34,2.32,2.33,2.29,2.28,2.16,2.09,2.13,2.05,2.05,2.13,2.04,2.04,2.0,2.01,2.11,1.97,1.94,1.94,1.88,1.96,1.86,1.86,1.86,1.8,1.77,1.78,1.74,1.73,1.71,1.59,1.64,1.6,1.6,1.38,1.4,1.3,1.32,1.0,0.02,99.97
08/30/2021,2.61,2.54,2.55,2.54,2.44,2.43,2.5,2.41,2.38,2.36,2.34,2.39,2.29,2.29,2.33,2.31,2.21,2.1,2.07,2.07,2.04,2.08,2.04,2.04,2.0,2.01,2.0,1.99,1.95,1.96,1.88,1.95,1.87,1.89,1.83,1.81,1.72,1.78,1.74,1.73,1.71,1.58,1.65,1.61,1.52,1.37,1.44,1.28,1.38,0.98,0.02,100.01
08/31/2021,2.6,2.54,2.58,2.52,2.48,2.41,2.49,2.4,2.41,2.37,2.32,2.38,2.32,2.29,2.3,2.27,2.22,2.11,2.07,2.04,2.0,2.09,2.03,2.05,1.99,2.01,2.02,1.98,1.96,1.95,1.88,1.91,1.85,1.91,1.82,1.78,1.75,1.77,1.74,1.73,1.75,1.58,1.65,1.61,1.55,1.37,1.47,1.28,1.4,1.0,0.02,100.02
09/01/2021,2.6,2.54,2.58,2.52,2.48,2.41,2.49,2.4,2.41,2.37,2.32,2.38,2.32,2.29,2.3,2.27,2.22,2.11,2.07,2.04,2.0,2.09,2.03,2.05,1.99,2.01,2.02,1.98,1.96,1.95,1.88,1.91,1.85,1.91,1.82,1.78,1.75,1.77,1.74,1.73,1.75,1.58,1.65,1.61,1.55,1.37,1.47,1.28,1.4,1.0,0.02,100.02
09/02/2021,2.6,2.54,2.56,2.56,2.46,2.42,2.5,2.43,2.43,2.35,2.34,2.4,2.34,2.27,2.34,2.29,2.23,2.1,2.04,2.06,1.98,2.07,2.02,2.03,1.98,1.99,2.08,1.97,1.94,1.93,1.87,1.93,1.85,1.9,1.81,1.74,1.75,1.75,1.74,1.72,1.71,1.6,1.65,1.59,1.63,1.36,1.45,1.27,1.45,0.99,0.02,100.03
09/06/2021,2.58,2.52,2.57,2.51,2.43,2.42,2.49,2.41,2.42,2.37,2.32,2.36,2.32,2.26,2.32,2.32,2.15,2.14,2.01,2.04,2.06,2.1,1.98,2.03,1.96,1.95,2.02,1.97,1.92,1.9,1.85,1.97,1.84,1.87,1.8,1.77,1.78,1.73,1.73,1.76,1.7,1.67,1.66,1.55,1.68,1.41,1.49,1.29,1.48,1.08,0.02,99.98
09/07/2021,2.62,2.52,2.53,2.53,2.39,2.4,2.5,2.41,2.43,2.4,2.33,2.36,2.28,2.2,2.31,2.3,2.17,2.1,1.99,2.04,2.14,2.1,2.02,2.02,1.95,1.94,2.09,1.98,1.9,1.89,1.85,2.12,1.83,1.85,1.8,1.81,1.77,1.72,1.74,1.75,1.69,1.69,1.63,1.51,1.69,1.39,1.47,1.27,1.47,1.09,0.02,100.0
09/08/2021,2.62,2.52,2.53,2.53,2.39,2.4,2.5,2.41,2.43,2.4,2.33,2.36,2.28,2.2,2.31,2.3,2.17,2.1,1.99,2.04,2.14,2.1,2.02,2.02,1.95,1.94,2.09,1.98,1.9,1.89,1.85,2.12,1.83,1.85,1.8,1.81,1.77,1.72,1.74,1.75,1.69,1.69,1.63,1.51,1.69,1.39,1.47,1.27,1.47,1.09,0.02,100.0
