,NVDA,TSLA,SQ,GOOGL,AMZN,ENPH,ZS,MSFT,SEDG,PYPL,CRWD,SHOP,CSCO,TWLO,TDOC,FSLR,ZM,AMD,OKTA,SE,U,RUN,AKAM,NET,PLUG,ALB,COIN,FB,FTNT,TWTR,NIO,PANW,9988 HK,SPLK,EQIX,QCOM,VMW,SPOT,ISRG,CRM,ABBN.SW,DOCU,AAPL,TRMB,NFLX,NXPI,ADYEN.AS,700.HK,IBM,QLYS,INTC,SNAP,ROKU,VWS.CO,9888 HK,DHR,ADBE,MIME,NOW,VRNS,BLDP.TO,ITRI,CYBR,9868 HK,MELI,ACN,PFPT,DLR,XYL,TENB,CHKP,968.HK,ADI,RPD,JNPR,ORCL,AWK,NTLA,DBX,Z,FEYE,NOVA,SPWR,ANET,ORSTED.CO,1211 HK,CRSP,1772 HK,ATVI,ECL,PNR,ON,CCI,TWOU,6954.T,MSTR,CSIQ,ORA,DQ,FFIV,AMT,PATH,REGN,ARRY,ILMN,AVAV,9618.HK,LTHM,SHLS,IRDM,INTU,WDAY,NVTA,EVBG,NEE,SQM/B CI,DXCM,TER,9999 HK,TEAM,ETSY,A,AY,APTV,9626 HK,STM.PA,MDB,JKS,BE,ROP,V,CONE,SWKS,7974.T,DKNG,XLNX,HPE,EA,PTON,BAH,FATE,4704.T,FISV,EXAS,COR,AMBA,IFX.DE,WTRG,TPIC,MA,TTD,BRKS,SAIL,OLED,REGI,Cash&Other,ABBN SW,VWS DC,PLTR,968 HK,700 HK,ADYEN NA,BLDP CN,ORSTED DC,6954 JP,9618 HK,STM FP,6861 JP,AQUA,TTEK,IFX GR,LMT,6861.T,SUM
08/25/2021,5.09,5.09,3.52,2.91,2.71,2.26,2.09,1.97,1.93,1.74,1.65,1.64,1.62,1.55,1.52,1.46,1.31,1.28,1.22,1.03,1.02,1.01,1.01,0.98,0.96,0.93,0.91,0.91,0.91,0.85,0.84,0.83,0.83,0.82,0.81,0.78,0.78,0.74,0.74,0.73,0.71,0.7,0.68,0.68,0.63,0.63,0.6,0.58,0.57,0.57,0.56,0.55,0.54,0.53,0.51,0.5,0.5,0.49,0.49,0.48,0.48,0.46,0.46,0.45,0.44,0.44,0.43,0.41,0.41,0.41,0.41,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.37,0.36,0.35,0.35,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.16,0.16,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
08/26/2021,5.09,5.09,3.52,2.91,2.71,2.26,2.09,1.97,1.93,1.74,1.65,1.64,1.62,1.55,1.52,1.46,1.31,1.28,1.22,1.03,1.02,1.01,1.01,0.98,0.96,0.93,0.91,0.91,0.91,0.85,0.84,0.83,0.83,0.82,0.81,0.78,0.78,0.74,0.74,0.73,0.71,0.7,0.68,0.68,0.63,0.63,0.6,0.58,0.57,0.57,0.56,0.55,0.54,0.53,0.51,0.5,0.5,0.49,0.49,0.48,0.48,0.46,0.46,0.45,0.44,0.44,0.43,0.41,0.41,0.41,0.41,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.37,0.36,0.35,0.35,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.16,0.16,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
08/27/2021,4.99,5.05,3.48,2.9,2.71,2.24,2.12,1.93,1.9,1.73,1.76,1.68,1.63,1.56,1.5,1.42,1.29,1.25,1.27,1.0,1.0,1.0,1.0,0.97,0.97,0.93,0.91,0.91,0.88,0.84,0.84,0.97,0.9,0.86,0.78,0.78,0.77,0.74,0.73,0.72,0.71,0.7,0.67,0.67,0.62,0.63,0.61,0.62,0.56,0.57,0.56,0.54,0.54,0.53,0.55,0.49,0.49,0.5,0.49,0.49,0.49,0.47,0.47,0.45,0.44,0.43,0.43,0.41,0.41,0.41,0.41,0.4,0.39,0.39,0.38,0.38,0.37,0.39,0.37,0.38,0.38,0.36,0.35,0.35,0.33,0.33,0.33,0.34,0.31,0.31,0.32,0.33,0.3,0.29,0.29,0.28,0.31,0.29,0.29,0.29,0.28,0.3,0.29,0.28,0.28,0.27,0.31,0.26,0.25,0.25,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.24,0.23,0.24,0.25,0.23,0.24,0.24,0.23,0.22,0.22,0.22,0.22,0.22,0.23,0.21,0.22,0.21,0.24,0.21,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.18,0.18,0.18,0.16,0.16,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/30/2021,5.06,5.0,3.37,2.9,2.72,2.24,2.2,1.91,1.91,1.7,1.85,1.66,1.62,1.55,1.47,1.4,1.29,1.25,1.34,1.03,0.96,1.0,0.99,0.94,0.97,0.93,0.87,0.9,0.91,0.82,0.83,1.01,0.88,0.86,0.79,0.76,0.78,0.74,0.73,0.75,0.7,0.71,0.66,0.69,0.62,0.66,0.59,0.62,0.56,0.59,0.55,0.52,0.53,0.53,0.56,0.49,0.49,0.56,0.49,0.5,0.47,0.48,0.48,0.46,0.44,0.43,0.43,0.4,0.42,0.42,0.41,0.42,0.39,0.39,0.38,0.38,0.37,0.37,0.37,0.38,0.38,0.36,0.34,0.34,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.33,0.29,0.28,0.29,0.27,0.31,0.29,0.3,0.29,0.28,0.31,0.28,0.29,0.27,0.28,0.33,0.26,0.26,0.24,0.26,0.26,0.26,0.25,0.24,0.25,0.25,0.25,0.28,0.25,0.26,0.24,0.23,0.24,0.26,0.22,0.24,0.24,0.23,0.22,0.21,0.21,0.22,0.22,0.23,0.21,0.23,0.21,0.24,0.21,0.22,0.21,0.19,0.2,0.2,0.19,0.2,0.19,0.21,0.19,0.18,0.18,0.18,0.16,0.15,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/31/2021,5.12,5.01,3.4,2.91,2.71,2.24,2.23,1.89,1.95,1.7,1.85,1.65,1.6,1.56,1.46,1.4,1.28,1.28,1.33,1.02,0.98,0.98,0.97,0.95,0.99,0.95,0.9,0.91,0.91,0.82,0.81,1.0,0.83,0.86,0.78,0.77,0.71,0.74,0.72,0.73,0.69,0.71,0.66,0.69,0.62,0.66,0.6,0.61,0.55,0.58,0.56,0.52,0.53,0.51,0.55,0.48,0.49,0.54,0.49,0.53,0.47,0.49,0.49,0.47,0.44,0.43,0.42,0.4,0.41,0.43,0.41,0.42,0.38,0.4,0.38,0.38,0.36,0.38,0.37,0.38,0.38,0.37,0.34,0.34,0.31,0.33,0.32,0.33,0.31,0.31,0.3,0.34,0.29,0.29,0.28,0.27,0.31,0.3,0.31,0.28,0.28,0.31,0.28,0.29,0.27,0.28,0.33,0.26,0.25,0.25,0.26,0.28,0.27,0.25,0.24,0.25,0.25,0.26,0.28,0.25,0.26,0.24,0.22,0.24,0.25,0.23,0.24,0.24,0.23,0.22,0.21,0.21,0.22,0.21,0.24,0.22,0.23,0.21,0.21,0.21,0.22,0.2,0.19,0.21,0.2,0.2,0.2,0.18,0.21,0.19,0.18,0.19,0.19,0.16,0.16,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/01/2021,5.12,5.01,3.4,2.91,2.71,2.24,2.23,1.89,1.95,1.7,1.85,1.65,1.6,1.56,1.46,1.4,1.28,1.28,1.33,1.02,0.98,0.98,0.97,0.95,0.99,0.95,0.9,0.91,0.91,0.82,0.81,1.0,0.83,0.86,0.78,0.77,0.71,0.74,0.72,0.73,0.69,0.71,0.66,0.69,0.62,0.66,0.6,0.61,0.55,0.58,0.56,0.52,0.53,0.51,0.55,0.48,0.49,0.54,0.49,0.53,0.47,0.49,0.49,0.47,0.44,0.43,0.42,0.4,0.41,0.43,0.41,0.42,0.38,0.4,0.38,0.38,0.36,0.38,0.37,0.38,0.38,0.37,0.34,0.34,0.31,0.33,0.32,0.33,0.31,0.31,0.3,0.34,0.29,0.29,0.28,0.27,0.31,0.3,0.31,0.28,0.28,0.31,0.28,0.29,0.27,0.28,0.33,0.26,0.25,0.25,0.26,0.28,0.27,0.25,0.24,0.25,0.25,0.26,0.28,0.25,0.26,0.24,0.22,0.24,0.25,0.23,0.24,0.24,0.23,0.22,0.21,0.21,0.22,0.21,0.24,0.22,0.23,0.21,0.21,0.21,0.22,0.2,0.19,0.21,0.2,0.2,0.2,0.18,0.21,0.19,0.18,0.19,0.19,0.16,0.16,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/02/2021,5.08,5.09,3.42,2.9,2.74,2.25,2.24,1.89,1.96,1.75,1.85,1.65,1.58,1.57,1.46,1.4,1.29,1.27,1.33,1.04,0.99,0.98,0.97,0.94,0.96,0.94,0.9,0.92,0.91,0.83,0.8,0.99,0.84,0.84,0.79,0.76,0.71,0.75,0.72,0.72,0.68,0.71,0.67,0.68,0.62,0.66,0.6,0.6,0.54,0.58,0.55,0.53,0.52,0.51,0.55,0.49,0.49,0.53,0.49,0.54,0.47,0.48,0.48,0.45,0.44,0.43,0.42,0.4,0.41,0.43,0.4,0.45,0.38,0.4,0.37,0.38,0.36,0.36,0.37,0.36,0.38,0.37,0.34,0.34,0.31,0.32,0.31,0.35,0.3,0.31,0.3,0.33,0.29,0.29,0.29,0.27,0.31,0.3,0.36,0.28,0.28,0.3,0.28,0.28,0.26,0.27,0.32,0.26,0.25,0.28,0.25,0.28,0.26,0.25,0.24,0.25,0.24,0.26,0.28,0.25,0.26,0.24,0.22,0.23,0.25,0.23,0.24,0.26,0.23,0.22,0.21,0.22,0.22,0.22,0.23,0.21,0.22,0.21,0.2,0.21,0.21,0.2,0.19,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.19,0.18,0.16,0.15,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/03/2021,5.04,5.15,3.39,2.91,2.79,2.21,2.25,1.89,1.93,1.76,1.83,1.64,1.59,1.53,1.47,1.38,1.08,1.27,1.33,1.07,1.0,0.97,0.97,0.93,0.96,0.94,0.89,0.92,0.9,0.83,0.84,1.0,0.88,0.84,0.79,0.77,0.71,0.76,0.72,0.73,0.68,0.7,0.67,0.67,0.63,0.62,0.6,0.62,0.55,0.59,0.55,0.54,0.52,0.51,0.56,0.49,0.49,0.55,0.5,0.54,0.48,0.48,0.48,0.46,0.44,0.43,0.0,0.4,0.41,0.42,0.4,0.45,0.37,0.4,0.37,0.38,0.36,0.37,0.38,0.36,0.37,0.37,0.34,0.33,0.31,0.32,0.32,0.36,0.31,0.31,0.3,0.33,0.29,0.29,0.29,0.27,0.31,0.3,0.35,0.28,0.28,0.3,0.28,0.28,0.26,0.27,0.33,0.26,0.26,0.27,0.26,0.28,0.27,0.26,0.24,0.25,0.25,0.26,0.28,0.25,0.26,0.24,0.22,0.23,0.25,0.23,0.24,0.27,0.23,0.22,0.21,0.22,0.22,0.22,0.23,0.21,0.23,0.21,0.2,0.21,0.22,0.21,0.19,0.2,0.2,0.2,0.2,0.19,0.18,0.18,0.18,0.19,0.18,0.16,0.15,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
09/06/2021,4.99,5.07,3.33,2.86,2.76,2.23,2.26,1.87,1.92,1.72,1.76,1.64,1.59,1.53,1.47,1.38,1.09,1.24,1.35,1.06,1.04,1.03,0.96,0.98,0.99,0.96,0.91,0.9,0.89,0.82,0.85,0.99,0.9,0.86,0.81,0.76,0.69,0.81,0.73,0.71,0.68,0.68,0.67,0.67,0.64,0.61,0.58,0.64,0.54,0.6,0.55,0.52,0.51,0.53,0.59,0.5,0.49,0.54,0.5,0.55,0.54,0.47,0.48,0.45,0.45,0.43,0.0,0.41,0.41,0.43,0.4,0.44,0.37,0.41,0.37,0.38,0.37,0.4,0.38,0.37,0.37,0.38,0.35,0.33,0.31,0.32,0.32,0.33,0.3,0.31,0.31,0.33,0.3,0.29,0.3,0.27,0.31,0.3,0.36,0.28,0.29,0.29,0.28,0.28,0.27,0.28,0.34,0.27,0.26,0.28,0.25,0.28,0.28,0.26,0.25,0.26,0.25,0.25,0.29,0.26,0.26,0.24,0.22,0.23,0.28,0.23,0.24,0.28,0.23,0.22,0.2,0.22,0.22,0.22,0.24,0.21,0.22,0.21,0.2,0.21,0.22,0.21,0.19,0.21,0.21,0.21,0.2,0.19,0.18,0.18,0.17,0.19,0.18,0.16,0.14,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
09/07/2021,4.83,5.17,3.18,2.76,2.48,2.45,2.17,1.81,1.99,1.67,1.82,1.6,1.42,1.76,1.41,1.52,1.15,1.12,1.41,1.07,0.98,1.04,1.0,1.0,1.07,0.95,1.0,0.93,0.93,0.91,0.96,1.0,0.8,0.83,0.82,0.8,0.8,0.8,0.73,0.73,0.0,0.64,0.66,0.67,0.53,0.62,0.0,0.0,0.53,0.58,0.55,0.53,0.62,0.0,0.47,0.51,0.44,0.53,0.49,0.51,0.0,0.46,0.46,0.5,0.42,0.42,0.0,0.41,0.49,0.41,0.37,0.0,0.37,0.4,0.37,0.42,0.38,0.41,0.32,0.44,0.37,0.38,0.34,0.32,0.0,0.26,0.38,0.35,0.28,0.32,0.31,0.33,0.3,0.28,0.0,0.29,0.28,0.3,0.35,0.28,0.28,0.52,0.27,0.32,0.26,0.31,0.0,0.26,0.27,0.27,0.25,0.27,0.28,0.26,0.26,0.26,0.25,0.25,0.24,0.28,0.36,0.24,0.22,0.23,0.23,0.0,0.34,0.27,0.24,0.23,0.2,0.22,0.21,0.0,0.33,0.26,0.22,0.2,0.21,0.2,0.23,0.0,0.19,0.25,0.21,0.21,0.0,0.0,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.11,0.69,0.59,0.55,0.54,0.54,0.53,0.53,0.36,0.29,0.26,0.25,0.22,0.2,0.2,0.2,0.2,0.0,99.99
