,BIIB,DOCU,ZM,MRNA,SNAP,PTON,FB,ROKU,AMZN,KR,AMC,NEM,YUMC,GIS,TDOC,CLX,JNJ,SPOT,EXR,GILD,UNH,TWLO,NET,ED,ALNY,DPZ,FANG,CAG,ZS,PG,K,DIS,NVAX,PCG,DLTR,NLOK,DXCM,TXG,NFLX,PSA,RNG,AAPL,ABMD,PODD,LLY,SJM,CMCSA,GME,VZ,KHC,REGN,CHGG,PFE,LUMN,KO,T,PEP,CMG,SGEN,TMO,ABBV,CHD,VTRS,MRK,CRWD,WFC,DISCK,CPB,SAM,HRL,COST,MCD,DHR,ABT,MDT,TGT,BRK.B,CBOE,ARMK,UPS,TSN,RCL,CCL,REG,NLY,BMY,NEE,SPG,AMGN,ORCL,LB,CTXS,IBM,QCOM,AMT,CAT,Invesco Shrt-Trm Inv Gov&Agcy Instl,NKE,GE,MMM,TEAM,MKTX,WSO,SCHW,EXAS,CVS,PLUG,NVCR,VIAC,FRT,BDX,ANTM,NBIX,FOXA,BKNG,CHTR,MDLZ,COP,CCI,JPM,FTCH,CI,BAP,CHRW,GM,USB,ENPH,TJX,AMD,CME,TFC,FDX,ATVI,DE,MMC,EQIX,BMRN,KMB,MELI,CL,ILMN,EL,DDOG,HZNP,WBA,ICE,SHW,EW,UBER,DG,CB,BSX,MTCH,D,WM,LIN,KDP,F,HST,BILL,EMR,PGR,HUM,MAR,AAL,HCA,INTC,IDXX,TWTR,VRTX,CRM,AON,PEN,EOG,JCI,CVX,SLB,EBAY,TT,ROST,PINS,VEEV,CARR,DLR,CNC,DD,BK,BAX,ETSY,SRE,EA,PPG,ALGN,ORLY,ALL,TRV,HPQ,ROP,CLVT,AZO,ZTS,IFF,PANW,WELL,OTIS,RMD,YUM,n/a,SBAC,BBWI WI,GE.,VSCO WI,VSCO,SYY,WDAY,AGPXX,SUM
07/09/2021,1.76,1.66,1.66,1.64,1.6,1.59,1.55,1.53,1.52,1.33,1.33,1.27,1.22,1.2,1.14,1.11,1.09,1.09,1.08,0.98,0.95,0.94,0.93,0.92,0.92,0.9,0.89,0.84,0.82,0.82,0.81,0.8,0.79,0.77,0.77,0.75,0.75,0.73,0.72,0.71,0.69,0.69,0.69,0.69,0.67,0.67,0.66,0.61,0.6,0.59,0.58,0.57,0.56,0.56,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.49,0.47,0.47,0.46,0.46,0.44,0.44,0.43,0.43,0.43,0.43,0.42,0.42,0.41,0.4,0.4,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.35,0.35,0.34,0.34,0.34,0.33,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.69
07/12/2021,1.8,1.75,1.7,1.56,1.55,1.62,1.54,1.48,1.65,1.32,1.12,1.3,1.24,1.22,1.1,1.16,1.12,1.06,1.13,0.98,0.97,0.95,0.97,0.94,0.95,0.93,0.8,0.85,0.88,0.83,0.82,0.78,0.68,0.78,0.77,0.77,0.79,0.71,0.73,0.74,0.72,0.73,0.74,0.7,0.69,0.67,0.66,0.57,0.61,0.59,0.6,0.59,0.56,0.55,0.52,0.52,0.52,0.53,0.48,0.51,0.51,0.51,0.47,0.49,0.5,0.45,0.44,0.46,0.44,0.44,0.45,0.44,0.44,0.44,0.43,0.43,0.41,0.4,0.39,0.39,0.37,0.35,0.34,0.36,0.36,0.37,0.37,0.34,0.35,0.37,0.34,0.34,0.31,0.31,0.31,0.29,0.0,0.3,0.28,0.29,0.3,0.28,0.29,0.26,0.26,0.27,0.24,0.25,0.24,0.24,0.24,0.24,0.23,0.22,0.22,0.23,0.22,0.2,0.22,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.17,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.15,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.74000000000001
07/13/2021,1.8,1.75,1.7,1.56,1.55,1.62,1.54,1.48,1.65,1.32,1.12,1.3,1.24,1.22,1.1,1.16,1.12,1.06,1.13,0.98,0.97,0.95,0.97,0.94,0.95,0.93,0.8,0.85,0.88,0.83,0.82,0.78,0.68,0.78,0.77,0.77,0.79,0.71,0.73,0.74,0.72,0.73,0.74,0.7,0.69,0.67,0.66,0.57,0.61,0.59,0.6,0.59,0.56,0.55,0.52,0.52,0.52,0.53,0.48,0.51,0.51,0.51,0.47,0.49,0.5,0.45,0.44,0.46,0.44,0.44,0.45,0.44,0.44,0.44,0.43,0.43,0.41,0.4,0.39,0.39,0.37,0.35,0.34,0.36,0.36,0.37,0.37,0.34,0.35,0.37,0.34,0.34,0.31,0.31,0.31,0.29,0.0,0.3,0.28,0.29,0.3,0.28,0.29,0.26,0.26,0.27,0.24,0.25,0.24,0.24,0.24,0.24,0.23,0.22,0.22,0.23,0.22,0.2,0.22,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.17,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.15,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.74000000000001
07/14/2021,1.88,1.75,1.68,1.65,1.48,1.63,1.53,1.49,1.67,1.34,1.19,1.28,1.23,1.21,1.11,1.14,1.13,1.05,1.12,0.98,0.98,0.95,0.98,0.95,0.95,0.93,0.81,0.85,0.88,0.84,0.82,0.79,0.7,0.77,0.77,0.76,0.79,0.73,0.72,0.74,0.71,0.73,0.72,0.7,0.7,0.67,0.67,0.57,0.6,0.59,0.59,0.59,0.56,0.54,0.53,0.51,0.52,0.53,0.48,0.51,0.51,0.51,0.46,0.49,0.5,0.44,0.43,0.46,0.45,0.44,0.45,0.44,0.44,0.44,0.43,0.43,0.4,0.4,0.38,0.39,0.37,0.35,0.34,0.36,0.36,0.37,0.37,0.34,0.35,0.37,0.33,0.34,0.32,0.31,0.32,0.29,0.0,0.3,0.28,0.29,0.3,0.29,0.28,0.26,0.26,0.26,0.24,0.25,0.23,0.24,0.24,0.24,0.24,0.22,0.22,0.23,0.22,0.2,0.22,0.2,0.2,0.2,0.2,0.19,0.18,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.17,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.15,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.0,0.09,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.78
07/15/2021,1.77,1.74,1.64,1.69,1.54,1.57,1.55,1.53,1.66,1.35,1.05,1.28,1.22,1.2,1.09,1.12,1.12,1.06,1.15,0.98,0.98,0.96,0.96,0.94,0.97,0.93,0.82,0.84,0.88,0.83,0.81,0.84,0.69,0.77,0.77,0.76,0.78,0.71,0.73,0.75,0.69,0.73,0.71,0.68,0.69,0.67,0.66,0.56,0.6,0.59,0.58,0.58,0.57,0.55,0.53,0.51,0.51,0.54,0.47,0.5,0.51,0.5,0.47,0.49,0.49,0.45,0.44,0.46,0.45,0.43,0.45,0.44,0.44,0.43,0.43,0.43,0.41,0.4,0.39,0.39,0.37,0.35,0.34,0.37,0.37,0.37,0.37,0.35,0.35,0.38,0.36,0.33,0.31,0.31,0.32,0.3,0.0,0.3,0.28,0.29,0.29,0.28,0.28,0.27,0.26,0.27,0.23,0.25,0.24,0.25,0.24,0.24,0.23,0.22,0.23,0.22,0.22,0.2,0.22,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.70999999999998
07/16/2021,1.77,1.74,1.64,1.69,1.54,1.57,1.55,1.53,1.66,1.35,1.05,1.28,1.22,1.2,1.09,1.12,1.12,1.06,1.15,0.98,0.98,0.96,0.96,0.94,0.97,0.93,0.82,0.84,0.88,0.83,0.81,0.84,0.69,0.77,0.77,0.76,0.78,0.71,0.73,0.75,0.69,0.73,0.71,0.68,0.69,0.67,0.66,0.56,0.6,0.59,0.58,0.58,0.57,0.55,0.53,0.51,0.51,0.54,0.47,0.5,0.51,0.5,0.47,0.49,0.49,0.45,0.44,0.46,0.45,0.43,0.45,0.44,0.44,0.43,0.43,0.43,0.41,0.4,0.39,0.39,0.37,0.35,0.34,0.37,0.37,0.37,0.37,0.35,0.35,0.38,0.36,0.33,0.31,0.31,0.32,0.3,0.0,0.3,0.28,0.29,0.29,0.28,0.28,0.27,0.26,0.27,0.23,0.25,0.24,0.25,0.24,0.24,0.23,0.22,0.23,0.22,0.22,0.2,0.22,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.70999999999998
07/19/2021,1.82,1.69,1.59,1.77,1.51,1.51,1.55,1.48,1.67,1.37,0.84,1.31,1.23,1.22,1.06,1.15,1.15,1.05,1.16,0.99,1.0,0.94,0.95,0.96,0.95,0.96,0.78,0.81,0.88,0.85,0.82,0.85,0.67,0.76,0.78,0.76,0.79,0.66,0.76,0.76,0.67,0.77,0.7,0.66,0.7,0.68,0.67,0.51,0.61,0.58,0.6,0.57,0.58,0.55,0.55,0.51,0.54,0.55,0.47,0.51,0.52,0.51,0.48,0.5,0.48,0.47,0.43,0.45,0.43,0.44,0.46,0.45,0.44,0.44,0.44,0.44,0.41,0.4,0.38,0.39,0.37,0.34,0.32,0.38,0.35,0.38,0.38,0.35,0.36,0.39,0.36,0.34,0.32,0.32,0.32,0.29,0.0,0.3,0.28,0.3,0.29,0.29,0.28,0.27,0.25,0.27,0.22,0.25,0.24,0.25,0.24,0.25,0.23,0.23,0.23,0.22,0.22,0.2,0.22,0.21,0.2,0.21,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.19,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.16,0.17,0.17,0.17,0.15,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.1,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.69
07/20/2021,1.7,1.71,1.57,1.87,1.47,1.48,1.54,1.46,1.65,1.39,0.91,1.32,1.24,1.23,1.04,1.16,1.14,1.03,1.16,1.0,1.01,0.92,0.94,0.97,0.96,0.96,0.76,0.83,0.86,0.86,0.83,0.85,0.67,0.76,0.78,0.73,0.79,0.66,0.75,0.76,0.66,0.76,0.7,0.66,0.69,0.69,0.67,0.5,0.62,0.59,0.61,0.57,0.58,0.55,0.56,0.52,0.55,0.54,0.47,0.51,0.52,0.51,0.47,0.5,0.48,0.47,0.43,0.46,0.44,0.45,0.46,0.45,0.45,0.44,0.43,0.44,0.41,0.41,0.39,0.39,0.37,0.33,0.32,0.37,0.35,0.38,0.38,0.35,0.36,0.38,0.35,0.34,0.32,0.32,0.32,0.29,0.0,0.3,0.28,0.3,0.29,0.29,0.28,0.27,0.25,0.27,0.22,0.24,0.23,0.25,0.24,0.25,0.23,0.22,0.23,0.22,0.23,0.2,0.22,0.21,0.19,0.2,0.2,0.2,0.19,0.2,0.18,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.19,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.16,0.17,0.17,0.17,0.15,0.17,0.16,0.15,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.11,0.13,0.12,0.1,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.6
07/21/2021,1.68,1.74,1.6,2.06,1.44,1.48,1.53,1.44,1.63,1.41,0.88,1.28,1.23,1.24,1.04,1.19,1.14,1.01,1.16,1.0,1.01,0.94,0.94,0.98,0.99,0.96,0.73,0.84,0.87,0.87,0.84,0.83,0.7,0.75,0.78,0.74,0.8,0.67,0.73,0.76,0.67,0.75,0.72,0.68,0.69,0.7,0.67,0.51,0.62,0.59,0.6,0.57,0.59,0.53,0.56,0.52,0.55,0.53,0.48,0.52,0.52,0.52,0.47,0.5,0.48,0.47,0.43,0.47,0.43,0.45,0.46,0.45,0.46,0.44,0.43,0.44,0.41,0.41,0.38,0.39,0.37,0.32,0.3,0.37,0.35,0.38,0.39,0.34,0.36,0.39,0.35,0.34,0.32,0.31,0.33,0.29,0.0,0.3,0.28,0.29,0.29,0.29,0.28,0.27,0.26,0.27,0.21,0.24,0.23,0.25,0.24,0.24,0.23,0.22,0.22,0.22,0.23,0.19,0.22,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.17,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.19,0.17,0.19,0.17,0.18,0.17,0.18,0.17,0.16,0.16,0.17,0.17,0.17,0.15,0.17,0.16,0.15,0.15,0.16,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.15,0.14,0.13,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.11,0.13,0.11,0.1,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.09,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.76
07/22/2021,1.68,1.74,1.6,2.06,1.44,1.48,1.53,1.44,1.63,1.41,0.88,1.28,1.23,1.24,1.04,1.19,1.14,1.01,1.16,1.0,1.01,0.94,0.94,0.98,0.99,0.96,0.73,0.84,0.87,0.87,0.84,0.83,0.7,0.75,0.78,0.74,0.8,0.67,0.73,0.76,0.67,0.75,0.72,0.68,0.69,0.7,0.67,0.51,0.62,0.59,0.6,0.57,0.59,0.53,0.56,0.52,0.55,0.53,0.48,0.52,0.52,0.52,0.47,0.5,0.48,0.47,0.43,0.47,0.43,0.45,0.46,0.45,0.46,0.44,0.43,0.44,0.41,0.41,0.38,0.39,0.37,0.32,0.3,0.37,0.35,0.38,0.39,0.34,0.36,0.39,0.35,0.34,0.32,0.31,0.33,0.29,0.0,0.3,0.28,0.29,0.29,0.29,0.28,0.27,0.26,0.27,0.21,0.24,0.23,0.25,0.24,0.24,0.23,0.22,0.22,0.22,0.23,0.19,0.22,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.17,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.19,0.17,0.19,0.17,0.18,0.17,0.18,0.17,0.16,0.16,0.17,0.17,0.17,0.15,0.17,0.16,0.15,0.15,0.16,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.15,0.14,0.13,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.11,0.13,0.11,0.1,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.09,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.76
