,MSFT,GOOGL,NVDA,TSLA,GOOG,V,ADBE,DIS,PYPL,NKE,LLY,TMO,AMAT,CRM,NOW,SBUX,SPGI,COST,MELI,BKNG,DE,ATVI,SHW,ZBRA,MXIM,KEYS,ECL,EW,VRTX,MMC,SNPS,W,TRMB,TJX,DXCM,ADSK,TDY,OKTA,DPZ,AMT,TDOC,EQIX,MKTX,ROP,ROK,LRCX,CGNX,WORK,VMW,ODFL,PODD,ETSY,OTIS,CLX,LW,EA,CABO,ILMN,BKR,A,CHD,HZNP,APTV,NDSN,SIVB,LOW,GNRC,IDXX,EXPD,CMG,Federal Agricultural Mortgage Corporation,HOLX,ABMD,FAST,BLL,Us Dollars,FAMCDN 0 07/09/13,FAMCDN 0 07/12/17,FAMCDN 0 07/13/17,FAMCDN 0 07/19/17,B 0 07/22/21,FHLBDN 0 07/23/13,SUM
07/09/2021,11.21,5.0,4.17,3.93,3.79,3.21,2.8,2.78,2.63,2.33,2.09,1.93,1.89,1.87,1.85,1.84,1.74,1.74,1.66,1.59,1.56,1.45,1.44,1.41,1.39,1.38,1.33,1.32,1.3,1.26,1.24,1.1,1.03,1.0,0.99,0.98,0.98,0.96,0.92,0.92,0.91,0.89,0.88,0.87,0.83,0.79,0.74,0.69,0.66,0.63,0.63,0.61,0.6,0.59,0.57,0.55,0.52,0.5,0.43,0.39,0.34,0.3,0.29,0.29,0.28,0.23,0.23,0.19,0.16,0.15,0.09,0.05,0.05,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,11.26,5.02,4.07,3.8,3.83,3.2,2.88,2.72,2.69,2.36,2.13,1.96,1.83,1.86,1.89,1.87,1.76,1.79,1.64,1.54,1.53,1.42,1.44,1.41,1.32,1.39,1.33,1.35,1.29,1.26,1.24,1.11,1.02,0.99,1.03,0.97,0.97,0.99,0.92,0.94,0.88,0.92,0.88,0.88,0.84,0.77,0.75,0.69,0.67,0.63,0.64,0.61,0.6,0.6,0.57,0.54,0.53,0.5,0.4,0.39,0.35,0.29,0.28,0.28,0.27,0.23,0.23,0.2,0.16,0.15,0.0,0.05,0.05,0.05,0.01,0.0,0.09,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,11.26,5.02,4.07,3.8,3.83,3.2,2.88,2.72,2.69,2.36,2.13,1.96,1.83,1.86,1.89,1.87,1.76,1.79,1.64,1.54,1.53,1.42,1.44,1.41,1.32,1.39,1.33,1.35,1.29,1.26,1.24,1.11,1.02,0.99,1.03,0.97,0.97,0.99,0.92,0.94,0.88,0.92,0.88,0.88,0.84,0.77,0.75,0.69,0.67,0.63,0.64,0.61,0.6,0.6,0.57,0.54,0.53,0.5,0.4,0.39,0.35,0.29,0.28,0.28,0.27,0.23,0.23,0.2,0.16,0.15,0.0,0.05,0.05,0.05,0.01,0.0,0.09,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,11.2,5.0,4.07,3.8,3.81,3.2,2.85,2.77,2.72,2.35,2.1,1.94,1.84,1.84,1.9,1.88,1.74,1.8,1.66,1.56,1.54,1.42,1.44,1.42,1.34,1.4,1.34,1.33,1.29,1.26,1.24,1.11,1.04,1.0,1.01,0.97,0.99,0.99,0.92,0.93,0.88,0.91,0.87,0.88,0.84,0.77,0.76,0.69,0.67,0.64,0.63,0.6,0.6,0.59,0.57,0.54,0.52,0.5,0.41,0.39,0.35,0.29,0.28,0.29,0.29,0.23,0.24,0.2,0.16,0.15,0.0,0.05,0.05,0.05,0.01,0.0,0.0,0.1,0.0,0.0,0.0,0.0,100.01
07/15/2021,11.13,5.04,4.15,3.95,3.83,3.18,2.82,2.87,2.73,2.35,2.1,1.92,1.86,1.82,1.87,1.89,1.72,1.77,1.62,1.56,1.56,1.42,1.45,1.42,1.34,1.41,1.34,1.32,1.28,1.25,1.23,1.1,1.04,1.0,1.01,0.95,0.98,0.96,0.93,0.94,0.86,0.91,0.87,0.88,0.85,0.78,0.75,0.68,0.64,0.63,0.61,0.59,0.6,0.59,0.56,0.54,0.52,0.51,0.42,0.39,0.34,0.29,0.29,0.29,0.29,0.23,0.24,0.2,0.16,0.15,0.0,0.05,0.05,0.05,0.01,0.0,0.0,0.0,0.1,0.0,0.0,0.0,100.03
07/16/2021,11.29,5.06,4.1,3.85,3.84,3.25,2.85,2.87,2.72,2.35,2.09,1.92,1.86,1.83,1.87,1.91,1.71,1.77,1.64,1.55,1.54,1.43,1.45,1.38,1.34,1.41,1.34,1.32,1.28,1.25,1.23,1.05,1.03,0.99,1.02,0.97,1.01,0.98,0.94,0.93,0.85,0.91,0.87,0.88,0.84,0.78,0.74,0.68,0.63,0.63,0.6,0.58,0.6,0.58,0.55,0.54,0.51,0.51,0.41,0.39,0.34,0.29,0.28,0.29,0.29,0.22,0.24,0.2,0.16,0.15,0.1,0.05,0.05,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/19/2021,11.38,5.08,3.87,3.78,3.88,3.35,2.87,2.9,2.7,2.37,2.08,1.94,1.83,1.8,1.88,1.91,1.74,1.81,1.61,1.55,1.53,1.4,1.47,1.37,1.33,1.41,1.36,1.33,1.31,1.26,1.23,1.05,1.01,1.0,1.01,0.97,1.01,0.94,0.94,0.95,0.81,0.93,0.87,0.9,0.86,0.77,0.74,0.69,0.64,0.64,0.59,0.56,0.62,0.6,0.56,0.55,0.51,0.49,0.39,0.39,0.35,0.29,0.28,0.29,0.29,0.23,0.24,0.2,0.16,0.15,0.1,0.05,0.05,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
07/20/2021,11.42,5.11,3.72,3.76,3.92,3.36,2.89,2.83,2.7,2.35,2.09,1.97,1.77,1.81,1.88,1.92,1.76,1.81,1.63,1.53,1.53,1.42,1.49,1.36,1.31,1.4,1.37,1.34,1.33,1.27,1.24,1.03,1.0,1.0,1.04,0.97,1.01,0.94,0.94,0.96,0.82,0.93,0.88,0.9,0.86,0.74,0.73,0.7,0.64,0.63,0.61,0.57,0.62,0.61,0.56,0.55,0.52,0.49,0.38,0.39,0.35,0.29,0.27,0.29,0.28,0.23,0.24,0.2,0.16,0.15,0.0,0.05,0.05,0.05,0.01,0.0,0.0,0.0,0.0,0.1,0.0,0.0,100.03000000000002
07/21/2021,11.42,5.11,3.72,3.76,3.92,3.36,2.89,2.83,2.7,2.35,2.09,1.97,1.77,1.81,1.88,1.92,1.76,1.81,1.63,1.53,1.53,1.42,1.49,1.36,1.31,1.4,1.37,1.34,1.33,1.27,1.24,1.03,1.0,1.0,1.04,0.97,1.01,0.94,0.94,0.96,0.82,0.93,0.88,0.9,0.86,0.74,0.73,0.7,0.64,0.63,0.61,0.57,0.62,0.61,0.56,0.55,0.52,0.49,0.38,0.39,0.35,0.29,0.27,0.29,0.28,0.23,0.24,0.2,0.16,0.15,0.0,0.05,0.05,0.05,0.01,0.0,0.0,0.0,0.0,0.1,0.0,0.0,100.03000000000002
07/22/2021,11.42,5.11,3.72,3.76,3.92,3.36,2.89,2.83,2.7,2.35,2.09,1.97,1.77,1.81,1.88,1.92,1.76,1.81,1.63,1.53,1.53,1.42,1.49,1.36,1.31,1.4,1.37,1.34,1.33,1.27,1.24,1.03,1.0,1.0,1.04,0.97,1.01,0.94,0.94,0.96,0.82,0.93,0.88,0.9,0.86,0.74,0.73,0.7,0.64,0.63,0.61,0.57,0.62,0.61,0.56,0.55,0.52,0.49,0.38,0.39,0.35,0.29,0.27,0.29,0.28,0.23,0.24,0.2,0.16,0.15,0.0,0.05,0.05,0.05,0.01,0.0,0.0,0.0,0.0,0.1,0.0,0.0,100.03000000000002
