,MRVL,MTCH,CDNS,GNRC,MTD,ZBRA,HUBS,CPRT,ETSY,NVAX,ANSS,NET,PAYC,BLL,TRMB,TRU,TSCO,CTLT,OKTA,DRI,TDY,PODD,NVCR,ZEN,SPLK,PTC,HZNP,WORK,FICO,SWKS,MTN,CABO,TTWO,LW,HOLX,POOL,XYL,IEX,LYV,SIVB,CGNX,PPD,BKR,MAS,MXIM,MKTX,FTNT,VOYA,ALLE,STE,FAST,ALV,EXPD,WAT,LII,FDS,KEYS,CDW,ATUS,ABMD,Federal Farm Credit Banks,DPZ,Us Dollars,Federal Home Loan Banks,Federal Agricultural Mortgage Corporation,FAMCDN 0 07/19/17,B 0 07/22/21,CRM,FHLBDN 0 07/23/13,FAMCDN 0 07/26/17,FFCBDN 0 07/28/17,FAMCDN 0 07/30/13,FAMCDN 0 08/09/17,n/a,SUM
07/09/2021,3.42,3.01,2.8,2.62,2.62,2.46,2.46,2.44,2.39,2.39,2.37,2.19,2.16,2.15,2.08,2.07,2.04,2.02,2.01,2.0,1.96,1.92,1.89,1.88,1.88,1.88,1.81,1.8,1.79,1.78,1.7,1.7,1.66,1.66,1.59,1.57,1.48,1.47,1.46,1.44,1.42,1.37,1.37,1.28,1.25,1.24,1.18,1.13,1.05,0.97,0.94,0.86,0.64,0.61,0.58,0.52,0.51,0.33,0.25,0.25,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/12/2021,3.38,2.98,2.81,2.71,2.68,2.48,2.52,2.49,2.39,2.1,2.38,2.27,2.17,2.26,2.07,2.09,2.04,2.06,2.1,1.96,1.95,1.95,1.99,1.84,1.85,1.88,1.76,1.8,1.83,1.74,1.67,1.73,1.61,1.66,1.65,1.59,1.47,1.47,1.39,1.4,1.43,1.37,1.29,1.26,1.2,1.24,1.21,1.09,1.04,0.98,0.95,0.82,0.64,0.63,0.57,0.53,0.52,0.33,0.25,0.26,0.0,0.1,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,3.38,2.98,2.81,2.71,2.68,2.48,2.52,2.49,2.39,2.1,2.38,2.27,2.17,2.26,2.07,2.09,2.04,2.06,2.1,1.96,1.95,1.95,1.99,1.84,1.85,1.88,1.76,1.8,1.83,1.74,1.67,1.73,1.61,1.66,1.65,1.59,1.47,1.47,1.39,1.4,1.43,1.37,1.29,1.26,1.2,1.24,1.21,1.09,1.04,0.98,0.95,0.82,0.64,0.63,0.57,0.53,0.52,0.33,0.25,0.26,0.0,0.1,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,3.39,3.03,2.8,2.74,2.67,2.49,2.5,2.49,2.35,2.06,2.37,2.25,2.15,2.22,2.09,2.09,2.03,2.05,2.08,2.0,1.97,1.91,1.99,1.84,1.82,1.89,1.79,1.79,1.84,1.75,1.7,1.7,1.59,1.66,1.62,1.6,1.48,1.48,1.4,1.46,1.44,1.35,1.32,1.27,1.2,1.23,1.22,1.12,1.04,0.97,0.96,0.83,0.64,0.63,0.57,0.53,0.52,0.33,0.25,0.25,0.0,0.1,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
07/15/2021,3.41,3.04,2.79,2.82,2.68,2.5,2.45,2.5,2.34,2.07,2.35,2.21,2.12,2.22,2.12,2.08,2.03,2.06,2.03,2.03,1.98,1.88,1.97,1.81,1.8,1.86,1.8,1.77,1.82,1.77,1.69,1.7,1.61,1.64,1.62,1.6,1.49,1.49,1.41,1.51,1.44,1.36,1.34,1.28,1.21,1.23,1.22,1.13,1.04,0.97,0.96,0.84,0.64,0.63,0.57,0.52,0.52,0.33,0.25,0.25,0.0,0.1,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
07/16/2021,3.41,3.1,2.81,2.83,2.71,2.45,2.42,2.51,2.29,2.04,2.38,2.22,2.11,2.23,2.1,2.08,2.05,2.07,2.08,2.01,2.04,1.85,1.95,1.8,1.81,1.88,1.81,1.79,1.83,1.77,1.65,1.69,1.64,1.62,1.62,1.6,1.49,1.49,1.38,1.49,1.43,1.37,1.31,1.28,1.22,1.24,1.23,1.13,1.02,0.97,0.96,0.84,0.64,0.63,0.56,0.52,0.53,0.33,0.25,0.25,0.0,0.1,0.01,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/19/2021,3.38,3.1,2.84,2.78,2.73,2.43,2.34,2.56,2.24,2.0,2.41,2.16,2.12,2.27,2.08,2.15,2.1,2.03,2.01,2.0,2.06,1.81,1.91,1.79,1.8,1.88,1.81,1.83,1.86,1.8,1.66,1.69,1.6,1.65,1.63,1.58,1.5,1.52,1.36,1.51,1.44,1.39,1.26,1.3,1.21,1.24,1.24,1.15,1.05,0.97,0.97,0.84,0.65,0.65,0.54,0.53,0.53,0.33,0.25,0.25,0.0,0.1,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,3.28,3.07,2.85,2.77,2.76,2.41,2.38,2.58,2.27,2.09,2.4,2.17,2.14,2.3,2.04,2.17,2.1,2.02,2.0,1.96,2.06,1.87,1.92,1.8,1.81,1.87,1.8,1.84,1.88,1.78,1.64,1.7,1.63,1.63,1.66,1.58,1.49,1.53,1.34,1.46,1.41,1.39,1.22,1.32,1.19,1.25,1.26,1.14,1.06,0.98,0.98,0.8,0.65,0.64,0.54,0.54,0.53,0.33,0.25,0.25,0.0,0.1,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,3.28,3.07,2.85,2.77,2.76,2.41,2.38,2.58,2.27,2.09,2.4,2.17,2.14,2.3,2.04,2.17,2.1,2.02,2.0,1.96,2.06,1.87,1.92,1.8,1.81,1.87,1.8,1.84,1.88,1.78,1.64,1.7,1.63,1.63,1.66,1.58,1.49,1.53,1.34,1.46,1.41,1.39,1.22,1.32,1.19,1.25,1.26,1.14,1.06,0.98,0.98,0.8,0.65,0.64,0.54,0.54,0.53,0.33,0.25,0.25,0.0,0.1,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,3.28,3.07,2.85,2.77,2.76,2.41,2.38,2.58,2.27,2.09,2.4,2.17,2.14,2.3,2.04,2.17,2.1,2.02,2.0,1.96,2.06,1.87,1.92,1.8,1.81,1.87,1.8,1.84,1.88,1.78,1.64,1.7,1.63,1.63,1.66,1.58,1.49,1.53,1.34,1.46,1.41,1.39,1.22,1.32,1.19,1.25,1.26,1.14,1.06,0.98,0.98,0.8,0.65,0.64,0.54,0.54,0.53,0.33,0.25,0.25,0.0,0.1,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
